period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,687000.0,649475.0,436.1904761904762,437.9704105072524,1.0,3.0,4.0,6.0,6.0,50.0,0.9689703808180536,0.0,0.3333333333333333,0.3333333333333333,2.66,0.0
2019-02-28,680000.0,699000.0,387.906446092413,438.0264741275572,3.0,2.0,4.0,7.0,2.3,13.0,1.0206213539546871,0.3333333333333333,0.2857142857142857,0.0,0.78,-0.1106948288274375
2019-03-31,1150000.0,649975.0,354.1192535275375,450.97798508278834,5.0,3.0,1.0,5.0,1.0,21.0,0.9632212123691082,0.2,0.2,0.6666666666666666,1.44,-0.0871013949503333
2019-04-30,1201000.0,674888.0,406.18955512572535,451.5517241379311,5.0,2.0,4.0,6.0,1.2,14.0,1.0358413444351249,0.5999999999999999,0.1666666666666666,0.5,0.56,0.1470417128678902
2019-05-31,970000.0,698500.0,394.3089430894309,440.4822178391652,1.0,3.0,2.0,4.0,4.0,151.0,0.7054545454545454,0.0,,1.0,1.38,-0.0292489353464963
2019-06-30,825000.0,630000.0,338.0589670877016,435.29023746701847,4.0,,2.0,6.0,1.5,9.0,0.9697876167290432,0.25,0.3333333333333333,,0.57,-0.142654578313664
2019-07-31,,,,,,,,,,,,,,,0.6,0.0
2019-08-31,789500.0,680000.0,320.63757670430203,450.661853188929,2.0,3.0,3.0,6.0,3.0,66.0,0.8209657819477735,0.0,,0.6666666666666666,0.46,-0.0515335846094565
2019-09-30,980000.0,649950.0,348.0113636363636,447.4828544638672,1.0,6.0,6.0,6.0,6.0,14.0,0.9809809809809809,0.0,0.5,0.3333333333333333,1.2,0.0853729847057389
2019-10-31,775000.0,694000.0,444.78842740831647,432.2497679311839,5.0,2.0,3.0,6.0,1.2,17.0,1.013200408640073,0.5999999999999999,0.5,1.0,1.54,0.2780859301855298
2019-11-30,792500.0,675000.0,372.3345851216024,444.29941760877006,4.0,3.0,4.0,7.0,1.8,8.0,1.0087210271190004,0.75,0.2857142857142857,0.6666666666666666,1.58,-0.1628950706044366
2019-12-31,811000.0,679994.5,345.09604152461293,463.6332179930796,4.0,1.0,1.0,4.0,1.0,38.0,0.9735078733259592,0.5,0.5,1.0,2.46,-0.0731560931630713
2020-01-31,,,,,,,,,,,,,,,1.84,0.0
2020-02-29,930000.0,680000.0,350.8510002985966,443.8559322033898,5.0,3.0,2.0,1.0,0.2,62.0,0.9418949386640816,0.0,,0.6666666666666666,1.26,0.0166763975285217
2020-03-31,875000.0,676500.0,439.2274737423991,474.01384083044985,4.0,3.0,2.0,,,33.0,1.031431244675429,0.5,,0.6666666666666666,1.97,0.2518917528198252
2020-04-30,855000.0,,474.55688965122926,,3.0,,,,,14.0,0.9997560565541556,0.6666666666666666,,,4.2,0.0804353507484605
2020-05-31,,,,,,,,,,,,,,,3.68,0.0
2020-06-30,1185000.0,708000.0,448.18456883509833,453.48837209302326,1.0,3.0,5.0,4.0,4.0,8.0,1.187374749498998,1.0,,0.3333333333333333,3.48,-0.0555725169968831
2020-07-31,897500.0,692462.5,419.3919253459546,475.59912536443153,2.0,1.0,3.0,6.0,3.0,36.0,0.9721914297633946,0.0,0.1666666666666666,1.0,3.05,-0.0642428264854819
2020-08-31,,,,,,,,,,,,,,,3.89,0.0
2020-09-30,851000.0,699000.0,485.73059360730593,485.0136239782016,1.0,1.0,3.0,6.0,6.0,27.0,1.0,0.0,,0.0,5.35,0.1581782200661801
2020-10-31,865400.0,698500.0,430.4559302049521,477.28309159728207,2.0,1.0,3.0,7.0,3.5,21.0,1.0034555555555555,0.5,0.1428571428571428,1.0,4.34,-0.1137969568518495
2020-11-30,965000.0,,476.5432098765432,,1.0,1.0,,6.0,6.0,11.0,1.1156069364161847,1.0,0.1666666666666666,0.0,3.83,0.1070661975771773
2020-12-31,,,,,,,,,,,,,,,3.79,0.0
2021-01-31,865000.0,699888.0,423.8310708898944,483.8709677419354,2.0,5.0,4.0,5.0,2.5,40.0,0.9774897680763984,0.0,0.2,0.5999999999999999,6.0,-0.1106135559046256
2021-02-28,900000.0,734900.0,462.9629629629629,481.53917776822806,3.0,3.0,5.0,7.0,2.3,13.0,1.0292443364635755,0.6666666666666666,0.1428571428571428,0.6666666666666666,4.5,0.0923289837880583
2021-03-31,900000.0,724850.0,450.0,508.865398510449,1.0,2.0,4.0,9.0,9.0,84.0,0.9836065573770492,0.0,,1.0,5.53,-0.0279999999999998
2021-04-30,925000.0,750000.0,523.7789423993547,531.7115879828326,4.0,3.0,3.0,7.0,1.8,9.0,1.0603842805192136,0.75,,0.3333333333333333,4.41,0.1639532053318992
2021-05-31,1100500.0,750000.0,416.2539031236262,499.3252361673414,6.0,2.0,5.0,9.0,1.5,68.0,0.9859788453843132,0.6666666666666666,,0.0,3.97,-0.205287060192172
2021-06-30,1425000.0,798000.0,400.95666854248736,541.210657785179,1.0,6.0,4.0,7.0,7.0,21.0,1.1875,1.0,,0.6666666666666666,4.16,-0.0367497685099077
2021-07-31,1300000.0,825000.0,477.8343023255814,545.4545454545455,7.0,6.0,4.0,2.0,0.2999999999999999,15.0,1.0014995284088843,0.2857142857142857,0.5,0.3333333333333333,3.62,0.1917355161158709
2021-08-31,1010000.0,799000.0,481.4108674928504,537.5120008972633,1.0,4.0,7.0,5.0,5.0,4.0,1.064278187565859,1.0,0.5999999999999999,0.75,5.03,0.007484948547775
2021-09-30,1021750.0,765000.0,419.1468253968254,550.4664970313826,6.0,4.0,3.0,3.0,0.5,7.0,1.0836014108201697,0.6666666666666666,0.3333333333333333,0.75,3.8,-0.1293365943737231
2021-10-31,1139500.0,799950.0,402.32588737837966,543.3333333333334,4.0,1.0,1.0,3.0,0.8,15.0,0.9848545832565276,0.75,0.6666666666666666,1.0,3.54,-0.0401313740179724
2021-11-30,890000.0,789888.0,494.44444444444446,548.033526756931,1.0,1.0,1.0,2.0,2.0,5.0,1.1138923654568211,1.0,,0.0,5.53,0.2289650255078641
2021-12-31,1000000.0,799000.0,425.531914893617,558.4512285927029,1.0,3.0,2.0,,,111.0,0.91324200913242,0.0,,0.3333333333333333,4.09,-0.1393736552713363
2022-01-31,967500.0,838000.0,498.3299729456687,566.2431941923775,2.0,1.0,4.0,3.0,1.5,15.0,1.1180690392632169,1.0,,1.0,5.57,0.1710754364223214
2022-02-28,1200000.0,870000.0,464.39628482972137,570.0929284695333,1.0,4.0,5.0,4.0,4.0,2.0,1.0,0.0,0.25,0.25,4.83,-0.068094816603871
2022-03-31,1000000.0,875000.0,564.9078726968174,576.379974326059,5.0,7.0,9.0,6.0,1.2,13.0,1.1137321462584668,1.0,,0.7142857142857143,5.73,0.2164349525404802
2022-04-30,1169500.0,878944.0,560.0133734536944,585.6525515454109,3.0,7.0,5.0,4.0,1.3,13.0,1.1035331750558546,0.6666666666666666,,0.5714285714285714,4.86,-0.0086642432858249
2022-05-31,975000.0,859999.0,456.91906005221927,626.4236902050113,5.0,4.0,2.0,2.0,0.4,16.0,1.0234801803134284,0.5999999999999999,1.0,0.5,4.66,-0.1840925918709326
2022-06-30,1210000.0,849000.0,497.3062577704103,594.4645006016847,5.0,2.0,2.0,2.0,0.4,13.0,1.083196602362286,0.8,,0.0,5.69,0.088390267006098
2022-07-31,965000.0,835000.0,431.7015895953757,576.4102564102565,2.0,1.0,3.0,4.0,2.0,29.0,1.0376772011965143,0.5,0.25,1.0,5.76,-0.131920053588632
2022-08-31,1035000.0,850000.0,498.0445659804952,563.0696356768613,4.0,2.0,3.0,5.0,1.3,12.0,1.1166474205775323,1.0,0.2,1.0,3.99,0.153677859855233
2022-09-30,1100000.0,,524.3088655862728,,1.0,3.0,,1.0,1.0,13.0,0.9566881196729866,0.0,,0.3333333333333333,5.79,0.0527348382048327
2022-10-31,1200000.0,822444.0,427.70882254277086,560.9343208675712,3.0,,1.0,2.0,0.6999999999999998,68.0,0.9682675733302876,0.3333333333333333,,,5.96,-0.1842426275502426
2022-11-30,640000.0,854500.0,272.3404255319149,570.0008796340722,1.0,,2.0,4.0,4.0,171.0,0.8000010000012499,0.0,,,7.3,-0.3632574050896954
2022-12-31,,,,,,,,,,,,,,,6.11,0.0
2023-01-31,954000.0,800000.0,397.5,591.63272861903,3.0,2.0,2.0,1.0,0.2999999999999999,23.0,0.9728705247111692,0.3333333333333333,,0.0,6.47,0.4595703125000001
2023-02-28,1005000.0,794419.0,483.5295537884872,524.4707488953429,2.0,,3.0,4.0,2.0,20.0,0.9628803060666788,0.5,,,6.67,0.2164265504112885
2023-03-31,990000.0,849999.0,696.6418489219792,572.1922066053223,2.0,3.0,5.0,6.0,3.0,25.0,1.0104171666671666,1.0,0.1666666666666666,0.6666666666666666,4.14,0.4407430599923885
2023-04-30,980000.0,818888.0,414.20118343195264,564.5918367346939,1.0,3.0,4.0,7.0,7.0,24.0,0.9809809809809809,0.0,,0.0,6.01,-0.4054316661094798
2023-05-31,955000.0,829000.0,481.47301006404393,561.576354679803,3.0,2.0,3.0,6.0,2.0,28.0,1.014223498750493,0.6666666666666666,,0.5,3.99,0.1624134100117633
2023-06-30,1556250.0,829900.0,370.8992184660124,554.484088717454,2.0,1.0,5.0,10.0,5.0,22.0,0.9526769713261648,0.5,0.1,0.0,4.85,-0.2296573001741537
2023-07-31,,,,,,,,,,,,,,,5.64,0.0
2023-08-31,1075000.0,852500.0,476.08503100088575,556.1503854213086,3.0,4.0,1.0,6.0,2.0,67.0,1.01572700730289,0.6666666666666666,,0.0,3.85,0.2835967489225435
2023-09-30,880000.0,845000.0,476.1904761904762,575.1438434982739,1.0,,3.0,7.0,7.0,48.0,0.9263157894736842,0.0,0.1428571428571428,,4.7,0.0002214839424141
