period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,555000.0,649475.0,405.2135157545605,437.9704105072524,12.0,9.0,12.0,17.0,1.4,80.0,0.985567259432583,0.25,0.2352941176470588,0.4444444444444444,2.66,0.0
2019-02-28,665000.0,699000.0,437.7267548938672,438.0264741275572,12.0,6.0,12.0,22.0,1.8,27.0,1.006376598644833,0.8333333333333333,0.4090909090909091,0.3333333333333333,0.78,0.0802373017562427
2019-03-31,600000.0,649975.0,398.72408293460927,450.97798508278834,11.0,18.0,26.0,29.0,2.6,23.0,0.9972878826684958,0.4545454545454545,0.2758620689655172,0.4444444444444444,1.44,-0.0891027827821826
2019-04-30,610000.0,674888.0,413.83989145183176,451.5517241379311,11.0,10.0,21.0,38.0,3.5,40.0,1.0136239785068606,0.5454545454545454,0.3421052631578947,0.5,0.56,0.037910447761194
2019-05-31,620000.0,698500.0,435.28728961114336,440.4822178391652,19.0,22.0,21.0,35.0,1.8,13.0,1.0097747580316847,0.4736842105263157,0.2285714285714285,0.5,1.38,0.0518253522734841
2019-06-30,630000.0,630000.0,426.179604261796,435.29023746701847,15.0,15.0,13.0,31.0,2.1,23.0,1.011524776612467,0.7333333333333332,0.1935483870967741,0.2666666666666666,0.57,-0.0209233891425674
2019-07-31,573500.0,648944.0,400.5210664911127,443.33333333333326,12.0,17.0,23.0,35.0,2.9,16.0,1.0110795258722869,0.6666666666666666,0.2285714285714285,0.5294117647058822,0.6,-0.0602059261262103
2019-08-31,565000.0,680000.0,425.74931880108994,450.661853188929,13.0,14.0,15.0,34.0,2.6,15.0,1.0221544258263988,0.6923076923076922,0.3235294117647059,0.2857142857142857,0.46,0.0629885776820606
2019-09-30,616000.0,649950.0,432.56130790190736,447.4828544638672,19.0,9.0,9.0,26.0,1.4,32.0,1.0025703891700726,0.5263157894736841,0.6538461538461539,0.5555555555555555,1.2,0.016
2019-10-31,699000.0,694000.0,390.69038218442927,432.2497679311839,14.0,14.0,13.0,20.0,1.4,46.0,0.9914251003851652,0.2857142857142857,0.9,0.3571428571428571,1.54,-0.0967976676429257
2019-11-30,600000.0,675000.0,374.81626653601177,444.29941760877006,15.0,12.0,18.0,21.0,1.4,31.0,0.9912263836742145,0.4,0.0952380952380952,0.5833333333333333,1.58,-0.0406309353193239
2019-12-31,624975.0,679994.5,391.8717020787285,463.6332179930796,16.0,10.0,4.0,12.0,0.8,25.0,0.9978896671747316,0.4375,,0.2999999999999999,2.46,0.0455034561342286
2020-01-31,617500.0,662474.5,420.46168458284177,455.9732512021071,10.0,12.0,8.0,7.0,0.6999999999999998,73.0,0.9935443431634016,0.5,0.2857142857142857,0.4166666666666666,1.84,0.0729575071444414
2020-02-29,700000.0,680000.0,387.5,443.8559322033898,11.0,10.0,12.0,8.0,0.6999999999999998,19.0,0.9891468297546516,0.3636363636363636,0.25,0.6999999999999998,1.26,-0.0783940268315874
2020-03-31,635000.0,676500.0,427.9119740695828,474.01384083044985,12.0,12.0,19.0,15.0,1.3,14.0,1.0214041006056025,0.5,0.0666666666666666,0.6666666666666666,1.97,0.1042889653408589
2020-04-30,666500.0,699000.0,425.56138815981336,441.8457648546144,6.0,5.0,8.0,18.0,3.0,8.0,1.0490944060607188,0.8333333333333333,0.1111111111111111,0.5999999999999999,4.2,-0.0054931529197806
2020-05-31,585000.0,699000.0,425.9402195680255,477.83251231527095,4.0,13.0,11.0,14.0,3.5,8.0,1.0379245716404246,0.75,0.2857142857142857,0.5384615384615384,3.68,0.0008901921526534
