period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,375750.0,549999.0,325.62280104414936,372.51491053677927,4.0,2.0,1.0,1.0,0.2999999999999999,74.0,0.9777111629881154,0.0,,0.0,0.0,0.0
2019-02-28,432000.0,530000.0,292.998712998713,375.31937817454207,4.0,2.0,3.0,2.0,0.5,30.0,1.0130499196914855,0.25,0.5,0.5,0.0,-0.1001898145363998
2019-03-31,492500.0,557000.0,338.47635980763425,347.4049394652766,2.0,5.0,5.0,2.0,1.0,82.0,0.9901105155045872,0.5,0.5,0.5999999999999999,0.39,0.1552144934135633
2019-04-30,405250.0,569900.0,315.32580131189604,348.3910891089109,4.0,3.0,2.0,1.0,0.2999999999999999,17.0,0.9982602648281272,0.5,,0.3333333333333333,0.95,-0.068396382272887
2019-05-31,500000.0,572450.0,299.58058717795086,369.4237991740613,1.0,,3.0,4.0,4.0,18.0,1.0,0.0,0.5,,1.34,-0.0499331614109536
2019-06-30,400000.0,549000.0,333.6990626389456,351.31086142322096,2.0,4.0,6.0,6.0,3.0,8.0,0.9656603884292672,0.0,0.1666666666666666,0.75,0.95,0.1138874710888002
2019-07-31,410000.0,567000.0,326.44628099173553,370.9620233217775,5.0,3.0,6.0,8.0,1.6,14.0,1.0000058137927184,0.4,0.375,0.3333333333333333,0.39,-0.0217344981129221
2019-08-31,355000.0,555000.0,306.26500222391314,357.1428571428572,6.0,8.0,5.0,5.0,0.8,34.0,1.011569426182927,0.3333333333333333,0.2,0.625,0.0,-0.0618211324280129
2019-09-30,428750.0,575000.0,327.17391304347825,338.880468190813,2.0,2.0,3.0,5.0,2.5,20.0,1.0034246575342465,0.5,,0.5,0.4,0.0682706501485219
2019-10-31,391000.0,589450.0,352.3809523809524,364.85946420729033,3.0,5.0,2.0,1.0,0.2999999999999999,64.0,0.9964444204534892,0.3333333333333333,,0.2,0.58,0.0770447713969308
2019-11-30,410000.0,580000.0,321.2199870214147,375.8956214064573,7.0,,3.0,4.0,0.5999999999999999,46.0,0.9816291780796068,0.1428571428571428,0.25,,0.58,-0.0884297665608503
