period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0.93431995,36.87411016,9.75227246,2447272357.0,2.55350761,0.00384404,25.0,38.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.0
2019-02-28,0.93301413,36.87411016,9.75227246,2447272357.0,2.55350761,0.00384404,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.4
2019-03-31,0.93301413,36.87411016,9.74662053,2447272357.0,2.55152836,0.00384404,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.76
2019-04-30,0.93301413,36.87411016,9.74662053,2447272357.0,2.55152836,0.00500377,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.7
2019-05-31,0.93301413,36.87411016,9.74662053,2447272357.0,2.55152836,0.00500377,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.18
2019-06-30,0.93301413,36.87411016,9.74662053,2447272357.0,2.55152836,0.00536669,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,4.98
2019-07-31,0.93301413,36.87411016,9.74662053,2447272357.0,2.55152836,0.00536669,25.0,34.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.4
2019-08-31,0.93005993,37.03196031,9.87693533,3368392894.0,2.65035046,-0.00466495,24.0,36.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,4.66
2019-09-30,0.93005993,37.03196031,9.87693533,3368392894.0,2.65035046,-0.00466495,24.0,36.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.37
2019-10-31,0.93,37.03196031,9.87693533,3368392894.0,2.65035046,0.01296877,24.0,36.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,4.88
2019-11-30,0.93,37.03196031,9.87693533,3368392894.0,2.65035046,0.01296877,24.0,36.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,4.76
2019-12-31,0.93,37.03196031,9.87693533,3368392894.0,2.65035046,0.01296877,24.0,36.0,121.34,3.06,3.01,77774.0,12.34,87.53,0.12,62.2,67633.87,166452.26,38.27,3.48,-0.42,-0.44,61.38,-0.36,2.43,-4.76,5.07
2020-01-31,0.93005772,37.03196031,9.87693533,3368392894.0,2.65035046,0.01249285,24.0,36.0,123.31,1.62,2.98,81397.51,12.18,87.69,0.11,60.46,64450.59,177104.43,38.51,3.52,-0.53,-0.54,61.74,-0.48,-5.16,187.5,4.78
2020-02-29,0.92411691,37.03196031,9.87693533,3368392894.0,2.65035046,0.01249285,24.0,36.0,123.31,1.62,2.98,81397.51,12.18,87.69,0.11,60.46,64450.59,177104.43,38.51,3.52,-0.53,-0.54,61.74,-0.48,-5.16,187.5,4.99
2020-03-31,0.92411691,37.03196031,9.87693533,3368392894.0,2.65035046,0.01249285,24.0,36.0,123.31,1.62,2.98,81397.51,12.18,87.69,0.11,60.46,64450.59,177104.43,38.51,3.52,-0.53,-0.54,61.74,-0.48,-5.16,187.5,5.86
2020-04-30,0.92810265,37.03196031,9.87693533,3368392894.0,2.65035046,0.00690967,24.0,36.0,123.31,1.62,2.98,81397.51,12.18,87.69,0.11,60.46,64450.59,177104.43,38.51,3.52,-0.53,-0.54,61.74,-0.48,-5.16,187.5,12.18
