period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,105000.0,239950.0,115.44566544566544,153.0165246310538,2.0,1.0,2.0,1.0,0.5,77.0,0.9354754754754754,0.0,1.0,1.0,0.24,
2019-03-31,199000.0,,173.04347826086956,,1.0,1.0,,,,1.0,1.0,0.0,,0.0,1.03,0.4989170671142482
2019-04-30,,,,,,,,,,,,,,,1.36,0.0
2019-05-31,117925.0,,95.17756255044392,,2.0,,,1.0,0.5,44.0,0.9434,0.0,,,2.11,-0.4499789098843693
2019-06-30,,,,,,,,,,,,,,,2.15,0.0
2019-07-31,,,,,,,,,,,,,,,2.21,0.0
2019-08-31,,,,,,,,,,,,,,,1.74,0.0
2019-09-30,140000.0,,111.11111111111111,,1.0,,,,,81.0,0.8,0.0,,,1.72,0.1674086636986784
2019-10-31,,,,,,,,,,,,,,,1.4,0.0
2019-11-30,,,,,,,,,,,,,,,1.4,0.0
2019-12-31,,,,,,,,,,,,,,,0.99,0.0
2020-01-31,,,,,,,,,,,,,,,1.64,0.0
2020-02-29,,,,,,,,,,,,,,,2.32,0.0
2020-03-31,,,,,,,,,,,,,,,1.92,0.0
2020-04-30,,,,,,,,,,,,,,,1.73,0.0
2020-05-31,,,,,,,,,,,,,,,1.14,0.0
2020-06-30,,,,,,,,,,,,,,,1.69,0.0
2020-07-31,211500.0,295000.0,176.54424040066775,161.10116383169202,1.0,,1.0,3.0,3.0,,0.9715204409738172,0.0,0.6666666666666666,,1.5,0.5888981636060098
2020-08-31,,,,,,,,,,,,,,,2.08,0.0
2020-09-30,,,,,,,,,,,,,,,2.32,0.0
2020-10-31,120000.0,299000.0,96.85230024213077,170.4366123093109,1.0,,1.0,3.0,3.0,1.0,0.9302325581395348,0.0,0.3333333333333333,,2.88,-0.4513992638767249
2020-11-30,166500.0,317450.0,158.57142857142856,168.73025177335973,2.0,2.0,2.0,3.0,1.5,50.0,1.0165961303100797,1.0,0.3333333333333333,0.5,2.62,0.6372499999999997
2020-12-31,,,,,,,,,,,,,,,2.88,0.0
2021-01-31,155000.0,290000.0,147.61904761904762,177.0617794856636,1.0,1.0,1.0,2.0,2.0,10.0,1.0333402222681485,1.0,,1.0,2.67,-0.0690690690690689
2021-02-28,149500.0,312500.0,132.50201775625504,178.3582492481201,2.0,2.0,1.0,,,61.0,0.9683099931904022,0.0,,0.5,2.45,-0.1024056861673046
2021-03-31,210500.0,329450.0,160.61383205258772,194.4865153004281,2.0,,1.0,1.0,0.5,125.0,1.004040015390535,0.5,,,2.25,0.2121614053307925
2021-04-30,270000.0,324950.0,173.74517374517376,195.96225907581567,1.0,1.0,1.0,1.0,1.0,7.0,1.0003705075954057,1.0,,0.0,2.11,0.081757228034299
2021-05-31,,,,,,,,,,,,,,,2.53,0.0
2021-06-30,170000.0,328500.0,137.20742534301857,205.87268793559028,1.0,1.0,1.0,1.0,1.0,30.0,0.9714285714285714,0.0,1.0,1.0,2.02,-0.2102950408035153
2021-07-31,270000.0,,173.74517374517376,,1.0,1.0,,,,3.0,1.018867924528302,1.0,,1.0,1.81,0.2662957074721781
