period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.8,
2019-03-31,,,,,,,,,,,,,,,0.98,
2019-04-30,,,,,,,,,,,,,,,0.98,
2019-05-31,,,,,,,,,,,,,,,1.67,
2019-06-30,295000.0,,228.32817337461304,,1.0,,,,,7.0,1.000339097999322,1.0,,,1.81,
2019-07-31,,,,,,,,,,,,,,,2.6,0.0
2019-08-31,,,,,,,,,,,,,,,2.08,0.0
2019-09-30,,,,,,,,,,,,,,,2.18,0.0
2019-10-31,285000.0,425000.0,221.44522144522145,239.38028169014083,1.0,,1.0,1.0,1.0,37.0,1.0,0.0,1.0,,1.39,-0.0301449962466913
2019-11-30,,,,,,,,,,,,,,,0.41,0.0
2019-12-31,289000.0,,223.68421052631567,,1.0,,,1.0,1.0,22.0,1.0,0.0,1.0,,0.12,0.010110803324099
2020-01-31,295000.0,439000.0,224.16413373860183,237.5461254612546,1.0,1.0,1.0,1.0,1.0,8.0,1.0172413793103448,1.0,1.0,1.0,0.63,0.0021455390666911
2020-02-29,,,,,,,,,,,,,,,1.19,0.0
2020-03-31,240000.0,,205.65552699228792,,1.0,,,,,91.0,1.0,0.0,,,1.08,-0.0825672084005054
2020-04-30,,,,,,,,,,,,,,,0.93,0.0
2020-05-31,,,,,,,,,,,,,,,1.02,0.0
2020-06-30,,,,,,,,,,,,,,,1.02,0.0
2020-07-31,,,,,,,,,,,,,,,0.78,0.0
2020-08-31,330000.0,469999.0,237.75216138328528,246.54667639663384,1.0,2.0,1.0,,,20.0,0.9850746268656716,0.0,,0.5,0.79,0.1560698847262247
2020-09-30,335000.0,464925.0,251.8796992481203,256.0967282591599,1.0,1.0,1.0,,,6.0,1.006006006006006,1.0,,1.0,1.79,0.059421280473912
2020-10-31,,,,,,,,,,,,,,,2.3,0.0
2020-11-30,352000.0,,248.9391796322489,,1.0,,,,,1.0,1.0057142857142858,1.0,,,2.43,-0.0116743017585341
2020-12-31,,,,,,,,,,,,,,,2.27,0.0
2021-01-31,,,,,,,,,,,,,,,2.34,0.0
2021-02-28,,,,,,,,,,,,,,,3.16,0.0
2021-03-31,324000.0,,275.0964837049743,,2.0,1.0,,,,36.0,0.9782608695652174,0.0,,0.0,2.7,0.1050750794285046
2021-04-30,360000.0,549999.5,288.46153846153845,283.2254443803818,1.0,1.0,1.0,,,6.0,1.0287183883411917,1.0,,1.0,2.53,0.0485831537232495
2021-05-31,,,,,,,,,,,,,,,1.58,0.0
2021-06-30,,,,,,,,,,,,,,,1.53,0.0
2021-07-31,,,,,,,,,,,,,,,1.52,0.0
2021-08-31,,,,,,,,,,,,,,,1.18,0.0
2021-09-30,,,,,,,,,,,,,,,1.32,0.0
2021-10-31,,,,,,,,,,,,,,,1.47,0.0
2021-11-30,,,,,,,,,,,,,,,1.58,0.0
2021-12-31,,,,,,,,,,,,,,,1.96,0.0
2022-01-31,,,,,,,,,,,,,,,1.75,0.0
2022-02-28,,,,,,,,,,,,,,,2.0,0.0
2022-03-31,,,,,,,,,,,,,,,1.87,0.0
2022-04-30,,,,,,,,,,,,,,,1.9,0.0
2022-05-31,430000.0,,326.74772036474167,,1.0,,,,,21.0,1.0,0.0,,,1.47,0.1327254305977712
2022-06-30,,,,,,,,,,,,,,,1.47,0.0
2022-07-31,,,,,,,,,,,,,,,1.28,0.0
2022-08-31,,,,,,,,,,,,,,,1.31,0.0
2022-09-30,,,,,,,,,,,,,,,0.78,0.0
2022-10-31,,,,,,,,,,,,,,,0.8,0.0
2022-11-30,,,,,,,,,,,,,,,1.17,0.0
2022-12-31,,,,,,,,,,,,,,,1.44,0.0
2023-01-31,,,,,,,,,,,,,,,1.44,0.0
2023-02-28,,,,,,,,,,,,,,,1.47,0.0
2023-03-31,,,,,,,,,,,,,,,1.46,0.0
2023-04-30,,,,,,,,,,,,,,,1.44,0.0
2023-05-31,,,,,,,,,,,,,,,1.42,0.0
2023-06-30,405000.0,625475.0,367.513611615245,309.86653496832014,1.0,1.0,1.0,,,8.0,1.0,0.0,,1.0,1.46,0.1247625881061915
2023-07-31,399000.0,609949.5,408.8114754098361,321.9987541904284,1.0,,2.0,2.0,2.0,3.0,1.0363636363636364,1.0,,,1.57,0.1123709775349119
2023-08-31,,,,,,,,,,,,,,,0.95,0.0
2023-09-30,415000.0,,376.5880217785844,,1.0,1.0,,,,34.0,1.037629703712964,1.0,,0.0,0.58,-0.0788222825666707
2023-10-31,,,,,,,,,,,,,,,0.9346506834030153,-0.005112269207627019
2023-11-30,,,,,,,,,,,,,,,0.252737532556057,0.0016317981885266954
2023-12-31,,,,,,,,,,,,,,,0.6166235780715943,-0.0101083143094877
2024-01-31,,,,,,,,,,,,,,,0.9274622797966005,-0.07634818972298545
2024-02-29,,,,,,,,,,,,,,,1.6746725845336916,-0.016436425695249012
2024-03-31,,,,,,,,,,,,,,,0.744212562441826,-0.034317502444867205
2024-04-30,,,,,,,,,,,,,,,0.6929639911651612,-0.003127234414790084
2024-05-31,,,,,,,,,,,,,,,1.4942787814140321,0.10465707607760999
2024-06-30,,,,,,,,,,,,,,,0.8640574145317078,0.06648145032117607
2024-07-31,,,,,,,,,,,,,,,1.8453919434547426,0.012926994858166611
