period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.49,0.0
2019-02-28,815000.0,714000.0,399.5098039215686,466.09375,1.0,1.0,1.0,4.0,4.0,22.0,0.987878787878788,0.0,0.25,0.0,1.11,
2019-03-31,515750.0,768000.0,478.31917832134206,547.2560975609756,4.0,,2.0,3.0,0.8,216.0,0.9707935619404012,0.0,,,2.51,0.1972651825466722
2019-04-30,,,,,,,,,,,,,,,2.82,0.0
2019-05-31,1192500.0,845000.0,830.1757292069484,525.1461988304094,2.0,2.0,4.0,4.0,2.0,50.0,0.9788168979938178,0.0,0.5,0.0,3.05,0.7356103765699811
2019-06-30,,,,,,,,,,,,,,,2.83,0.0
2019-07-31,,,,,,,,,,,,,,,3.13,0.0
2019-08-31,620000.0,,455.88235294117646,,1.0,,,4.0,4.0,160.0,0.992,0.0,0.25,,3.35,-0.450860417978405
2019-09-30,667500.0,,457.579185520362,,2.0,,,2.0,1.0,442.0,0.9668454258675078,0.0,,,4.13,0.0037220843672456
2019-10-31,710000.0,729475.0,438.2716049382716,524.4506757377953,1.0,,1.0,2.0,2.0,138.0,0.9466666666666664,0.0,,,4.47,-0.0421950586763112
2019-11-30,,,,,,,,,,,,,,,5.52,0.0
2019-12-31,,,,,,,,,,,,,,,5.01,0.0
2020-01-31,,,,,,,,,,,,,,,4.86,0.0
2020-02-29,1090000.0,749000.0,803.834808259587,533.9285714285713,1.0,,1.0,2.0,2.0,91.0,0.9775784753363228,0.0,0.5,,4.18,0.8341019568739874
2020-03-31,,,,,,,,,,,,,,,4.16,0.0
2020-04-30,,,,,,,,,,,,,,,4.69,0.0
2020-05-31,,,,,,,,,,,,,,,5.89,0.0
2020-06-30,,,,,,,,,,,,,,,5.58,0.0
2020-07-31,,,,,,,,,,,,,,,6.16,0.0
2020-08-31,767087.5,948000.0,612.561274509804,550.0,2.0,1.0,2.0,2.0,1.0,15.0,1.0,0.0,,1.0,5.78,-0.2379512951969777
2020-09-30,735000.0,809000.0,459.375,617.9469568892646,1.0,1.0,2.0,3.0,3.0,28.0,1.0,0.0,0.3333333333333333,0.0,6.46,-0.250075022506752
2020-10-31,,,,,,,,,,,,,,,6.03,0.0
2020-11-30,712000.0,,488.4655785391079,,2.0,1.0,,2.0,1.0,152.0,1.0,0.0,,0.0,6.33,0.0633264294728879
2020-12-31,795000.0,775000.0,512.9032258064516,596.4487489911219,1.0,1.0,2.0,2.0,2.0,34.0,1.0205391527599486,1.0,0.5,0.0,6.08,0.0500294152567131
2021-01-31,639000.0,855000.0,535.7142857142857,545.8817025981205,3.0,2.0,2.0,2.0,0.6999999999999998,41.0,1.0032054233230514,0.3333333333333333,,0.0,5.98,0.0444743935309972
2021-02-28,,,,,,,,,,,,,,,6.28,0.0
2021-03-31,385000.0,899995.0,629.0849673202614,632.7300150829561,1.0,,2.0,3.0,3.0,36.0,1.0158311345646438,1.0,,,7.18,0.1742919389978214
2021-04-30,876000.0,,549.3780190807084,,2.0,2.0,,1.0,0.5,48.0,1.0372633433151313,0.5,,0.0,6.74,-0.1267029930457309
2021-05-31,,,,,,,,,,,,,,,5.62,0.0
2021-06-30,973000.0,879000.0,482.63888888888886,685.7142857142857,1.0,1.0,1.0,2.0,2.0,38.0,1.0252897787144362,1.0,,0.0,4.47,-0.1214812531151069
2021-07-31,,,,,,,,,,,,,,,4.75,0.0
2021-08-31,865000.0,950000.0,486.50168728908886,614.1559838034914,1.0,1.0,1.0,3.0,3.0,19.0,0.9621802002224694,0.0,,0.0,5.21,0.0080034959658821
2021-09-30,730000.0,,650.0445235975067,,1.0,1.0,,1.0,1.0,33.0,1.0503597122302155,1.0,,0.0,6.34,0.336160882030482
2021-10-31,658000.0,905000.0,483.8235294117647,676.4768954897072,1.0,1.0,2.0,1.0,1.0,195.0,1.0045801526717557,1.0,,1.0,6.71,-0.2557070910556003
2021-11-30,950000.0,988000.0,586.4197530864197,616.5737336601308,1.0,1.0,1.0,1.0,1.0,28.0,1.0,0.0,,0.0,6.26,0.2120529851026305
2021-12-31,385000.0,1036750.0,629.0849673202614,669.8769606461915,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,,0.0,5.9,0.0727554179566563
2022-01-31,,,,,,,,,,,,,,,5.57,0.0
2022-02-28,,,,,,,,,,,,,,,6.41,0.0
2022-03-31,209177.0,,341.7924836601307,,1.0,1.0,,,,100.0,1.0,0.0,,0.0,6.65,-0.4566831168831169
2022-04-30,1359000.0,,1175.60553633218,,1.0,,,,,25.0,1.079428117553614,1.0,,,7.31,2.4395301024266254
2022-05-31,,,,,,,,,,,,,,,7.34,0.0
2022-06-30,,,,,,,,,,,,,,,7.71,0.0
2022-07-31,,,,,,,,,,,,,,,7.23,0.0
2022-08-31,,,,,,,,,,,,,,,6.92,0.0
2022-09-30,665000.0,,791.6666666666665,,1.0,1.0,,1.0,1.0,60.0,0.9501357336762394,0.0,1.0,0.0,6.08,-0.3265881775815552
2022-10-31,,,,,,,,,,,,,,,6.06,0.0
2022-11-30,,,,,,,,,,,,,,,5.66,0.0
2022-12-31,,,,,,,,,,,,,,,5.76,0.0
2023-01-31,704750.0,1175000.0,484.10297009659325,794.2779291553132,2.0,1.0,1.0,1.0,0.5,7.0,1.049413794664,1.0,,1.0,4.87,-0.3885015114569347
2023-02-28,,,,,,,,,,,,,,,5.42,0.0
2023-03-31,,,,,,,,,,,,,,,6.19,0.0
2023-04-30,800000.0,,716.8458781362007,,1.0,,,,,223.0,1.056803170409511,1.0,,,7.41,0.4807714937034328
2023-05-31,,,,,,,,,,,,,,,6.16,0.0
2023-06-30,,,,,,,,,,,,,,,4.74,0.0
2023-07-31,,,,,,,,,,,,,,,4.42,0.0
2023-08-31,1700000.0,1100000.0,1470.5882352941176,694.0789473684209,1.0,1.0,1.0,,,20.0,1.5454545454545454,1.0,,0.0,5.0,1.051470588235294
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,7.537223153114318,0.09058606923290302
2023-11-30,,,,,,,,,,,,,,,4.745470964908599,-0.20387573940783138
2023-12-31,,,,,,,,,,,,,,,6.602797969579696,0.23495129878892476
2024-01-31,,,,,,,,,,,,,,,7.29995902776718,-0.3988482641821429
2024-02-29,,,,,,,,,,,,,,,7.208398711681365,-0.1203645573420603
2024-03-31,,,,,,,,,,,,,,,7.982858004570006,0.19026832935668203
2024-04-30,,,,,,,,,,,,,,,6.916376559734344,0.016893954163368852
2024-05-31,,,,,,,,,,,,,,,6.20467369556427,1.0354492683211793
2024-06-30,,,,,,,,,,,,,,,5.540294208526611,0.21487788389928122
2024-07-31,,,,,,,,,,,,,,,6.1194738864898675,0.010665026694571084
2024-08-31,,,,,,,,,,,,,,,5.887283535003662,-0.41849567691672385
2024-09-30,,,,,,,,,,,,,,,5.742121961116791,0.07127843108719947
2024-10-31,,,,,,,,,,,,,,,6.97968813419342,-0.1106304232038077
2024-11-30,,,,,,,,,,,,,,,4.4974482011795045,0.33932937924378037
2024-12-31,,,,,,,,,,,,,,,7.878339984416961,-0.023779994481477464
2025-01-31,,,,,,,,,,,,,,,7.492442257404326,0.09377079246567512
2025-02-28,,,,,,,,,,,,,,,7.669034547805785,-0.20715005644811135
2025-03-31,,,,,,,,,,,,,,,5.785396647453307,-0.03926582664564638
2025-04-30,,,,,,,,,,,,,,,7.236977958679198,0.07407033985179406
