period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,750000.0,449000.0,333.33333333333326,354.6455505279035,1.0,3.0,7.0,11.0,11.0,146.0,0.9505703422053232,0.0,0.1818181818181818,0.3333333333333333,0.38,0.0
2019-02-28,645000.0,520000.0,249.80635166537567,314.01701799538023,1.0,6.0,9.0,13.0,13.0,119.0,1.048780487804878,1.0,,0.6666666666666666,0.82,-0.2505809450038728
2019-03-31,660000.0,466500.0,305.76412689623567,342.1461897356143,7.0,4.0,7.0,16.0,2.3,28.0,0.9872844061558887,0.4285714285714285,0.1875,0.5,1.17,0.2240046134047759
2019-04-30,713000.0,462500.0,320.3054806828392,346.1688621522719,5.0,6.0,5.0,15.0,3.0,8.0,1.0170032863929035,0.8,0.0666666666666666,0.1666666666666666,1.39,0.047557422560359
2019-05-31,550000.0,472450.0,262.832674571805,355.9516590141211,5.0,4.0,4.0,12.0,2.4,64.0,0.9671585841694536,0.2,0.25,0.0,2.32,-0.1794312291769454
2019-06-30,499000.0,449900.0,296.4732142857143,348.1655755591926,5.0,5.0,3.0,9.0,1.8,18.0,0.9888476963295496,0.0,0.2222222222222222,0.4,2.46,0.1279922283966972
2019-07-31,657500.0,459000.0,320.28404757763474,308.7719298245614,4.0,3.0,5.0,9.0,2.3,31.0,0.9909281579569448,0.0,,0.0,1.95,0.0803136072487604
2019-08-31,647500.0,459000.0,339.1255605381166,323.48338863862693,5.0,3.0,4.0,9.0,1.8,29.0,0.991036683195936,0.2,0.1111111111111111,0.3333333333333333,0.71,0.0588275098400421
2019-09-30,587500.0,477450.0,,347.5813284424785,2.0,3.0,6.0,11.0,5.5,82.0,0.98,0.0,0.1818181818181818,0.3333333333333333,0.92,0.0
2019-10-31,625000.0,425000.0,354.83870967741933,404.1666666666666,2.0,6.0,2.0,6.0,3.0,16.0,0.8678571428571428,0.5,0.5,0.3333333333333333,1.15,0.0463343108504399
2019-11-30,567500.0,429000.0,246.98795180722888,419.16656744850576,4.0,4.0,7.0,8.0,2.0,33.0,0.9636647144782092,0.25,,1.0,1.42,-0.3039430449069004
2019-12-31,470000.0,420000.0,361.5384615384616,421.2753311780476,4.0,4.0,2.0,6.0,1.5,43.0,0.9325304627405974,0.25,,0.25,0.73,0.4637898686679178
2020-01-31,514500.0,489000.0,375.0,330.630068621335,4.0,3.0,3.0,4.0,1.0,30.0,0.9470813397129187,0.25,,0.3333333333333333,0.41,0.0372340425531914
2020-02-29,604500.0,449999.0,419.15068621921415,356.88729874776385,2.0,1.0,1.0,4.0,2.0,159.0,0.9934653883668008,0.5,,0.0,0.25,0.1177351632512377
2020-03-31,596000.0,459900.0,336.04166666666663,391.12903225806446,2.0,1.0,3.0,5.0,2.5,18.0,0.9728395061728397,0.5,,0.0,0.74,-0.1982795741125945
2020-04-30,,,,,,,,,,,,,,,1.53,0.0
2020-05-31,485000.0,469000.0,336.80555555555554,374.8355263157896,1.0,2.0,4.0,5.0,5.0,17.0,0.9797979797979796,0.0,,1.0,2.36,0.0022731969415168
2020-06-30,887500.0,499999.0,414.6191646191646,374.7276201034738,2.0,2.0,4.0,7.0,3.5,3.0,1.0200308166409862,0.5,,1.0,2.63,0.2310342207249425
2020-07-31,723500.0,487000.0,398.20918276025947,322.0858895705521,2.0,1.0,1.0,6.0,3.0,34.0,0.9757241754973972,0.0,,0.0,1.84,-0.0395784451352556
2020-08-31,564000.0,525000.0,350.3105590062112,333.79694019471486,1.0,2.0,5.0,8.0,8.0,95.0,0.9808695652173912,0.0,,0.5,1.85,-0.1202850808764134
2020-09-30,710000.0,554500.0,562.9629629629629,352.11267605633805,2.0,4.0,6.0,10.0,5.0,49.0,1.0035944931163956,0.5,0.1,0.25,1.63,0.6070396637772524
2020-10-31,575000.0,544950.0,291.87729048493486,387.1741681334339,3.0,6.0,4.0,7.0,2.3,58.0,0.9066274406621116,0.3333333333333333,0.1428571428571428,0.3333333333333333,2.5,-0.481533760322813
2020-11-30,990000.0,520000.0,250.64524312845447,439.0822784810128,3.0,4.0,6.0,9.0,3.0,19.0,1.0377923128955888,1.0,0.3333333333333333,0.75,2.6,-0.1412650065648344
2020-12-31,725000.0,549950.0,330.2384113576013,414.7184983495488,5.0,7.0,5.0,5.0,1.0,28.0,0.9978487589459965,0.5999999999999999,,0.5714285714285714,2.47,0.3175530771527777
2021-01-31,662500.0,557000.0,394.2867620910384,380.6351170568562,6.0,1.0,3.0,7.0,1.2,13.0,0.9965361908775066,0.3333333333333333,,0.0,2.49,0.1939457934954811
2021-02-28,650000.0,535000.0,181986.94029850743,396.25,3.0,1.0,5.0,9.0,3.0,6.0,0.9941843239158736,0.3333333333333333,,1.0,1.85,460.559853882408
2021-03-31,600000.0,550000.0,162716.87697160884,420.3869047619048,2.0,6.0,2.0,4.0,2.0,70.0,0.9570649751238682,0.0,0.5,0.3333333333333333,2.91,-0.1058870669251897
2021-04-30,649750.0,550000.0,370.2170053637531,424.140134529148,4.0,4.0,3.0,3.0,0.8,14.0,0.9526411722478144,0.25,0.3333333333333333,0.25,2.76,-0.997724778079238
2021-05-31,683000.0,561500.0,519.8688164586223,470.5293158019893,2.0,3.0,5.0,4.0,2.0,12.0,1.0511614904468245,1.0,,0.3333333333333333,2.74,0.4042272746164921
2021-06-30,508000.0,599000.0,416.9339320076973,409.3705727631195,2.0,2.0,4.0,6.0,3.0,54.0,0.9066666666666668,0.0,0.3333333333333333,0.5,1.39,-0.1980016519400482
2021-07-31,779000.0,650000.0,392.8571428571428,424.7104247104247,3.0,4.0,7.0,9.0,3.0,6.0,1.0086851373708907,0.6666666666666666,,0.0,1.44,-0.0577472527472531
2021-08-31,652500.0,599000.0,382.10116731517513,434.9796653162364,4.0,7.0,4.0,6.0,1.5,18.0,0.9759721354162888,0.5,,0.7142857142857143,1.4,-0.0273788468340994
2021-09-30,575000.0,649900.0,386.0759493670886,363.8115343154869,4.0,6.0,4.0,4.0,1.0,30.0,0.9694244604316546,0.0,,0.1666666666666666,1.7,0.0104024336796513
2021-10-31,855000.0,579999.0,314.35349940688013,422.5891389402136,5.0,5.0,6.0,4.0,0.8,20.0,0.9941002940175344,0.4,,0.5999999999999999,1.33,-0.1857729031756219
2021-11-30,850000.0,680000.0,341.640127388535,467.72654183308254,3.0,2.0,4.0,5.0,1.7,10.0,1.047988477527906,0.6666666666666666,0.2,0.5,0.85,0.0868023675039058
2021-12-31,905000.0,650000.0,395.6521739130435,507.6335877862596,6.0,2.0,1.0,4.0,0.6999999999999998,16.0,0.9833048281734476,0.3333333333333333,0.25,1.0,1.01,0.1580963188878645
2022-01-31,,,,,,,,,,,,,,,2.2,0.0
2022-02-28,1377000.0,657500.0,469.30736839427016,539.9061032863849,3.0,3.0,4.0,5.0,1.7,62.0,1.030679012345679,0.6666666666666666,,0.6666666666666666,3.46,0.1861614805569464
2022-03-31,1194000.0,698500.0,572.7699530516433,499.4117647058824,4.0,9.0,7.0,3.0,0.8,15.0,1.0315573207727688,0.75,,0.3333333333333333,3.61,0.2204580443971489
2022-04-30,823000.0,702450.0,500.0,570.1198630136986,6.0,1.0,10.0,12.0,2.0,14.0,1.057730381483658,0.6666666666666666,0.0833333333333333,1.0,3.13,-0.1270491803278689
2022-05-31,960000.0,655000.0,357.40878629932985,478.7182945077682,1.0,4.0,1.0,8.0,8.0,183.0,0.914285714285714,0.0,0.25,0.25,3.36,-0.2851824274013402
