period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,540000.0,889500.0,473.7277833668679,452.08237465615446,4.0,4.0,13.0,24.0,6.0,112.0,0.9909474883135988,0.0,0.2083333333333333,0.0,0.0,0.0
2019-02-28,535000.0,844750.0,425.89662447257376,437.4069417089569,8.0,7.0,10.0,25.0,3.1,37.0,0.994406574373364,0.125,0.4,0.4285714285714285,0.0,-0.1009676032812548
2019-03-31,575000.0,799000.0,467.3998428908091,458.2492126302189,11.0,13.0,23.0,31.0,2.8,45.0,0.998632458535288,0.2727272727272727,0.2580645161290322,0.1538461538461538,0.0,0.0974490428742715
2019-04-30,517500.0,929000.0,411.4415441465524,464.3336461243017,24.0,16.0,26.0,37.0,1.5,35.0,0.9975020024052068,0.4583333333333333,0.2702702702702702,0.25,0.0,-0.1197225450444349
2019-05-31,542500.0,849500.0,426.5159301130524,449.4466058061452,17.0,20.0,26.0,41.0,2.4,36.0,0.9958960825293484,0.2941176470588235,0.3170731707317073,0.1,0.49,0.0366379773286349
2019-06-30,500000.0,737500.0,430.3944315545244,464.94688575577743,13.0,12.0,29.0,55.0,4.2,49.0,0.9932101515440556,0.3846153846153846,0.1818181818181818,0.0833333333333333,0.49,0.0090934503675959
2019-07-31,549500.0,773000.0,447.6170650753449,438.6104989820748,30.0,23.0,18.0,46.0,1.5,41.0,1.0011710534666798,0.2666666666666666,0.2826086956521738,0.0434782608695652,0.49,0.04001593017506
2019-08-31,531250.0,799000.0,408.55701217614967,437.9401408450704,24.0,17.0,22.0,45.0,1.9,65.0,0.984211114165102,0.2083333333333333,0.2222222222222222,0.1176470588235294,0.18,-0.087262206798618
2019-09-30,549000.0,854000.0,410.8649789029536,470.2803277533867,13.0,12.0,19.0,48.0,3.7,68.0,0.9942347559976278,0.2307692307692307,0.3541666666666666,0.0833333333333333,0.38,0.0056490689377983
2019-10-31,497500.0,785000.0,405.1983824799877,440.0826446280992,20.0,20.0,19.0,44.0,2.2,57.0,0.9847700244492396,0.2,0.3863636363636363,0.05,0.71,-0.0137918701128927
2019-11-30,558500.0,798500.0,392.2578696473866,465.88530099357104,18.0,17.0,12.0,35.0,1.9,57.0,0.988897105781461,0.3333333333333333,0.3714285714285714,0.0,1.14,-0.0319362401039204
2019-12-31,517500.0,879000.0,410.9628770301624,455.5457746478873,19.0,14.0,4.0,19.0,1.0,49.0,0.9900305480649644,0.0526315789473684,0.2105263157894736,0.0,1.22,0.0476854865897027
2020-01-31,569000.0,825000.0,435.5769230769231,443.93708777270416,11.0,8.0,15.0,22.0,2.0,82.0,0.9958841540023958,0.2727272727272727,0.3636363636363636,0.125,1.38,0.059893599695999
2020-02-29,540000.0,789000.0,396.0096735187424,441.8751979727589,13.0,13.0,21.0,27.0,2.1,37.0,0.9973043082725837,0.3846153846153846,0.2592592592592592,0.3076923076923077,1.3,-0.0908387186324678
2020-03-31,578750.0,689000.0,430.2770500912916,456.4777237657762,12.0,12.0,20.0,33.0,2.8,29.0,1.0103126321754847,0.75,0.0303030303030303,0.0833333333333333,1.5,0.0865316654213685
2020-04-30,530000.0,899000.0,394.2958785783012,474.4955039908396,10.0,7.0,7.0,32.0,3.2,42.0,1.002725160148805,0.4,0.09375,0.1428571428571428,2.5,-0.0836232643720047
2020-05-31,521000.0,990000.0,385.0210970464135,454.7948464036836,7.0,11.0,17.0,35.0,5.0,39.0,0.9906331307161532,0.1428571428571428,0.4,0.3636363636363636,4.21,-0.023522390255078
2020-06-30,522500.0,822000.0,409.0381561087556,462.370173033381,14.0,12.0,31.0,46.0,3.3,47.0,1.0021377671479532,0.2857142857142857,0.1521739130434782,0.5,6.77,0.0623785534002747
2020-07-31,585000.0,884000.0,432.3394495412844,467.652495378928,23.0,23.0,21.0,42.0,1.8,33.0,0.9942754272960108,0.3913043478260869,0.3095238095238095,0.1739130434782608,7.46,0.0569660631521462
2020-08-31,565000.0,895516.0,416.3793103448276,488.3616406701329,17.0,9.0,22.0,48.0,2.8,28.0,0.997216979179816,0.2941176470588235,0.3125,0.2222222222222222,7.77,-0.0369157596268178
2020-09-30,565000.0,899000.0,438.1918590220898,481.98215464962334,18.0,16.0,22.0,49.0,2.7,63.0,0.9977286634813398,0.2777777777777777,0.3061224489795918,0.25,6.51,0.0523862452704433
2020-10-31,564862.0,849000.0,437.8019323671497,500.4110550125038,18.0,22.0,23.0,42.0,2.3,50.0,1.0024355448610986,0.4444444444444444,0.2142857142857142,0.0909090909090909,7.67,-0.0008898537179816
2020-11-30,522500.0,799000.0,396.8253968253968,498.9594172736733,24.0,16.0,19.0,43.0,1.8,32.0,0.994370552968406,0.1666666666666666,0.1860465116279069,0.125,8.25,-0.0935960591133003
2020-12-31,505000.0,969000.0,437.40573152337856,464.8518263266712,18.0,21.0,8.0,26.0,1.4,51.0,0.9972306426631145,0.3333333333333333,0.1923076923076923,0.0476190476190476,8.68,0.1022624434389141
2021-01-31,564500.0,874000.0,409.03662111963325,513.0331753554502,22.0,12.0,15.0,22.0,1.0,68.0,0.9925670689859598,0.1818181818181818,0.1363636363636363,0.1666666666666666,8.84,-0.0648576558540797
2021-02-28,535000.0,1037500.0,478.1664152020552,530.090539541759,14.0,13.0,12.0,19.0,1.4,51.0,0.988520889777377,0.2142857142857142,0.1052631578947368,0.0769230769230769,9.4,0.1690063688996765
2021-03-31,513500.0,939000.0,483.44143566472655,503.3783783783784,16.0,15.0,16.0,18.0,1.1,34.0,1.002243408670334,0.5,0.0555555555555555,0.2,9.71,0.0110317669643158
2021-04-30,588000.0,1032000.0,453.7205081669691,529.1599813002124,21.0,19.0,20.0,18.0,0.9,27.0,1.0197356718508448,0.5238095238095238,,0.0526315789473684,8.7,-0.0614778240034213
2021-05-31,525000.0,950000.0,537.8787878787879,532.1046373365042,14.0,18.0,16.0,16.0,1.1,21.0,1.0617134170544984,0.9285714285714286,0.125,0.4444444444444444,8.09,0.1854848484848485
2021-06-30,612000.0,969000.0,483.8056680161943,540.2027027027027,17.0,14.0,14.0,16.0,0.9,22.0,1.0479717716720636,0.7647058823529411,0.1875,0.2142857142857142,7.26,-0.1005303073501739
