period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,627500.0,699000.0,656.7827133047148,479.538925686186,28.0,34.0,50.0,49.0,1.8,41.0,1.040166328718473,0.5,0.0612244897959183,0.5294117647058822,4.07,0.0
2019-02-28,620000.0,699000.0,600.3289473684209,509.8515392510873,33.0,42.0,61.0,61.0,1.8,14.0,1.09306202763328,0.8181818181818182,0.1967213114754098,0.6428571428571429,3.64,-0.0859550118976747
2019-03-31,506330.0,699000.0,457.68864730484233,492.986798679868,26.0,64.0,68.0,31.5,1.1,153.5,1.0264705265377458,0.3431372549019607,0.6129032258064516,0.453125,4.96,-0.2376035683250843
2019-04-30,629500.0,725000.0,656.4879554876208,506.3858695652174,52.0,55.0,70.0,73.0,1.4,18.0,1.0671311334186826,0.8076923076923077,0.0821917808219178,0.5272727272727272,4.28,0.4343549033899647
2019-05-31,538500.0,749000.0,461.5314938684503,512.3617436564737,36.0,67.0,64.0,66.0,0.9,148.5,1.027901236506652,0.380281690140845,0.2727272727272727,0.5671641791044775,3.91,-0.2969688323898681
2019-06-30,692500.0,749000.0,644.8064933960945,503.7231712658783,56.0,68.0,76.0,71.0,1.3,18.0,1.0597953877070774,0.7678571428571429,0.1690140845070422,0.6911764705882352,3.32,0.3971018272046303
2019-07-31,381148.3333333333,699000.0,335.17515503866355,497.9710144927536,23.666666666666668,34.0,74.0,25.0,1.3333333333333333,105.66666666666669,1.0109991168141337,0.2657004830917874,0.6111111111111112,0.2164179104477611,3.93,-0.4801926493119686
2019-08-31,455000.0,699000.0,377.294376434583,490.4030356616563,32.0,62.0,53.0,58.0,1.0,68.5,1.0180316168803956,0.3770491803278688,0.3275862068965517,0.4838709677419355,3.9,0.1256633159192866
2019-09-30,386250.0,749000.0,388.8294220701621,532.4374420759963,25.5,27.0,95.0,100.0,2.0,59.0,0.9917853028307306,0.34,0.13,0.2641509433962264,5.1,0.0305730653729452
2019-10-31,375500.0,750000.0,396.5907920486147,513.5121412435037,25.5,61.0,66.0,100.0,2.0,35.0,1.0318085239700026,0.32,0.33,0.3442622950819672,4.95,0.0199608608246011
2019-11-30,344833.3333333333,727000.0,280.334381916749,499.000998003992,19.0,19.666666666666668,31.0,68.0,1.2,48.0,0.9987433962454358,0.2121212121212121,0.3088235294117647,0.0760233918128654,4.24,-0.2931394587638706
2019-12-31,587500.0,629000.0,605.46254060405,483.8829000211372,38.0,36.0,20.0,44.0,1.2,39.0,1.0328328128748645,0.5526315789473684,0.159090909090909,0.1388888888888889,4.85,1.1597869532245046
2020-01-31,597000.0,699000.0,599.0512014045939,506.8615751789976,28.0,29.0,60.0,63.0,2.3,37.0,1.0184962482528994,0.5714285714285714,0.1428571428571428,0.4137931034482758,4.28,-0.0105891591460962
2020-02-29,665000.0,699250.0,634.5925036889248,508.92028226662006,46.0,55.0,67.0,72.0,1.6,22.0,1.0421683436547884,0.5869565217391304,0.1666666666666666,0.5999999999999999,5.42,0.0593293231045981
2020-03-31,508250.0,775000.0,399.5149037243141,522.452959758275,28.0,56.0,54.0,65.0,1.2,110.0,1.0071661575490722,0.324074074074074,0.1538461538461538,0.625,5.48,-0.370438665124612
2020-04-30,687500.0,799000.0,671.7781524272326,568.4626791893228,40.0,28.0,46.0,81.0,2.0,14.0,1.0587729495266462,0.7249999999999999,0.1728395061728395,0.5,8.32,0.6814845858436216
2020-05-31,653750.0,837500.0,671.3164137120306,566.7269521593719,24.0,41.0,66.0,101.0,4.2,27.0,1.0356656149994956,0.6666666666666666,0.1485148514851485,0.3658536585365853,9.0,-0.0006873380944791
2020-06-30,429700.0,775000.0,378.41382685661085,548.5610923956243,20.5,55.0,96.0,133.0,3.3,24.0,1.0045173955433118,0.225,0.225563909774436,0.4363636363636363,8.97,-0.4363107781557443
2020-07-31,460450.0,754500.0,414.7831712999856,552.2810964544576,30.5,75.0,112.0,158.0,2.6,25.0,1.0113461144730778,0.2999999999999999,0.2531645569620253,0.4533333333333333,9.79,0.0961099776545846
2020-08-31,417450.0,749000.0,374.0931367978443,547.2656371982638,36.5,74.0,96.0,168.0,2.3,36.0,0.963216114221664,0.2291666666666666,0.244047619047619,0.3783783783783784,10.67,-0.0980995308334553
2020-09-30,660000.0,788400.0,639.6348596523751,558.5675010954528,60.0,80.0,120.0,195.0,3.3,21.0,1.0366816319880685,0.5666666666666667,0.2974358974358974,0.3875,13.39,0.7098278389374102
2020-10-31,462750.0,799000.0,377.6004384073594,552.0000389772373,30.5,89.0,115.0,211.0,3.5,14.5,1.009544467133857,0.3083333333333333,0.3222748815165876,0.4157303370786517,12.34,-0.4096625086810068
2020-11-30,650000.0,749000.0,641.025641025641,530.4740406320542,77.0,80.0,70.0,175.0,2.3,19.0,1.0316483594230978,0.5324675324675324,0.2742857142857143,0.2874999999999999,11.26,0.6976294935709151
2020-12-31,605000.0,699000.0,591.6030534351145,560.5788931083532,83.0,80.0,44.0,109.0,1.3,34.0,1.02898989887345,0.6144578313253011,0.1559633027522935,0.2999999999999999,11.76,-0.0770992366412214
2021-01-31,603000.0,726000.0,608.7636932707355,558.8235294117648,65.0,62.0,101.0,128.0,2.0,51.0,1.0224144395632035,0.4923076923076923,0.140625,0.3709677419354838,13.07,0.0290070170124692
2021-02-28,589000.0,765000.0,629.9478670054582,565.8036677454153,58.0,81.0,91.0,125.0,2.2,40.0,1.0216025099739263,0.3793103448275861,0.2,0.5185185185185184,14.36,0.0347986812763181
2021-03-31,467450.0,799000.0,388.4766911865253,578.9209579180509,44.5,97.0,99.0,112.0,1.3,30.5,1.023596630113282,0.3068181818181818,0.2946428571428571,0.4536082474226804,15.09,-0.3833193006380013
2021-04-30,625000.0,799000.0,640.9795054363514,573.9691239714286,92.0,97.0,109.0,121.0,1.3,16.0,1.0534681869256572,0.6413043478260869,0.1570247933884297,0.5979381443298968,13.71,0.649981890750269
2021-05-31,625000.0,795000.0,663.3906633906633,569.4920177678798,103.0,92.0,101.0,114.0,1.1,14.0,1.0548435484898817,0.6407766990291262,0.2894736842105263,0.5869565217391304,12.44,0.0349639228153721
