period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,478000.0,438270.0,299.8966733870968,265.20594233140474,7.0,5.0,10.0,16.0,2.3,35.0,0.9801661687875988,0.1428571428571428,0.0625,0.2,0.7,0.0
2019-02-28,315000.0,443495.0,276.8062004453134,280.85229905229903,1.5,,4.0,19.0,9.5,119.5,0.9986425139681956,0.25,0.0526315789473684,,1.57,-0.0769947618324495
2019-03-31,887500.0,435000.0,265.1684485187152,280.8631057658295,2.0,1.0,4.0,21.0,10.5,87.0,0.9561743900938456,0.0,,0.0,3.95,-0.0420429596875933
2019-04-30,389000.0,429900.0,274.7578584415056,287.2682323856613,2.0,3.0,2.0,15.0,5.0,103.0,0.9547953199479022,0.0,0.0666666666666666,0.0,1.17,0.0361634650591304
2019-05-31,415000.0,449999.5,293.74585174752724,269.3300912572989,6.0,3.0,4.0,11.0,1.8,143.0,0.9423967102886832,0.1666666666666666,0.2727272727272727,0.6666666666666666,1.2,0.0691080990866874
2019-06-30,302500.0,445000.0,484.7437040429899,276.45429362880884,1.0,1.5,3.0,9.0,9.0,153.0,0.9399855512482378,0.0,0.1111111111111111,0.0,1.98,0.6502146367657446
2019-07-31,397750.0,449900.0,204.74137931034485,273.3338089289536,2.5,2.0,3.0,3.5,1.25,44.0,0.9464214186190042,0.125,0.3333333333333333,0.0,1.46,-0.5776296265372698
2019-08-31,529444.0,449444.0,282.041884057971,268.1036585365854,2.0,4.0,5.0,6.0,3.0,65.0,1.0326936333645182,1.0,0.1666666666666666,0.0,1.52,0.3775519389778792
2019-09-30,291500.0,431345.0,257.4573626467035,270.28508771929825,1.5,2.0,3.0,6.0,3.0,72.0,0.9582830013814329,0.25,,0.5,1.29,-0.0871662075772207
2019-10-31,362000.0,449950.0,153.022189267864,288.98623898623896,2.0,2.5,6.0,4.0,1.65,24.5,0.9933807678975678,0.0,0.2857142857142857,0.375,1.63,-0.4056406556224647
2019-11-30,738000.0,449950.0,,287.99350561093945,2.0,1.0,8.0,14.0,7.0,70.0,0.9716131906327292,0.0,0.1428571428571428,1.0,1.78,0.0
2019-12-31,304130.5,465000.0,168.47303196832397,265.541169451074,2.0,5.0,7.0,11.0,5.5,42.0,1.058333498270198,0.75,0.0909090909090909,0.3333333333333333,1.97,0.1009712563542886
2020-01-31,450000.0,459900.0,131.149367314228,292.786683107275,4.0,,7.0,9.5,1.8,76.5,0.9288981960886158,0.1428571428571428,0.1111111111111111,,1.62,-0.2215408853157786
2020-02-29,350750.0,439900.0,156.47239087498562,288.575180564675,1.5,1.0,2.0,19.0,9.5,64.0,0.9996421808607684,0.25,,0.0,2.36,0.1930853657881917
2020-03-31,1225500.0,439915.0,307.2198546001504,291.52348224513173,1.0,4.0,1.0,13.0,13.0,215.0,0.95,0.0,0.1538461538461538,0.25,1.56,0.963412541229751
2020-04-30,321000.0,362250.0,184.62175221707795,199.8494278247548,2.5,1.0,2.0,7.0,2.15,1715.0,0.9097348355259748,0.25,0.0769230769230769,0.0,4.4,-0.3990565731587728
2020-05-31,,,,,,,,,,,,,,,3.96,0.0
2020-06-30,,,,,,,,,,,,,,,3.46,0.0
2020-07-31,649625.0,459800.0,168.54708236303236,296.34387351778656,2.0,1.5,5.0,11.5,5.75,106.0,0.9377503849862224,0.0,0.0526315789473684,0.25,2.93,-0.0870681252940608
2020-08-31,355750.0,480000.0,212.44271181579853,291.52915291529155,3.0,2.5,6.0,11.0,3.0,26.0,0.9944370762045855,0.125,0.05,0.5,3.68,0.2604354156556663
2020-09-30,338000.0,287300.0,132.87115897410015,173.64698133965726,1.75,1.6666666666666667,3.6666666666666665,8.666666666666666,3.4333333333333336,59.25,0.9641239758325,0.375,0.0476190476190476,0.2222222222222222,4.32,-0.3745553432338597
2020-10-31,415750.0,303725.0,291.7344057499786,202.92809985754764,3.0,3.0,2.0,10.0,2.75,45.5,0.9646638847064952,0.25,0.1666666666666666,0.125,4.62,1.195618733233483
2020-11-30,417000.0,502449.5,253.84867343596463,309.5659842036654,3.5,3.0,4.0,15.0,3.0,66.0,0.9668042138837996,0.1,0.0666666666666666,0.125,4.37,-0.1298637787223584
2020-12-31,508250.0,364487.5,168.01503755518948,223.1009467954616,3.5,5.0,3.5,7.0,2.4,56.5,0.9529513456233356,0.0833333333333333,0.3636363636363636,0.0,3.88,-0.3381291488309761
2021-01-31,590000.0,489000.0,290.06882989183873,314.6818181818182,3.0,2.0,4.0,10.0,3.3,39.0,0.9764997399703632,0.3333333333333333,,0.0,4.75,0.7264456450605328
2021-02-28,488500.0,399950.0,196.95693416750592,243.1968746497219,2.5,2.0,2.0,6.5,2.4,66.0,0.965849848331036,0.1666666666666666,,0.25,5.07,-0.320999315090327
2021-03-31,605000.0,510000.0,321.6374269005848,321.53221957040574,3.0,5.0,4.0,9.0,3.0,74.0,1.0028338056342725,0.3333333333333333,0.1111111111111111,0.4,5.72,0.6330342887396991
2021-04-30,452500.0,410450.0,236.52745995423345,260.595233792675,1.5,3.0,4.0,7.5,4.25,1628.0,1.039306093322174,1.0,,0.6666666666666666,4.8,-0.2646146245059286
2021-05-31,483750.0,404949.5,216.10168576993908,249.05802869797728,3.5,5.0,5.0,9.5,2.35,125.5,0.9833859947368476,0.4,,0.8,4.16,-0.0863568829946705
2021-06-30,380666.6666666667,346300.0,175.9858576136726,214.0642535776924,3.333333333333333,2.5,2.6666666666666665,6.333333333333333,2.2666666666666666,75.0,0.9814610850431856,0.125,0.5,0.25,4.33,-0.1856340361868977
