period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,480000.0,519000.0,314.83557746584347,314.526588845655,75.0,54.0,89.0,262.0,3.5,58.0,0.9836117054186436,0.16,0.2404580152671755,0.3518518518518518,0.71,0.0
2019-02-28,495000.0,539000.0,299.5739813025127,327.5992438563327,72.0,42.0,95.0,288.0,4.0,52.0,0.987295987304163,0.1666666666666666,0.1597222222222222,0.2619047619047619,2.16,-0.0484748143337977
2019-03-31,519000.0,537000.0,305.51523639758926,336.9525410846107,90.0,71.0,132.0,314.0,3.5,53.0,0.9921805846131556,0.2444444444444444,0.1592356687898089,0.2112676056338028,12.84,0.0198323468187879
2019-04-30,507000.0,539000.0,320.35175879396985,310.702875399361,96.0,87.0,155.0,340.0,3.5,51.0,0.9880877520712436,0.3125,0.1647058823529411,0.2413793103448276,5.34,0.0485622994496834
2019-05-31,535000.0,542500.0,310.66584367284435,314.6189072381764,129.0,105.0,180.0,379.0,2.9,51.0,0.9945887786219292,0.3100775193798449,0.2031662269129287,0.2476190476190476,2.15,-0.0302352487702584
2019-06-30,499000.0,569000.0,311.85031185031187,319.8781416603199,137.0,105.0,145.0,378.0,2.8,54.0,0.9969723393118092,0.3795620437956204,0.2195767195767195,0.1619047619047619,2.9,0.0038126759075416
2019-07-31,549000.0,535000.0,318.26625386996903,316.54676258992805,131.0,123.0,151.0,367.0,2.8,55.0,0.98994751846886,0.282442748091603,0.2425068119891008,0.1463414634146341,0.96,0.0205737874097007
2019-08-31,550000.0,524999.0,308.03556192749693,311.8566526877621,134.0,105.0,141.0,371.0,2.8,54.0,0.9893706365278252,0.3283582089552238,0.2911051212938005,0.2,2.27,-0.0321450729320864
2019-09-30,525500.0,519900.0,316.14784544040253,328.90154300092934,101.0,101.0,123.0,344.0,3.4,55.0,0.9938916111548532,0.3663366336633663,0.2093023255813953,0.198019801980198,2.25,0.0263355421112547
2019-10-31,507000.0,524900.0,315.4952076677316,335.6058174523571,119.0,89.0,119.0,329.0,2.8,51.0,0.9913079181363988,0.2857142857142857,0.1854103343465045,0.1348314606741573,1.34,-0.002064343572425
2019-11-30,531500.0,568000.0,319.9269877412804,317.5944333996024,95.0,89.0,102.0,301.0,3.2,64.0,0.9882963623618288,0.2526315789473684,0.1362126245847176,0.2134831460674157,1.94,0.0140470598786912
2019-12-31,569000.0,527250.0,330.8457711442786,319.9566160520607,102.0,72.0,66.0,257.0,2.5,51.0,0.9952573694664872,0.3529411764705882,0.1089494163424124,0.0972222222222222,3.24,0.0341289851165291
2020-01-31,548500.0,519499.5,319.3847009125234,331.4661974950324,91.0,69.0,116.0,261.0,2.9,72.0,0.9892292815016592,0.2307692307692307,0.1647509578544061,0.2028985507246376,1.75,-0.034641731076433
2020-02-29,523000.0,549000.0,320.7855973813421,343.25332189047333,71.0,72.0,115.0,279.0,3.9,50.0,0.9920891420338048,0.2816901408450704,0.093189964157706,0.2361111111111111,4.29,0.00438623536073
2020-03-31,520000.0,550000.0,322.9221810481736,331.79457587997695,105.0,80.0,120.0,292.0,2.8,53.0,0.9945548440002684,0.2952380952380952,0.1232876712328767,0.25,1.12,0.006660472553235
2020-04-30,558500.0,519950.0,323.81752643292805,330.2224865320295,82.0,74.0,84.0,276.0,3.4,57.0,0.993714821594874,0.2804878048780488,0.1304347826086956,0.1351351351351351,4.22,0.0027726351341001
2020-05-31,512500.0,583000.0,326.38888888888886,332.32445520581115,62.0,69.0,95.0,276.0,4.5,50.0,0.9944840377074464,0.3387096774193548,0.1123188405797101,0.1739130434782608,3.6,0.0079407760422547
2020-06-30,545000.0,614997.5,335.625267055975,334.8241069487718,84.0,69.0,122.0,280.0,3.3,54.0,0.9880810775392384,0.2261904761904761,0.1607142857142857,0.2028985507246376,3.39,0.0282986905544766
2020-07-31,607500.0,590500.0,347.662084610806,359.88116268337774,127.0,114.0,120.0,246.0,1.9,57.0,0.9861786627107464,0.3070866141732283,0.1788617886178861,0.2456140350877192,4.23,0.0358638598947425
2020-08-31,575000.0,572007.0,345.13274336283183,346.31727750034474,117.0,84.0,120.0,244.0,2.1,53.0,0.994381659006201,0.3846153846153846,0.0942622950819672,0.2857142857142857,5.19,-0.0072752864345436
2020-09-30,615000.0,560000.0,355.3481694185212,346.15384615384613,119.0,175.0,193.0,224.0,1.9,60.0,0.9884209921796562,0.26890756302521,0.09375,0.4971428571428571,6.19,0.0295985421613562
2020-10-31,624944.0,597450.0,360.5527638190955,356.26354842908967,152.0,116.0,128.0,210.0,1.4,45.0,1.0013094910632463,0.4407894736842105,0.0904761904761904,0.1637931034482758,6.55,0.0146464646464645
2020-11-30,592000.0,579450.0,339.2857142857143,351.5575978109823,119.0,115.0,110.0,191.0,1.6,39.0,1.0067536780990884,0.5294117647058822,0.1047120418848167,0.2608695652173913,5.23,-0.0589845694375311
2020-12-31,573750.0,626950.0,360.58511296967504,375.0614113443502,138.0,139.0,118.0,154.0,1.1,38.0,1.0013159403710306,0.5072463768115942,0.0519480519480519,0.3237410071942445,7.56,0.0627771750685159
2021-01-31,572007.0,645000.0,387.5304416079927,380.49476688867753,96.0,115.0,111.0,128.0,1.3,49.0,1.0039670881268516,0.46875,0.0703125,0.3478260869565217,5.6,0.0747266808005568
2021-02-28,625000.0,575000.0,387.32394366197184,379.8309178743961,83.0,81.0,93.0,132.0,1.6,35.0,1.0206080686458432,0.6024096385542169,0.0227272727272727,0.3333333333333333,5.14,-0.0005328560645817
2021-03-31,602500.0,615000.0,392.5887485075268,372.69681742043554,96.0,87.0,119.0,151.0,1.6,33.0,1.012292960487693,0.5416666666666666,0.0529801324503311,0.3103448275862069,5.2,0.0135927688739783
2021-04-30,625500.0,652500.0,389.5765592669228,397.5487810560212,102.0,92.0,112.0,163.0,1.6,33.0,1.02875188352179,0.676470588235294,0.0736196319018404,0.2717391304347825,4.32,-0.0076726326265212
2021-05-31,631500.0,649000.0,379.6175556428853,391.0818713450293,118.0,118.0,127.0,161.0,1.4,35.0,1.0340692733298316,0.6779661016949152,0.1118012422360248,0.2966101694915254,5.98,-0.0255636623588895
2021-06-30,690000.0,650000.0,397.3566308243728,390.5973929493596,137.0,115.0,134.0,171.0,1.2,33.0,1.0367259977940246,0.6058394160583942,0.0994152046783625,0.3130434782608695,3.57,0.0467288061834922
2021-07-31,655000.0,649000.0,409.3816631130064,412.2030740568234,113.0,119.0,135.0,179.0,1.6,39.0,1.0216111652217563,0.6106194690265486,0.0837988826815642,0.2521008403361344,4.01,0.0302625685739432
2021-08-31,650000.0,675500.0,417.5058094500387,396.384237612877,118.0,121.0,120.0,172.0,1.5,35.0,1.0242395961987876,0.7372881355932203,0.0813953488372093,0.2231404958677686,4.16,0.0198449199586883
2021-09-30,672500.0,699000.0,407.32932183355626,415.3891480601277,128.0,110.0,107.0,155.0,1.2,36.0,1.0200384483924556,0.65625,0.1225806451612903,0.2,3.47,-0.0243744814710182
2021-10-31,685000.0,657000.0,421.3669542136696,424.6929541047188,117.0,119.0,115.0,140.0,1.2,40.0,1.0139795601707744,0.5384615384615384,0.0928571428571428,0.26890756302521,4.36,0.0344626120136015
2021-11-30,671000.0,679000.0,430.672268907563,430.1833830897383,107.0,92.0,84.0,127.0,1.2,38.0,1.0152563427465051,0.5794392523364486,0.1259842519685039,0.2282608695652173,3.38,0.0220836366042478
2021-12-31,685000.0,702000.0,431.5742747133113,430.13344468731214,96.0,79.0,62.0,99.0,1.0,34.0,1.0097504252391103,0.6354166666666666,0.0808080808080808,0.1518987341772151,4.64,0.0020944134806641
2022-01-31,687500.0,709900.0,429.2178409825468,430.90211132437616,60.0,74.0,91.0,111.0,1.9,37.0,1.0071942288886702,0.5,0.045045045045045,0.3243243243243243,6.66,-0.0054600884919051
2022-02-28,699000.0,702500.0,422.6912928759895,447.5239313760024,71.0,72.0,108.0,143.0,2.0,29.0,1.0167584254739772,0.6056338028169013,0.0629370629370629,0.3055555555555555,8.04,-0.0152056775916327
2022-03-31,715000.0,719000.0,471.8844101864853,429.553264604811,99.0,105.0,124.0,150.0,1.5,32.0,1.019597373164868,0.6464646464646465,0.12,0.3714285714285714,8.97,0.1163807207283265
2022-04-30,735000.0,712500.0,453.4212695795548,436.6886152695348,112.0,112.0,138.0,173.0,1.5,30.0,1.031042220902888,0.7321428571428571,0.1271676300578034,0.2946428571428571,5.98,-0.0391264051288196
2022-05-31,732000.0,749000.0,446.88225293330265,432.11579419347606,98.0,98.0,141.0,211.0,2.2,31.0,1.022679619255062,0.6224489795918366,0.1800947867298578,0.2755102040816326,6.54,-0.0144215039852797
