period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,218750.0,269900.0,130.04775542885298,171.17737063208153,73.5,110.0,99.0,292.5,3.25,65.0,0.9728564621893432,0.1482758620689655,0.2155172413793103,0.2818181818181818,0.31,0.0
2019-02-28,300000.0,319000.0,175.35187127647174,180.612711476909,116.0,113.0,193.0,571.0,4.9,76.0,0.9843123369369065,0.3620689655172413,0.1978984238178634,0.3008849557522124,0.48,0.3483652270523338
2019-03-31,218750.0,249950.0,140.88681435265812,149.6116870494776,77.0,82.0,123.5,275.0,2.8,68.0,0.9055840099138897,0.1677631578947368,0.2229853479853479,0.156441717791411,0.84,-0.196547984763012
2019-04-30,251950.0,242725.0,148.6056801256017,136.91100081419688,102.0,101.0,134.0,271.5,3.85,36.0,0.997305416788135,0.2019704433497537,0.391078066914498,0.2139303482587064,0.53,0.0547877089024262
2019-05-31,315000.0,335000.0,184.10043273444347,179.63922541721402,222.0,228.0,278.0,527.0,2.4,37.0,0.9982453454289096,0.4324324324324324,0.1878557874762808,0.3947368421052631,0.77,0.2388519239563491
2019-06-30,243750.0,257175.0,142.48980306976836,137.9763646238587,116.5,97.0,116.5,246.5,2.05,192.0,0.9505915690659748,0.2112068965517241,0.6059063136456212,0.6901041666666666,0.69,-0.2260213571833182
2019-07-31,301475.0,281812.5,155.19312150816205,166.99760652084944,109.5,192.0,127.5,249.5,1.9,29.5,1.0049313904795545,0.466589861751152,0.1834677419354838,0.328125,0.69,0.0891524738242053
2019-08-31,255000.0,324999.5,122.87892195787104,188.3518120941084,125.0,96.5,284.0,527.0,2.1,35.5,0.961546590038118,0.5458839406207827,0.2201138519924098,0.4646596858638743,0.58,-0.2082192769644852
2019-09-30,290000.0,267500.0,194.94531842785125,159.3965963531181,91.5,191.0,103.0,244.5,1.85,20.0,1.0028013472800072,0.695054945054945,0.2028688524590164,0.3089005235602094,1.06,0.5864829811469874
2019-10-31,256250.0,281400.0,148.7932870911594,144.0894533476619,107.0,98.0,110.5,453.0,2.1,36.5,1.01947527352613,0.7230046948356808,0.2075055187637969,0.4252577319587628,1.46,-0.2367434709840061
2019-11-30,232950.0,240975.0,132.15466703838797,133.16089713871605,100.0,73.5,74.0,197.5,1.15,132.0,0.9551889977858622,0.2258883248730964,0.5685279187817258,0.684931506849315,1.47,-0.111823727925156
2019-12-31,282450.0,245200.0,141.33072880652745,145.1151629219176,88.0,50.5,58.5,182.0,2.05,21.0,0.9990736886509878,0.2228571428571428,0.1270718232044199,0.3964646464646464,0.85,0.0694342619430461
2020-01-31,235700.0,260000.0,161.84210231316763,147.38653442583012,71.5,67.0,99.5,181.5,2.75,24.0,0.9922626858301152,0.204225352112676,0.4291666666666666,0.4848484848484848,0.81,0.1451303172342577
2020-02-29,269950.0,265450.0,154.08872791735436,143.32125571004406,72.0,78.0,100.0,168.5,2.65,34.0,0.9953622895212572,0.1958041958041958,0.1017964071856287,0.6176470588235294,0.8,-0.0479070296603681
