period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.31,0.0
2019-02-28,,,,,,,,,,,,,,,0.48,
2019-03-31,55000.0,,46.7687074829932,,1.0,,,,,100.0,0.688360450563204,0.0,,,0.84,
2019-04-30,,,,,,,,,,,,,,,0.53,0.0
2019-05-31,266000.0,335000.0,175.1152073732719,179.63922541721402,3.0,,1.0,1.0,0.2999999999999999,7.0,0.9939241917502786,0.3333333333333333,,,0.77,2.744281524926686
2019-06-30,270000.0,339900.0,183.0508474576272,184.05833591357708,1.0,1.0,3.0,3.0,3.0,45.0,1.0389090685218247,1.0,0.6666666666666666,0.0,0.69,0.0453166815343448
2019-07-31,171000.0,334900.0,158.6089316395509,185.42757417102968,2.0,3.0,1.0,1.0,0.5,78.0,0.99744172825469,0.0,,1.0,0.69,-0.1335252808580095
2019-08-31,216000.0,324999.5,152.21675693100576,188.3518120941084,2.0,1.0,1.0,1.0,0.5,12.0,1.0824744263843824,1.0,1.0,0.0,0.58,-0.0403014801402972
2019-09-30,255000.0,335000.0,137.54045307443366,187.04088704088704,1.0,1.0,1.0,1.0,1.0,70.0,1.0408163265306123,1.0,1.0,1.0,1.06,-0.0964171366705988
2019-10-31,190000.0,327900.0,141.57973174366617,184.60747812389528,1.0,,1.0,2.0,2.0,8.0,1.0005265929436546,1.0,,,1.46,0.0293679319715964
2019-11-30,,,,,,,,,,,,,,,1.47,0.0
2019-12-31,175000.0,,172.7541954590326,,1.0,1.0,,,,22.0,0.9887005649717514,0.0,,0.0,0.85,0.2201901595053774
2020-01-31,313000.0,345000.0,157.9212916246216,184.29327087186223,1.0,2.0,2.0,,,4.0,0.9936507936507936,0.0,,1.0,0.81,-0.0858613233386189
2020-02-29,175000.0,351000.0,172.7541954590326,195.2299097940719,1.0,1.0,1.0,,,7.0,0.983698707138842,0.0,,1.0,0.8,0.0939259277948962
2020-03-31,230750.0,,143.61614605959096,,1.5,,,,,17.5,0.936368282088408,0.25,,,1.06,-0.1686676802379106
2020-04-30,,,,,,,,,,,,,,,1.84,0.0
2020-05-31,,,,,,,,,,,,,,,1.91,0.0
2020-06-30,,,,,,,,,,,,,,,1.92,0.0
2020-07-31,,,,,,,,,,,,,,,1.3,0.0
2020-08-31,,,,,,,,,,,,,,,2.54,0.0
2020-09-30,160000.0,,120.75471698113208,,1.0,,,,,23.0,1.067378252168112,1.0,,,3.28,-0.1591842540390475
2020-10-31,176000.0,398000.0,173.74136229022704,212.22269595081627,1.0,,1.0,5.0,5.0,10.0,0.9832402234636872,0.0,,,4.4,0.4387956564659427
2020-11-30,240000.0,399970.0,195.9183673469388,212.9192650114802,1.0,3.0,1.0,3.0,3.0,41.0,0.9760065067100449,0.0,,0.3333333333333333,4.12,0.127643784786642
2020-12-31,,,,,,,,,,,,,,,3.73,0.0
2021-01-31,,,,,,,,,,,,,,,4.07,0.0
2021-02-28,185000.0,,182.6258637709773,,1.0,1.0,,2.0,2.0,7.0,1.0,0.0,,0.0,5.08,-0.0678471536689701
2021-03-31,315000.0,,172.7541954590326,,3.0,,,1.0,0.2999999999999999,77.0,0.9873583260680036,0.3333333333333333,,,6.81,-0.054054054054054
2021-04-30,180000.0,443000.0,177.69002961500493,240.59714795008912,1.0,,2.0,3.0,3.0,106.0,1.0,0.0,,,6.23,0.0285714285714284
2021-05-31,,,,,,,,,,,,,,,5.78,0.0
2021-06-30,,,,,,,,,,,,,,,4.82,0.0
2021-07-31,270000.0,454900.0,207.21412125863392,250.5827505827505,1.0,1.0,2.0,2.0,2.0,,1.0,0.0,0.5,1.0,4.91,0.1661550268610898
2021-08-31,,,,,,,,,,,,,,,6.18,0.0
2021-09-30,,,,,,,,,,,,,,,7.52,0.0
2021-10-31,225000.0,,222.11253701875617,,1.0,,,,,5.0,1.0321100917431192,1.0,,,8.79,0.0718986508719974
2021-11-30,290000.0,,226.2652664798047,,2.0,,,,,10.0,1.011904761904762,0.5,,,7.67,0.0186965108624095
2021-12-31,,,,,,,,,,,,,,,6.27,0.0
2022-01-31,,,,,,,,,,,,,,,5.46,0.0
2022-02-28,,,,,,,,,,,,,,,5.02,0.0
2022-03-31,390000.0,499999.0,256.7478604344964,266.34549208534065,1.0,,3.0,3.0,3.0,14.0,1.0106245141228298,1.0,,,7.73,0.1347206066089352
2022-04-30,320000.0,,245.58710667689945,,1.0,1.0,,2.0,2.0,25.0,0.9552238805970148,0.0,0.5,0.0,8.97,-0.0434697050199736
2022-05-31,,,,,,,,,,,,,,,10.7,0.0
2022-06-30,,,,,,,,,,,,,,,11.55,0.0
2022-07-31,279900.0,497500.0,236.9200394866733,268.0130710902122,3.0,1.0,1.0,1.0,0.2999999999999999,51.0,0.98239625167336,0.0,,0.0,11.76,-0.0352912142152022
2022-08-31,,,,,,,,,,,,,,,11.78,0.0
2022-09-30,280000.0,,134.55069678039405,,1.0,,,,,,1.0,0.0,,,8.99,-0.4320839340060869
2022-10-31,,,,,,,,,,,,,,,7.89,0.0
2022-11-30,,,,,,,,,,,,,,,5.89,0.0
2022-12-31,240000.0,,236.9200394866733,,1.0,1.0,,1.0,1.0,15.0,1.0,0.0,,1.0,6.05,0.7608235791848825
2023-01-31,,,,,,,,,,,,,,,7.85,0.0
2023-02-28,,,,,,,,,,,,,,,8.57,0.0
2023-03-31,,,,,,,,,,,,,,,10.17,0.0
2023-04-30,,,,,,,,,,,,,,,12.25,0.0
2023-05-31,500000.0,,245.09803921568627,,1.0,,,2.0,2.0,47.0,1.010121416594275,1.0,,,13.48,0.0345179738562089
2023-06-30,257500.0,499900.0,221.8068603594008,270.7562136435748,2.0,3.0,1.0,,,58.0,1.0091103965702035,0.5,,0.3333333333333333,14.93,-0.0950280097336447
2023-07-31,240000.0,519999.0,197.3684210526316,269.30244366103045,1.0,,1.0,1.0,1.0,,1.0434782608695652,1.0,,,13.18,-0.1101789154184447
2023-08-31,,,,,,,,,,,,,,,14.23,0.0
2023-09-30,,,,,,,,,,,,,,,12.16,0.0
2023-10-31,,,,,,,,,,,,,,,14.516692509651184,-0.1707427049431659
2023-11-30,,,,,,,,,,,,,,,10.460577926635741,0.026415970441190702
2023-12-31,,,,,,,,,,,,,,,12.863921786546706,0.008819100168486227
2024-01-31,,,,,,,,,,,,,,,11.82579838037491,-0.12919827952743082
2024-02-29,,,,,,,,,,,,,,,14.31111932516098,-0.027733860030591313
2024-03-31,,,,,,,,,,,,,,,16.161772952079776,0.09826902514193284
2024-04-30,,,,,,,,,,,,,,,15.60130355358124,-0.08645426005547802
2024-05-31,,,,,,,,,,,,,,,15.169994270801546,0.604505715894998
2024-06-30,,,,,,,,,,,,,,,15.558027098178865,0.01583145621436902
2024-07-31,,,,,,,,,,,,,,,15.1052530002594,-0.1862690572735459
2024-08-31,,,,,,,,,,,,,,,15.66203106403351,-0.014209962897054906
2024-09-30,,,,,,,,,,,,,,,15.7536207818985,-0.14910911748611838
2024-10-31,,,,,,,,,,,,,,,16.653839373588564,-0.14651731369723336
2024-11-30,,,,,,,,,,,,,,,11.25639867067337,0.016660184038169674
2024-12-31,,,,,,,,,,,,,,,12.791407450437546,-0.0758555937000758
2025-01-31,,,,,,,,,,,,,,,15.882810525894167,-0.33170680266884495
2025-02-28,,,,,,,,,,,,,,,15.94861318588257,-0.44537233309362867
2025-03-31,,,,,,,,,,,,,,,12.49028394460678,-0.23484686576901628
2025-04-30,,,,,,,,,,,,,,,14.322519240379334,-0.16855733703428408
2025-05-31,,,,,,,,,,,,,,,17.109912667274475,0.00021806119348875708
2025-06-30,,,,,,,,,,,,,,,14.02055830001831,-0.253773290656634
2025-07-31,,,,,,,,,,,,,,,16.924606966972352,-0.09634153345915689
2025-08-31,,,,,,,,,,,,,,,15.312162942886355,0.03540929316761086
2025-09-30,,,,,,,,,,,,,,,18.881425681114198,-0.120785052078211
2025-10-31,,,,,,,,,,,,,,,17.477608296871185,-0.3943439462729928
2025-11-30,,,,,,,,,,,,,,,16.38564072608948,0.05561507757863802
2025-12-31,,,,,,,,,,,,,,,14.365208358764649,-0.13537549432669468
