period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,219000.0,342450.0,180.08474576271186,213.17669765243423,5.0,4.0,6.0,9.0,1.8,45.0,0.9852159215426198,0.2,0.5555555555555555,0.5,7.97,0.0
2019-02-28,174000.0,339950.0,178.9016168662837,210.982158927984,6.0,6.0,7.0,7.0,1.2,61.0,1.0031130451833583,0.3333333333333333,,0.5,6.24,-0.0065698451660481
2019-03-31,187000.0,375000.0,177.9935275080906,217.27748691099475,11.0,6.0,6.0,7.0,0.5999999999999999,22.0,0.9654594744551526,0.2727272727272727,,0.1666666666666666,4.51,-0.0050759147630946
2019-04-30,160500.0,346250.0,189.9483378256963,223.8988447805665,6.0,3.0,9.0,12.0,2.0,23.0,0.9950302514066576,0.3333333333333333,0.25,1.0,5.37,0.0671642979661848
2019-05-31,183500.0,339000.0,188.6234530330696,229.94467496542185,6.0,13.0,10.0,9.0,1.5,27.0,1.0097548943665755,0.5,0.3333333333333333,0.3076923076923077,6.07,-0.006974974394577
2019-06-30,230000.0,359750.0,201.2578616352201,213.0210547840844,7.0,8.0,6.0,6.0,0.9,12.0,1.005313681045786,0.5714285714285714,0.8333333333333333,0.5,5.62,0.0669821721476777
2019-07-31,207000.0,392499.5,191.4044966070816,225.9772643783568,8.0,9.0,5.0,2.0,0.2999999999999999,44.0,0.9821379435647956,0.0,,0.3333333333333333,2.78,-0.0489589074835632
2019-08-31,205750.0,398845.0,202.5554541151011,224.7006366123656,6.0,3.0,4.0,3.0,0.5,20.0,1.0032649057918894,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.25,0.058258597398108
2019-09-30,199000.0,359000.0,202.69894079688123,221.398795738768,6.0,2.0,6.0,7.0,1.2,21.0,1.0119121256509604,0.6666666666666666,0.1428571428571428,1.0,6.42,0.000708382217635
2019-10-31,195000.0,350000.0,189.4946497436823,232.3232323232324,6.0,4.0,2.0,5.0,0.8,20.0,0.979743578872448,0.3333333333333333,,0.75,4.3,-0.06514237815594
2019-11-30,312000.0,400000.0,211.0977080820265,228.1656640444239,3.0,,1.0,5.0,1.7,7.0,1.0100716240242311,0.6666666666666666,,,6.46,0.1140035265774803
2019-12-31,,,,,,,,,,,,,,,4.82,0.0
