period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,1415000.0,1350000.0,613.0849220103986,904.6875,5.0,,2.0,4.0,0.8,40.0,0.956781505263602,0.2,,,2.49,0.0
2019-02-28,1000000.0,,,,1.0,1.0,,2.0,2.0,91.0,0.91324200913242,0.0,,0.0,1.71,0.0
2019-03-31,1950000.0,1649000.0,,924.9110320284698,1.0,3.0,6.0,5.0,5.0,28.0,0.9774436090225564,0.0,0.2,0.6666666666666666,1.37,0.0
2019-04-30,2134000.0,1649000.0,,890.1463414634146,3.0,3.0,2.0,3.0,1.0,6.0,0.9797584712319232,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.54,0.0
2019-05-31,1780000.0,,678.8885989013445,,3.0,1.0,,2.0,0.6999999999999998,26.0,0.9316317060274651,0.0,,0.0,1.91,0.1073320750984474
2019-06-30,,,,,,,,,,,,,,,2.14,0.0
2019-07-31,1594000.0,1420500.0,656.8265682656827,919.7368421052632,4.0,2.0,4.0,4.0,1.0,83.0,0.9003407362794549,0.0,0.25,0.0,2.22,-0.0324972766833396
2019-08-31,1562500.0,1462475.0,788.2825449445364,914.9214659685864,2.0,3.0,3.0,4.0,2.0,10.0,0.9827586206896552,0.0,,0.6666666666666666,2.62,0.2001380319099401
2019-09-30,1061500.0,1399950.0,619.9402274626649,924.6913580246912,4.0,4.0,3.0,3.0,0.8,35.0,1.048539624230579,0.75,,0.25,2.36,-0.2135558101108481
2019-10-31,2200000.0,1450000.0,,936.5482233502538,1.0,2.0,6.0,6.0,6.0,16.0,1.0481181515007143,1.0,,1.0,3.28,0.0
2019-11-30,1270000.0,1264900.0,,927.4176787113933,3.0,3.0,3.0,6.0,2.0,20.0,1.0167193061613276,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,0.0
2019-12-31,1700000.0,1512000.0,642.965204236006,870.234395234395,1.0,4.0,1.0,3.0,3.0,8.0,1.070528967254408,1.0,0.3333333333333333,0.0,2.94,0.0371406399413365
2020-01-31,1625000.0,1477500.0,572.8390461997019,980.1923076923076,4.0,,2.0,5.0,1.3,52.0,0.9793645731866808,0.25,,,3.1,-0.1090668010870518
2020-02-29,1305000.0,1493000.0,594.7955390334572,957.5343273027285,2.0,1.0,2.0,6.0,3.0,45.0,1.106027448071217,0.5,,1.0,3.08,0.0383292531810075
2020-03-31,1587500.0,1571500.0,685.6060606060605,973.6729218338093,4.0,4.0,3.0,4.0,1.0,51.0,0.9662822086365638,0.25,0.25,0.0,4.03,0.1526751893939393
2020-04-30,,,,,,,,,,,,,,,7.08,0.0
2020-05-31,1203000.0,1598500.0,660.989010989011,949.9621068586584,1.0,1.0,5.0,9.0,9.0,35.0,1.0936363636363635,1.0,0.1111111111111111,0.0,6.65,-0.035905530933155
2020-06-30,1372000.0,1550000.0,588.2352941176471,986.4864864864865,3.0,2.0,5.0,10.0,3.3,22.0,0.9784166162669242,0.3333333333333333,0.2999999999999999,0.5,6.93,-0.1100679673365605
2020-07-31,1820000.0,1498000.0,452.8763769889841,947.4327628361858,3.0,5.0,9.0,13.0,4.3,26.0,0.923613409535125,0.0,0.3076923076923077,0.8,7.7,-0.2301101591187271
2020-08-31,1480000.0,1496500.0,616.7527251864601,905.027570995313,5.0,4.0,4.0,13.0,2.6,15.0,0.9708654295104658,0.4,0.3846153846153846,0.0,7.41,0.3618566931819944
2020-09-30,1670000.0,1560000.0,658.0259222333001,1010.2370689655172,2.0,1.0,2.0,11.0,5.5,33.0,0.9480006666969713,0.0,0.2727272727272727,0.0,10.9,0.0669201697233881
2020-10-31,1217500.0,1388000.0,511.58108305849777,956.5217391304348,2.0,5.0,7.0,10.0,5.0,142.0,0.9006418677250958,0.0,0.2999999999999999,0.4,9.43,-0.2225517783217071
2020-11-30,1682500.0,1596500.0,595.959595959596,936.6404154539748,4.0,2.0,3.0,10.0,2.5,66.0,0.995300115257662,0.25,0.1,0.0,11.4,0.1649367337756893
2020-12-31,1833500.0,1724000.0,722.1165279617469,874.9225806451612,4.0,3.0,1.0,8.0,2.0,47.0,0.989917959693616,0.0,0.125,0.0,9.75,0.2116870553934398
2021-01-31,1647500.0,1498000.0,466.6561734624901,991.7127071823204,2.0,2.0,2.0,6.0,3.0,68.0,0.8906732908831946,0.0,,0.5,10.13,-0.3537661092183026
2021-02-28,1589000.0,1562500.0,781.2192723697149,880.4662527661667,1.0,,6.0,11.0,11.0,56.0,0.9358068315665488,0.0,0.0909090909090909,,10.02,0.6740789403325218
