period_begin,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0,0,0,0,0,0,0.92870924,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,39.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.3
2019-02-28,1,1,1,1,1,1,0.925,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.79
2019-03-31,2,2,2,2,2,2,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.83
2019-04-30,3,3,3,3,3,3,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,6.32
2019-05-31,4,4,4,4,4,4,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.72
2019-06-30,5,5,5,5,5,5,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.97
2019-07-31,6,6,6,6,6,6,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.3
2019-08-31,7,7,7,7,7,7,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,6.19
2019-09-30,8,8,8,8,8,8,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,6.18
2019-10-31,9,9,9,9,9,9,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,6.18
2019-11-30,10,10,10,10,10,10,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,6.23
2019-12-31,11,11,11,11,11,11,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,5.61
2020-01-31,12,12,12,12,12,12,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.09611021,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,6.0
2020-02-29,13,13,13,13,13,13,0.9531846,39.9212003,10.44892243,1620416722.0,5.38928595,0.1020306,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,6.06
2020-03-31,14,14,14,14,14,14,0.9531846,39.9212003,10.44892243,1620416722.0,5.38928595,0.1020306,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,6.98
2020-04-30,15,15,15,15,15,15,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,0.09264787,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,10.8
2020-05-31,16,16,16,16,16,16,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,-0.04551883,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,11.67
2020-06-30,17,17,17,17,17,17,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,-0.04551883,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,13.19
2020-07-31,18,18,18,18,18,18,0.94775365,39.9212003,10.44892243,1620416722.0,5.38928595,-0.02432463,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,14.43
2020-08-31,19,19,19,19,19,19,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.02656551,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,15.62
2020-09-30,20,20,20,20,20,20,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,17.57
2020-10-31,21,21,21,21,21,21,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,18.02
2020-11-30,22,22,22,22,22,22,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,18.63
2020-12-31,23,23,23,23,23,23,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,18.98
2021-01-31,24,24,24,24,24,24,0.948,39.95689516,10.44892243,1620416722.0,5.38928595,-0.08733016,4.0,36.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,20.59
2021-02-28,25,25,25,25,25,25,0.89072371,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12952219,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,21.7
2021-03-31,26,26,26,26,26,26,0.89072371,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12952219,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,21.75
2021-04-30,27,27,27,27,27,27,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,20.29
2021-05-31,28,28,28,28,28,28,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,20.45
2021-06-30,29,29,29,29,29,29,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,18.74
2021-07-31,30,30,30,30,30,30,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05194568,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,20.2
2021-08-31,31,31,31,31,31,31,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.06530978,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,21.57
2021-09-30,32,32,32,32,32,32,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.06530978,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,22.78
2021-10-31,33,33,33,33,33,33,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,23.3
2021-11-30,34,34,34,34,34,34,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,24.74
2021-12-31,35,35,35,35,35,35,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,23.74
2022-01-31,36,36,36,36,36,36,0.882,40.1239797,10.44892243,1620416722.0,5.38928595,-0.01054334,23.0,38.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,25.52
2022-02-28,37,37,37,37,37,37,0.85446992,40.21772837,10.82220146,1673314030.0,5.64619471,-0.01052975,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,26.65
2022-03-31,38,38,38,38,38,38,0.85446992,40.21772837,10.82220146,1673314030.0,5.64619471,-0.01052975,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,26.54
2022-04-30,39,39,39,39,39,39,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,27.1
2022-05-31,40,40,40,40,40,40,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,25.78
2022-06-30,41,41,41,41,41,41,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,26.22
2022-07-31,42,42,42,42,42,42,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.0135783,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,25.26
2022-08-31,43,43,43,43,43,43,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.08602357,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,23.8
2022-09-30,44,44,44,44,44,44,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.10756032,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,28.52
2022-10-31,45,45,45,45,45,45,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.10756032,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,31.94
2022-11-30,46,46,46,46,46,46,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.25506918,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,29.47
2022-12-31,47,47,47,47,47,47,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.25506918,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,28.84
2023-01-31,48,48,48,48,48,48,0.852,40.34533004,10.82220146,1673314030.0,5.64619471,-0.26276037,21.0,37.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,29.14
2023-02-28,49,49,49,49,49,49,0.84933975,40.34533004,10.73477352,707532773.0,5.60287898,-0.30058417,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,30.16
2023-03-31,50,50,50,50,50,50,0.84933975,40.34533004,10.73477352,707532773.0,5.60287898,-0.30058417,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,28.58
2023-04-30,51,51,51,51,51,51,0.83115,40.34533004,10.73477352,707532773.0,5.60287898,-0.46711463,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,27.65
2023-05-31,52,52,52,52,52,52,0.83115,40.34533004,10.73477352,707532773.0,5.60287898,-0.46711463,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,26.63
2023-06-30,53,53,53,53,53,53,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.45834497,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,26.37
2023-07-31,54,54,54,54,54,54,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.45834497,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,23.79
2023-08-31,55,55,55,55,55,55,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.5156717,35.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,24.76
2023-09-30,56,56,56,56,56,56,0.8262979387321965,,,,,-0.19738212735501529,16.700524657964706,,,,,,,,,,,,,,,,,,,,25.95668412685394
2023-10-31,57,57,57,57,57,57,0.8304239373016298,,,,,-0.4880870423896916,16.665572732686996,,,,,,,,,,,,,,,,,,,,26.967234911918638
2023-11-30,58,58,58,58,58,58,0.8341862130535104,,,,,-0.5705985047454267,31.56052434444427,,,,,,,,,,,,,,,,,,,,33.90255688667297
2023-12-31,59,59,59,59,59,59,0.8364264673674927,,,,,-0.6518702937203481,20.051302134990692,,,,,,,,,,,,,,,,,,,,29.32753837585449
2024-01-31,60,60,60,60,60,60,0.8074252538690507,,,,,-0.6589954460641697,19.30931743979454,,,,,,,,,,,,,,,,,,,,28.725599946975706
2024-02-29,61,61,61,61,61,61,0.8210096595756635,,,,,-0.614151423694083,18.778952091932297,,,,,,,,,,,,,,,,,,,,32.687088594436645
2024-03-31,62,62,62,62,62,62,0.8249614199364022,,,,,-0.39175182022545635,24.843208134174347,,,,,,,,,,,,,,,,,,,,24.58634950637817
2024-04-30,63,63,63,63,63,63,0.8385803354153977,,,,,-0.5941872714085072,18.062469959259033,,,,,,,,,,,,,,,,,,,,26.605801281929015
2024-05-31,64,64,64,64,64,64,0.8258922754713401,,,,,-0.689566815265429,15.634500175714493,,,,,,,,,,,,,,,,,,,,29.155051479339598
2024-06-30,65,65,65,65,65,65,0.8153518108069182,,,,,-0.5542827190019749,24.664573788642883,,,,,,,,,,,,,,,,,,,,23.29832201004028
2024-07-31,66,66,66,66,66,66,0.8164400710918263,,,,,-0.6532578693128213,14.80022343993187,,,,,,,,,,,,,,,,,,,,20.554489736557006
2024-08-31,67,67,67,67,67,67,0.8285383126097426,,,,,-0.5230561782562287,27.198787927627563,,,,,,,,,,,,,,,,,,,,22.419430866241452
2024-09-30,68,68,68,68,68,68,0.8383388502031379,,,,,-0.6245291820894032,14.848895788192749,,,,,,,,,,,,,,,,,,,,25.66618848800659
2024-10-31,69,69,69,69,69,69,0.8262815789815844,,,,,-0.7611249399838119,24.996659576892853,,,,,,,,,,,,,,,,,,,,29.061780128479
2024-11-30,70,70,70,70,70,70,0.8271321578121766,,,,,-0.6545494421628102,24.239485502243042,,,,,,,,,,,,,,,,,,,,29.852982864379882
2024-12-31,71,71,71,71,71,71,0.8610489285593034,,,,,-0.5624740264428191,17.130635112524033,,,,,,,,,,,,,,,,,,,,28.631115465164182
2025-01-31,72,72,72,72,72,72,0.8231372400056228,,,,,-0.7497632777385294,25.577483117580414,,,,,,,,,,,,,,,,,,,,30.572474317550657
2025-02-28,73,73,73,73,73,73,0.814362108177048,,,,,-0.6817542170131534,21.52755719423294,,,,,,,,,,,,,,,,,,,,31.279002418518065
2025-03-31,74,74,74,74,74,74,0.8615230621908367,,,,,-0.48197624232077374,26.568727552890778,,,,,,,,,,,,,,,,,,,,28.47497407913208
2025-04-30,75,75,75,75,75,75,0.8206608994789437,,,,,-0.7916605865922063,18.66360852122307,,,,,,,,,,,,,,,,,,,,25.594131050109862
2025-05-31,76,76,76,76,76,76,0.808293789055717,,,,,-0.7320790755309343,27.41784906387329,,,,,,,,,,,,,,,,,,,,25.12951142311096
2025-06-30,77,77,77,77,77,77,0.8356653948209971,,,,,-0.8746656990997672,27.638883590698242,,,,,,,,,,,,,,,,,,,,25.743808226585386
2025-07-31,78,78,78,78,78,78,0.8077469462296665,,,,,-0.730927116256976,27.756941497325897,,,,,,,,,,,,,,,,,,,,21.880333890914915
2025-08-31,79,79,79,79,79,79,0.8122108114276887,,,,,-0.7433630887699276,20.62217003107071,,,,,,,,,,,,,,,,,,,,21.85635073661804
2025-09-30,80,80,80,80,80,80,0.8108188624181271,,,,,-0.762214143102616,11.199405550956726,,,,,,,,,,,,,,,,,,,,21.580169725418088
2025-10-31,81,81,81,81,81,81,0.8146176450630606,,,,,-0.8298495571042716,22.034376740455627,,,,,,,,,,,,,,,,,,,,27.584259672164915
2025-11-30,82,82,82,82,82,82,0.8106123511394621,,,,,-0.7368336504715114,20.862027525901794,,,,,,,,,,,,,,,,,,,,27.836670303344725
2025-12-31,83,83,83,83,83,83,0.8397524556746543,,,,,-0.7523380105423778,22.79406374692917,,,,,,,,,,,,,,,,,,,,27.461393642425534
