period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,365000.0,392500.0,230.71462375769048,241.10032341780027,41.0,50.0,70.0,138.0,3.4,36.0,0.9883089224027126,0.1219512195121951,0.2318840579710145,0.4,0.85,0.0
2019-02-28,376500.0,374450.0,234.59597775540533,239.6288209606987,50.0,46.0,44.0,114.0,2.3,56.0,0.9798895112036172,0.16,0.2807017543859649,0.3913043478260869,1.69,0.0168231815326593
2019-03-31,400000.0,399000.0,229.2423595502601,242.7299703264095,65.0,53.0,74.0,113.0,1.7,23.0,0.9879145885304084,0.2461538461538461,0.2743362831858406,0.4716981132075471,2.23,-0.0228205882145474
2019-04-30,377000.0,388400.0,235.3896103896104,251.5456506110712,56.0,55.0,103.0,144.0,2.6,41.0,0.9837631643305496,0.1964285714285714,0.3055555555555555,0.5454545454545454,2.97,0.0268155102373326
2019-05-31,367000.0,392500.0,249.30084997622444,249.59037378392216,64.0,77.0,102.0,159.0,2.5,15.0,0.9933080402390088,0.234375,0.2389937106918239,0.3506493506493506,3.94,0.0590987833472707
2019-06-30,390000.0,419000.0,246.71772428884023,241.33865317244064,83.0,82.0,85.0,153.0,1.8,32.0,0.9892329173137712,0.289156626506024,0.261437908496732,0.4390243902439024,3.78,-0.0103614796645521
2019-07-31,385000.0,400000.0,243.0555555555556,243.52329913077577,75.0,67.0,75.0,155.0,2.1,18.0,0.9859973080193292,0.3066666666666666,0.1870967741935483,0.3134328358208955,3.17,-0.014843557526484
2019-08-31,400500.0,399749.5,234.0188993885492,252.38755147291727,76.0,78.0,70.0,129.0,1.7,36.0,0.988682961354943,0.2763157894736842,0.2480620155038759,0.3461538461538461,2.06,-0.0371793853728263
2019-09-30,392500.0,402325.0,246.75555254948048,251.3107755144322,74.0,60.0,62.0,119.0,1.6,38.0,0.990050356036152,0.2972972972972973,0.2184873949579831,0.3833333333333333,2.47,0.0544257459299653
2019-10-31,403000.0,399950.0,240.2097902097902,249.51078534505183,73.0,64.0,84.0,120.0,1.6,37.0,0.993385109974242,0.3150684931506849,0.2333333333333333,0.515625,1.82,-0.0265273152804846
2019-11-30,415000.0,410000.0,262.05388907613377,250.4835589941973,59.0,59.0,53.0,102.0,1.7,20.0,0.9842592540844208,0.2203389830508474,0.2549019607843137,0.3898305084745762,1.61,0.0909375877114155
2019-12-31,395000.0,397475.0,249.22048997772828,262.00894659397466,85.0,42.0,42.0,86.0,1.0,32.0,0.992742004405268,0.3294117647058823,0.2093023255813953,0.3809523809523809,1.36,-0.0489723664993082
2020-01-31,403500.0,395000.0,254.66998754669987,250.86073300102248,59.0,39.0,47.0,78.0,1.3,53.0,0.9906755361053156,0.3050847457627118,0.282051282051282,0.3333333333333333,1.34,0.0218661698701363
2020-02-29,426000.0,419950.0,250.0,264.09352722157325,45.0,54.0,70.0,82.0,1.8,26.0,0.9946963980685734,0.4222222222222222,0.073170731707317,0.5555555555555555,1.55,-0.0183374083129583
2020-03-31,420000.0,410000.0,255.8962264150944,258.2148343265256,51.0,42.0,66.0,97.0,1.9,28.0,0.998657430305197,0.4313725490196078,0.1649484536082474,0.4523809523809523,1.53,0.0235849056603776
2020-04-30,425000.0,438250.0,250.7462686567164,264.37999773152615,53.0,44.0,48.0,94.0,1.8,32.0,0.9890448061065084,0.3773584905660377,0.1276595744680851,0.3863636363636363,1.59,-0.0201251805488688
2020-05-31,400000.0,425000.0,245.7956015523933,257.5381679389313,41.0,56.0,68.0,97.0,2.4,27.0,0.9945034767825754,0.3170731707317073,0.1649484536082474,0.4464285714285714,2.59,-0.0197437319041458
2020-06-30,425000.0,402450.0,260.6508875739645,269.82335623159963,58.0,60.0,44.0,74.0,1.3,37.0,0.991876130069626,0.2586206896551724,0.2027027027027027,0.4,2.58,0.0604375583930238
2020-07-31,437500.0,450000.0,242.746864929242,255.2843954056508,62.0,46.0,55.0,73.0,1.2,33.0,0.991367015567168,0.3225806451612903,0.1917808219178082,0.5434782608695651,2.97,-0.0686896669002974
2020-08-31,415000.0,450000.0,265.3061224489796,274.2643391521197,53.0,64.0,71.0,73.0,1.4,34.0,1.0056923804102726,0.4716981132075471,0.0684931506849315,0.640625,2.08,0.0929332600291803
2020-09-30,452500.0,454995.0,276.59574468085106,268.1818181818182,71.0,60.0,74.0,75.0,1.1,10.0,0.9991318217526526,0.4507042253521126,0.0933333333333333,0.5833333333333333,1.8,0.0425531914893617
2020-10-31,454500.0,425000.0,264.814101376196,287.9799666110184,57.0,73.0,70.0,67.0,1.2,9.0,1.0084382669338587,0.5263157894736841,0.1343283582089552,0.5068493150684931,2.08,-0.0425951719475991
2020-11-30,449500.0,468950.0,283.33333333333326,291.5016089024028,64.0,58.0,56.0,62.0,1.0,15.0,1.007651997554834,0.578125,0.0806451612903225,0.6206896551724138,1.81,0.0699329524405831
2020-12-31,455000.0,464750.0,294.42691903259725,270.8480565371025,68.0,43.0,56.0,69.0,1.0,18.0,1.0042606811464916,0.5735294117647058,0.0579710144927536,0.5116279069767442,2.47,0.0391538318797552
2021-01-31,465000.0,450000.0,278.9763184542293,286.5350490552688,49.0,61.0,66.0,69.0,1.4,8.0,1.0131485047043174,0.6326530612244898,0.0869565217391304,0.5081967213114754,2.62,-0.0524768612500998
2021-02-28,451500.0,452450.0,289.44529068291445,299.46929492039425,53.0,63.0,60.0,61.0,1.2,21.0,1.0053058469920917,0.5849056603773584,0.1967213114754098,0.6349206349206348,3.79,0.0375263831951484
2021-03-31,465500.0,469950.0,291.3397394086894,291.76731627770204,72.0,63.0,70.0,62.0,0.9,14.0,1.0143540866461156,0.611111111111111,0.096774193548387,0.5555555555555555,3.65,0.0065451012220831
2021-04-30,460500.0,480000.0,308.4006362031959,298.26388888888886,63.0,59.0,66.0,64.0,1.0,9.0,1.0257979043944558,0.7301587301587301,0.078125,0.6779661016949152,3.01,0.058560142976491
2021-05-31,508000.0,525000.0,303.3707574503311,294.82071713147405,66.0,65.0,63.0,57.0,0.9,9.0,1.0233722657417168,0.7272727272727272,0.1052631578947368,0.5692307692307692,2.54,-0.0163095602356371
2021-06-30,460500.0,515000.0,325.2240383358919,308.99771858428903,50.0,78.0,83.0,56.0,1.1,18.0,1.016248044111393,0.62,0.1964285714285714,0.7435897435897436,2.64,0.0720348957467948
2021-07-31,530000.0,490000.0,303.81231671554247,310.2652137134896,80.0,68.0,74.0,60.0,0.8,11.0,1.018294061156472,0.7125,0.2999999999999999,0.5441176470588234,3.11,-0.0658368358314135
2021-08-31,529000.0,545000.0,305.4205610897332,300.1111728738188,65.0,78.0,61.0,42.0,0.5999999999999999,15.0,1.0237195367667964,0.7692307692307692,0.2142857142857142,0.6025641025641025,2.6,0.0052935456718055
2021-09-30,543500.0,559900.0,321.3649851632048,332.08993357179355,70.0,54.0,63.0,50.0,0.6999999999999998,10.0,1.0255877541043703,0.7285714285714285,0.12,0.5925925925925924,2.84,0.0522048156043661
2021-10-31,542500.0,547500.0,307.945463093559,311.98603401875295,64.0,69.0,78.0,56.0,0.9,13.0,1.0124686873604825,0.671875,0.1428571428571428,0.6666666666666666,3.01,-0.0417578849258598
2021-11-30,568000.0,499250.0,306.6150520083901,319.12421663279133,66.0,61.0,50.0,43.0,0.6999999999999998,11.0,1.015880044124402,0.6363636363636364,0.2325581395348837,0.6065573770491803,3.4,-0.0043202814933652
2021-12-31,499000.0,525000.0,310.70195627157653,323.8971263734245,60.0,40.0,44.0,44.0,0.6999999999999998,10.0,1.0110339413522749,0.5166666666666667,0.0681818181818181,0.55,3.28,0.0133291051317161
2022-01-31,535000.0,499000.0,314.6258503401361,345.7943925233645,51.0,46.0,46.0,40.0,0.8,12.0,1.0131129364332296,0.6470588235294118,0.125,0.7391304347826086,3.34,0.0126291257243638
2022-02-28,535000.0,580000.0,355.2506398599044,334.88074494631,36.0,52.0,60.0,46.0,1.3,10.0,1.0269530686108106,0.75,0.0434782608695652,0.6346153846153845,3.59,0.1291209526358041
2022-03-31,555000.0,549000.0,353.8671462148818,341.55928406224564,57.0,64.0,84.0,63.0,1.1,10.0,1.0376667547852565,0.807017543859649,0.1587301587301587,0.703125,4.97,-0.0038944156316458
2022-04-30,588000.0,560000.0,343.4050551911694,327.8032786885246,55.0,54.0,61.0,65.0,1.2,11.0,1.0187228330842009,0.6727272727272727,0.1692307692307692,0.5555555555555555,5.38,-0.0295650249977131
2022-05-31,562500.0,552500.0,363.10232426303855,343.26647564469914,63.0,59.0,72.0,74.0,1.2,17.0,1.0249262036862057,0.7936507936507936,0.2297297297297297,0.4915254237288135,5.69,0.0573587044631707
2022-06-30,540000.0,597000.0,346.37223974763407,335.7401495734714,60.0,49.0,70.0,93.0,1.6,14.0,1.0172057756370072,0.6333333333333333,0.2473118279569892,0.4489795918367346,4.58,-0.0460753991298741
2022-07-31,555000.0,559000.0,337.5267665952891,338.83101851851853,45.0,66.0,78.0,103.0,2.3,24.0,0.9906081077691328,0.511111111111111,0.3300970873786408,0.5,3.89,-0.0255374771338193
2022-08-31,582500.0,550000.0,337.0245546461242,353.9439853225838,55.0,49.0,57.0,104.0,1.9,16.0,1.0025931838502764,0.4,0.4038461538461538,0.4081632653061224,3.23,-0.0014879174005392
2022-09-30,549000.0,527000.0,332.03125,362.23958333333337,59.0,47.0,48.0,93.0,1.6,25.0,1.002439250257816,0.3898305084745762,0.4301075268817204,0.425531914893617,2.7,-0.0148158482142857
