period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,1130000.0,749500.0,480.7692307692308,506.769690331265,3.0,,2.0,9.0,3.0,52.0,0.9429586947542336,0.0,,,3.51,0.0
2019-02-28,1150000.0,829500.0,362.653023081955,501.64950495049504,2.0,2.0,8.0,13.0,6.5,114.0,0.9292248435243138,0.0,0.0769230769230769,0.5,2.88,-0.2456817119895336
2019-03-31,850000.0,869000.0,423.4411121603755,516.1290322580645,4.0,2.0,8.0,17.0,4.3,76.0,0.9901457735469,0.5,,0.0,2.82,0.1676205221228313
2019-04-30,825000.0,832000.0,434.57674096315975,520.7308094424743,4.0,6.0,4.0,14.0,3.5,53.0,1.0085939519255622,0.5,,0.3333333333333333,2.45,0.0262979396260576
2019-05-31,975000.0,844000.0,516.8515358361775,527.6816608996539,5.0,4.0,4.0,14.0,2.8,88.0,0.9736803947654497,0.2,0.1428571428571428,0.5,2.87,0.1893216712212226
2019-06-30,1650000.0,849000.0,377.2489182418584,548.3027507434441,5.0,1.0,3.0,11.0,2.2,32.0,0.9846133611943768,0.4,0.0909090909090909,0.0,2.65,-0.2701019691630903
2019-07-31,963250.0,800000.0,425.71655474756255,534.8639455782313,4.0,3.0,5.0,10.0,2.5,64.0,0.98600741259716,0.25,0.2,0.3333333333333333,2.01,0.1284765420443989
2019-08-31,1060000.0,834000.0,523.6662566261073,543.2627737226278,2.0,1.0,4.0,12.0,6.0,117.0,0.9225413402959096,0.0,0.0833333333333333,1.0,1.75,0.2300819660081718
2019-09-30,1574545.0,847000.0,426.3593284592473,564.4714407502131,5.0,2.0,3.0,12.0,2.4,129.0,1.0235994924697691,0.5999999999999999,0.1666666666666666,0.5,1.08,-0.1858185952132794
2019-10-31,1268000.0,919900.0,364.5200486026732,579.3397231096912,3.0,3.0,3.0,11.0,3.7,104.0,1.0535058242736255,1.0,0.2727272727272727,0.0,1.71,-0.1450402881532938
2019-11-30,1250000.0,814500.0,441.6550441655044,557.1519795657728,3.0,3.0,2.0,7.0,2.3,65.0,0.9682240088744152,0.0,0.2857142857142857,0.0,1.75,0.2116070044940334
2019-12-31,825000.0,,448.00033035327147,,2.0,1.0,,5.0,2.5,49.0,0.9720371805892226,0.0,,0.0,1.9,0.0143670637788282
2020-01-31,957250.0,849500.0,466.9252264788572,521.091811414392,2.0,,6.0,11.0,5.5,117.0,0.9441545846394984,0.0,0.1818181818181818,,1.72,0.0422430405590605
2020-02-29,1230000.0,825000.0,464.326160815402,561.4973262032086,1.0,,2.0,9.0,9.0,284.0,0.9723320158102768,0.0,,,2.31,-0.0055663423521901
2020-03-31,1405000.0,898450.0,533.0,565.4911648727775,3.0,4.0,3.0,8.0,2.7,63.0,1.078968253968254,0.6666666666666666,,0.25,1.56,0.1479000000000001
2020-04-30,1583500.0,847500.0,422.0908763585819,555.3968253968254,2.0,3.0,1.0,5.0,2.5,63.0,0.997036388061445,0.5,0.2,0.0,6.01,-0.2080846597399964
2020-05-31,,,,,,,,,,,,,,,6.96,0.0
2020-06-30,955000.0,900000.0,590.9653465346536,570.1473414477899,1.0,3.0,3.0,6.0,6.0,22.0,1.0213903743315509,1.0,0.5,0.3333333333333333,5.95,0.4000903114347502
2020-07-31,1040000.0,899000.0,477.50229568411385,534.3644957983194,1.0,1.0,5.0,9.0,9.0,4.0,0.9952153110047846,0.0,0.2222222222222222,1.0,4.69,-0.1919961153659394
2020-08-31,937500.0,899000.0,487.4558519059798,540.133779264214,4.0,3.0,2.0,8.0,2.0,62.0,1.006130818517692,0.75,0.375,0.0,8.51,0.0208450437031
2020-09-30,,,,,,,,,,,,,,,7.43,0.0
2020-10-31,912500.0,899949.5,456.4387269464895,546.1922596754057,2.0,6.0,5.0,11.0,5.5,18.0,1.0150166852057845,0.5,0.0909090909090909,0.1666666666666666,8.31,-0.0636306341142722
2020-11-30,887000.0,883900.0,521.8855218855219,568.421052631579,5.0,2.0,2.0,8.0,1.6,44.0,0.9688947158611076,0.2,,0.0,8.22,0.1433857187729494
2020-12-31,1285000.0,950000.0,436.5079365079365,607.614369051274,5.0,7.0,2.0,3.0,0.5999999999999999,68.0,0.9687337343549796,0.0,0.6666666666666666,0.0,8.35,-0.163594470046083
2021-01-31,1108750.0,899000.0,465.7451923076923,575.2311939268461,4.0,1.0,5.0,7.0,1.8,38.0,0.9566983182646758,0.25,0.4285714285714285,0.0,7.99,0.0669798951048952
2021-02-28,1147500.0,989000.0,416.00179977064585,581.3178294573644,2.0,3.0,4.0,7.0,3.5,65.0,0.9971387696709584,0.0,0.1428571428571428,0.6666666666666666,11.42,-0.1068038776537358
2021-03-31,887500.0,920000.0,435.4353638489146,584.2318059299191,2.0,6.0,6.0,6.0,3.0,112.0,0.9924888337375768,0.5,0.3333333333333333,0.6666666666666666,9.86,0.046715096158197
2021-04-30,885000.0,959000.0,430.44747081712063,619.5748449955713,5.0,4.0,7.0,8.0,1.6,41.0,1.022476268215136,0.4,0.125,0.25,8.61,-0.0114549562252014
2021-05-31,1622500.0,875000.0,479.5840582430274,601.6949152542372,6.0,2.0,11.0,16.0,2.7,12.0,1.013441018963375,0.5,0.0625,1.0,7.98,0.1141523432176998
2021-06-30,1250000.0,899000.0,703.037120359955,615.5437085022018,3.0,8.0,6.0,14.0,4.7,35.0,1.0900164945989717,1.0,0.0714285714285714,0.25,9.1,0.4659309630423403
2021-07-31,1130000.0,969000.0,423.7018158649252,637.8600823045267,7.0,5.0,5.0,14.0,2.0,22.0,1.0205561686984168,0.5714285714285714,0.2142857142857142,0.5999999999999999,7.05,-0.3973265371137303
2021-08-31,1699000.0,999000.0,475.3777280358142,639.2045454545455,7.0,4.0,5.0,12.0,1.7,53.0,0.9897581757361464,0.2857142857142857,0.0833333333333333,0.25,7.17,0.1219629235371582
2021-09-30,1321500.0,989000.0,538.0794701986755,644.8713672554493,8.0,6.0,3.0,6.0,0.8,62.0,0.9784727217533704,0.375,,0.5,8.12,0.1318987795703745
2021-10-31,1750000.0,957000.0,557.3945541911372,619.9670078103959,3.0,,4.0,8.0,2.7,20.0,1.0120342743135178,0.6666666666666666,,,9.01,0.0358963407121442
2021-11-30,1035000.0,945000.0,476.1109254928165,608.8642659279777,3.0,4.0,6.0,10.0,3.3,42.0,1.002018396749767,0.6666666666666666,0.2,0.0,8.34,-0.1458278127892286
2021-12-31,1215000.0,967500.0,530.3724541404555,652.5520902910305,6.0,4.0,1.0,4.0,0.6999999999999998,44.0,1.0045028743296207,0.5,,0.25,8.25,0.1139682492929008
2022-01-31,1502500.0,1027000.0,470.8242744386856,663.671875,4.0,6.0,3.0,1.0,0.2999999999999999,63.0,1.01377022172145,0.75,,0.3333333333333333,6.37,-0.1122761546850622
2022-02-28,800000.0,1125000.0,355.55555555555554,658.4158415841584,1.0,1.0,5.0,5.0,5.0,55.0,0.9685230024213076,0.0,,1.0,9.09,-0.244823228412666
2022-03-31,1163000.0,1097450.0,575.3138075313808,690.56485247571,3.0,1.0,3.0,7.0,2.3,11.0,1.0466090265702102,0.6666666666666666,,0.0,10.12,0.6180700836820086
2022-04-30,1475000.0,1075000.0,552.7115615537977,671.3325867861142,2.0,4.0,5.0,8.0,4.0,47.0,1.0149907632160493,0.5,0.125,0.0,7.91,-0.0392868130083081
2022-05-31,1420000.0,1142500.0,583.4018077239112,695.0843048655081,1.0,4.0,4.0,8.0,8.0,33.0,1.015736766809728,1.0,0.375,0.25,8.99,0.0555266947625201
2022-06-30,1132000.0,1068500.0,573.7704918032787,651.9808312157852,5.0,2.0,8.0,14.0,2.8,37.0,0.9934706255841312,0.2,0.0714285714285714,0.0,8.97,-0.0165088894019856
2022-07-31,1251500.0,1080000.0,518.5518584903701,672.2988505747127,2.0,3.0,4.0,15.0,7.5,49.0,0.9731468659835228,0.0,0.1333333333333333,0.3333333333333333,8.64,-0.096238189488212
2022-08-31,1300000.0,1100000.0,515.1378219611387,690.405315149226,7.0,7.0,2.0,9.0,1.3,41.0,0.96370420851969,0.1428571428571428,,0.1428571428571428,7.46,-0.0065837899784421
2022-09-30,1375000.0,1149000.0,488.29152945068495,674.6839148562996,4.0,5.0,3.0,4.0,1.0,81.0,0.999576118326118,0.25,,0.2,8.76,-0.0521147766014334
2022-10-31,1290000.0,1049500.0,583.710407239819,639.9376303447466,1.0,1.0,1.0,4.0,4.0,221.0,0.9555555555555556,0.0,0.5,0.0,9.51,0.1954137478003719
2022-11-30,1150000.0,949500.0,604.3123543123543,641.8387135629969,3.0,1.0,2.0,4.0,1.3,47.0,0.9565847665847668,0.0,0.25,0.0,10.06,0.0352948085506223
2022-12-31,1561250.0,1150000.0,533.9867581623618,669.3638392857143,4.0,1.0,4.0,6.0,1.5,48.0,0.9097317670424048,0.0,,0.0,8.9,-0.116372924776651
