period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,315000.0,334500.0,202.922077922078,214.06006336239625,41.0,44.0,50.0,124.0,3.0,74.0,0.9751312892955069,0.1951219512195122,0.2741935483870967,0.2727272727272727,6.79,0.0
2019-02-28,316000.0,359900.0,210.3105787303052,207.828394515701,42.0,52.0,53.0,110.0,2.6,33.0,0.9807257695655938,0.2142857142857142,0.2818181818181818,0.4807692307692307,8.61,0.0364105319829437
2019-03-31,326250.0,339950.0,202.8152645075072,213.9635135135135,68.0,45.0,77.0,118.0,1.7,38.0,0.9756608827422852,0.1470588235294117,0.211864406779661,0.4666666666666666,12.3,-0.0356392639307493
2019-04-30,320000.0,370000.0,211.1760883690708,217.90341578327445,55.0,71.0,79.0,116.0,2.1,51.0,0.9866444612429603,0.3272727272727272,0.293103448275862,0.5352112676056336,11.74,0.0412238392502952
2019-05-31,327500.0,359975.0,213.95385511184435,214.84310973700963,68.0,71.0,86.0,123.0,1.8,14.0,0.986440292280714,0.25,0.3414634146341463,0.5774647887323943,12.81,0.0131537938988568
2019-06-30,351000.0,354450.0,216.99452898442405,219.9197592279375,54.0,55.0,78.0,138.0,2.6,14.0,0.9844717090503008,0.3148148148148148,0.3333333333333333,0.4181818181818181,12.13,0.0142118209133936
2019-07-31,355000.0,359000.0,214.0255009107468,220.0818431911967,61.0,64.0,81.0,146.0,2.4,19.0,0.9903705850314845,0.360655737704918,0.3287671232876712,0.5625,9.61,-0.013682501985524
2019-08-31,335000.0,369900.0,220.84805653710248,212.4323231675607,79.0,57.0,74.0,142.0,1.8,14.0,0.9928057265230844,0.3544303797468354,0.3309859154929577,0.5789473684210527,5.3,0.0318773024584617
2019-09-30,370000.0,359000.0,220.2729044834308,221.5488215488216,55.0,63.0,55.0,120.0,2.2,10.0,0.9844035227475528,0.2181818181818181,0.5083333333333333,0.3492063492063491,3.84,-0.0026042884990253
2019-10-31,365000.0,348950.0,216.29731725996493,216.5147633897634,64.0,64.0,70.0,107.0,1.7,35.0,0.9837131343564044,0.3125,0.4205607476635513,0.46875,3.64,-0.0180484623507787
2019-11-30,332000.0,337000.0,216.51453684922245,222.66241774299527,58.0,36.0,56.0,113.0,1.9,21.0,0.9823435123978506,0.2758620689655172,0.3539823008849557,0.5,2.64,0.0010042639086293
2019-12-31,332000.0,329450.0,216.42685851318944,221.4771704903284,53.0,41.0,36.0,91.0,1.7,36.0,0.9925328505108068,0.2830188679245282,0.2857142857142857,0.4390243902439024,1.07,-0.0004049535763691
2020-01-31,325000.0,340000.0,222.1977225614723,225.984251968504,38.0,40.0,47.0,78.0,2.1,39.0,0.9849657053485544,0.1578947368421052,0.2692307692307692,0.4,0.34,0.0266642693422043
2020-02-29,348750.0,378900.0,209.689506038516,222.2661812172785,46.0,49.0,82.0,99.0,2.2,41.0,0.9992114311367812,0.3260869565217391,0.2525252525252525,0.693877551020408,0.52,-0.0562931805905249
2020-03-31,334000.0,377475.0,218.5132036112205,224.6280957023544,60.0,71.0,86.0,104.0,1.7,12.0,0.9768934364083088,0.3666666666666666,0.2788461538461538,0.647887323943662,0.52,0.0420798243050071
2020-04-30,360500.0,355000.0,228.17672999649807,230.76858974358976,64.0,53.0,55.0,94.0,1.5,22.0,0.9869482270042224,0.34375,0.2872340425531915,0.4150943396226415,0.6,0.0442239929925285
2020-05-31,355000.0,362999.5,219.2982456140351,228.29043834969644,51.0,62.0,50.0,73.0,1.4,19.0,0.9859941799344704,0.3137254901960784,0.3424657534246575,0.532258064516129,0.66,-0.0389105601723682
2020-06-30,357000.0,399900.0,226.9086658553769,227.86387116378,72.0,72.0,73.0,65.0,0.9,17.0,0.9928821284328072,0.375,0.2923076923076923,0.6805555555555555,1.17,0.0347035163005187
2020-07-31,407500.0,379000.0,229.1429989785105,237.07345286292656,68.0,64.0,89.0,78.0,1.1,10.0,0.9959352991469034,0.4705882352941176,0.2051282051282051,0.734375,1.44,0.0098468391002644
2020-08-31,370000.0,379949.5,237.35320050884576,233.74943952787584,64.0,74.0,74.0,72.0,1.1,8.0,1.0015855779169252,0.515625,0.1944444444444444,0.7567567567567568,1.4,0.0358300343756312
2020-09-30,375000.0,379900.0,238.7014640356461,235.7142857142857,79.0,74.0,73.0,64.0,0.8,6.0,1.0003945821647815,0.5316455696202531,0.390625,0.7162162162162162,1.09,0.0056804101394456
2020-10-31,375000.0,380000.0,240.86378737541528,248.5746864310148,77.0,68.0,75.0,67.0,0.9,7.0,1.0009053508213184,0.4935064935064935,0.2238805970149253,0.676470588235294,1.07,0.0090586932447396
2020-11-30,384000.0,375000.0,242.04594211030067,249.8117184010165,64.0,64.0,68.0,63.0,1.0,7.0,1.0090168843096006,0.5,0.4126984126984126,0.703125,0.92,0.004907980347593
2020-12-31,379750.0,389900.0,248.00329456396943,240.21673690547863,74.0,51.0,35.0,43.0,0.5999999999999999,10.0,0.999966027083705,0.4729729729729729,0.2093023255813953,0.3725490196078431,1.52,0.0246124863805978
2021-01-31,381000.0,379900.0,243.0509861438929,244.67592592592592,48.0,38.0,49.0,49.0,1.0,17.0,1.0079585735411547,0.4583333333333333,0.2244897959183673,0.6052631578947368,1.98,-0.0199687202897183
2021-02-28,410000.0,379994.0,235.00764261567127,253.261536981964,36.0,60.0,48.0,33.0,0.9,7.0,1.0008787042663825,0.5555555555555555,0.303030303030303,0.6666666666666666,1.9,-0.0330932355216191
2021-03-31,395000.0,424900.0,248.12463935372188,251.90631808278863,71.0,67.0,85.0,47.0,0.6999999999999998,8.0,1.0021854534812844,0.5492957746478873,0.1914893617021276,0.7910447761194029,1.44,0.0558151921871834
2021-04-30,442500.0,432475.0,263.8123284127007,257.371486279685,62.0,76.0,80.0,49.0,0.8,7.0,1.0181425068401433,0.6290322580645161,0.2857142857142857,0.7368421052631579,1.28,0.0632250352074659
2021-05-31,435000.0,430000.0,260.67527308838135,265.0273224043716,67.0,68.0,73.0,52.0,0.8,7.0,1.0249578547572047,0.7164179104477612,0.2692307692307692,0.7352941176470588,1.4,-0.011891238530035
2021-06-30,435000.0,429900.0,265.6804733727811,263.8169737911811,69.0,74.0,82.0,57.0,0.8,7.0,1.0193900861993777,0.5942028985507246,0.2807017543859649,0.8783783783783784,1.24,0.0192009016624401
2021-07-31,450000.0,439450.0,269.8863636363636,268.14935652409923,83.0,60.0,84.0,73.0,0.9,7.0,1.0310410755219723,0.7469879518072288,0.3561643835616438,0.75,1.15,0.0158306337315246
2021-08-31,448000.0,449900.0,278.0618948474864,273.7611508103312,60.0,74.0,77.0,75.0,1.3,10.0,1.0145747741908648,0.6333333333333333,0.3733333333333333,0.5405405405405405,1.22,0.0302924945927918
2021-09-30,431000.0,459000.0,280.73173218206875,277.3231622746186,64.0,68.0,85.0,88.0,1.4,14.0,1.0164085787617396,0.609375,0.3522727272727272,0.5294117647058822,1.66,0.0096015936885085
2021-10-31,445000.0,424950.0,275.5326965466569,281.16789590306007,55.0,91.0,70.0,62.0,1.1,15.0,1.0030843712322832,0.5454545454545454,0.4354838709677419,0.5384615384615384,1.72,-0.0185195866352579
2021-11-30,455500.0,452450.0,278.09585601746846,278.3528879895995,86.0,45.0,54.0,57.0,0.6999999999999998,11.0,1.0021946886386035,0.4883720930232557,0.3684210526315789,0.4666666666666666,1.83,0.0093025601060654
2021-12-31,437500.0,439950.0,278.55476069139127,273.2080994028688,60.0,47.0,30.0,36.0,0.5999999999999999,15.0,1.0052151646470426,0.5166666666666667,0.25,0.5957446808510638,1.94,0.0016501672498636
