period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,727500.0,449900.0,231.69833669312217,267.85714285714283,4.0,,5.0,8.0,2.0,132.0,0.971522354256926,0.0,0.25,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,0.0
2019-03-31,439000.0,463997.5,231.05263157894737,275.6376888735912,1.0,2.0,2.0,9.0,9.0,6.0,1.0233100233100234,1.0,0.1111111111111111,0.0,0.07,-0.0027868353454346
2019-04-30,697500.0,474998.5,280.23164029390216,268.75292602996257,4.0,4.0,3.0,8.0,2.0,59.0,0.969707970655304,0.0,0.125,0.25,0.07,0.2128476459189388
2019-05-31,1187500.0,456855.0,318.45627317211944,273.474982864976,2.0,3.0,5.0,10.0,5.0,22.0,1.0116279069767442,0.5,0.2,0.6666666666666666,0.07,0.1364037010172296
2019-06-30,515000.0,,280.6467181467182,,4.0,1.0,,5.0,1.3,137.0,0.9611551238148978,0.0,,0.0,0.0,-0.1187276188620279
2019-07-31,720000.0,469999.5,244.75524475524475,266.4038709277654,3.0,2.0,3.0,6.0,2.0,5.0,0.9831975306257305,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.1278884486107186
2019-08-31,425000.0,464777.0,250.14714537963508,269.22213911742705,1.0,1.0,2.0,6.0,6.0,100.0,0.9906759906759904,0.0,0.5,1.0,0.0,0.0220297654082233
2019-09-30,,,,,,,,,,,,,,,0.63,0.0
2019-10-31,640000.0,476212.0,213.3333333333333,260.1129783941648,1.0,2.0,1.0,2.0,2.0,6.0,0.9846911300869295,0.0,,0.0,0.63,-0.1471686274509805
2019-11-30,450000.0,475000.0,450.0,266.09582115009744,1.0,2.0,1.0,1.0,1.0,83.0,1.0,0.0,1.0,0.5,0.63,1.1093750000000004
2019-12-31,627000.0,,316.5068977714892,,2.0,,,,,15.0,0.90625,0.0,,,0.1,-0.2966513382855795
2020-01-31,,,,,,,,,,,,,,,0.57,0.0
2020-02-29,1150000.0,495000.0,260.0633197648123,280.422443723896,1.0,2.0,1.0,2.0,2.0,128.0,0.9787234042553192,0.0,,0.5,1.16,-0.1783328527880231
2020-03-31,670000.0,480000.0,354.68501852832185,276.5382177738125,1.0,1.0,1.0,2.0,2.0,24.0,1.0307692307692309,1.0,,0.0,1.49,0.3638410016802078
2020-04-30,755000.0,,379.587732528909,,1.0,,,1.0,1.0,92.0,1.0066666666666666,1.0,,,1.92,0.0702107861897149
2020-05-31,865000.0,482000.0,389.4642053129221,280.551428975665,1.0,4.0,3.0,,,28.0,0.9885714285714284,0.0,,0.75,2.21,0.0260189461819895
2020-06-30,530000.0,479900.0,366.27505183137527,292.3233350279614,1.0,,3.0,3.0,3.0,5.0,1.1397849462365592,1.0,,,2.53,-0.0595411674942376
2020-07-31,2322500.0,,541.7541404245393,,1.0,2.0,,1.0,1.0,8.0,0.9737945492662474,0.0,,0.0,2.56,0.4790910211213364
2020-08-31,1465000.0,497000.0,661.2858271333812,302.05453149001534,2.0,,3.0,4.0,2.0,31.0,0.9314685314685314,0.0,,,2.5,0.2206382522802175
2020-09-30,867500.0,499000.0,587.8167898627244,301.8000025172081,2.0,3.0,4.0,5.0,2.5,44.0,1.0099992969335707,0.5,,0.6666666666666666,2.4,-0.1111002750340786
2020-10-31,566750.0,515000.0,558.1349206349206,294.249022892239,2.0,3.0,2.0,4.0,2.0,6.0,0.9844230769230768,0.0,,0.6666666666666666,3.09,-0.0504951027933984
2020-11-30,858250.0,,287.63928558834937,,2.0,2.0,,,,48.0,0.9542013264736874,0.0,,1.0,2.96,-0.484642019422225
2020-12-31,,,,,,,,,,,,,,,2.62,0.0
2021-01-31,,,,,,,,,,,,,,,2.36,0.0
2021-02-28,,,,,,,,,,,,,,,3.21,0.0
2021-03-31,616000.0,556000.0,357.7235772357724,315.5067308092829,1.0,,2.0,4.0,4.0,8.0,1.0266666666666666,1.0,,,4.37,0.2436534060501147
2021-04-30,,,,,,,,,,,,,,,3.71,0.0
2021-05-31,762500.0,,544.695721174388,,2.0,1.0,,1.0,0.5,71.0,0.9127471891833268,0.0,1.0,0.0,3.67,0.5226721296465846
2021-06-30,,,,,,,,,,,,,,,2.99,0.0
2021-07-31,823500.0,572000.0,295.8283080728661,336.3467967832294,2.0,,2.0,4.0,2.0,20.0,1.017047152677196,0.5,,,3.23,-0.4568925428034441
2021-08-31,1048000.0,565000.0,386.7158671586716,333.10775637688704,1.0,2.0,3.0,5.0,5.0,3.0,1.103157894736842,1.0,0.2,0.5,3.12,0.3072307707057526
2021-09-30,,,,,,,,,,,,,,,2.7,0.0
2021-10-31,650000.0,577000.0,350.0,340.80309824704443,5.0,3.0,1.0,2.0,0.4,64.0,0.9772082869092517,0.2,,0.0,2.96,-0.094942748091603
2021-11-30,650000.0,,,,1.0,1.0,,1.0,1.0,33.0,1.0835139189864975,1.0,,0.0,2.12,0.0
2021-12-31,,,,,,,,,,,,,,,2.54,0.0
2022-01-31,,,,,,,,,,,,,,,2.28,0.0
2022-02-28,,,,,,,,,,,,,,,2.64,0.0
2022-03-31,,,,,,,,,,,,,,,3.38,0.0
2022-04-30,,,,,,,,,,,,,,,4.08,0.0
2022-05-31,,,,,,,,,,,,,,,4.1,0.0
2022-06-30,1235000.0,629500.0,593.75,347.7389657796876,1.0,,2.0,2.0,2.0,56.0,0.95,0.0,,,4.95,0.6964285714285714
2022-07-31,,,,,,,,,,,,,,,4.96,0.0
2022-08-31,,,,,,,,,,,,,,,5.39,0.0
2022-09-30,,,,,,,,,,,,,,,4.36,0.0
2022-10-31,676000.0,590000.0,384.09090909090907,328.99305555555554,1.0,1.0,1.0,,,99.0,0.9037433155080212,0.0,,1.0,4.27,-0.35311004784689
2022-11-30,,,,,,,,,,,,,,,4.27,0.0
2022-12-31,,,,,,,,,,,,,,,5.33,0.0
2023-01-31,,,,,,,,,,,,,,,4.5,0.0
2023-02-28,,,,,,,,,,,,,,,4.75,0.0
2023-03-31,,,,,,,,,,,,,,,2.86,0.0
2023-04-30,1025000.0,,308.921036769138,,1.0,,,2.0,2.0,126.0,1.0,0.0,,,3.22,-0.1957085433229541
2023-05-31,,,,,,,,,,,,,,,3.27,0.0
2023-06-30,,,,,,,,,,,,,,,3.51,0.0
2023-07-31,480000.0,,365.0190114068441,,3.0,1.0,,,,199.0,0.8928527502177585,0.0,,0.0,3.66,0.1815932486321059
2023-08-31,,,,,,,,,,,,,,,3.53,0.0
2023-09-30,,,,,,,,,,,,,,,3.92,0.0
2023-10-31,,,,,,,,,,,,,,,3.6345708912611006,-0.3226152374557424
2023-11-30,,,,,,,,,,,,,,,6.199110282659531,0.9724936742934321
2023-12-31,,,,,,,,,,,,,,,4.800421523451805,-0.5568892313252748
2024-01-31,,,,,,,,,,,,,,,6.417578366994857,0.040455409701000505
2024-02-29,,,,,,,,,,,,,,,6.14771366238594,-0.08865065819205858
2024-03-31,,,,,,,,,,,,,,,2.735062569975853,-0.0994598964634224
2024-04-30,,,,,,,,,,,,,,,3.203808228373527,0.08877468147406961
2024-05-31,,,,,,,,,,,,,,,2.600465301275253,-0.005274912286702774
2024-06-30,,,,,,,,,,,,,,,3.1963438636064527,-0.17151101791404189
2024-07-31,,,,,,,,,,,,,,,3.1116518843173977,-0.056354058307094966
2024-08-31,,,,,,,,,,,,,,,3.014682287573814,-0.029036785382807073
2024-09-30,,,,,,,,,,,,,,,3.5952183258533474,-0.07507622506755199
2024-10-31,,,,,,,,,,,,,,,2.7759212446212764,-0.06405254737949138
2024-11-30,,,,,,,,,,,,,,,4.923566514849663,0.9398822560623343
2024-12-31,,,,,,,,,,,,,,,3.989640320539474,-0.38839350716118537
2025-01-31,,,,,,,,,,,,,,,4.071449552774429,-0.07618504882145533
2025-02-28,,,,,,,,,,,,,,,4.3822044163942335,-0.05593097513361212
2025-03-31,,,,,,,,,,,,,,,3.1159989756345747,0.1527845623256052
2025-04-30,,,,,,,,,,,,,,,2.8625116026401516,0.15500116471441158
2025-05-31,,,,,,,,,,,,,,,2.625781943798065,-0.20897734643937124
2025-06-30,,,,,,,,,,,,,,,3.0116042089462276,-0.22775967880045883
2025-07-31,,,,,,,,,,,,,,,2.6408427149057387,0.010335270134150138
2025-08-31,,,,,,,,,,,,,,,2.738673312664032,0.40242097415480704
2025-09-30,,,,,,,,,,,,,,,3.21716370344162,-0.029175168639527883
2025-10-31,,,,,,,,,,,,,,,2.6161223477125164,-0.30741205762739054
2025-11-30,,,,,,,,,,,,,,,3.9533786845207213,-0.14016419367330044
2025-12-31,,,,,,,,,,,,,,,3.274760494828224,-0.38875055781601325
