period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,597000.0,784000.0,382.29280548313847,464.77762602944233,60.0,46.0,122.0,269.0,4.5,76.0,0.979632501291762,0.1666666666666666,0.1561338289962825,0.5,2.97,0.0
2019-02-28,695000.0,774950.0,418.2878425269299,424.0501277139208,73.0,77.0,164.0,315.0,4.3,65.0,0.984072708834938,0.1643835616438356,0.1492063492063492,0.5974025974025973,5.25,0.0941556747276508
2019-03-31,738000.0,879000.0,424.92917847025495,433.8541666666666,130.0,102.0,179.0,358.0,2.8,29.0,0.9932337011120566,0.2538461538461538,0.1955307262569832,0.4901960784313725,4.58,0.0158774300089714
2019-04-30,827500.0,748000.0,417.03280609256007,426.12942612942607,130.0,133.0,219.0,420.0,3.2,39.0,0.9924837719122034,0.2769230769230769,0.2714285714285714,0.3533834586466165,3.78,-0.0185827963288419
2019-05-31,460150.0,519125.0,279.63281915020565,280.92017831783346,88.0,156.0,120.5,239.5,3.85,145.0,0.9945631954419552,0.1428571428571428,0.280590717299578,0.3141025641025641,3.59,-0.3294704515688835
2019-06-30,695750.0,751950.0,407.9575646099252,420.8443537414966,136.0,139.0,186.0,497.0,3.7,34.0,0.987437631612546,0.2058823529411764,0.3078470824949698,0.2302158273381295,4.09,0.458904451379112
2019-07-31,815000.0,699900.0,435.8178053830228,453.37895637296833,160.0,133.0,197.0,502.0,3.1,53.0,0.9817729990763238,0.2,0.2828685258964143,0.1804511278195488,3.28,0.0682920067917765
2019-08-31,433125.0,449575.0,263.7781624547487,278.4695240474436,72.5,60.0,85.0,255.0,3.1,67.0,0.9820615817895358,0.056338028169014,0.2788844621513944,0.135593220338983,3.91,-0.3947512947000302
2019-09-30,393725.0,487450.0,261.77224251910826,304.8875008109511,55.0,57.5,66.5,235.0,3.9,49.0,0.980272920150875,0.0509259259259259,0.3498920086393088,0.1205357142857142,4.64,-0.0076045716482864
2019-10-31,494700.0,460750.0,288.5154878279739,274.30871216010814,64.5,49.5,67.0,221.0,3.45,57.5,0.9758605770625396,0.0905511811023622,0.3241379310344827,0.1082474226804123,4.32,0.1021622653781311
2019-11-30,710000.0,740000.0,409.63828672950416,484.8484848484849,110.0,76.0,59.0,351.0,3.2,65.0,0.973328090545852,0.0909090909090909,0.1851851851851851,0.131578947368421,17.37,0.4198138540616203
2019-12-31,782500.0,712500.0,420.89036699456005,444.3893038241913,103.0,61.0,44.0,258.0,2.5,69.0,0.9744705116347616,0.1359223300970873,0.1007751937984496,0.1639344262295081,5.06,0.0274683315246018
2020-01-31,461750.0,487475.0,258.15310045305955,313.905070413617,43.5,54.0,74.5,151.5,5.7,86.5,0.9727376947845332,0.0697674418604651,0.1457627118644067,0.4074074074074073,5.17,-0.3866500145953776
2020-02-29,805000.0,795000.0,443.6784138276676,409.2382054313287,108.0,95.0,148.0,307.0,2.8,70.0,0.9814846606546956,0.2314814814814814,0.1400651465798045,0.5789473684210527,5.01,0.7186638976987318
2020-03-31,469500.0,775000.0,263.1068626687025,422.21283783783775,76.5,63.0,173.0,163.0,1.9,103.0,0.988940122044842,0.1033333333333333,0.2087227414330218,0.196,6.12,-0.4069874610332118
2020-04-30,745250.0,720000.0,402.2701062976333,443.29896907216494,81.0,77.0,121.0,342.0,4.2,33.0,0.9892737649805724,0.2222222222222222,0.1169590643274853,0.3116883116883116,8.17,0.5289228955010634
2020-05-31,707500.0,824500.0,400.96205541544094,434.7783094883568,69.0,100.0,236.0,452.0,6.6,38.0,0.98684817142227,0.1884057971014492,0.2146017699115044,0.4099999999999999,9.84,-0.003251673096545
2020-06-30,437250.0,464725.0,265.3823388672088,269.296689000545,67.0,85.0,122.5,246.0,3.1,94.0,0.9935930426859496,0.1325757575757575,0.2484599589322381,0.2041420118343195,8.82,-0.3381360273798393
2020-07-31,452450.0,745000.0,257.26753734540574,397.8899216681377,105.0,95.5,226.0,240.0,3.15,45.0,0.9865172005671766,0.0980861244019138,0.3214285714285714,0.1552631578947368,10.25,-0.0305777752824143
2020-08-31,492818.75,750000.0,292.2709315228333,450.31958163858224,97.5,168.0,209.0,233.5,1.35,145.0,0.9830176858995484,0.0755208333333333,0.3068669527896995,0.3273809523809523,11.65,0.1360583404288284
2020-09-30,479500.0,449950.0,242.648017442906,243.26628663843144,88.0,156.0,97.0,218.5,1.75,74.5,0.9921184726714704,0.1085714285714285,0.2935779816513761,0.3205128205128205,12.02,-0.169783952928109
2020-10-31,503950.0,472450.0,238.0027792531837,260.95830096697296,82.0,74.0,83.0,200.0,1.7,41.0,0.9908834255721496,0.1012269938650306,0.3107769423558897,0.1326530612244898,13.68,-0.0191439363019535
2020-11-30,750000.0,744000.0,411.3924050632912,453.2846918459736,144.0,106.0,96.0,345.0,2.4,47.0,0.9853648625170692,0.1597222222222222,0.1913043478260869,0.160377358490566,12.06,0.7285193322287145
2020-12-31,417450.0,942000.0,243.7063899650619,518.1534152122388,68.0,46.5,52.0,253.0,1.9,58.0,0.9854584567567908,0.0703703703703703,0.1897233201581027,0.0760869565217391,14.21,-0.4076060059310804
2021-01-31,745000.0,700000.0,439.4646890068974,429.96870109546165,85.0,63.0,109.0,248.0,2.9,68.0,0.97433400248055,0.1176470588235294,0.1491935483870967,0.4126984126984126,15.08,0.8032546831041225
2021-02-28,665000.0,892500.0,447.15447154471536,499.6160702043055,139.0,110.0,136.0,229.0,1.6,52.0,1.0002324308234252,0.3669064748201438,0.1135371179039301,0.4,16.06,0.0174980669213613
2021-03-31,812500.0,800000.0,476.4381181100736,493.556815213064,174.0,125.0,206.0,272.0,1.6,37.0,1.0052883851932128,0.4022988505747126,0.088235294117647,0.4,14.86,0.0654888823188921
2021-04-30,985000.0,834500.0,502.69299820466784,483.6792091021434,193.0,181.0,214.0,285.0,1.5,34.0,1.0292496517761882,0.5077720207253886,0.1473684210526315,0.3977900552486187,14.05,0.0551065901249496
2021-05-31,902500.0,880000.0,497.4495139936316,486.6502192982456,178.0,190.0,204.0,283.0,1.6,34.0,1.0325227966182264,0.5168539325842697,0.1378091872791519,0.3421052631578947,13.45,-0.010430788234097
2021-06-30,577225.0,565000.0,316.4329649541949,316.108943577431,108.5,99.5,134.0,170.5,1.3,48.5,1.027253072522897,0.2699530516431925,0.1810089020771513,0.173469387755102,14.31,-0.3638892871483519
2021-07-31,534950.0,554250.0,312.3984315948602,311.9060480306079,96.5,92.5,98.5,167.0,2.85,33.0,1.0266088885614153,0.2473958333333333,0.1515151515151515,0.154891304347826,12.66,-0.0127500412604569
2021-08-31,566250.0,842000.0,290.4367549189762,495.0958123767648,87.0,84.0,168.0,156.0,2.4,61.5,1.0026242196201345,0.1936416184971098,0.1618122977346278,0.122754491017964,19.6,-0.0703002142608879
2021-09-30,538250.0,567500.0,303.4983622231945,318.1681767528477,79.0,74.5,82.5,146.5,1.45,67.5,1.0091319660676987,0.189102564102564,0.2268041237113402,0.1047297297297297,14.32,0.0449722945977071
2021-10-31,602500.0,805000.0,336.46603260079786,533.9425587467363,79.5,145.0,145.0,129.5,1.3,73.0,0.996840869365599,0.1424050632911392,0.2015503875968992,0.2827586206896551,15.3,0.1086255297593954
2021-11-30,499750.0,885000.0,317.2690170024057,519.0972222222222,73.5,54.0,77.0,203.0,1.4,40.5,0.994886391011699,0.160958904109589,0.1182266009852216,0.1448598130841121,17.24,-0.0570548398303509
2021-12-31,916750.0,825000.0,520.0186607079183,488.78665899942496,106.0,69.0,41.0,145.0,1.4,41.0,0.9996369845980017,0.330188679245283,0.0620689655172413,0.2028985507246376,15.8,0.639046464798595
2022-01-31,785000.0,1110000.0,490.0459418070444,525.0009783842311,81.0,84.0,108.0,150.0,1.9,54.0,1.0039924221438192,0.3086419753086419,0.0666666666666666,0.4047619047619047,15.76,-0.0576377756522642
2022-02-28,975000.0,887000.0,548.8726827338426,557.3465592064476,104.0,82.0,109.0,156.0,1.5,26.0,1.0421839937267607,0.4903846153846153,0.0448717948717948,0.3170731707317073,17.34,0.1200433182037474
2022-03-31,645000.0,662850.0,330.0965178224241,360.55143160127255,60.5,59.0,82.0,93.0,1.75,36.0,1.0656877108260987,0.3208333333333333,0.0815217391304347,0.1923076923076923,16.39,-0.3985918261075248
2022-04-30,770000.0,711250.0,344.99182256970755,408.91534583746727,67.0,64.0,95.5,121.5,2.4,35.5,1.0768934986583207,0.3458646616541353,0.0749999999999999,0.1850393700787401,15.65,0.0451240892983195
2022-05-31,730000.0,698500.0,378.043645159054,387.2990214925521,66.5,77.5,100.5,140.5,3.05,43.0,1.0678984382570615,0.3181818181818182,0.1985559566787003,0.2207792207792207,17.06,0.0958046551456104
2022-06-30,662500.0,699475.0,373.5508395845605,357.5248418352476,87.5,82.5,112.5,165.5,2.95,33.0,1.0220087390602053,0.2356321839080459,0.2446483180428134,0.1097560975609756,20.3,-0.0118843568249989
2022-07-31,650000.0,587500.0,375.39306362293456,339.2408672063665,58.5,62.0,77.0,172.5,3.45,50.5,0.9909218511922548,0.1508620689655172,0.3196480938416422,0.1097560975609756,17.46,0.0049316554620058
2022-08-31,662500.0,899000.0,336.4819135726664,543.7219730941704,71.0,72.0,133.0,152.0,2.55,45.5,0.9869228407512756,0.0780141843971631,0.3156146179401993,0.0664335664335664,14.08,-0.1036544193830728
2022-09-30,664450.0,618500.0,366.12245912231,333.4189528449314,56.5,54.0,70.0,150.5,2.85,65.0,0.9868711527775964,0.0803571428571428,0.3120805369127516,0.0887850467289719,19.15,0.0880895654536939
2022-10-31,544500.0,1175000.0,303.5636992088582,565.0916131778883,46.5,39.0,90.0,140.5,2.5,43.5,0.9707277102871898,0.0543478260869565,0.3476702508960573,0.0844155844155844,19.1,-0.1708684030567838
2022-11-30,950000.0,1037500.0,532.9222720478326,578.351070914,68.0,74.0,66.0,228.0,3.4,52.0,0.9692794153448888,0.088235294117647,0.219298245614035,0.0945945945945946,17.29,0.7555533597618036
2022-12-31,544500.0,791750.0,302.54045292179205,531.8548387096774,43.5,34.5,34.0,80.5,1.45,45.5,0.9713359322548796,0.0823529411764705,0.1383647798742138,0.0606060606060606,17.58,-0.432299101031684
2023-01-31,554000.0,889950.0,396.2190296234773,567.9988371607608,27.0,42.0,86.0,87.5,2.15,176.5,0.973719624210146,0.0188679245283018,0.160919540229885,0.4047619047619047,19.16,0.3096398375720735
