period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,321750.0,385085.25,168.73278832454938,163.4790322308696,53.5,50.0,80.0,136.5,2.1,29.5,1.0053749025819605,0.3735294117647058,0.4917452830188679,0.3419243986254295,0.09,0.0
2019-02-28,366510.25,336583.25,160.60838445159516,167.44178720328028,54.5,66.0,83.5,126.0,2.15,36.0,0.9883912164569396,0.0990566037735849,0.2540650406504064,0.7945736434108527,0.09,-0.0481495265598723
2019-03-31,372750.0,353500.0,161.4837525144979,163.17860372797173,89.0,86.0,117.0,139.0,1.35,48.0,0.9866848761143108,0.0941176470588235,0.3004956629491945,0.6232741617357,0.09,0.0054503260579559
2019-04-30,341000.0,376975.0,158.42365192919368,141.4686460678094,99.0,102.0,120.5,146.0,1.65,28.0,0.9895166645987744,0.3685567010309278,0.26265664160401,0.5788944723618089,0.0,-0.0189498976686801
2019-05-31,352500.0,348725.0,146.75996429134062,146.4570814210108,110.0,95.0,148.5,185.0,1.5499999999999998,9.5,1.008784954643868,0.6302325581395348,0.3288075560802833,0.6438172043010753,0.0,-0.0736233983740386
2019-06-30,366100.0,365625.0,164.0793778844853,161.8414672699592,94.0,90.5,132.0,217.0,4.4,34.5,1.0024464129787902,0.3817204301075269,0.4326694682989219,0.5704761904761905,0.0,0.1180118411501043
2019-07-31,342750.0,393200.0,160.86680506541586,151.50254616246443,100.0,97.5,99.0,205.5,1.4500000000000002,13.5,1.0128594383521738,0.5747422680412371,0.4229064039408867,0.2912186379928315,0.45,-0.0195793820069889
2019-08-31,379553.75,365950.0,161.38845077865022,170.19022779592896,103.5,85.5,116.0,217.5,1.7000000000000002,31.0,0.99345172173024,0.26010101010101,0.3711583924349881,0.6775147928994083,0.45,0.0032427181793175
2019-09-30,397977.5,386200.0,163.59864802841173,158.13550835152256,85.5,83.0,94.5,210.5,3.05,61.0,0.9816062180621992,0.0714285714285714,0.4394678492239467,0.4643987341772151,0.45,0.0136948910476428
2019-10-31,359925.0,381750.0,160.27008083094523,182.251475053982,90.0,87.0,90.5,194.0,1.65,21.5,0.9990192090668752,0.3284883720930233,0.3459396071533274,0.2876506024096386,0.0,-0.0203459334021417
2019-11-30,359175.0,342450.0,174.39701223040925,165.05652937371,79.5,60.0,56.0,159.5,1.6,34.0,0.9904607204410948,0.1777777777777777,0.3601941747572815,0.396551724137931,0.6,0.0881445328174836
2019-12-31,363023.5,448500.0,158.4388417820339,155.97175834281273,93.0,54.0,80.0,120.5,4.15,28.0,1.064715136225821,0.6108108108108108,0.2454212454212453,0.1792452830188679,1.29,-0.0915048385536088
2020-01-31,337500.0,354250.0,146.07760434105435,169.00946882438762,62.5,69.0,84.0,111.0,2.35,31.5,1.008388898709062,0.4112021857923497,0.1658841940532081,0.5330882352941175,1.54,-0.0780189838675105
