period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,367916.6666666667,388000.0,178.99145571425353,267.3053267230775,2.6666666666666665,3.0,5.0,18.0,6.0,90.66666666666669,0.9613524893536104,0.1111111111111111,0.2708333333333333,0.5,2.96,0.0
2019-02-28,454225.0,429000.0,248.57107661985708,276.92827456108705,3.0,1.5,5.5,20.5,9.3,100.0,1.0069364192568826,0.5,0.1126373626373626,0.0,2.5,0.388731521445818
2019-03-31,620237.5,430950.0,326.1320118649828,260.7677182204749,2.0,4.0,8.5,23.0,11.5,177.5,0.9811193367453092,0.25,0.1479166666666666,0.2857142857142857,1.76,0.3120271927845437
2019-04-30,484750.0,428000.0,246.9676005621128,259.14066184162147,8.0,7.0,8.0,22.0,3.9,103.0,0.98179351860079,0.0384615384615384,0.1437908496732026,0.2857142857142857,2.32,-0.242737322381109
2019-05-31,421000.0,417000.0,265.37315567166314,256.2494412658681,5.0,1.5,7.5,24.0,10.2,714.0,1.235958105891568,0.5,0.0616698292220113,0.5,2.47,0.074526193183471
2019-06-30,572500.0,402450.0,269.9612089865848,259.4099597810448,3.0,3.5,7.5,26.0,8.65,58.0,0.9705396342916648,0.3333333333333333,0.1840277777777777,0.2999999999999999,1.98,0.0172890634069946
2019-07-31,497000.0,423500.0,267.5617111369131,272.3254931714719,6.5,7.0,6.0,22.5,4.0,83.0,0.9776373742796728,0.1,0.1499999999999999,0.2692307692307692,1.94,-0.0088883060595231
2019-08-31,250753.3333333333,427155.0,122.92966460301848,262.02715360369143,2.6666666666666665,5.0,9.5,24.5,10.35,240.0,0.9802442158913148,0.3888888888888888,0.1627450980392156,0.75,1.86,-0.5405558438063862
2019-09-30,532781.25,419750.0,196.39051847217536,268.07910101936574,6.0,3.0,5.0,24.0,5.4,76.5,0.9504501669165256,0.25,0.2272727272727272,0.4,2.49,0.5975844325809141
2019-10-31,627500.0,429500.0,218.26338114639728,219.47154471544715,8.0,6.0,9.0,30.0,3.8,110.0,0.9876850038472584,0.125,0.1,0.3333333333333333,2.11,0.1113743313291413
2019-11-30,350250.0,364753.25,230.11421265257,246.7907363818842,4.0,14.0,6.5,19.5,5.75,160.5,0.9918566278669548,0.0833333333333333,0.1166666666666666,0.5,2.15,0.054296013577394
2019-12-31,331666.6666666667,396075.75,186.8037382207099,267.39566900149345,6.333333333333333,4.333333333333333,9.5,18.5,2.05,68.66666666666667,0.9486115636118816,0.0923076923076923,,0.3,2.86,-0.1882129483990235
2020-01-31,500250.0,415700.0,320.45583962845427,268.04561751051403,4.5,5.5,4.5,16.0,7.25,55.0,0.9946765725789026,0.0,0.2,0.2,2.13,0.7154680237171351
2020-02-29,541225.0,427500.0,304.4360372855254,252.12220941489267,4.5,9.0,5.5,15.5,7.65,117.0,0.9845199093103588,0.1875,0.2927350427350427,0.4444444444444444,3.28,-0.0499906706693275
2020-03-31,302613.3333333333,356296.1666666667,178.73710152939006,217.87999857568613,3.6666666666666665,5.666666666666667,7.666666666666667,10.666666666666666,2.6666666666666665,61.0,0.977016264221405,0.2063492063492063,0.0952380952380952,0.2142857142857143,3.11,-0.4128911178746044
2020-04-30,617500.0,397500.0,195.38972233353368,243.75138914146004,5.5,3.0,9.0,16.5,4.8,159.0,0.9709425525061132,0.1499999999999999,0.1675824175824175,0.6666666666666666,6.53,0.0931682379408251
2020-05-31,362250.0,454500.0,242.67100977198697,268.1032509157509,8.0,16.0,15.0,20.0,2.5,62.0,1.0004296775344974,0.25,0.3499999999999999,0.1875,7.36,0.24198451624668
2020-06-30,598278.0,448450.0,232.37600192501364,267.9175597131649,7.0,14.0,9.0,14.0,6.15,252.0,0.9660859705667556,0.0769230769230769,0.3877005347593583,0.7142857142857143,6.56,-0.0424237236110176
2020-07-31,735000.0,449125.0,312.02142501245635,265.28366806594624,9.0,14.0,12.0,17.5,8.1,114.0,0.9334830581916216,0.088235294117647,0.2499999999999999,0.4285714285714285,7.84,0.3427437533465431
2020-08-31,462150.0,490000.0,241.208919886605,297.7875567152569,5.0,19.0,9.0,10.666666666666666,3.1333333333333333,242.0,0.9311986784521892,0.0833333333333333,0.2247899159663864,0.3684210526315789,7.78,-0.22694757298485
2020-09-30,578868.75,504500.0,273.49059755088626,312.5139649198695,11.5,5.0,6.5,15.0,2.9,54.0,1.0063240188253495,0.1499999999999999,0.3,0.5952380952380952,9.1,0.1338328519503226
