period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.47,0.0
2019-02-28,,,,,,,,,,,,,,,1.57,
2019-03-31,,,,,,,,,,,,,,,2.52,
2019-04-30,,,,,,,,,,,,,,,2.79,
2019-05-31,1350000.0,,480.4270462633452,,1.0,,,,,119.0,1.0,0.0,,,2.61,
2019-06-30,,,,,,,,,,,,,,,2.28,0.0
2019-07-31,,,,,,,,,,,,,,,3.19,0.0
2019-08-31,,,,,,,,,,,,,,,3.69,0.0
2019-09-30,,,,,,,,,,,,,,,4.13,0.0
2019-10-31,955000.0,,287.91076273741334,,1.0,,,,,124.0,0.955955955955956,0.0,,,3.2,-0.4007190790428655
2019-11-30,,,,,,,,,,,,,,,2.54,0.0
2019-12-31,,,,,,,,,,,,,,,2.08,0.0
2020-01-31,,,,,,,,,,,,,,,2.29,0.0
2020-02-29,,,,,,,,,,,,,,,2.61,0.0
2020-03-31,,,,,,,,,,,,,,,2.77,0.0
2020-04-30,,,,,,,,,,,,,,,3.34,0.0
2020-05-31,,,,,,,,,,,,,,,3.7,0.0
2020-06-30,,,,,,,,,,,,,,,4.82,0.0
2020-07-31,,,,,,,,,,,,,,,5.58,0.0
2020-08-31,,,,,,,,,,,,,,,6.48,0.0
2020-09-30,825000.0,,280.4214819850442,,1.0,,,,,1.0,1.0,0.0,,,6.92,-0.0260125070739355
2020-10-31,,,,,,,,,,,,,,,7.35,0.0
2020-11-30,,,,,,,,,,,,,,,7.29,0.0
2020-12-31,,,,,,,,,,,,,,,6.9,0.0
2021-01-31,,,,,,,,,,,,,,,6.61,0.0
2021-02-28,,,,,,,,,,,,,,,7.65,0.0
2021-03-31,,,,,,,,,,,,,,,8.46,0.0
2021-04-30,,,,,,,,,,,,,,,9.19,0.0
2021-05-31,,,,,,,,,,,,,,,9.17,0.0
2021-06-30,,,,,,,,,,,,,,,9.22,0.0
2021-07-31,482500.0,,353.4798534798535,,1.0,,,,,11.0,0.9669338677354709,0.0,,,8.52,0.2605305805305806
2021-08-31,,,,,,,,,,,,,,,7.63,0.0
2021-09-30,,,,,,,,,,,,,,,7.59,0.0
2021-10-31,,,,,,,,,,,,,,,7.77,0.0
2021-11-30,,,,,,,,,,,,,,,8.01,0.0
2021-12-31,,,,,,,,,,,,,,,8.51,0.0
2022-01-31,,,,,,,,,,,,,,,8.49,0.0
2022-02-28,,,,,,,,,,,,,,,7.94,0.0
2022-03-31,1500000.0,799000.0,274.0727206285401,343.75,1.0,,1.0,1.0,1.0,,1.0,0.0,,,6.84,-0.2246440131441301
2022-04-30,,,,,,,,,,,,,,,7.55,0.0
2022-05-31,,,,,,,,,,,,,,,8.5,0.0
2022-06-30,,,,,,,,,,,,,,,9.68,0.0
2022-07-31,650000.0,,407.7791718946048,,1.0,,,,,9.0,1.0,0.0,,,9.84,0.4878502718527815
2022-08-31,,,,,,,,,,,,,,,9.42,0.0
2022-09-30,,,,,,,,,,,,,,,9.14,0.0
2022-10-31,,,,,,,,,,,,,,,10.4,0.0
2022-11-30,,,,,,,,,,,,,,,10.64,0.0
2022-12-31,439175.0,,329.71096096096096,,1.0,,,2.0,2.0,21.0,0.7986452082196763,0.0,,,10.78,-0.1914472741972742
2023-01-31,,,,,,,,,,,,,,,9.28,0.0
2023-02-28,,,,,,,,,,,,,,,10.25,0.0
2023-03-31,,,,,,,,,,,,,,,10.36,0.0
2023-04-30,,,,,,,,,,,,,,,9.96,0.0
2023-05-31,,,,,,,,,,,,,,,9.52,0.0
2023-06-30,1265000.0,950000.0,231.1346610634021,381.2425069246352,1.0,,1.0,1.0,1.0,156.0,0.937037037037037,0.0,,,10.17,-0.2989779278500561
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,9.49855177283287,-0.5014106129818489
2023-11-30,,,,,,,,,,,,,,,9.494615132808685,-0.007787246116576639
2023-12-31,,,,,,,,,,,,,,,11.721358417272565,-0.06064473702400967
2024-01-31,,,,,,,,,,,,,,,10.88380537509918,0.005816608866176623
2024-02-29,,,,,,,,,,,,,,,9.837081921100616,0.0030840960034490333
2024-03-31,,,,,,,,,,,,,,,10.237560993432998,0.035858652793757426
2024-04-30,,,,,,,,,,,,,,,6.55447106719017,-0.1266763422639494
2024-05-31,,,,,,,,,,,,,,,7.2471390414237975,-0.24607205465361123
2024-06-30,,,,,,,,,,,,,,,10.262232898473739,-0.24650184826671834
2024-07-31,,,,,,,,,,,,,,,7.401056995987892,-0.01764374038477833
2024-08-31,,,,,,,,,,,,,,,5.0002427533268925,0.06131138541312511
2024-09-30,,,,,,,,,,,,,,,8.853435657024383,0.050509662973250914
2024-10-31,,,,,,,,,,,,,,,8.459627856016159,-0.5131462295412447
2024-11-30,,,,,,,,,,,,,,,7.971671922802925,0.05939900244552547
2024-12-31,,,,,,,,,,,,,,,9.693497800230979,-0.08724112317198217
2025-01-31,,,,,,,,,,,,,,,8.490891144275665,-0.2313586277429968
2025-02-28,,,,,,,,,,,,,,,10.753544746637344,-0.22533177199316204
2025-03-31,,,,,,,,,,,,,,,8.302197897434235,-0.030171231153215447
2025-04-30,,,,,,,,,,,,,,,7.413411998748779,-0.1433026023264779
2025-05-31,,,,,,,,,,,,,,,5.181352160871029,0.09511514299045798
2025-06-30,,,,,,,,,,,,,,,8.013402396440506,0.022620029697139287
2025-07-31,,,,,,,,,,,,,,,5.176824041604996,-0.03367506863510326
2025-08-31,,,,,,,,,,,,,,,6.400516241192817,-0.24158252537461486
2025-09-30,,,,,,,,,,,,,,,7.919425716400147,-0.29634533532812585
2025-10-31,,,,,,,,,,,,,,,7.978367775082588,-0.38684619258975134
2025-11-30,,,,,,,,,,,,,,,9.758909566402435,-0.24261773744630816
2025-12-31,,,,,,,,,,,,,,,10.601493101119994,-0.09487646099576176
