period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,592000.0,725000.0,227.42988859008835,226.6454352441613,19.0,20.0,18.0,28.0,1.5,26.0,0.9888794682060564,0.263157894736842,0.2857142857142857,0.5,0.47,0.0
2019-02-28,595000.0,644900.0,228.94290559638213,231.81589114732068,23.0,14.0,25.0,34.0,1.5,31.0,0.9922595786098872,0.3043478260869565,0.1764705882352941,0.5714285714285714,1.57,0.0066526744381465
2019-03-31,404250.0,381475.0,130.76039579167224,145.75267314815642,9.0,25.0,19.5,22.5,3.2,101.5,0.9432528675000138,0.1470588235294117,0.3902439024390244,0.5999999999999999,2.52,-0.4288515057889674
2019-04-30,627500.0,602700.0,227.1301855673,232.08973021230216,26.0,38.0,44.0,47.0,1.8,8.0,0.9930989748424568,0.3076923076923077,0.4468085106382978,0.6842105263157894,2.79,0.7369952437981631
2019-05-31,367900.0,363675.0,129.52359198742172,149.19214094894988,20.0,17.5,24.0,30.0,2.7,35.5,0.9845553871694964,0.1794871794871794,0.375,0.3529411764705882,2.61,-0.429738536672647
2019-06-30,369833.25,585000.0,137.55230775559508,245.606128886886,19.0,16.0,45.0,34.0,1.4,87.5,0.9661948350191204,0.2222222222222222,0.4393939393939393,0.3225806451612903,2.28,0.0619865126111778
2019-07-31,663750.0,645000.0,221.71542332002664,238.9540126239856,32.0,37.0,38.0,63.0,2.0,10.0,1.0004935516085107,0.375,0.5079365079365079,0.5135135135135134,3.19,0.6118626211199145
2019-08-31,359129.25,384100.0,140.8842852431294,149.84549743490027,23.5,30.0,17.0,29.0,1.6,63.0,0.996138804606568,0.1413043478260869,0.5357142857142857,0.3666666666666666,3.69,-0.3645715614480488
2019-09-30,673500.0,650000.0,210.49592119269715,230.94819761695987,20.0,28.0,30.0,51.0,2.6,52.0,0.9802698174797566,0.1499999999999999,0.4117647058823529,0.3571428571428571,4.13,0.4941050439332981
2019-10-31,350125.0,687500.0,127.62334948701825,254.4494596960588,22.5,25.0,19.0,18.0,1.15,216.5,0.981713927242066,0.3313953488372093,0.5454545454545454,0.3599999999999999,3.2,-0.3937015560021885
2019-11-30,401125.0,342700.0,157.255015388608,159.42909653229916,9.5,8.5,8.0,15.0,1.3,46.0,0.9631510072042748,0.0588235294117647,0.2142857142857142,0.2333333333333333,2.54,0.2321806003422897
2019-12-31,620000.0,642500.0,230.4201820603908,269.7416883150526,20.0,13.0,10.0,23.0,1.2,21.0,0.982304206792911,0.2,0.2608695652173913,0.5384615384615384,2.08,0.4652644399987964
2020-01-31,745000.0,761500.0,207.9606440071556,295.35729371361407,13.0,9.0,7.0,15.0,1.2,22.0,0.9823822838860834,0.3076923076923077,0.4666666666666666,0.3333333333333333,2.29,-0.0974720957704511
2020-02-29,749900.0,610000.0,236.63810689514483,234.4485594611985,13.0,9.0,13.0,16.0,1.2,59.0,0.9750491439929776,0.2307692307692307,0.375,0.7777777777777777,2.61,0.1378985097151481
2020-03-31,715000.0,715000.0,227.2342995169082,240.75500770416025,13.0,23.0,40.0,32.0,2.5,4.0,0.9979264234177012,0.4615384615384615,0.1875,0.9130434782608696,2.77,-0.0397391929035482
2020-04-30,410250.0,416950.0,138.64724150529776,159.9714285714286,11.0,16.0,10.0,18.0,2.3,121.5,0.963782785359448,0.2619047619047619,0.1818181818181818,0.4375,3.34,-0.3898489717438929
2020-05-31,565100.0,785000.0,242.97024297024296,255.9808612440192,13.0,35.0,42.0,38.0,2.9,16.0,1.0002054231107604,0.3076923076923077,0.3947368421052631,0.6857142857142857,3.7,0.7524347425329698
2020-06-30,449750.0,573000.0,152.53057436860726,260.95238095238096,21.5,20.5,45.0,21.5,2.45,38.5,0.965346738505692,0.2142857142857142,0.3846153846153846,0.3499999999999999,4.82,-0.3722252877390917
2020-07-31,400000.0,656000.0,151.71656049112522,264.161220043573,21.5,22.5,38.0,15.5,0.8499999999999999,40.0,0.9786514787926316,0.1951219512195122,0.4482758620689655,0.2906976744186046,5.58,-0.0053367259701971
2020-08-31,673237.5,689000.0,252.7565434989291,262.7174970655292,42.0,34.0,42.0,34.0,0.8,5.0,1.012043295321254,0.4285714285714285,0.2941176470588235,0.7941176470588234,6.48,0.6659786029997317
2020-09-30,667000.0,759000.0,253.2326443542122,251.41420490257696,30.0,41.0,37.0,26.0,0.9,5.0,1.0133440611192135,0.6333333333333333,0.3461538461538461,0.7560975609756097,6.92,0.0018836341433239
2020-10-31,460000.0,700000.0,158.7023308805451,279.8191068400226,23.0,27.0,27.0,13.0,0.7999999999999999,207.0,0.978306149646304,0.2666666666666666,0.4799999999999999,0.6296296296296297,7.35,-0.3732943424997043
2020-11-30,832500.0,720000.0,250.63637821903507,271.41512394101034,30.0,28.0,25.0,20.0,0.6999999999999998,15.0,1.0156783883566751,0.4666666666666666,0.65,0.5714285714285714,7.29,0.5792860560295647
2020-12-31,692500.0,639000.0,253.85312783318224,232.9691516709512,29.0,16.0,12.0,12.0,0.4,6.0,1.021551101144144,0.586206896551724,0.3333333333333333,0.5,6.9,0.0128343285081147
2021-01-31,600000.0,644950.0,241.1360185764044,292.4291938997821,13.0,19.0,19.0,11.0,0.8,13.0,1.0074750505486985,0.5384615384615384,0.2727272727272727,0.8421052631578946,6.61,-0.0500963268222355
2021-02-28,421000.0,698700.0,152.2644927536232,280.5154431317843,13.0,12.0,24.0,6.0,0.7,36.0,1.0008802439096265,0.28,0.1818181818181818,0.4565217391304348,7.65,-0.3685535091250671
2021-03-31,816000.0,705000.0,287.30936819172115,303.26548535384586,26.0,22.0,21.0,8.0,0.2999999999999999,5.0,1.037069407404664,0.6923076923076922,0.125,0.9545454545454544,8.46,0.8869098303608576
2021-04-30,497500.0,720000.0,165.89096480166367,298.02631578947364,11.0,13.5,36.0,17.0,0.8,37.5,1.05053728083593,0.8095238095238095,0.1176470588235294,0.4423076923076922,9.19,-0.4226050969178114
2021-05-31,880500.0,770000.0,327.31576603730593,297.89184234647115,29.0,49.0,51.0,18.0,0.5999999999999999,5.0,1.0955446669821454,0.7586206896551723,0.1666666666666666,0.8775510204081632,9.17,0.973077716611263
2021-06-30,864500.0,707500.0,313.5663849326364,295.1766309468984,46.0,45.0,48.0,21.0,0.5,5.0,1.084537531568756,0.8043478260869565,0.3333333333333333,0.8888888888888888,9.22,-0.0420064736603686
2021-07-31,846900.0,780000.0,312.9304407713498,318.05331179321485,35.0,42.0,59.0,38.0,1.1,6.0,1.0672219839587231,0.6571428571428571,0.4210526315789473,0.8095238095238095,8.52,-0.0020281005612997
2021-08-31,902500.0,699000.0,309.1436704846918,318.93520843797086,48.0,48.0,37.0,26.0,0.5,5.0,1.0433424404496363,0.5833333333333333,0.8846153846153845,0.5833333333333333,7.63,-0.0121009968775294
2021-09-30,463750.0,492450.0,192.91917886879128,205.54614491199857,21.0,17.5,17.0,12.0,0.7999999999999999,31.0,0.973596122642824,0.2195121951219512,0.217391304347826,0.338235294117647,7.59,-0.3759562388376822
2021-10-31,712000.0,839500.0,320.5128205128205,332.65988048819526,33.0,25.0,26.0,23.0,0.6999999999999998,6.0,1.03712057019061,0.606060606060606,0.0869565217391304,0.68,7.77,0.6613839141976059
2021-11-30,476500.0,859000.0,203.6273093465233,328.9299658099389,15.5,12.5,13.0,5.5,0.6499999999999999,21.5,1.0378014966640126,0.8333333333333333,0.5,0.3541666666666666,8.01,-0.3646827948388472
2021-12-31,492915.0,885000.0,192.47606770566443,383.33333333333326,10.5,5.5,10.0,7.0,0.4,38.0,0.9980872170079342,0.325,0.1428571428571428,0.3499999999999999,8.51,-0.0547629965580019
2022-01-31,940000.0,760000.0,346.45313653136526,302.98369732390034,13.0,17.0,16.0,5.0,0.4,5.0,1.0593613848204029,0.7692307692307692,0.2,0.9411764705882352,8.49,0.7999803334571625
2022-02-28,985500.0,855000.0,326.87392748913794,340.0,18.0,19.0,22.0,8.0,0.4,4.0,1.1048510486863738,0.7777777777777777,,0.894736842105263,7.94,-0.0565132971179055
2022-03-31,1012250.0,799000.0,385.53398589058605,343.75,23.0,23.0,32.0,17.0,0.6999999999999998,5.0,1.0774891662432633,0.6956521739130433,0.2941176470588235,0.9565217391304348,6.84,0.1794577464530187
2022-04-30,512500.0,453725.0,232.84948873908613,224.2536628880324,11.0,15.5,19.5,13.5,2.05,25.0,1.03203511819727,0.7857142857142857,0.125,0.4666666666666666,7.55,-0.3960338199466325
2022-05-31,500000.0,462250.0,225.515211480296,244.18729831676265,20.0,31.0,30.5,12.5,1.7999999999999998,46.0,1.0363915055685289,0.358974358974359,0.4545454545454545,0.4180327868852459,8.5,-0.0314979315544402
2022-06-30,486000.0,455950.0,251.63834951456312,211.8759081662308,26.5,17.0,28.0,23.0,0.95,25.0,1.0200435827177663,0.5147058823529411,0.3863636363636363,0.34375,9.68,0.1158375874638044
2022-07-31,500000.0,463750.0,197.6420051346444,236.7760116137524,14.0,14.5,20.0,28.0,1.3,41.0,1.0038694591427446,0.3846153846153846,0.4909090909090909,0.2678571428571428,9.84,-0.2145791549025948
2022-08-31,466250.0,428974.5,186.28628939943843,210.1012239815632,13.5,16.5,10.5,21.0,1.05,17.5,0.9739925581148084,0.14,0.6097560975609756,0.2258064516129032,9.42,-0.0574559832433891
2022-09-30,401250.0,847000.0,225.0371633803969,336.24982393511345,15.0,12.0,36.0,51.0,1.8,31.0,0.9666490808963188,0.1034482758620689,0.5294117647058822,0.2826086956521738,9.14,0.2080178530899186
2022-10-31,841500.0,629000.0,328.0063676955931,397.4293928631829,24.0,20.0,26.0,48.0,2.0,9.0,1.0055909849698044,0.4583333333333333,0.5416666666666666,0.55,10.4,0.4575653317365176
2022-11-30,794950.0,687500.0,308.39465713292617,362.70161290322574,17.0,17.0,10.0,37.0,2.2,12.0,0.9813054842014016,0.2941176470588235,0.4054054054054054,0.2941176470588235,10.64,-0.0597906397380297
2022-12-31,477500.0,557500.0,206.17875056999543,384.71295783893487,7.5,3.5,2.0,29.0,2.1,45.0,0.9876279196794868,0.5357142857142857,0.3103448275862069,0.1666666666666666,10.78,-0.3314451278540569
2023-01-31,794500.0,732500.0,324.34229997608264,479.70442804428046,6.0,8.0,11.0,28.0,4.7,41.0,0.9708952538044456,0.1666666666666666,0.2857142857142857,0.75,9.28,0.5731121615560086
2023-02-28,790000.0,765000.0,355.23978685612786,390.38101186758274,13.0,16.0,17.0,25.0,1.9,4.0,0.9935329079212986,0.3076923076923077,0.32,0.75,10.25,0.0952619713257372
2023-03-31,817500.0,1000000.0,350.58459668704654,338.2318637742011,19.0,20.0,34.0,31.0,1.6,5.0,1.0230785339766817,0.4736842105263157,0.4838709677419355,0.8,10.36,-0.0131043603259639
2023-04-30,532500.0,488187.5,210.56416823135623,206.2235171153505,11.5,12.5,13.5,16.0,2.15,21.0,0.9145806024601908,0.2272727272727272,0.3448275862068965,0.3541666666666666,9.96,-0.3993912732585943
2023-05-31,536250.0,576225.0,178.32019044785002,235.08031714804133,13.0,29.0,19.0,18.5,2.65,60.5,1.0023072652202036,0.2,0.4848484848484848,0.8620689655172413,9.52,-0.1531313615908206
2023-06-30,540083.25,950000.0,220.28436834274893,381.2425069246352,14.5,12.0,28.0,18.5,1.15,23.0,1.0033220628042554,0.4907407407407407,0.4642857142857142,0.2272727272727272,10.17,0.2353304905603013
2023-07-31,937875.0,849950.0,339.59110125147845,354.49604086963126,24.0,23.0,35.0,42.0,1.8,23.0,0.9805192483995409,0.2916666666666666,0.5,0.6521739130434782,10.41,0.541603264027775
2023-08-31,444000.0,413900.0,186.60406646320425,219.16458249709245,12.5,13.5,11.5,19.5,2.25,92.5,0.8136165083369435,0.1666666666666666,0.611111111111111,0.2115384615384615,10.33,-0.4505036622705323
2023-09-30,511250.0,452000.0,230.0399544716865,213.3116883116884,11.5,24.0,14.5,20.5,2.85,30.0,0.9537899962029854,0.1136363636363636,0.4324324324324324,0.625,9.27,0.2327703186310101
2023-10-31,,,,,,,,,,,,,,,8.74628727197647,0.4168906907916211
2023-11-30,,,,,,,,,,,,,,,9.309602269530297,-0.07350361560845584
2023-12-31,,,,,,,,,,,,,,,11.202686736583708,-0.3197650682271413
2024-01-31,,,,,,,,,,,,,,,10.449635030627249,-0.0734198666228699
2024-02-29,,,,,,,,,,,,,,,9.379569501280784,0.026083092275974922
2024-03-31,,,,,,,,,,,,,,,11.516792018413541,-0.05529622976340873
2024-04-30,,,,,,,,,,,,,,,9.609443222880364,0.6631003200131975
2024-05-31,,,,,,,,,,,,,,,9.823328261971474,-0.4712936399578482
