period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,232500.0,164900.0,147.05882352941177,95.3979630328178,1.0,2.0,9.0,17.0,17.0,41.0,0.9728033472803346,0.0,,0.0,1.82,0.0
2019-02-28,172900.0,155000.0,108.7719298245614,100.78268876611418,5.0,3.0,2.0,14.0,2.8,39.0,1.0046021300877097,0.2,,0.0,1.74,-0.2603508771929825
2019-03-31,95000.0,164900.0,105.43841019417476,99.20395556478404,4.0,3.0,3.0,13.0,3.3,46.0,0.9362449127979772,0.0,,0.0,2.8,-0.0306468740212965
2019-04-30,172500.0,169000.0,123.1671901153953,101.02564102564102,6.0,3.0,3.0,10.0,1.7,89.0,0.9625454415298992,0.0,,0.0,1.41,0.1681434677227333
2019-05-31,118000.0,179900.0,111.531190926276,109.54223081882655,3.0,3.0,4.0,10.0,3.3,53.0,0.9885553129548762,0.0,,0.0,0.93,-0.0944732049031689
2019-06-30,124900.0,179900.0,96.5224111282844,105.14905149051492,1.0,1.0,3.0,11.0,11.0,60.0,1.0,0.0,,0.0,0.56,-0.1345702459853822
2019-07-31,176000.0,168900.0,129.6023564064801,101.51036440454186,5.0,4.0,10.0,16.0,3.2,65.0,0.9533278429136652,0.2,,0.25,1.5,0.3427177677340691
2019-08-31,101000.0,184900.0,107.44680851063832,117.32233502538072,2.0,3.0,10.0,22.0,11.0,191.0,0.939895127812978,0.0,,0.0,1.78,-0.1709501934235975
2019-09-30,126250.0,169000.0,123.291015625,103.98134863701578,7.0,7.0,1.0,14.0,2.0,41.0,0.99916176581217,0.1428571428571428,,0.0,1.84,0.1474609374999997
2019-10-31,572500.0,,191.15191986644408,,1.0,2.0,,12.0,12.0,66.0,0.916,0.0,,0.0,2.31,0.5504124035108018
2019-11-30,119900.0,174950.0,86.88405797101451,114.29506822689132,3.0,1.0,1.0,10.0,3.3,92.0,0.9788590243595298,0.0,,0.0,3.06,-0.5454711727105879
2019-12-31,152500.0,154950.0,109.5744680851064,108.39529050613956,5.0,2.0,4.0,10.0,2.0,133.0,0.9639980941490374,0.2,,0.0,3.21,0.2611573474349191
2020-01-31,86125.0,179900.0,98.33383746723128,113.63636363636364,2.0,,4.0,11.0,5.5,155.0,0.962290502793296,0.0,,,3.63,-0.1025843959301224
2020-02-29,95950.0,169900.0,96.85150720319176,104.94579945799458,6.0,5.0,5.0,10.0,1.7,54.0,0.980976084919462,0.0,,0.0,4.67,-0.0150744677744676
2020-03-31,115750.0,185000.0,101.41361369109046,119.75308641975307,6.0,5.0,4.0,9.0,1.5,45.0,0.9944833652479756,0.5,,0.0,5.04,0.0471041351821972
2020-04-30,203250.0,199900.0,121.46724202272792,119.73958333333331,4.0,4.0,3.0,8.0,2.0,41.0,0.967800234060794,0.0,,0.0,6.52,0.1977409896142892
2020-05-31,165000.0,213750.0,131.33992555969112,115.87477767933866,2.0,2.0,1.0,7.0,3.5,41.0,0.968424877332596,0.0,,0.0,5.1,0.0812785683823784
2020-06-30,212000.0,200000.0,104.16640625,120.21867286391814,3.0,3.0,7.0,9.0,3.0,40.0,1.0066924066924068,0.3333333333333333,,0.0,4.96,-0.2068945843687216
2020-07-31,153500.0,199900.0,147.01990292743977,119.03727607463487,4.0,4.0,7.0,11.0,2.8,36.0,0.9893385552654482,0.0,,0.0,5.7,0.4113945965899133
2020-08-31,152500.0,215000.0,141.68599153458212,128.9762899532255,4.0,3.0,2.0,9.0,2.3,32.0,1.014035575319622,0.25,,0.3333333333333333,5.84,-0.0362801993923921
2020-09-30,165000.0,225000.0,112.24489795918367,121.60633484162896,3.0,2.0,1.0,7.0,2.3,83.0,0.9767523389633088,0.0,,0.0,5.77,-0.2077911390993977
2020-10-31,219950.0,189900.0,135.9620521684475,123.046875,2.0,2.0,5.0,10.0,5.0,77.0,0.9807692307692308,0.0,,0.0,6.53,0.2112982829552596
2020-11-30,176000.0,189900.0,156.02836879432624,129.9442896935933,3.0,3.0,4.0,11.0,3.7,46.0,0.9935800744878956,0.0,,0.0,6.82,0.1475876268844336
2020-12-31,156000.0,210000.0,152.34375,132.79445727482678,1.0,1.0,4.0,13.0,13.0,47.0,1.04,1.0,,0.0,8.92,-0.0236150568181817
2021-01-31,194750.0,212450.0,115.85076045627376,135.95901639344262,6.0,5.0,7.0,15.0,2.5,75.0,0.9687012894570168,0.3333333333333333,,0.0,9.37,-0.2395437262357415
2021-02-28,136000.0,209000.0,127.85435587465228,129.41176470588235,6.0,5.0,2.0,11.0,1.8,54.0,0.9808700889166548,0.3333333333333333,,0.2,8.72,0.1036125733754602
2021-03-31,203950.0,219500.0,136.22171034192826,144.4078947368421,6.0,6.0,3.0,8.0,1.3,44.0,0.995371724392956,0.3333333333333333,,0.0,6.87,0.0654444223666441
2021-04-30,224250.0,219950.0,217.22934001161008,144.0459496992597,4.0,2.0,5.0,10.0,2.5,159.0,0.9807816755411908,0.0,,0.0,6.24,0.5946748830736721
2021-05-31,170000.0,230000.0,184.5637583892617,144.94676863097914,7.0,5.0,5.0,8.0,1.1,36.0,0.9804248615685698,0.1428571428571428,,0.0,6.02,-0.1503737092816399
2021-06-30,250000.0,240000.0,138.78205128205127,140.68825910931173,3.0,2.0,8.0,13.0,4.3,58.0,0.985462948687085,0.0,,0.0,5.88,-0.2480536130536129
2021-07-31,189900.0,239900.0,154.82054890921887,148.93617021276594,7.0,7.0,5.0,10.0,1.4,42.0,1.0250995775876994,0.5714285714285714,,0.0,6.52,0.1155660799001452
2021-08-31,200000.0,245000.0,179.85807015215852,150.0,6.0,6.0,4.0,8.0,1.3,51.0,0.996837113141206,0.3333333333333333,,0.0,4.7,0.1617196258464419
2021-09-30,287000.0,249900.0,148.46413761326986,150.10141987829616,3.0,2.0,1.0,6.0,2.0,54.0,1.000751879699248,0.6666666666666666,,0.0,4.7,-0.174548367567436
2021-10-31,390000.0,255000.0,181.2267657992565,154.6681664791901,1.0,3.0,7.0,10.0,10.0,67.0,1.0025706940874035,1.0,,0.0,6.23,0.2206770517963678
2021-11-30,201000.0,245000.0,190.4296875,154.72784729518895,5.0,4.0,5.0,10.0,2.0,40.0,1.0066763801916514,0.5999999999999999,,0.0,6.83,0.05078125
2021-12-31,199600.0,237450.0,194.921875,150.47481593038822,4.0,3.0,2.0,8.0,2.0,40.0,0.9738267036782629,0.0,,0.0,7.2,0.0235897435897436
2022-01-31,215500.0,244900.0,149.11159675043945,160.92171717171718,2.0,2.0,1.0,7.0,3.5,62.0,1.0023255813953489,0.5,,0.0,7.36,-0.2350186619616734
2022-02-28,224950.0,272500.0,169.7228064903846,162.7313548504741,4.0,3.0,5.0,8.0,2.0,51.0,1.0096153846153846,0.25,,0.0,3.77,0.1382267388259621
2022-03-31,415000.0,249900.0,192.6020408163265,163.59726128352273,4.0,3.0,2.0,5.0,1.3,50.0,0.9922023617402416,0.5,,0.0,8.09,0.1348035352410819
2022-04-30,233000.0,269900.0,170.13232514177693,166.5706051873199,5.0,4.0,5.0,6.0,1.2,56.0,1.0045606717572313,0.4,,0.25,6.64,-0.116663954230774
2022-05-31,192500.0,261000.0,192.8418803418804,171.3893967093236,2.0,2.0,6.0,10.0,5.0,28.0,1.0113276079662634,0.5,,0.0,4.39,0.1334817188983859
2022-06-30,198500.0,275000.0,171.3554724808978,172.27350427350427,4.0,4.0,7.0,13.0,3.3,39.0,0.9888272569406245,0.25,,0.0,7.13,-0.1114198213732948
