period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,214875.0,310000.0,117.08477585205952,165.13392857142858,11.5,10.0,28.0,57.0,3.55,162.5,0.9718721422763948,0.1818181818181818,0.1339285714285714,0.1,0.68,0.0
2019-02-28,285000.0,279800.0,152.5297619047619,160.18072289156626,21.0,13.0,34.0,117.0,5.6,144.0,1.0012553571669502,0.2857142857142857,0.1196581196581196,0.2307692307692307,0.68,0.3027292472036524
2019-03-31,141000.0,233950.0,123.88815950089428,136.7209580024605,14.0,10.0,31.5,48.0,2.6666666666666665,272.0,0.9545266732240144,0.1025641025641025,0.1802919708029197,0.0789473684210526,2.19,-0.1877771396624297
2019-04-30,253000.0,235975.0,168.63705955923575,126.97568313327102,12.0,11.0,32.5,88.0,6.7,80.0,0.978358334298168,0.108695652173913,0.1529411764705882,0.0476190476190476,1.5,0.3612040104447469
2019-05-31,264000.0,242200.0,142.29174688997497,141.0494163109126,24.0,27.5,44.5,96.0,4.0,59.0,0.980825721562095,0.1739130434782608,0.3532608695652173,0.3717948717948717,2.0,-0.1562249290762015
2019-06-30,210833.3333333333,256050.0,111.28948304581776,145.23608476306174,16.666666666666668,22.0,32.5,99.0,4.25,152.0,0.9666483545958906,0.2943262411347517,0.3862433862433861,0.25,0.5,-0.2178781589358746
2019-07-31,264500.0,250975.0,131.47000806594878,129.896208200025,32.0,24.0,31.0,95.0,2.9,40.0,0.9760634062580572,0.2999999999999999,0.36135093956323,0.2613636363636363,0.5,0.1813336217207759
2019-08-31,209166.66666666663,196416.66666666663,132.00826429933713,142.84337484211946,17.333333333333332,15.5,19.33333333333333,66.0,2.6333333333333333,185.3333333333333,0.9498812931181372,0.0638297872340425,0.2076576576576576,0.0535714285714285,0.38,0.0040941370682685
2019-09-30,249500.0,230450.0,141.51318724489457,140.18554600154494,22.0,17.0,29.5,100.0,8.65,118.5,0.992119004524167,0.5930232558139534,0.199917729329494,0.015625,0.57,0.0720024840566377
2019-10-31,211083.3333333333,244224.75,122.1164490842224,148.7205660033107,15.666666666666666,20.5,28.5,63.333333333333336,3.8333333333333335,427.0,0.9530537915428716,0.1136363636363635,0.5374079780859442,0.1385135135135135,1.27,-0.1370666475563531
2019-11-30,230000.0,261000.0,150.5534632146742,147.15259715955708,17.0,10.5,16.0,86.0,9.9,38.0,1.0252152541254438,0.6515151515151515,0.235244161358811,0.025,1.62,0.2328680070842799
2019-12-31,162468.33333333334,211000.0,108.53229813205182,150.2948972667868,14.333333333333334,15.0,13.5,50.66666666666666,3.1666666666666665,98.66666666666669,0.8715536697323413,0.1111111111111111,0.192156862745098,0.2037037037037036,1.62,-0.2791112484918688
2020-01-31,230500.0,255950.0,139.53049510426095,154.2235657493594,17.0,7.0,23.5,82.5,4.800000000000001,58.0,0.9757801767742624,0.0,0.1740775780510879,0.0909090909090909,1.42,0.2856126471632754
2020-02-29,183083.3333333333,319950.0,119.25492814226122,152.18433666611986,10.0,24.0,27.0,58.333333333333336,3.8,264.6666666666667,0.9202948558157574,0.1766666666666666,0.3307453416149068,0.2083333333333333,1.45,-0.1453128002366026
2020-03-31,259500.0,253700.0,153.70274300011505,146.670936641265,18.5,16.0,24.0,84.0,5.7,97.0,0.9903964756230752,0.1285714285714285,0.2207792207792207,0.4642857142857142,1.72,0.2888586274334965
2020-04-30,189150.0,284675.0,109.807868331188,158.63771381912522,12.666666666666666,11.0,11.5,76.0,5.05,150.33333333333334,0.9895532166968662,0.2647058823529412,0.175,0.275,3.4,-0.2855828972999797
2020-05-31,245450.0,268750.0,142.23700887198987,159.02326433407296,16.0,12.0,26.5,78.5,4.800000000000001,106.0,0.9999466456562548,0.4367816091954022,0.2939560439560439,0.5434782608695652,3.58,0.2953262005140959
2020-06-30,189983.3333333333,282500.0,117.08007614437486,144.03144483364227,13.0,16.0,33.0,56.66666666666666,3.333333333333333,359.0,0.9508173323311754,0.2428571428571428,0.4842767295597484,0.2628205128205128,5.28,-0.176866294694482
2020-07-31,275960.0,275500.0,150.89302292946223,155.67585961084612,34.5,24.0,49.5,92.5,1.95,43.0,0.9759007771749464,0.2,0.1934974747474747,0.0744680851063829,4.89,0.2888018858425718
2020-08-31,279000.0,269475.0,150.27527750199295,154.74576709421248,33.0,28.5,33.5,87.0,3.55,70.5,0.9800119703371086,0.21875,0.2949494949494949,0.0625,5.84,-0.0040939296958618
2020-09-30,292375.0,217450.0,163.53851139535192,141.7508198194151,34.5,32.5,27.5,73.0,7.0,96.5,0.999884803872777,0.2352941176470588,0.2941542288557213,0.0476190476190476,5.26,0.0882595867652487
2020-10-31,279666.6666666667,255950.0,160.74137665253684,162.6991518065398,20.0,22.5,29.0,48.0,2.433333333333333,784.0,0.9798030270691088,0.248015873015873,0.1937022900763358,0.2023809523809523,5.64,-0.0171038290549988
