period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,215365.5,295283.3333333333,123.76274116764756,137.59505772417788,6.0,4.666666666666667,8.666666666666666,23.0,5.133333333333334,82.66666666666667,0.964541020347629,0.1944444444444444,0.2392857142857142,0.2272727272727272,5.14,0.0
2019-02-28,255833.3333333333,297541.6666666667,125.07537029362986,134.4466861295171,10.0,9.666666666666666,11.333333333333334,21.0,4.133333333333334,64.66666666666667,0.9885172743493597,0.2387914230019493,0.1778711484593837,0.4333333333333333,4.25,0.0106060120646829
2019-03-31,231500.0,344925.0,126.42513269653296,144.9944502954957,11.333333333333334,21.0,27.5,23.666666666666668,5.466666666666666,96.0,0.9742468557019404,0.1481481481481481,0.3118279569892473,0.3181818181818182,5.22,0.0107915922993819
2019-04-30,252864.5,306950.0,130.26013620103802,138.44794745587038,13.0,15.0,20.666666666666668,25.0,2.066666666666667,64.0,0.9951200523786116,0.188095238095238,0.1885553470919324,0.3333333333333333,4.22,0.0303341861124282
2019-05-31,217333.3333333333,324125.0,124.05389851914616,136.05837284775922,15.0,13.333333333333334,17.0,28.0,4.266666666666667,55.333333333333336,0.9898572305477356,0.3106060606060606,0.1889952153110047,0.493103448275862,4.4,-0.0476449500429925
2019-06-30,242533.3333333333,311961.6666666667,134.87722709825695,137.93092448806564,14.666666666666666,14.0,16.0,27.666666666666668,5.433333333333334,57.0,0.9815775733844502,0.1055718475073313,0.1766381766381766,0.2666666666666666,3.61,0.087246984643859
2019-07-31,221233.3333333333,312350.0,127.3836056572042,141.5805302125336,14.0,13.0,10.333333333333334,24.0,2.766666666666667,25.33333333333333,0.9971437028162216,0.3200716845878135,0.2424242424242424,0.3976190476190476,1.98,-0.0555588337799509
2019-08-31,221633.3333333333,314604.0,126.65876800972453,141.1031107464853,12.666666666666666,9.666666666666666,10.333333333333334,21.666666666666668,3.2,33.0,0.9831665209903856,0.1666666666666666,0.3390804597701149,0.1349206349206348,1.3,-0.0056901957182013
2019-09-30,249900.0,317331.6666666667,132.74628261138682,136.29305808695204,9.0,8.666666666666666,8.0,20.0,4.7,91.66666666666669,1.0017768303257728,0.5166666666666666,0.219298245614035,0.2509803921568627,1.69,0.0480623228641772
2019-10-31,230066.66666666663,287133.3333333333,128.35991427606314,136.6868960634699,5.333333333333333,4.333333333333333,11.0,25.33333333333333,6.4,45.333333333333336,0.977149539137526,0.1166666666666666,0.2584033613445377,0.4761904761904761,2.26,-0.0330432479843124
2019-11-30,238983.3333333333,320300.0,126.73804618597804,141.02192512748334,8.0,7.666666666666667,6.666666666666667,20.666666666666668,3.733333333333333,33.333333333333336,0.9792738509322764,0.1111111111111111,0.1564171122994652,0.4035087719298245,1.93,-0.0126353160893902
