period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0.89331995,37.08265158,15.90352433,96450165.0,4.29226587,-0.0047949,24.0,23.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.4
2019-02-28,0.89201413,37.08265158,15.90352433,96450165.0,4.29226587,-0.0047949,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.65
2019-03-31,0.89201413,37.08265158,15.87457049,96450165.0,4.28032207,-0.0047949,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.81
2019-04-30,0.89201413,37.08265158,15.87457049,96450165.0,4.28032207,-0.00360219,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.67
2019-05-31,0.89201413,37.08265158,15.87457049,96450165.0,4.28032207,-0.00360219,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.76
2019-06-30,0.89201413,37.08265158,15.87457049,96450165.0,4.28032207,-0.00567528,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.88
2019-07-31,0.89201413,37.08265158,15.87457049,96450165.0,4.28032207,-0.00567528,24.0,19.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.2
2019-08-31,0.91157305,37.08245446,16.23381957,94565135.0,4.95412821,-0.0195507,31.0,32.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.07
2019-09-30,0.91157305,37.08245446,16.23381957,94565135.0,4.95412821,-0.0195507,31.0,32.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,4.02
2019-10-31,0.912,37.08245446,16.23381957,94565135.0,4.95412821,-0.00765047,31.0,32.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.96
2019-11-30,0.912,37.08245446,16.23381957,94565135.0,4.95412821,-0.00765047,31.0,32.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,3.62
2019-12-31,0.912,37.08245446,16.23381957,94565135.0,4.95412821,-0.00765047,31.0,32.0,115.68,1.33,3.18,49544.0,6.22,93.3,0.47,39.72,36249.12,138632.26,16.73,2.26,3.1,2.68,61.97,2.93,1.36,-8.16,4.2
2020-01-31,0.9115375,37.08245446,16.23381957,94565135.0,4.95412821,-0.00563404,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,4.22
2020-02-29,0.92397928,37.08245446,16.23381957,94565135.0,4.95412821,-0.00563404,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,4.23
2020-03-31,0.92397928,37.08245446,16.23381957,94565135.0,4.95412821,-0.00563404,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,4.67
2020-04-30,0.92306105,37.08245446,16.23381957,94565135.0,4.95412821,0.00042407,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,9.86
2020-05-31,0.92306105,37.08245446,16.23381957,94565135.0,4.95412821,-0.16707803,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,8.18
2020-06-30,0.92306105,37.08245446,16.23381957,94565135.0,4.95412821,-0.16707803,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,7.87
2020-07-31,0.92345179,37.08245446,16.23381957,94565135.0,4.95412821,-0.16707797,31.0,32.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,8.94
2020-08-31,0.92345179,37.230994,16.23381957,94565135.0,4.95412821,-0.16714404,23.0,28.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,9.74
2020-09-30,0.92345179,37.230994,16.23381957,94565135.0,4.95412821,-0.17658974,23.0,28.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,10.35
2020-10-31,0.92345179,37.230994,16.23381957,94565135.0,4.95412821,-0.17658974,23.0,28.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,10.48
2020-11-30,0.92345179,37.230994,16.23381957,94565135.0,4.95412821,-0.17658974,23.0,28.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,9.07
2020-12-31,0.92345179,37.230994,16.23381957,94565135.0,4.95412821,-0.17658974,23.0,28.0,116.86,1.02,3.12,50807.28,6.08,93.44,0.47,38.95,35982.9,144260.66,16.86,2.23,0.77,0.4,62.42,0.61,-0.11,57.77,9.6
2021-01-31,0.92442505,37.230994,16.23381957,94565135.0,4.95412821,-0.15328759,23.0,28.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,9.3
2021-02-28,0.90138691,37.230994,16.23381957,94565135.0,4.95412821,-0.12958923,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.28
2021-03-31,0.90138691,37.230994,16.23381957,94565135.0,4.95412821,-0.12958923,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.14
2021-04-30,0.89805866,37.230994,16.23381957,94565135.0,4.95412821,-0.1352426,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,9.64
2021-05-31,0.89805866,37.230994,16.23381957,94565135.0,4.95412821,-0.1352426,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.42
2021-06-30,0.89805866,37.230994,16.23381957,94565135.0,4.95412821,-0.1352426,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,9.91
2021-07-31,0.89789763,37.230994,16.23381957,94565135.0,4.95412821,0.11979929,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.08
2021-08-31,0.89789763,37.230994,16.23381957,94565135.0,4.95412821,0.16571059,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,16.49
2021-09-30,0.89789763,37.230994,16.23381957,94565135.0,4.95412821,0.16571059,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.84
2021-10-31,0.89894898,37.230994,16.23381957,94565135.0,4.95412821,0.31804667,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,11.23
2021-11-30,0.89894898,37.230994,16.23381957,94565135.0,4.95412821,0.31804667,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,11.4
2021-12-31,0.89894898,37.230994,16.23381957,94565135.0,4.95412821,0.31804667,18.0,22.0,122.31,4.66,2.8,55534.0,5.96,93.56,0.47,40.14,37563.71,143068.15,16.97,2.2,0.83,0.5,62.8,0.69,5.11,-28.16,10.5
2022-01-31,0.89882596,37.14773543,16.23381957,94565135.0,4.95412821,0.40346195,18.0,22.0,132.07,7.98,2.78,57178.15,5.85,93.67,0.47,40.81,37630.78,139610.79,17.07,2.18,1.19,0.89,63.13,1.07,1.25,-18.13,11.01
2022-02-28,0.88875102,37.26605206,18.35023224,121797305.0,6.92732381,0.40712431,17.0,18.0,132.07,7.98,2.78,57178.15,5.85,93.67,0.47,40.81,37630.78,139610.79,17.07,2.18,1.19,0.89,63.13,1.07,1.25,-18.13,12.04
2022-03-31,0.88875102,37.26605206,18.35023224,121797305.0,6.92732381,0.40712431,17.0,18.0,132.07,7.98,2.78,57178.15,5.85,93.67,0.47,40.81,37630.78,139610.79,17.07,2.18,1.19,0.89,63.13,1.07,1.25,-18.13,11.52
