period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,3.61,0.0
2019-02-28,181000.0,332500.0,131.15942028985506,172.45543415756185,1.0,1.0,1.0,,,2.0,1.006114508060033,1.0,,1.0,7.3,
2019-03-31,,,,,,,,,,,,,,,8.92,0.0
2019-04-30,,,,,,,,,,,,,,,7.36,0.0
2019-05-31,397000.0,,163.98182569186287,,1.0,,,,,7.0,0.9254079254079252,0.0,,,6.13,0.250248173783264
2019-06-30,,,,,,,,,,,,,,,7.31,0.0
2019-07-31,,,,,,,,,,,,,,,5.57,0.0
2019-08-31,,,,,,,,,,,,,,,6.78,0.0
2019-09-30,,,,,,,,,,,,,,,7.15,0.0
2019-10-31,,,,,,,,,,,,,,,9.37,0.0
2019-11-30,,,,,,,,,,,,,,,8.73,0.0
2019-12-31,,,,,,,,,,,,,,,8.55,0.0
2020-01-31,,,,,,,,,,,,,,,8.85,0.0
2020-02-29,,,,,,,,,,,,,,,9.23,0.0
2020-03-31,,,,,,,,,,,,,,,9.04,0.0
2020-04-30,,,,,,,,,,,,,,,12.01,0.0
2020-05-31,,,,,,,,,,,,,,,11.77,0.0
2020-06-30,,,,,,,,,,,,,,,13.88,0.0
2020-07-31,,,,,,,,,,,,,,,13.32,0.0
2020-08-31,380000.0,374450.0,160.7445008460237,201.7336546927001,1.0,,1.0,1.0,1.0,35.0,0.9895833333333331,0.0,,,15.58,-0.0197419734301678
2020-09-30,,,,,,,,,,,,,,,17.16,0.0
2020-10-31,,,,,,,,,,,,,,,16.74,0.0
2020-11-30,,,,,,,,,,,,,,,17.27,0.0
2020-12-31,,,,,,,,,,,,,,,16.93,0.0
2021-01-31,,,,,,,,,,,,,,,16.71,0.0
2021-02-28,,,,,,,,,,,,,,,15.6,0.0
2021-03-31,,,,,,,,,,,,,,,13.54,0.0
2021-04-30,,,,,,,,,,,,,,,12.47,0.0
2021-05-31,,,,,,,,,,,,,,,11.12,0.0
2021-06-30,,,,,,,,,,,,,,,11.23,0.0
2021-07-31,,,,,,,,,,,,,,,12.51,0.0
2021-08-31,,,,,,,,,,,,,,,14.57,0.0
2021-09-30,,,,,,,,,,,,,,,16.98,0.0
2021-10-31,,,,,,,,,,,,,,,16.75,0.0
2021-11-30,,,,,,,,,,,,,,,15.06,0.0
2021-12-31,,,,,,,,,,,,,,,14.2,0.0
2022-01-31,,,,,,,,,,,,,,,14.46,0.0
2022-02-28,,,,,,,,,,,,,,,16.55,0.0
2022-03-31,,,,,,,,,,,,,,,16.35,0.0
2022-04-30,,,,,,,,,,,,,,,17.45,0.0
2022-05-31,,,,,,,,,,,,,,,18.2,0.0
2022-06-30,,,,,,,,,,,,,,,17.44,0.0
2022-07-31,,,,,,,,,,,,,,,15.25,0.0
2022-08-31,665000.0,574000.0,203.177512985029,263.14113008342025,1.0,,1.0,1.0,1.0,157.0,0.9501357336762394,0.0,,,12.91,0.2639780018331803
2022-09-30,340000.0,,258.3586626139818,,1.0,,,1.0,1.0,,0.7098121085594989,0.0,,,13.71,0.2715908311812969
2022-10-31,,,,,,,,,,,,,,,16.93,0.0
2022-11-30,,,,,,,,,,,,,,,18.14,0.0
2022-12-31,,,,,,,,,,,,,,,18.5,0.0
2023-01-31,,,,,,,,,,,,,,,16.44,0.0
2023-02-28,,,,,,,,,,,,,,,17.13,0.0
2023-03-31,,,,,,,,,,,,,,,15.29,0.0
2023-04-30,580000.0,,222.7342549923195,,1.0,1.0,,,,27.0,0.9682804674457428,0.0,,0.0,13.93,-0.137887413029728
2023-05-31,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,16.69794446527958,0.0011631112857355133
2023-11-30,,,,,,,,,,,,,,,23.744254915714265,0.012356609141193096
2023-12-31,,,,,,,,,,,,,,,15.02672345817089,-0.04037533097588582
2024-01-31,,,,,,,,,,,,,,,12.418969275951385,-0.028518944288766807
2024-02-29,,,,,,,,,,,,,,,15.707902234196663,-0.0031915387106052954
2024-03-31,,,,,,,,,,,,,,,15.40878899872303,-0.014906622198501045
2024-04-30,,,,,,,,,,,,,,,13.163682456612587,-0.0016504076008109858
2024-05-31,,,,,,,,,,,,,,,14.290892509222031,0.059223301065554
2024-06-30,,,,,,,,,,,,,,,13.02709418118,-0.01689982835926917
2024-07-31,,,,,,,,,,,,,,,12.704432559013368,0.0004956095678743782
2024-08-31,,,,,,,,,,,,,,,13.159186314940452,0.006275995298600983
2024-09-30,,,,,,,,,,,,,,,14.652002976536751,0.006562970515194322
2024-10-31,,,,,,,,,,,,,,,14.870082710385322,-0.005003097223006698
2024-11-30,,,,,,,,,,,,,,,20.700942112207414,0.010005294129815535
2024-12-31,,,,,,,,,,,,,,,14.395506348013878,-0.004132872580411401
2025-01-31,,,,,,,,,,,,,,,13.554120796322822,-0.034113984740125336
2025-02-28,,,,,,,,,,,,,,,15.337445365786552,-0.02235760493767984
2025-03-31,,,,,,,,,,,,,,,14.033627294301986,-0.011561169194073654
2025-04-30,,,,,,,,,,,,,,,13.69286129117012,-0.014626480887388752
2025-05-31,,,,,,,,,,,,,,,13.07639021217823,-0.023232955009385922
2025-06-30,,,,,,,,,,,,,,,12.345093567967416,-0.008295977968840617
2025-07-31,,,,,,,,,,,,,,,12.344499821662904,8.928507341563468e-05
2025-08-31,,,,,,,,,,,,,,,14.427010402679443,-0.08285954914587594
2025-09-30,,,,,,,,,,,,,,,13.94563036441803,-0.05707351528952039
2025-10-31,,,,,,,,,,,,,,,14.675565563440323,-0.012505200015864243
2025-11-30,,,,,,,,,,,,,,,14.870811358690261,-0.062495908101962684
2025-12-31,,,,,,,,,,,,,,,14.313777923583984,-0.01980848497283394
