period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,172000.0,226900.0,106.17760617760618,140.968281938326,3.0,1.0,4.0,6.0,2.0,16.0,0.9578839604118836,0.0,,0.0,1.5,0.0
2019-02-28,375000.0,,119.27480916030534,,1.0,1.0,,4.0,4.0,63.0,0.9472088911341248,0.0,,0.0,0.63,0.1233518390006938
2019-03-31,162750.0,225000.0,88.16359696641386,142.08121827411168,1.0,1.0,1.0,3.0,3.0,66.0,1.0171875,1.0,,0.0,1.2,-0.2608364030335861
2019-04-30,,,,,,,,,,,,,,,1.1,0.0
2019-05-31,208500.0,231000.0,88.28013395865341,146.7534762640479,2.0,,1.0,4.0,2.0,109.0,0.9579308075039203,0.0,0.25,,1.88,0.001321826652376
2019-06-30,275000.0,212500.0,115.88787740781729,143.56229529033578,2.0,2.0,3.0,5.0,2.5,64.0,0.9047520665953231,0.0,,0.0,1.1,0.3127288350297945
2019-07-31,340000.0,215500.0,119.9669056811914,142.7731092436975,3.0,3.0,1.0,3.0,1.0,39.0,0.9327492640544056,0.0,,0.0,1.32,0.0351980583699857
2019-08-31,,,,,,,,,,,,,,,1.71,0.0
2019-09-30,349500.0,217500.0,188.71490280777536,140.96811930852226,1.0,1.0,3.0,6.0,6.0,33.0,1.001432664756447,1.0,,0.0,1.86,0.573058017427571
2019-10-31,340000.0,234950.0,74.85689123734038,146.04870252278883,1.0,1.0,2.0,6.0,6.0,41.0,0.8949723611476704,0.0,,0.0,2.29,-0.603333440424737
2019-11-30,365000.0,,212.4563445867288,,1.0,1.0,,5.0,5.0,39.0,0.9125,0.0,,0.0,2.0,1.8381668150380064
2019-12-31,250000.0,,144.00921658986175,,1.0,,,4.0,4.0,158.0,0.9293680297397768,0.0,,,2.53,-0.3221703175304591
2020-01-31,,,,,,,,,,,,,,,2.12,0.0
2020-02-29,286250.0,,154.01046738072054,,2.0,1.0,,1.0,0.5,131.0,1.0614183381088824,0.5,,0.0,2.23,0.0694486854917233
2020-03-31,,,,,,,,,,,,,,,2.82,0.0
2020-04-30,325000.0,,246.96048632218844,,1.0,,,4.0,4.0,15.0,0.8666666666666667,0.0,,,3.29,0.603530529595053
2020-05-31,382500.0,243900.0,148.53965511098443,150.34965034965035,2.0,1.0,1.0,3.0,1.5,125.0,0.9102793696275072,0.0,,0.0,3.26,-0.3985286580736753
2020-06-30,,,,,,,,,,,,,,,4.4,0.0
2020-07-31,270000.0,259900.0,124.53874538745389,155.32385228916954,1.0,1.0,2.0,5.0,5.0,36.0,1.007462686567164,1.0,0.2,0.0,3.93,-0.1615791399649997
2020-08-31,289000.0,244900.0,135.2850742228421,155.72916666666666,2.0,1.0,2.0,4.0,2.0,92.0,0.998076923076923,0.0,,0.0,5.15,0.0862890404263765
2020-09-30,293050.0,,150.1640773620799,,2.0,2.0,,2.0,1.0,46.0,1.0733162393162394,1.0,,0.0,4.15,0.1099825921278576
2020-10-31,310500.0,255000.0,186.59855769230768,154.51843043995245,1.0,2.0,2.0,2.0,2.0,18.0,0.9271424305762914,0.0,,0.5,4.68,0.2426311336923539
2020-11-30,290000.0,245000.0,151.04166666666666,160.62544420753375,1.0,1.0,1.0,1.0,1.0,87.0,0.9698996655518394,0.0,,0.0,4.08,-0.1905528717122919
2020-12-31,285000.0,259949.5,123.69791666666669,161.45409304301086,1.0,,1.0,2.0,2.0,,1.0,0.0,0.5,,5.3,-0.1810344827586205
2021-01-31,,,,,,,,,,,,,,,6.21,0.0
2021-02-28,356250.0,249950.0,136.6513233601841,170.19922983452113,1.0,,2.0,4.0,4.0,215.0,0.8691144181507685,0.0,,,6.42,0.1047180667433829
2021-03-31,,,,,,,,,,,,,,,5.6,0.0
2021-04-30,605000.0,290000.0,217.735550277118,179.982440737489,3.0,1.0,4.0,7.0,2.3,114.0,0.9584830713972816,0.3333333333333333,,0.0,5.36,0.5933658373963415
2021-05-31,,,,,,,,,,,,,,,6.61,0.0
2021-06-30,530000.0,,194.92144683960527,,4.0,4.0,,1.0,0.2999999999999999,41.0,1.0055555555555555,0.25,,0.0,8.11,-0.1047789550602856
2021-07-31,,,,,,,,,,,,,,,4.8,0.0
2021-08-31,310000.0,300000.0,178.16091954022988,187.61261261261265,1.0,,2.0,4.0,4.0,179.0,0.9144542772861356,0.0,,,5.99,-0.08598606039061
2021-09-30,410000.0,299900.0,168.17063166529942,186.7512332628612,1.0,1.0,3.0,6.0,6.0,28.0,0.976190476190476,0.0,,0.0,5.31,-0.0560745190399322
2021-10-31,337500.0,289000.0,169.42687856251877,190.16921837228043,2.0,2.0,2.0,6.0,3.0,57.0,1.0165324964751898,1.0,,0.0,5.05,0.0074700730132213
2021-11-30,550000.0,295000.0,405.6047197640118,194.8051948051948,1.0,1.0,1.0,5.0,5.0,94.0,0.948439386101052,0.0,0.2,0.0,4.37,1.393980950397685
2021-12-31,351428.5,,160.55094709385088,,2.0,2.0,,2.0,1.0,58.0,0.9586272937357286,0.0,0.5,0.0,5.51,-0.6041689377104331
2022-01-31,389000.0,299999.5,213.26754385964912,207.9454176866585,1.0,2.0,2.0,2.0,2.0,56.0,1.0,0.0,,0.0,6.16,0.3283480896252981
2022-02-28,348000.0,299900.0,162.87458379578246,208.3333333333333,2.0,1.0,3.0,4.0,2.0,28.0,1.085714285714286,0.5,0.25,0.0,8.03,-0.2362898692968966
2022-03-31,285000.0,317250.0,86.15477629987907,211.037394451146,1.0,1.0,2.0,5.0,5.0,2.0,1.0363636363636364,1.0,,1.0,6.46,-0.4710360923598565
2022-04-30,351000.0,,283.29297820823246,,3.0,2.0,,2.0,0.6999999999999998,61.0,0.9755469755469756,0.0,0.5,0.0,7.11,2.288186568115204
2022-05-31,352450.0,349999.0,201.15641450575163,219.20668058455115,2.0,2.0,2.0,2.0,1.0,28.0,0.968867216804201,0.0,,0.5,7.03,-0.2899350496506374
2022-06-30,,,,,,,,,,,,,,,7.97,0.0
2022-07-31,590000.0,350000.0,343.42258440046567,218.4896747788445,1.0,1.0,2.0,3.0,3.0,50.0,0.9849749582637728,0.0,0.3333333333333333,0.0,6.89,0.7072415276652599
2022-08-31,300000.0,,284.629981024668,,1.0,1.0,,2.0,2.0,48.0,0.8695652173913043,0.0,1.0,0.0,6.57,-0.171196089151899
2022-09-30,340000.0,329425.0,284.2809364548495,216.03221847993524,1.0,1.0,2.0,3.0,3.0,,1.0,0.0,0.3333333333333333,1.0,7.34,-0.0012263099219622
2022-10-31,505000.0,,320.5732488870324,,2.0,1.0,,,,92.0,0.9545454545454544,0.0,,0.0,6.39,0.1276635460849726
2022-11-30,,,,,,,,,,,,,,,7.77,0.0
2022-12-31,,,,,,,,,,,,,,,9.14,0.0
2023-01-31,,,,,,,,,,,,,,,6.97,0.0
2023-02-28,,,,,,,,,,,,,,,6.9,0.0
2023-03-31,,,,,,,,,,,,,,,6.9,0.0
2023-04-30,,,,,,,,,,,,,,,6.55,0.0
2023-05-31,,,,,,,,,,,,,,,6.54,0.0
2023-06-30,386450.0,333950.0,204.8168103448276,229.5857198031111,2.0,1.0,1.0,4.0,2.0,50.0,1.0384464285714283,0.5,0.5,0.0,6.79,-0.3610920092181381
2023-07-31,350000.0,355000.0,174.7936496133254,233.68606701940035,2.0,,1.0,3.0,1.5,91.0,0.9195313039276592,0.0,,,6.19,-0.1465854325187248
2023-08-31,,,,,,,,,,,,,,,6.14,0.0
2023-09-30,,,,,,,,,,,,,,,4.95,0.0
2023-10-31,,,,,,,,,,,,,,,6.750532125234604,-0.7028381807954242
2023-11-30,,,,,,,,,,,,,,,6.643814335465431,0.22549351424344324
2023-12-31,,,,,,,,,,,,,,,8.224481974244117,-0.7491399475201036
2024-01-31,,,,,,,,,,,,,,,6.3695485353469845,0.276529820817407
2024-02-29,,,,,,,,,,,,,,,6.880190148949623,0.30278652637593123
2024-03-31,,,,,,,,,,,,,,,6.267180290222168,-0.1896982386797748
2024-04-30,,,,,,,,,,,,,,,5.845588945746422,0.33619644858407544
2024-05-31,,,,,,,,,,,,,,,6.401997406482696,-0.018382255626465827
2024-06-30,,,,,,,,,,,,,,,5.360274616479874,-0.5433039942293723
2024-07-31,,,,,,,,,,,,,,,6.676229729056359,0.042962880439409996
2024-08-31,,,,,,,,,,,,,,,6.05303610265255,-0.5700147094534209
2024-09-30,,,,,,,,,,,,,,,5.812016040682793,-0.6248535085991107
2024-10-31,,,,,,,,,,,,,,,6.0213303315639495,-0.5215228223415707
2024-11-30,,,,,,,,,,,,,,,6.015821246504784,1.8238730295362162
2024-12-31,,,,,,,,,,,,,,,6.42577052116394,-0.7926441070306168
2025-01-31,,,,,,,,,,,,,,,6.271575486063957,0.2572286778050192
2025-02-28,,,,,,,,,,,,,,,6.280705218315124,0.42856711567470734
2025-03-31,,,,,,,,,,,,,,,6.52523687183857,-0.18357785738468574
2025-04-30,,,,,,,,,,,,,,,6.191222277283669,0.6171987791182553
2025-05-31,,,,,,,,,,,,,,,6.275838293433189,-0.4960944021211942
2025-06-30,,,,,,,,,,,,,,,6.056384364366531,0.6173461792564833
2025-07-31,,,,,,,,,,,,,,,6.461103026270866,-0.07485616191955141
2025-08-31,,,,,,,,,,,,,,,5.984096707701683,0.03040490585585234
2025-09-30,,,,,,,,,,,,,,,5.622576759457588,-0.08656839588543423
2025-10-31,,,,,,,,,,,,,,,6.205134226083755,-0.3348623986998162
2025-11-30,,,,,,,,,,,,,,,5.867294568419457,-0.3685053381147819
2025-12-31,,,,,,,,,,,,,,,6.631342428326607,-0.4441151441073997
