occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,period_begin,remote_work_share
0.95131995,40.11125655,8.74029632,1239196986.0,2.69819414,0.00441268,30.0,16.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-01-31,3.7
0.95001413,40.11125655,8.74029632,1239196986.0,2.69819414,0.00441268,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-02-28,3.72
0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00441268,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-03-31,3.94
0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00572711,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-04-30,3.77
0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00572711,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-05-31,3.89
0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00542534,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-06-30,3.67
0.95001413,40.11125655,8.75553493,1239196986.0,2.70443,0.00542534,30.0,5.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-07-31,3.25
0.95206087,40.31507329,8.9276117,1503129558.0,2.88236026,-0.00649542,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-08-31,3.87
0.95206087,40.31507329,8.9276117,1503129558.0,2.88236026,-0.00649542,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-09-30,4.46
0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-10-31,3.93
0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-11-30,3.86
0.952,40.31507329,8.9276117,1503129558.0,2.88236026,0.00731525,29.0,17.0,120.94,1.77,2.81,60140.99,8.61,90.75,0.62,61.56,50999.02,131411.03,37.98,5.81,0.31,0.2,59.1,0.32,1.43,-18.91,2019-12-31,3.83
0.95205863,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-01-31,3.82
0.95398047,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-02-29,4.31
0.95398047,40.31507329,8.9276117,1503129558.0,2.88236026,0.01557411,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-03-31,5.12
0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,0.01646554,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-04-30,11.25
0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,-0.13615871,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-05-31,11.19
0.9571059,40.31507329,8.9276117,1503129558.0,2.88236026,-0.13615871,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-06-30,9.67
0.95707482,40.31507329,8.9276117,1503129558.0,2.88236026,-0.13615877,29.0,17.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-07-31,10.28
0.95707482,40.48057666,8.9276117,1503129558.0,2.88236026,-0.13522373,11.0,32.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-08-31,10.7
0.95707482,40.48057666,8.9276117,1503129558.0,2.88236026,-0.175078,11.0,32.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-09-30,10.58
0.95707482,40.48057666,8.9276117,1503129558.0,2.88236026,-0.175078,11.0,32.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-10-31,10.22
0.95707482,40.48057666,8.9276117,1503129558.0,2.88236026,-0.175078,11.0,32.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-11-30,9.02
0.95707482,40.48057666,8.9276117,1503129558.0,2.88236026,-0.175078,11.0,32.0,121.98,0.86,2.76,62529.69,8.56,90.81,0.62,59.04,49048.51,139497.77,38.24,5.96,0.0,-0.09,59.42,0.02,-3.8,176.66,2020-12-31,9.49
0.952,40.48057666,8.9276117,1503129558.0,2.88236026,-0.14009422,11.0,32.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-01-31,9.15
0.93061316,40.48057666,8.9276117,1503129558.0,2.88236026,-0.10965433,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-02-28,9.69
0.93061316,40.48057666,8.9276117,1503129558.0,2.88236026,-0.10965433,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-03-31,9.46
0.92843339,40.48057666,8.9276117,1503129558.0,2.88236026,-0.1181469,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-04-30,10.11
0.92843339,40.48057666,8.9276117,1503129558.0,2.88236026,-0.1181469,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-05-31,10.16
0.92843339,40.48057666,8.9276117,1503129558.0,2.88236026,-0.1181469,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-06-30,9.72
0.92726176,40.48057666,8.9276117,1503129558.0,2.88236026,0.09089364,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-07-31,9.18
0.92726176,40.48057666,8.9276117,1503129558.0,2.88236026,0.08369158,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-08-31,13.4
0.92726176,40.48057666,8.9276117,1503129558.0,2.88236026,0.08369158,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-09-30,9.73
0.92706309,40.48057666,8.9276117,1503129558.0,2.88236026,0.23186562,8.0,29.0,128.14,5.05,2.66,63814.0,8.51,90.86,0.61,60.44,52170.99,139834.75,38.31,6.03,-0.57,-0.66,59.7,-0.56,5.76,-40.96,2021-10-31,10.97
