period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,250000.0,269900.0,167.63755568196154,170.25106257378985,64.0,72.0,123.0,261.0,4.1,25.0,0.9655139142746286,0.078125,0.3793103448275861,0.4722222222222222,0.0,0.0
2019-02-28,319250.0,285000.0,172.5069759357376,168.72964169381106,72.0,92.0,118.0,248.0,3.4,61.0,0.9671532502563172,0.0555555555555555,0.4112903225806451,0.5108695652173914,0.0,0.0290473112302722
2019-03-31,288500.0,264700.0,172.00021659085985,168.9752469945298,116.0,101.0,134.0,243.0,2.1,23.0,0.9696182421426766,0.0862068965517241,0.4609053497942386,0.5841584158415841,0.0,-0.0029376165348032
2019-04-30,291000.0,279000.0,175.69096133751307,167.9365124690653,122.0,104.0,115.0,224.0,1.8,17.0,0.9715472024431404,0.1311475409836065,0.3526785714285714,0.4038461538461538,0.0,0.0214577912737892
2019-05-31,325000.0,289900.0,177.255985267035,174.90182077829346,127.0,121.0,152.0,230.0,1.8,33.0,0.9736862524473336,0.1102362204724409,0.3913043478260869,0.5785123966942148,0.0,0.0089078226768615
2019-06-30,323900.0,309400.0,179.85611510791367,171.45470745904572,123.0,102.0,143.0,247.0,2.0,22.0,0.9753043434941374,0.1707317073170731,0.4251012145748988,0.5490196078431373,0.0,0.0146687844529571
2019-07-31,307500.0,294950.0,173.35151082581504,175.89046891430075,120.0,94.0,123.0,247.0,2.1,20.0,0.9725934424901884,0.1583333333333333,0.3724696356275303,0.4361702127659574,0.0,-0.0361655998084683
2019-08-31,309000.0,274500.0,173.93670693611256,166.46180820706564,116.0,105.0,110.0,222.0,1.9,26.0,0.9812750255246226,0.1293103448275862,0.4009009009009009,0.3904761904761904,0.41,0.0033757773872851
2019-09-30,312000.0,282500.0,172.64363981626423,170.84826762246118,106.0,85.0,94.0,202.0,1.9,37.0,0.9760380982523852,0.160377358490566,0.4306930693069306,0.3764705882352941,0.68,-0.0074341244158616
2019-10-31,307000.0,285000.0,176.33928571428572,173.2941398652145,87.0,76.0,101.0,199.0,2.3,30.0,0.9740740000533654,0.1494252873563218,0.4020100502512563,0.3684210526315789,0.92,0.0214062093567686
2019-11-30,337000.0,260000.0,172.41379310344828,168.75784190715183,89.0,85.0,99.0,191.0,2.1,38.0,0.9650523711976804,0.1011235955056179,0.3560209424083769,0.5647058823529411,1.36,-0.0222610213880402
2019-12-31,299000.0,272500.0,184.97330282227307,176.89865435547793,115.0,64.0,78.0,185.0,1.6,23.0,0.9849291453709628,0.1304347826086956,0.3297297297297297,0.546875,1.72,0.0728451563691836
2020-01-31,300000.0,300000.0,171.1655305275637,173.86091127098322,72.0,71.0,99.0,189.0,2.6,34.0,0.9804183230784516,0.1944444444444444,0.3915343915343915,0.5492957746478873,2.17,-0.0746473792922226
2020-02-29,313750.0,318750.0,183.0447696319908,179.55547146140862,78.0,109.0,116.0,170.0,2.2,45.0,0.9804403510969673,0.1282051282051281,0.3941176470588235,0.6238532110091743,1.32,0.0694020523163343
2020-03-31,317500.0,295000.0,187.4386653581943,182.03252032520325,115.0,71.0,122.0,195.0,1.7,12.0,0.9816166411916902,0.1652173913043478,0.2769230769230769,0.6197183098591548,1.12,0.0240044866348128
2020-04-30,331000.0,299900.0,189.435627211588,179.64319074098398,80.0,66.0,84.0,194.0,2.4,18.0,0.975857337961658,0.1499999999999999,0.3092783505154639,0.4848484848484848,2.45,0.0106539483173204
2020-05-31,325250.0,281200.0,188.67746632051643,179.60216049382717,72.0,94.0,101.0,179.0,2.5,29.0,0.9713338288444778,0.0972222222222222,0.3072625698324022,0.4574468085106382,4.14,-0.0040022085720167
2020-06-30,346500.0,325950.0,186.93284936479128,181.73339704394303,121.0,117.0,111.0,145.0,1.2,22.0,0.9798434090819824,0.1652892561983471,0.4344827586206896,0.5726495726495726,5.16,-0.0092465570465181
2020-07-31,343000.0,284450.0,184.4125906061136,181.1108261586371,108.0,108.0,95.0,106.0,1.0,25.0,0.9897236474030704,0.25,0.4716981132075471,0.5092592592592593,4.52,-0.0134821609323436
2020-08-31,328000.0,307250.0,188.75129347190355,197.22332015810275,110.0,89.0,115.0,119.0,1.1,24.0,0.978851925684293,0.2,0.3361344537815126,0.7078651685393258,4.35,0.0235271510016199
2020-09-30,329950.0,309900.0,196.0603085685456,189.21135646687696,116.0,100.0,102.0,103.0,0.9,10.0,0.9847562629734145,0.2241379310344827,0.3883495145631067,0.67,5.54,0.0387229934280159
2020-10-31,345000.0,309000.0,194.58516580378185,185.90909090909088,108.0,115.0,123.0,102.0,0.9,8.0,0.9916347739770338,0.3055555555555555,0.4509803921568627,0.643478260869565,5.69,-0.0075239235087096
2020-11-30,346500.0,283000.0,198.4965802890101,194.72379603399435,106.0,80.0,87.0,101.0,1.0,12.0,0.9874842061280952,0.2547169811320754,0.3267326732673267,0.5875,5.93,0.020101298416409
2020-12-31,346450.0,307000.0,196.9530847511841,193.0189571639999,98.0,77.0,85.0,97.0,1.0,13.0,0.9779778321901031,0.2040816326530612,0.3608247422680412,0.6363636363636364,4.06,-0.0077759301222151
2021-01-31,345000.0,277000.0,199.90627928772253,197.2536452785837,83.0,78.0,75.0,84.0,1.0,11.0,0.9856467945862446,0.253012048192771,0.2976190476190476,0.4615384615384615,4.2,0.0149944061057447
2021-02-28,370000.0,325000.0,200.94664371772805,204.8881008352775,76.0,86.0,91.0,74.0,1.0,19.0,0.9872869253593064,0.2763157894736842,0.2432432432432432,0.6976744186046511,3.72,0.0052042608852127
2021-03-31,363000.0,321000.0,207.7921390159269,201.951951951952,110.0,116.0,121.0,70.0,0.5999999999999999,11.0,0.99815629944278,0.3636363636363636,0.2428571428571428,0.7844827586206896,4.24,0.0340662335610579
2021-04-30,390000.0,340000.0,214.87603305785123,216.2295081967213,113.0,101.0,117.0,80.0,0.6999999999999998,9.0,1.0038022635095647,0.4336283185840708,0.3125,0.7029702970297029,4.89,0.0340912513604827
2021-05-31,410000.0,350000.0,220.32801035822183,217.8688524590164,107.0,122.0,117.0,70.0,0.6999999999999998,7.0,1.0085239603560947,0.5327102803738317,0.2428571428571428,0.762295081967213,5.26,0.0253726635901863
2021-06-30,383571.5,327450.0,222.381625298184,220.3703242516312,134.0,109.0,123.0,80.0,0.5999999999999999,7.0,1.0073802429947454,0.5,0.3375,0.8073394495412844,5.33,0.0093207165835305
2021-07-31,402500.0,349999.0,235.5401962065449,225.42498152254248,112.0,117.0,132.0,91.0,0.8,5.0,1.0240512465615226,0.5535714285714286,0.3406593406593406,0.6752136752136751,4.0,0.0591711248207535
2021-08-31,380000.0,329900.0,232.8159645232816,229.7161487545838,99.0,105.0,100.0,77.0,0.8,8.0,1.0023577444203646,0.4242424242424242,0.4675324675324675,0.6666666666666666,4.07,-0.0115658886556858
2021-09-30,395000.0,324000.0,241.77397335917044,223.94578313253007,104.0,89.0,97.0,78.0,0.8,12.0,1.002172257877738,0.3846153846153846,0.4358974358974359,0.7191011235955056,3.37,0.0384767808093893
2021-10-31,418500.0,378950.0,248.38912430951527,239.4099985193335,104.0,89.0,98.0,84.0,0.8,10.0,1.004019347089409,0.4807692307692307,0.3095238095238095,0.6404494382022472,3.93,0.027360889422608
2021-11-30,423000.0,387450.0,242.23020040724467,236.777567290236,90.0,89.0,71.0,59.0,0.6999999999999998,8.0,1.003017725174825,0.4,0.4067796610169491,0.6966292134831461,3.69,-0.0247954652579556
2021-12-31,410000.0,349500.0,249.3686868686869,248.8261238100561,91.0,76.0,79.0,54.0,0.5999999999999999,9.0,1.0011733277165995,0.4835164835164835,0.3703703703703703,0.644736842105263,4.71,0.0294698450046311
2022-01-31,425000.0,349900.0,259.99824743139163,254.09836065573768,84.0,89.0,85.0,39.0,0.5,7.0,1.0042756942390574,0.4166666666666666,0.2307692307692307,0.7640449438202247,5.14,0.0426258833704413
2022-02-28,390000.0,350000.0,261.2481857764877,250.0,65.0,70.0,81.0,44.0,0.6999999999999998,6.0,1.0092455917236915,0.4615384615384615,0.0454545454545454,0.8142857142857142,5.16,0.0048074875790302
2022-03-31,438000.0,394625.0,273.8130573972195,258.7591186762351,106.0,110.0,119.0,48.0,0.5,6.0,1.0210310952256851,0.5377358490566037,0.3125,0.7727272727272727,4.31,0.0480955363704678
2022-04-30,452000.0,425000.0,289.38097634625063,278.2426778242678,99.0,94.0,117.0,70.0,0.6999999999999998,5.0,1.0430985588741186,0.6868686868686869,0.3285714285714285,0.7978723404255319,4.11,0.0568560137234317
2022-05-31,476000.0,399900.0,289.0874511313665,276.59574468085106,102.0,105.0,130.0,93.0,0.9,8.0,1.0218339303213009,0.5490196078431373,0.3225806451612903,0.7904761904761904,3.6,-0.0010143210469126
2022-06-30,450000.0,429900.0,291.8704810107314,281.348167539267,84.0,105.0,136.0,121.0,1.4,6.0,1.0154852396436267,0.5833333333333333,0.4876033057851239,0.6571428571428571,3.66,0.0096269480687358
2022-07-31,450000.0,450000.0,292.8922908693275,280.3947958725886,101.0,98.0,127.0,147.0,1.5,8.0,0.9935581513176208,0.3168316831683168,0.4625850340136054,0.5408163265306122,2.06,0.0035009016843965
2022-08-31,447500.0,405950.0,281.4636107760354,279.8184372506532,95.0,94.0,92.0,137.0,1.4,13.0,0.9886171061716064,0.2736842105263158,0.5401459854014597,0.4680851063829787,2.33,-0.0390200781979301
2022-09-30,500000.0,404950.0,277.99841143764894,274.45931322491646,65.0,76.0,87.0,140.0,2.2,15.0,0.9854467853065636,0.2153846153846154,0.4857142857142857,0.4736842105263157,2.37,-0.0123113582208101
2022-10-31,495900.0,398870.0,291.23237277743715,269.2307692307692,87.0,65.0,88.0,151.0,1.7,22.0,0.978907307722086,0.2413793103448276,0.4172185430463576,0.2923076923076923,3.34,0.0476044495051237
2022-11-30,496950.0,379900.0,276.07587556962835,286.50851133951085,62.0,53.0,66.0,154.0,2.5,23.0,0.9696466297396972,0.1612903225806451,0.3701298701298701,0.3773584905660377,2.97,-0.0520426251493392
2022-12-31,478000.0,375000.0,277.77777777777777,272.72727272727275,59.0,46.0,56.0,151.0,2.6,28.0,0.9743118376279696,0.1525423728813559,0.357615894039735,0.3478260869565217,2.96,0.0061646176241871
2023-01-31,411500.0,370000.0,285.7663997469774,275.8326177056107,30.0,55.0,81.0,157.0,5.2,32.0,0.98144064313662,0.1333333333333333,0.3885350318471337,0.3272727272727272,2.62,0.0287590390891188
