period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,116000.0,200000.0,107.95454545454544,127.13823393435044,29.0,29.0,39.0,114.0,3.9,62.0,0.9648931929842374,0.1379310344827586,,0.0344827586206896,11.2,0.0
2019-02-28,117000.0,179900.0,95.15129567036858,120.83333333333331,44.0,33.0,54.0,119.0,2.7,63.0,0.9687638650780208,0.1136363636363636,,0.1818181818181818,9.48,-0.1185985243165856
2019-03-31,115500.0,199000.0,101.34468667592648,128.6931834549236,44.0,30.0,62.0,134.0,3.0,52.0,0.9740810500735064,0.1818181818181818,,0.0333333333333333,7.89,0.065089928223506
2019-04-30,104650.0,194500.0,97.08136201714348,127.85372186362132,40.0,33.0,66.0,156.0,3.9,48.0,0.9693297903065684,0.1499999999999999,,0.0606060606060606,11.46,-0.042067569584738
2019-05-31,122900.0,215000.0,117.5595238095238,130.50504491596337,63.0,54.0,56.0,145.0,2.3,54.0,0.9798299498341344,0.1111111111111111,,0.0185185185185185,11.88,0.21093813855603
2019-06-30,110250.0,187500.0,97.52867980386716,123.89380530973452,54.0,46.0,56.0,138.0,2.6,52.0,0.9856527184361384,0.2222222222222222,,0.0869565217391304,7.53,-0.1703889515417881
2019-07-31,117000.0,185000.0,103.6036036036036,124.64387464387464,55.0,40.0,54.0,131.0,2.4,59.0,1.0019379306551708,0.309090909090909,,0.1,4.68,0.0622885884639603
2019-08-31,107750.0,175000.0,96.78071120689656,124.86141906873614,56.0,49.0,48.0,110.0,2.0,57.0,0.9884223628904087,0.2857142857142857,,0.1224489795918367,6.15,-0.0658557440029984
2019-09-30,113700.0,185000.0,98.95833333333331,121.00456621004568,31.0,28.0,38.0,111.0,3.6,59.0,0.975073509207502,0.1935483870967741,,0.1428571428571428,6.15,0.0225005799118531
2019-10-31,119000.0,200000.0,99.55908289241624,129.65863103504475,45.0,37.0,49.0,109.0,2.4,45.0,0.9765550651800774,0.1777777777777777,,0.081081081081081,6.59,0.0060707323865221
2019-11-30,119500.0,175000.0,107.75862068965516,122.84162028663968,37.0,27.0,34.0,103.0,2.8,49.0,0.9668188238967674,0.1081081081081081,,0.0,5.58,0.0823585107357744
2019-12-31,115500.0,179450.0,104.96740887376932,125.61619328252392,32.0,29.0,29.0,95.0,3.0,48.0,0.9661479518827684,0.25,,0.0689655172413793,6.43,-0.0259024456514206
2020-01-31,115500.0,200000.0,101.2314992656197,130.07550021232484,34.0,25.0,50.0,105.0,3.1,60.0,0.9781693685662524,0.1470588235294117,,0.08,6.37,-0.0355911386994634
2020-02-29,120500.0,220000.0,106.70731707317071,136.81569343065692,35.0,30.0,42.0,106.0,3.0,57.0,0.9677421546365236,0.1428571428571428,,0.1666666666666666,6.94,0.0540920350609754
2020-03-31,111500.0,219000.0,99.27830180994738,138.50415512465375,42.0,38.0,80.0,137.0,3.3,46.0,0.9726559655422742,0.1666666666666666,,0.131578947368421,8.78,-0.06962048589535
2020-04-30,107750.0,209900.0,96.97056849774712,138.92068683565003,48.0,49.0,43.0,122.0,2.5,45.0,0.9797700937767128,0.1458333333333333,,0.1020408163265306,11.04,-0.0232450925340972
2020-05-31,122000.0,222450.0,113.63636363636364,139.87386862259353,47.0,39.0,59.0,126.0,2.7,57.0,0.9715344242567758,0.1702127659574468,,0.1025641025641025,10.7,0.1718644677122183
2020-06-30,125000.0,209500.0,109.25471587236294,136.0318513603185,44.0,41.0,76.0,149.0,3.4,44.0,0.9914543846748258,0.3181818181818181,,0.024390243902439,11.48,-0.0385585003232061
2020-07-31,123000.0,200000.0,106.09418282548476,139.1561181434599,65.0,63.0,62.0,140.0,2.2,40.0,0.9774010782153691,0.1538461538461538,,0.0952380952380952,8.52,-0.0289281155659264
2020-08-31,111700.0,215000.0,103.83164787798408,140.7766990291262,50.0,49.0,62.0,139.0,2.8,48.0,0.9775730463821684,0.2,,0.2040816326530612,12.9,-0.021325721045633
2020-09-30,128750.0,216900.0,113.98963730569947,137.64852781246225,49.0,44.0,57.0,137.0,2.8,57.0,0.9880952437320684,0.2244897959183673,,0.1818181818181818,11.37,0.0978313417470979
2020-10-31,130000.0,220000.0,119.46968673287842,140.04670169293638,64.0,55.0,59.0,124.0,1.9,55.0,0.9826004395307648,0.140625,,0.2181818181818181,13.14,0.0480749790657062
2020-11-30,129500.0,210000.0,114.33531746031748,138.97102306327616,42.0,36.0,38.0,117.0,2.8,51.0,0.9918553156498569,0.2619047619047619,,0.0,12.49,-0.0429763349429452
2020-12-31,130000.0,199000.0,118.50152905198776,135.49239920687376,55.0,45.0,39.0,93.0,1.7,48.0,0.9863776472519318,0.1636363636363636,,0.1333333333333333,12.47,0.0364385360902701
2021-01-31,128000.0,195000.0,99.609375,137.95013850415512,23.0,21.0,41.0,105.0,4.6,60.0,0.9840133281323284,0.3478260869565217,,0.1428571428571428,12.22,-0.1594254032258063
2021-02-28,131750.0,200000.0,114.21077039012232,139.0134529147982,44.0,37.0,55.0,116.0,2.6,50.0,0.9911369539309054,0.25,,0.1081081081081081,14.66,0.1465865576420122
2021-03-31,145000.0,209900.0,117.21743295019158,142.85714285714286,58.0,52.0,75.0,127.0,2.2,43.0,0.9913415992411672,0.3103448275862069,,0.1346153846153846,15.48,0.026325560626192
2021-04-30,138500.0,220000.0,119.28429423459244,143.84920634920636,71.0,66.0,77.0,123.0,1.7,35.0,0.993315315087202,0.352112676056338,0.024390243902439,0.106060606060606,12.77,0.0176327124078814
2021-05-31,134500.0,207000.0,120.2463565315894,143.20048641703377,68.0,62.0,93.0,141.0,2.1,42.0,1.0015960709222391,0.4411764705882352,0.0992907801418439,0.096774193548387,13.54,0.0080652889231578
2021-06-30,145500.0,205000.0,131.62710238755866,147.52825577843396,72.0,85.0,92.0,138.0,1.9,36.0,1.0042494913676794,0.4583333333333333,0.1304347826086956,0.1411764705882352,13.36,0.0946452448476431
2021-07-31,130500.0,218500.0,126.04166666666666,150.7421150278293,80.0,73.0,82.0,141.0,1.8,37.0,1.0062078049851118,0.45,0.1489361702127659,0.1506849315068493,14.32,-0.0424337816420696
2021-08-31,137500.0,219000.0,125.99206349206348,154.6492665638699,73.0,69.0,73.0,136.0,1.9,45.0,0.9951866588932324,0.3150684931506849,0.1470588235294117,0.1014492753623188,16.22,-0.0003935458480913
2021-09-30,137500.0,225000.0,125.57077625570776,150.11140594532947,65.0,58.0,62.0,126.0,1.9,40.0,0.9987148087041368,0.2923076923076923,0.0793650793650793,0.0172413793103448,14.71,-0.0033437601121777
2021-10-31,140000.0,229950.0,122.82801061861475,153.3486057701763,70.0,66.0,55.0,105.0,1.5,39.0,0.9982835504468888,0.3714285714285714,0.1333333333333333,0.1212121212121212,17.27,-0.021842388164486
2021-11-30,129450.0,222450.0,123.30727900418164,150.19291184387058,56.0,49.0,47.0,85.0,1.5,53.0,0.9890681936878594,0.25,0.1058823529411764,0.1632653061224489,13.28,0.0039019469838603
2021-12-31,136700.0,235000.0,129.27350427350427,155.55555555555554,64.0,52.0,38.0,62.0,1.0,44.0,0.992439366732126,0.34375,0.096774193548387,0.1538461538461538,9.92,0.0483850208803999
2022-01-31,142750.0,199950.0,133.4453889129008,146.05399723227592,52.0,44.0,68.0,77.0,1.5,42.0,0.9965080138490788,0.4423076923076922,0.0519480519480519,0.0909090909090909,10.47,0.0322717687807863
2022-02-28,137850.0,215000.0,124.44611369085555,157.6086956521739,56.0,49.0,69.0,90.0,1.6,30.0,0.9868498989259252,0.4107142857142857,0.0444444444444444,0.1632653061224489,10.84,-0.0674378882279629
2022-03-31,151500.0,212000.0,129.9811439346323,157.17741935483872,72.0,74.0,66.0,80.0,1.1,34.0,1.0084979851898404,0.4722222222222222,0.025,0.1216216216216216,10.97,0.0444773250012988
2022-04-30,151850.0,239900.0,144.26985616010006,167.78449455058907,50.0,51.0,80.0,102.0,2.0,35.0,1.0230407187089745,0.62,0.0098039215686274,0.1764705882352941,11.12,0.1099291158158568
2022-05-31,160000.0,249900.0,138.3257756073539,169.82958707297485,70.0,71.0,77.0,105.0,1.5,34.0,1.014911377129272,0.5428571428571428,0.0476190476190476,0.1830985915492957,12.51,-0.0412011262155127
2022-06-30,151850.0,260000.0,134.59495826641574,173.5537190082645,68.0,66.0,77.0,113.0,1.7,42.0,1.0075447451441766,0.4705882352941176,0.0884955752212389,0.1212121212121212,12.93,-0.0269712374613991
2022-07-31,165000.0,239000.0,137.2093023255814,168.41680129240711,59.0,61.0,61.0,110.0,1.9,40.0,1.0194375340752595,0.4745762711864406,0.1545454545454545,0.1475409836065573,12.44,0.0194237889207622
2022-08-31,162950.0,225000.0,142.05865272938445,168.15374056280027,72.0,68.0,56.0,89.0,1.2,41.0,0.9979381935977764,0.3611111111111111,0.1348314606741573,0.0441176470588235,11.85,0.0353427232819543
2022-09-30,160000.0,270000.0,143.88489208633092,174.91681790683606,45.0,42.0,30.0,72.0,1.6,39.0,0.9958435219459064,0.2888888888888888,0.0972222222222222,0.119047619047619,14.25,0.0128555305985154
2022-10-31,160500.0,260000.0,140.74900793650795,175.39125742039934,42.0,41.0,49.0,66.0,1.6,51.0,0.996563152334443,0.3809523809523809,0.1363636363636363,0.1463414634146341,12.17,-0.0217943948412696
2022-11-30,172500.0,250000.0,142.25143170464236,171.7032967032967,32.0,31.0,36.0,68.0,2.1,34.0,0.9922779524071618,0.34375,0.1176470588235294,0.1612903225806451,15.19,0.0106744892213532
2022-12-31,160250.0,239678.0,146.59552845528455,168.26923076923077,44.0,40.0,30.0,51.0,1.2,43.0,0.9885143366200366,0.3863636363636363,0.1176470588235294,0.0749999999999999,16.09,0.0305381583762325
2023-01-31,165000.0,225000.0,151.36363636363637,169.76414506480558,25.0,28.0,41.0,60.0,2.4,37.0,1.0080118734032082,0.32,0.1333333333333333,0.1071428571428571,17.09,0.0325256026469198
2023-02-28,171800.0,255000.0,148.56902356902356,177.30332284085938,27.0,25.0,34.0,64.0,2.4,33.0,1.0032568437148184,0.4074074074074073,0.109375,0.16,13.42,-0.0184629073517963
2023-03-31,174250.0,265000.0,164.14657968450538,184.9552420844592,54.0,45.0,42.0,55.0,1.0,36.0,1.0033948302521816,0.4259259259259259,0.0727272727272727,0.0666666666666666,14.18,0.1048506326639797
2023-04-30,177250.0,249900.0,157.7352403791253,181.9126819126819,28.0,32.0,46.0,64.0,2.3,34.0,1.0164126915104996,0.5,0.0625,0.125,13.84,-0.0390586225902658
2023-05-31,170000.0,275000.0,165.33740076448106,183.531746031746,46.0,42.0,47.0,64.0,1.4,36.0,1.008520597655556,0.4565217391304347,0.078125,0.119047619047619,12.59,0.0481957003842867
2023-06-30,183000.0,290000.0,156.28066732090284,181.997897935398,39.0,44.0,48.0,67.0,1.7,40.0,1.018314105565696,0.5384615384615384,0.0298507462686567,0.0909090909090909,12.58,-0.0547772821013395
2023-07-31,185000.0,269000.0,168.75,187.0748299319728,52.0,54.0,53.0,61.0,1.2,38.0,1.0242367486446469,0.5769230769230768,0.0983606557377049,0.1481481481481481,11.87,0.0797880690737833
2023-08-31,185000.0,245000.0,170.38007863695938,182.33387358184768,45.0,42.0,54.0,71.0,1.6,33.0,1.0140585540871154,0.4888888888888888,0.1408450704225352,0.119047619047619,12.48,0.0096597252560555
2023-09-30,187000.0,265000.0,160.51530652708382,181.77569416265723,33.0,36.0,31.0,64.0,1.9,33.0,0.9978050991087508,0.4242424242424242,0.109375,0.0,10.5,-0.0578986239987311
2023-10-31,,,,,,,,,,,,,,,22.343505815267562,-0.1413809837716159
2023-11-30,,,,,,,,,,,,,,,12.706569100022314,0.0498037995143956
2023-12-31,,,,,,,,,,,,,,,18.392114235162733,0.0829110744832643
2024-01-31,,,,,,,,,,,,,,,19.32890863776207,0.10935404145487702
2024-02-29,,,,,,,,,,,,,,,12.409502355456352,0.06503234412569159
2024-03-31,,,,,,,,,,,,,,,12.15994110584259,0.06438473055391919
2024-04-30,,,,,,,,,,,,,,,12.339089463949202,-0.09799456506244071
2024-05-31,,,,,,,,,,,,,,,19.25434365868568,0.18465056883953984
2024-06-30,,,,,,,,,,,,,,,12.447182568907737,-0.1044901737358948
2024-07-31,,,,,,,,,,,,,,,19.924040188789366,0.0578680010819683
2024-08-31,,,,,,,,,,,,,,,18.342064057588576,0.039762050253507694
2024-09-30,,,,,,,,,,,,,,,19.071833407878874,0.07068094457037799
2024-10-31,,,,,,,,,,,,,,,21.20078647971153,-0.01834632926605238
2024-11-30,,,,,,,,,,,,,,,9.207354714572428,0.02329980553824812
2024-12-31,,,,,,,,,,,,,,,19.574464882612226,-0.10980625087468045
2025-01-31,,,,,,,,,,,,,,,16.13562161028385,0.16830433225506067
2025-02-28,,,,,,,,,,,,,,,18.023533729314803,0.0821587490269885
2025-03-31,,,,,,,,,,,,,,,9.554264144897461,-0.023633711211830527
2025-04-30,,,,,,,,,,,,,,,12.953305009007451,-0.012941404991055793
2025-05-31,,,,,,,,,,,,,,,9.507427276372908,0.024305285101230874
2025-06-30,,,,,,,,,,,,,,,18.402073842287063,-0.0970838705518457
2025-07-31,,,,,,,,,,,,,,,18.861665586233137,0.09334603312160149
2025-08-31,,,,,,,,,,,,,,,13.572915341258048,-0.08845624881344952
2025-09-30,,,,,,,,,,,,,,,15.267062373161314,-0.09777238471753255
2025-10-31,,,,,,,,,,,,,,,14.622106521725653,0.07151836690001624
2025-11-30,,,,,,,,,,,,,,,12.401479588747025,0.0798639290966898
2025-12-31,,,,,,,,,,,,,,,10.64415073633194,-0.02401636303113963
