period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,285000.0,284500.0,102.1505376344086,151.2481089258699,1.0,1.0,1.0,9.0,9.0,31.0,0.95,0.0,,0.0,0.0,
2019-03-31,295000.0,266000.0,134.82373324847072,141.27604166666666,2.0,2.0,1.0,8.0,4.0,55.0,0.9412947088383092,0.0,,0.0,0.37,0.319853388642924
2019-04-30,150000.0,234000.0,107.06638115631692,141.844764374497,1.0,1.0,3.0,9.0,9.0,32.0,0.7978723404255319,0.0,0.1111111111111111,0.0,0.37,-0.2058788272907332
2019-05-31,,,,,,,,,,,,,,,0.37,0.0
2019-06-30,545000.0,249997.0,,147.81746031746033,1.0,,1.0,10.0,10.0,112.0,0.9478260869565216,0.0,0.2,,0.0,0.0
2019-07-31,174000.0,,148.53195164075993,,3.0,1.0,,8.0,2.7,50.0,0.9516574309556765,0.3333333333333333,0.125,0.0,0.0,0.3872884283246975
2019-08-31,247500.0,207565.0,173.07692307692307,145.66383149930374,1.0,,2.0,7.0,7.0,297.0,0.9555984555984556,0.0,0.2857142857142857,,0.0,0.1652504472271914
2019-09-30,204500.0,,127.4617067833698,,3.0,2.0,,4.0,1.3,48.0,0.9201896476913144,0.0,0.25,0.0,0.0,-0.2635545830294188
2019-10-31,,,,,,,,,,,,,,,0.0,0.0
2019-11-30,325000.0,239900.0,192.57540603248256,151.3622477976698,2.0,,1.0,5.0,2.5,370.0,0.9056190747480788,0.0,,,0.52,0.510849108272009
2019-12-31,125000.0,289000.0,104.16666666666669,149.67637540453077,1.0,1.0,1.0,4.0,4.0,328.0,0.7692307692307692,0.0,0.25,0.0,1.0,-0.4590863453815259
2020-01-31,488050.0,289000.0,202.95410537688025,162.39090393523747,2.0,1.0,3.0,6.0,3.0,47.0,0.9796028368794328,0.5,0.1666666666666666,0.0,1.36,0.94835941161805
2020-02-29,,,,,,,,,,,,,,,1.14,0.0
2020-03-31,395000.0,229900.0,134.9965823650034,154.27923014686954,1.0,1.0,1.0,8.0,8.0,47.0,1.0,0.0,0.125,0.0,1.41,-0.3348418248829289
2020-04-30,235000.0,229900.0,140.63435068821065,154.86725663716814,1.0,1.0,2.0,8.0,8.0,58.0,0.9073359073359072,0.0,,0.0,2.07,0.0417623040853276
2020-05-31,529500.0,,170.86156824782188,,1.0,1.0,,5.0,5.0,22.0,0.898981324278438,0.0,,0.0,2.33,0.2149348108174908
2020-06-30,235000.0,245000.0,143.3561580457111,158.02725802725803,2.0,3.0,6.0,7.0,3.5,88.0,0.949469387755102,0.0,0.1428571428571428,0.6666666666666666,2.78,-0.1609806727409656
2020-07-31,647500.0,279500.0,158.62868358174993,162.39340808557233,2.0,1.0,1.0,7.0,3.5,21.0,0.928,0.0,,0.0,2.73,0.1065355387884277
2020-08-31,256500.0,,108.13492063492065,,4.0,2.0,,3.0,0.8,120.0,0.976896663753893,0.25,,0.0,3.47,-0.3183142027450988
2020-09-30,325000.0,272000.0,164.9746192893401,161.5415457936179,3.0,2.0,2.0,3.0,1.0,289.0,0.9399092970521542,0.0,0.3333333333333333,0.5,2.96,0.5256368462720624
2020-10-31,462500.0,224750.0,158.5571670135276,156.81342687551455,2.0,,6.0,8.0,4.0,400.0,0.8821448013064779,0.0,0.125,,3.17,-0.038899633794925
2020-11-30,439000.0,262500.0,250.0,169.99128654206424,1.0,1.0,3.0,10.0,10.0,62.0,0.9777282850779508,0.0,0.1,0.0,2.41,0.5767183830843219
2020-12-31,402500.0,259900.0,188.29666492055176,155.7918290306868,2.0,2.0,1.0,8.0,4.0,61.0,0.9951175609255648,0.5,0.125,0.0,2.37,-0.2468133403177929
2021-01-31,227500.0,,132.15174129353233,,3.0,1.0,,5.0,1.7,91.0,0.9188376775933422,0.0,,0.0,1.93,-0.2981726928127417
2021-02-28,209500.0,269900.0,153.01101823708206,169.68176359581403,2.0,2.0,3.0,5.0,2.5,80.0,0.9693877551020408,0.0,,0.0,2.21,0.1578433756481316
2021-03-31,1245000.0,295000.0,261.00628930817606,186.50085034013603,1.0,2.0,1.0,4.0,4.0,79.0,0.8924731182795698,0.0,0.25,0.0,2.31,0.7058006169448618
2021-04-30,,,,,,,,,,,,,,,2.53,0.0
2021-05-31,,,,,,,,,,,,,,,2.55,0.0
2021-06-30,285000.0,299900.0,199.01474854932303,193.9753537197627,4.0,3.0,4.0,10.0,2.5,58.0,1.0144889893336149,0.25,,0.3333333333333333,2.56,-0.2375097585700635
2021-07-31,250000.0,265000.0,177.68595041322314,188.90028959591223,3.0,2.0,1.0,8.0,2.7,64.0,0.9377171215880894,0.0,,0.0,2.45,-0.1071719472630634
2021-08-31,245000.0,347000.0,136.11111111111111,213.41463414634143,3.0,1.0,2.0,7.0,2.3,107.0,0.8798932723461024,0.0,,0.0,2.39,-0.2339793281653747
2021-09-30,,,,,,,,,,,,,,,2.52,0.0
2021-10-31,300000.0,329500.0,163.0316364428689,195.72649572649573,2.0,1.0,1.0,8.0,4.0,60.0,0.940064260998517,0.0,0.125,0.0,2.58,0.1977834514169958
2021-11-30,1450000.0,325000.0,405.7078903189703,208.3333333333333,1.0,1.0,2.0,8.0,8.0,209.0,0.9666666666666666,0.0,,0.0,2.55,1.488522468221328
2021-12-31,300000.0,,189.3939393939394,,1.0,1.0,,4.0,4.0,67.0,0.8571428571428571,0.0,0.5,0.0,2.24,-0.533176593521421
2022-01-31,363000.0,335000.0,198.57768052516408,228.433171098582,3.0,1.0,1.0,3.0,1.0,103.0,0.888931741792589,0.0,,0.0,2.11,0.0484901531728663
2022-02-28,,,,,,,,,,,,,,,2.18,0.0
2022-03-31,275000.0,349000.0,151.3860773729195,227.1694684234439,3.0,1.0,1.0,5.0,1.7,71.0,0.9407099407099409,0.0,0.2,0.0,2.3,-0.2376480731743888
2022-04-30,486000.0,364000.0,387.2216844143272,234.58365910867863,3.0,2.0,1.0,3.0,1.0,60.0,0.9355055887807048,0.0,,0.0,2.72,1.5578421155629658
2022-05-31,275000.0,379450.0,144.12997903563942,235.7155732883459,1.0,2.0,5.0,6.0,6.0,44.0,1.1,1.0,,0.0,3.04,-0.6277843291404612
2022-06-30,330000.0,382500.0,280.55555555555554,237.5796309437413,2.0,2.0,3.0,7.0,3.5,52.0,0.992063492063492,0.0,0.1428571428571428,0.5,3.37,0.9465454545454544
2022-07-31,700000.0,379500.0,,235.8223062381853,1.0,1.0,3.0,8.0,8.0,1.0,1.0014306151645207,1.0,0.375,0.0,3.05,0.0
2022-08-31,379000.0,,214.4878324844369,,1.0,2.0,,6.0,6.0,35.0,1.0,0.0,0.1666666666666666,0.0,3.03,-0.2354889139168585
2022-09-30,210000.0,322500.0,97.7653631284916,215.98297326452663,1.0,,1.0,7.0,7.0,26.0,0.8399999999999999,0.0,0.2857142857142857,,3.08,-0.5441915655724415
2022-10-31,,,,,,,,,,,,,,,3.29,0.0
2022-11-30,297500.0,,194.9798987731044,,2.0,2.0,,4.0,2.0,29.0,0.9782926038062284,0.5,0.5,0.0,3.11,0.9943658217363254
2022-12-31,,,,,,,,,,,,,,,2.71,0.0
2023-01-31,371000.0,424500.0,237.8205128205128,244.94310998735776,1.0,,1.0,5.0,5.0,206.0,0.9298245614035088,0.0,,,2.08,0.2197181059020934
2023-02-28,,,,,,,,,,,,,,,1.9,0.0
2023-03-31,339500.0,,196.42857142857144,,2.0,1.0,,3.0,1.5,124.0,0.9434077079107503,0.0,0.3333333333333333,0.0,1.9,-0.1740469772814784
