period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,142500.0,194700.0,100.13175230566534,110.97256857855362,3.0,1.0,2.0,6.0,2.0,156.0,0.9616266463145532,0.0,0.3333333333333333,0.0,0.0,0.0
2019-02-28,116000.0,189900.0,81.05884751064963,109.56151035322776,2.0,,2.0,8.0,4.0,109.0,0.9169340463458112,0.0,0.25,,0.0,-0.1904780886765386
2019-03-31,,,,,,,,,,,,,,,0.0,0.0
2019-04-30,155500.0,206245.0,74.27778267167801,114.82370040225078,2.0,2.0,1.0,4.0,2.0,19.0,0.921691479542588,0.0,,0.5,0.0,-0.0836560726832529
2019-05-31,159850.0,195250.0,95.5293477048916,113.45823924995092,2.0,1.0,3.0,5.0,2.5,85.0,0.9824007418667124,0.0,,1.0,0.0,0.2861093084475821
2019-06-30,150000.0,199900.0,97.65625,116.37748624629708,3.0,,1.0,6.0,2.0,91.0,0.9843874983813355,0.3333333333333333,0.1666666666666666,,0.0,0.0222643862457723
2019-07-31,141500.0,192000.0,95.93367358174773,119.18552431726724,2.0,2.0,4.0,6.0,3.0,264.0,0.9895833333333331,0.0,0.3333333333333333,0.5,0.0,-0.0176391825229033
2019-08-31,117500.0,198677.5,90.625,117.43457275474904,3.0,2.0,1.0,5.0,1.7,53.0,0.9379378861679348,0.0,,0.0,0.0,-0.0553369154285962
2019-09-30,157500.0,199900.0,102.5390625,114.36950146627566,1.0,1.0,3.0,6.0,6.0,26.0,0.9849906191369606,0.0,0.3333333333333333,0.0,0.0,0.1314655172413792
2019-10-31,119500.0,208244.5,89.94902672228254,120.07491638795986,2.0,,3.0,9.0,4.5,111.0,0.9969696969696968,0.0,0.3333333333333333,,0.0,-0.1227828251084064
2019-11-30,148000.0,,104.29880197322058,,1.0,2.0,,6.0,6.0,161.0,0.9736842105263158,0.0,0.1666666666666666,0.0,0.09,0.1595323015027494
2019-12-31,129712.0,,99.3657505285412,,3.0,2.0,,3.0,1.0,55.0,0.9447074795157696,0.0,0.3333333333333333,0.0,0.5,-0.0472972972972975
2020-01-31,156400.0,210000.0,78.0439121756487,118.95863374188896,1.0,,1.0,3.0,3.0,68.0,0.980564263322884,0.0,,,0.58,-0.2145793519344287
2020-02-29,112100.0,198445.0,84.03298350824588,113.78220821638077,1.0,2.0,3.0,3.0,3.0,403.0,0.9756309834638816,0.0,,1.0,0.97,0.076739763110772
2020-03-31,148000.0,,105.18834399431414,,1.0,,,3.0,3.0,10.0,0.9866666666666666,0.0,,,0.64,0.2517506769706963
2020-04-30,157000.0,215945.0,110.64129668780832,122.46353157236636,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,,0.0,0.85,0.0518398948631508
2020-05-31,81500.0,199949.5,68.83445945945945,124.09625408098977,1.0,,1.0,3.0,3.0,71.0,0.9599528857479388,0.0,,,1.01,-0.37785924857979
2020-06-30,,,,,,,,,,,,,,,1.47,0.0
2020-07-31,,,,,,,,,,,,,,,1.74,0.0
