period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,4.41,0.0
2019-02-28,260000.0,,126.33624878522838,,1.0,,,2.0,2.0,10.0,0.9126009126009124,0.0,,,4.29,
2019-03-31,,,,,,,,,,,,,,,9.11,0.0
2019-04-30,,,,,,,,,,,,,,,4.5,0.0
2019-05-31,,,,,,,,,,,,,,,4.35,0.0
2019-06-30,,,,,,,,,,,,,,,4.22,0.0
2019-07-31,,,,,,,,,,,,,,,5.17,0.0
2019-08-31,,,,,,,,,,,,,,,5.0,0.0
2019-09-30,,,,,,,,,,,,,,,5.32,0.0
2019-10-31,569700.0,,162.47191780319605,,2.0,1.0,,1.0,0.5,112.0,0.964375068831176,0.0,,0.0,4.46,0.2860277186114517
2019-11-30,538500.0,,215.4,,2.0,,,1.0,0.5,348.0,0.9746714687723204,0.0,,,5.15,0.3257675720976982
2019-12-31,,,,,,,,,,,,,,,5.04,0.0
2020-01-31,,,,,,,,,,,,,,,5.07,0.0
2020-02-29,,,,,,,,,,,,,,,5.49,0.0
2020-03-31,545000.0,,218.0,,1.0,,,,,329.0,0.9398172098637696,0.0,,,5.59,0.0120705663881151
2020-04-30,,,,,,,,,,,,,,,10.06,0.0
2020-05-31,,,,,,,,,,,,,,,8.93,0.0
2020-06-30,,,,,,,,,,,,,,,10.42,0.0
2020-07-31,,,,,,,,,,,,,,,10.2,0.0
2020-08-31,,,,,,,,,,,,,,,10.71,0.0
2020-09-30,,,,,,,,,,,,,,,12.16,0.0
2020-10-31,,,,,,,,,,,,,,,14.21,0.0
2020-11-30,,,,,,,,,,,,,,,14.73,0.0
2020-12-31,,,,,,,,,,,,,,,15.91,0.0
2021-01-31,,,,,,,,,,,,,,,14.93,0.0
2021-02-28,,,,,,,,,,,,,,,16.47,0.0
2021-03-31,,,,,,,,,,,,,,,17.22,0.0
2021-04-30,,,,,,,,,,,,,,,16.41,0.0
2021-05-31,,,,,,,,,,,,,,,15.53,0.0
2021-06-30,345000.0,,158.54779411764707,,1.0,,,,,5.0,1.0454545454545454,1.0,,,17.13,-0.2727165407447381
2021-07-31,,,,,,,,,,,,,,,18.18,0.0
2021-08-31,,,,,,,,,,,,,,,18.55,0.0
2021-09-30,,,,,,,,,,,,,,,18.27,0.0
2021-10-31,,,,,,,,,,,,,,,19.86,0.0
2021-11-30,653478.0,,221.66824966078696,,1.0,,,,,207.0,1.1874940941304744,1.0,,,14.64,0.3981162645271663
2021-12-31,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,
2022-04-30,,,,,,,,,,,,,,,,
2022-05-31,,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,
2022-07-31,,,,,,,,,,,,,,,,
2022-08-31,,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,
2023-04-30,,,,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
