period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,83750.0,,69.79166666666666,,2.0,2.0,,,,51.0,0.9364161849710982,0.0,,0.0,1.87,0.0
2019-02-28,94000.0,179900.0,86.3970588235294,89.61397058823529,1.0,1.0,3.0,3.0,3.0,62.0,0.9894736842105262,0.0,,0.0,1.63,0.2379280070237051
2019-03-31,97500.0,166000.0,89.61397058823529,99.7829693998289,2.0,2.0,2.0,3.0,1.5,27.0,1.0,0.0,,0.0,2.09,0.0372340425531914
2019-04-30,90000.0,,82.72058823529412,,2.0,2.0,,1.0,0.5,56.0,0.9615384615384616,0.0,,0.0,4.91,-0.0769230769230768
2019-05-31,128833.33333333331,189400.0,102.09609541072388,105.16543690448526,1.3333333333333333,1.0,1.5,5.0,2.75,112.66666666666669,0.9534176722361432,0.0,0.1111111111111111,0.0,2.11,0.2342283534096398
2019-06-30,,,,,,,,,,,,,,,1.12,0.0
2019-07-31,157500.0,229900.0,110.9375,104.09805079886718,1.0,1.0,1.0,9.0,9.0,199.5,0.923202614379085,0.0,0.2222222222222222,0.0,1.69,0.0865988513440001
2019-08-31,165000.0,,149.8187362211375,,2.0,1.0,,5.0,2.5,437.0,0.9187210776806152,0.0,0.2,0.0,2.49,0.3504787490356056
2019-09-30,,,,,,,,,,,,,,,2.78,0.0
2019-10-31,172450.0,,96.93286081291862,,1.0,1.0,,5.0,5.0,104.0,0.9863813229571984,0.0,,0.0,4.0,-0.3529990756974317
2019-11-30,,,,,,,,,,,,,,,3.47,0.0
2019-12-31,225000.0,,141.77693761814746,,1.0,,,4.0,4.0,552.0,0.9003601440576231,0.0,0.25,,3.3,0.4626302827456867
2020-01-31,89500.0,162500.0,61.46978021978022,86.57786885245902,1.0,1.0,1.0,,,24.0,0.8211009174311926,0.0,,0.0,3.52,-0.5664331501831502
2020-02-29,252000.0,250000.0,163.530175210902,110.3896103896104,1.0,,1.0,5.0,5.0,136.0,0.9618320610687024,0.0,0.2,,2.93,1.6603344704700929
2020-03-31,,,,,,,,,,,,,,,5.7,0.0
2020-04-30,,,,,,,,,,,,,,,5.68,0.0
2020-05-31,,,,,,,,,,,,,,,4.33,0.0
2020-06-30,,,,,,,,,,,,,,,5.84,0.0
2020-07-31,207000.0,239900.0,129.13957489334138,117.51998317206562,2.0,,3.0,8.0,4.0,245.0,0.9888585720782171,0.0,,,5.96,-0.2103012503546069
2020-08-31,255000.0,,147.31369150779895,,1.0,1.0,,6.0,6.0,1500.0,0.9272727272727272,0.0,0.3333333333333333,0.0,7.2,0.1407323558983981
2020-09-30,212000.0,188000.0,124.4990366088632,114.24848176185074,1.5,1.5,1.0,5.5,3.75,69.5,0.9752609576992488,0.0,,0.0,6.45,-0.1548712456080697
2020-10-31,165625.0,213750.0,113.9023890880048,115.18575110193666,1.5,1.0,1.5,3.6666666666666665,3.233333333333333,89.75,0.9497928215694684,0.0,,0.0,7.74,-0.0851142933270217
2020-11-30,120235.0,200000.0,93.89980474998858,115.4633844802884,1.3333333333333333,1.0,1.0,7.0,3.5,119.0,0.9535035315453348,0.0,,0.0,8.11,-0.1756116311358627
2020-12-31,225000.0,267390.0,154.2019898422651,125.46487168700044,2.0,1.0,1.0,2.0,1.0,130.0,0.9732142857142856,0.0,,1.0,9.3,0.6421971297260218
2021-01-31,152000.0,159500.0,126.66666666666669,110.70595099183195,2.0,,4.0,9.0,4.5,120.0,0.9578367432025968,0.0,,,7.48,-0.1785665879134543
2021-02-28,89000.0,,85.57692307692308,,1.0,,,8.0,8.0,102.0,0.9621621621621622,0.0,,,10.45,-0.3243927125506073
