period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,3.19,0.0
2019-02-28,,,,,,,,,,,,,,,1.52,
2019-03-31,,,,,,,,,,,,,,,1.68,
2019-04-30,,,,,,,,,,,,,,,2.01,
2019-05-31,,,,,,,,,,,,,,,1.56,
2019-06-30,,,,,,,,,,,,,,,2.25,
2019-07-31,,,,,,,,,,,,,,,3.38,
2019-08-31,,,,,,,,,,,,,,,1.51,
2019-09-30,,,,,,,,,,,,,,,1.87,
2019-10-31,,,,,,,,,,,,,,,3.3,
2019-11-30,,,,,,,,,,,,,,,2.51,
2019-12-31,,,,,,,,,,,,,,,3.03,
2020-01-31,185000.0,,83.63471971066907,,1.0,1.0,,1.0,1.0,5.0,0.9741969457609267,0.0,,1.0,3.24,
2020-02-29,,,,,,,,,,,,,,,2.64,0.0
2020-03-31,,,,,,,,,,,,,,,2.48,0.0
2020-04-30,,,,,,,,,,,,,,,6.94,0.0
2020-05-31,,,,,,,,,,,,,,,7.27,0.0
2020-06-30,318125.0,,143.68789521228547,,1.0,,,,,285.0,1.0062629489632922,1.0,,,5.35,0.7180412119436512
2020-07-31,,,,,,,,,,,,,,,6.76,0.0
2020-08-31,,,,,,,,,,,,,,,7.23,0.0
2020-09-30,217700.0,,130.20334928229664,,1.0,,,,,23.0,1.0032258064516129,1.0,,,7.26,-0.0938460815371167
2020-10-31,,,,,,,,,,,,,,,6.7,0.0
2020-11-30,,,,,,,,,,,,,,,6.8,0.0
2020-12-31,,,,,,,,,,,,,,,5.45,0.0
2021-01-31,,,,,,,,,,,,,,,6.5,0.0
2021-02-28,,,,,,,,,,,,,,,8.21,0.0
2021-03-31,394250.0,,184.1429238673517,,2.0,,,2.0,1.0,42.0,1.0,0.0,,,10.24,0.4142717901066239
2021-04-30,,,,,,,,,,,,,,,9.18,0.0
2021-05-31,,,,,,,,,,,,,,,8.49,0.0
2021-06-30,383800.0,397350.0,192.47743229689067,168.86261261261262,1.0,,3.0,3.0,3.0,64.0,1.0052383446830802,1.0,,,7.49,0.0452610844581939
2021-07-31,,,,,,,,,,,,,,,8.02,0.0
2021-08-31,400000.0,,168.63406408094434,,1.0,1.0,,1.0,1.0,49.0,1.0025062656641603,1.0,,0.0,8.45,-0.123876175671175
2021-09-30,,,,,,,,,,,,,,,7.83,0.0
2021-10-31,,,,,,,,,,,,,,,8.81,0.0
2021-11-30,300000.0,,181.15942028985503,,1.0,1.0,,1.0,1.0,28.0,0.9230769230769232,0.0,,0.0,8.34,0.0742753623188403
2021-12-31,450000.0,,210.18215787015413,,3.0,,,,,38.0,1.021447710319787,1.0,,,8.67,0.160205511443251
2022-01-31,,,,,,,,,,,,,,,8.88,0.0
2022-02-28,475000.0,,284.09090909090907,,1.0,,,,,194.0,0.9501900380076014,0.0,,,8.0,0.3516414141414141
2022-03-31,465475.0,,217.41008874357777,,2.0,,,,,9.0,1.0064469583112516,1.0,,,7.62,-0.2347164876226062
