period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,317500.0,305000.0,129.50870646766168,124.44771723122238,27.0,27.0,51.0,123.0,4.6,47.0,0.981114013875996,0.037037037037037,0.2520325203252032,0.3703703703703703,3.19,0.0
2019-02-28,591500.0,574000.0,354.30894308943084,178.1658985676123,15.0,33.0,24.0,62.5,3.6,13.0,0.9905423200781446,0.0689655172413793,0.3114754098360655,0.3636363636363636,1.52,1.7357924633267938
2019-03-31,312250.0,319900.0,124.74899598393574,124.26208895628972,54.0,47.0,62.0,120.0,2.2,34.0,0.971969927047424,0.0555555555555555,0.4083333333333333,0.5106382978723403,1.68,-0.6479089833404291
2019-04-30,351500.0,309950.0,127.56435798325558,128.8659793814433,46.0,67.0,84.0,123.0,2.7,40.0,0.9805516488206988,0.0869565217391304,0.3170731707317073,0.5223880597014924,2.01,0.0225682136927367
2019-05-31,464350.0,463225.0,177.6051858721694,200.6725679076629,35.0,24.5,41.5,73.5,3.55,8.5,1.000774530785868,0.6231884057971014,0.3584507042253521,0.8020833333333333,1.56,0.3922790713647639
2019-06-30,457500.0,372000.0,208.15759784778268,193.9306956345072,27.0,29.0,41.5,79.5,3.95,10.5,1.0207761831579396,0.6132075471698113,0.372077922077922,0.763157894736842,2.25,0.1720243236456129
2019-07-31,760281.25,614000.0,209.9643964740904,184.2896688898349,32.5,50.0,33.5,81.0,2.75,64.5,0.9917268068507472,0.0873015873015872,0.4102564102564102,0.38,3.38,0.0086799552117666
2019-08-31,320000.0,300000.0,116.15755627009646,125.69642857142856,51.0,51.0,83.0,175.0,3.4,28.0,0.9902782679360684,0.2549019607843137,0.3028571428571428,0.4313725490196078,1.51,-0.4467749855655633
2019-09-30,606750.0,429144.0,181.48518250638136,169.65985624173652,20.5,23.0,31.5,89.0,5.15,19.5,0.9776028507284248,0.1125,0.3023255813953488,0.1333333333333333,1.87,0.5624053082210272
2019-10-31,447500.0,632500.0,129.97707500023978,187.93627733651863,26.0,46.0,30.0,83.0,4.55,38.5,0.972159264206354,0.0588235294117647,0.2739583333333332,0.3260869565217391,3.3,-0.2838143962762935
2019-11-30,308000.0,280450.0,127.63626403725009,130.83264670877963,41.0,42.0,52.0,144.0,3.5,35.0,0.9703149811086984,0.048780487804878,0.2708333333333333,0.3333333333333333,2.51,-0.0180094140677143
2019-12-31,595625.0,396000.0,171.2656919359802,179.70564453277217,28.0,20.5,21.0,63.0,2.35,41.5,0.9773474523459754,0.0555555555555555,0.1652892561983471,0.141025641025641,3.03,0.341826268794557
2020-01-31,480000.0,309900.0,194.9085368472454,128.7792410947967,21.5,35.0,55.0,64.0,2.5,40.5,0.9791262459542782,0.0238095238095238,0.5912698412698413,0.3428571428571428,3.24,0.1380477586842261
2020-02-29,308000.0,370950.0,132.6315789473684,144.04187767311277,41.0,41.0,49.0,114.0,2.8,32.0,0.9789823812892688,0.1463414634146341,0.2280701754385964,0.4146341463414633,2.64,-0.319518882585861
2020-03-31,424582.5,411200.0,171.92072312938282,245.99456989284909,24.0,34.0,34.5,68.0,2.65,112.5,0.9448122574889524,0.0978260869565217,0.2068702290076335,0.6470588235294118,2.48,0.2962276743882039
2020-04-30,373875.0,337000.0,189.3305665665668,132.21990257480863,21.5,22.0,59.0,68.5,1.9,38.0,0.9658089938936876,0.073170731707317,0.6066176470588235,0.1951219512195122,6.94,0.1012666950224598
2020-05-31,862500.0,1287450.0,235.75664503770008,239.1774095294052,20.0,43.0,31.5,70.0,2.75,22.5,0.9632728471361672,0.0897435897435897,0.3913043478260869,0.3488372093023255,7.27,0.2452117442685111
2020-06-30,438308.75,851200.0,152.44796009369833,235.96111843810823,23.5,24.5,38.0,75.0,4.1,126.0,0.9856179875357384,0.0978260869565217,0.2344827586206896,0.75,5.35,-0.3533672823121476
2020-07-31,422243.75,743200.0,257.75941679798973,257.8623148913715,29.5,31.5,42.5,81.5,2.9,11.0,1.0003411002964158,0.381578947368421,0.2845010615711252,0.4795081967213114,6.76,0.690802662361401
2020-08-31,840250.0,319950.0,223.5727299066697,143.20056497175142,31.0,28.5,53.0,69.0,2.35,29.5,0.9655466722240028,0.3583333333333333,0.193984962406015,0.7321428571428572,7.23,-0.1326302150897271
2020-09-30,611897.5,435000.0,199.2628574869546,167.81909494153663,35.5,31.5,28.0,55.0,2.75,26.5,1.0032494467907571,0.6142857142857142,0.3113207547169811,0.1612903225806451,7.26,-0.1087336207321136
2020-10-31,551700.0,619475.0,248.47080620107903,248.4280493170666,34.0,28.5,29.0,45.0,1.5,43.5,0.9820563342180316,0.1615384615384615,0.1764705882352941,0.7321428571428572,6.7,0.2469499300307183
2020-11-30,469000.0,1065000.0,249.94354437484432,278.6535549340313,24.5,18.5,17.5,37.0,2.75,16.0,1.0437483141034014,0.6354166666666666,0.2571428571428571,0.7638888888888888,6.8,0.0059272080945134
2020-12-31,845000.0,712500.0,219.3327450280049,217.6125938219592,30.5,19.0,17.0,27.0,1.4,57.0,0.968770624475796,0.1525423728813559,0.1799999999999999,0.7432432432432432,5.45,-0.1224708540618754
