period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,3.28,0.0
2019-02-28,,,,,,,,,,,,,,,3.35,
2019-03-31,301500.0,349900.0,217.5835450459253,142.9914180629342,2.0,1.0,1.0,,,23.0,1.0,0.0,,1.0,2.67,
2019-04-30,,,,,,,,,,,,,,,2.32,0.0
2019-05-31,,,,,,,,,,,,,,,3.42,0.0
2019-06-30,220000.0,349450.0,119.82570806100216,137.91491351098645,1.0,1.0,1.0,2.0,2.0,3.0,0.9777777777777776,0.0,1.0,1.0,2.33,-0.4492887408571701
2019-07-31,,,,,,,,,,,,,,,2.01,0.0
2019-08-31,,,,,,,,,,,,,,,3.04,0.0
2019-09-30,,,,,,,,,,,,,,,3.08,0.0
2019-10-31,219900.0,210000.0,104.66444550214185,130.30778809650502,1.0,1.0,1.0,,,4.0,1.0,0.0,,1.0,3.18,-0.1265276275366706
2019-11-30,,,,,,,,,,,,,,,3.02,0.0
2019-12-31,275000.0,298450.0,106.83760683760684,134.4673792496845,1.0,,1.0,1.0,1.0,4.0,1.0223048327137547,1.0,,,4.05,0.0207631285393903
2020-01-31,202500.0,352450.0,93.06066176470588,153.80061231862908,1.0,2.0,1.0,,,12.0,1.0657894736842106,1.0,,1.0,3.15,-0.128952205882353
2020-02-29,235000.0,,120.6365503080082,,1.0,,,,,11.0,1.0,0.0,,,3.21,0.2963216467665472
2020-03-31,,,,,,,,,,,,,,,1.95,0.0
2020-04-30,240500.0,,118.12038580614433,,2.0,1.0,,1.0,0.5,3.0,0.9779661016949152,0.0,,1.0,6.84,-0.0208573976580034
2020-05-31,187500.0,309950.0,75.84951456310678,133.72722221520667,1.0,1.0,1.0,1.0,1.0,,0.7239382239382239,0.0,,0.0,5.29,-0.3578626242587054
2020-06-30,290000.0,269900.0,127.19298245614036,133.72565803552322,1.0,,2.0,3.0,3.0,41.0,1.0283687943262412,1.0,,,4.22,0.6769122807017549
2020-07-31,,,,,,,,,,,,,,,4.25,0.0
2020-08-31,245000.0,247500.0,110.6280193236715,131.88976377952756,3.0,2.0,1.0,,,45.0,0.9892276017799028,0.3333333333333333,,0.5,4.3,-0.1302348825587207
2020-09-30,235500.0,,115.38428356154404,,2.0,,,,,10.0,0.9843336448843036,0.0,,,5.97,0.0429933055563152
2020-10-31,,,,,,,,,,,,,,,4.14,0.0
2020-11-30,,,,,,,,,,,,,,,5.17,0.0
2020-12-31,,,,,,,,,,,,,,,6.71,0.0
2021-01-31,,,,,,,,,,,,,,,6.03,0.0
2021-02-28,252000.0,299900.0,119.03637222484647,147.92899408284023,1.0,,2.0,2.0,2.0,6.0,1.05,1.0,,,6.01,0.0316515261054117
2021-03-31,270000.0,322500.0,125.0,153.2429245283019,1.0,2.0,1.0,1.0,1.0,33.0,0.9821753364859948,0.0,,0.0,7.81,0.0500992063492065
