period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,289500.0,434900.0,195.47872340425528,159.3349497748528,7.0,11.0,16.0,20.0,2.9,77.0,0.9699198505946456,0.0,0.5,0.5454545454545454,0.7,0.0
2019-02-28,304500.0,459900.0,177.34420500873617,156.05254844144903,19.0,12.0,11.0,17.0,0.9,50.0,0.9713818272118856,0.1052631578947368,0.1176470588235294,0.4166666666666666,2.04,-0.0927697811797985
2019-03-31,239900.0,450000.0,149.88601823708206,159.40366972477065,9.0,10.0,15.0,20.0,2.2,22.0,0.9945311411119502,0.3333333333333333,0.2,0.6999999999999998,2.32,-0.1548299070178328
2019-04-30,200000.0,425000.0,155.55555555555554,163.79948752604605,11.0,19.0,17.0,18.0,1.6,12.0,0.985303649281106,0.0909090909090909,0.3888888888888889,0.631578947368421,1.79,0.0378256583579776
2019-05-31,249900.0,445000.0,162.66272189349112,157.01699181875392,17.0,15.0,28.0,31.0,1.8,14.0,0.9829894714329008,0.0588235294117647,0.064516129032258,0.8,1.13,0.0456889264581572
2019-06-30,178400.0,430000.0,136.10888710968774,155.61883067577827,17.0,8.0,8.0,29.0,1.7,6.0,0.9867355989224532,0.2352941176470588,0.2758620689655172,0.75,1.49,-0.1632447463973362
2019-07-31,166500.0,420000.0,125.57427258805512,155.5699902565768,9.0,14.0,18.0,28.0,3.1,39.0,0.9862568950787366,0.3333333333333333,0.1428571428571428,0.5714285714285714,0.81,-0.0773984325736419
2019-08-31,184700.0,400000.0,147.66839378238342,161.86222994882212,16.0,22.0,19.0,20.0,1.3,12.0,0.9906230337058658,0.3125,0.2,0.5909090909090909,2.34,0.1759446480475168
2019-09-30,175000.0,434900.0,152.29468881154276,158.43023255813952,17.0,14.0,14.0,20.0,1.2,8.0,0.9912302223363548,0.1764705882352941,0.1499999999999999,0.7142857142857143,2.39,0.0313289452851843
2019-10-31,229900.0,399900.0,182.8675577156744,164.36903499469778,15.0,9.0,11.0,18.0,1.2,6.0,0.996623450825078,0.1333333333333333,0.0555555555555555,0.3333333333333333,2.37,0.200748096619207
2019-11-30,163500.0,438222.5,137.5,173.50791717417783,9.0,6.0,9.0,20.0,2.2,26.0,0.9748738840968656,0.0,0.2,0.0,2.37,-0.2480897009966778
2019-12-31,324900.0,375000.0,195.26248399487835,168.02688430148825,7.0,10.0,11.0,19.0,2.7,38.0,0.9875788497217068,0.0,0.263157894736842,0.5,3.78,0.4200907926900243
2020-01-31,192000.0,417450.0,153.22344050446782,160.24154365756542,12.0,8.0,12.0,21.0,1.8,23.0,0.9663468864027096,0.0,0.0476190476190476,0.375,3.39,-0.2152950358426926
2020-02-29,215000.0,433802.5,141.19749776586238,163.49751493354097,11.0,12.0,8.0,14.0,1.3,34.0,0.9949017132967864,0.4545454545454545,0.0714285714285714,0.5,3.53,-0.0784863118789893
2020-03-31,241000.0,450000.0,145.2489671667754,162.86847215880957,10.0,5.0,5.0,13.0,1.3,49.0,0.9792887249638088,0.1,0.3076923076923077,0.0,4.17,0.0286936345545676
2020-04-30,188500.0,434482.5,119.36025470870231,169.3550965343161,3.0,3.5,8.0,10.0,4.0,46.0,0.9772913133489768,0.0,0.3333333333333333,0.1666666666666666,5.57,-0.1782368092734702
2020-05-31,216000.0,314500.0,130.88857125841224,128.2215244107827,2.0,7.0,12.0,14.5,6.5,37.0,0.9842486815053187,0.1666666666666666,0.0833333333333333,0.3076923076923077,7.02,0.0965842153893243
2020-06-30,208750.0,317450.0,133.15087462686466,133.10426296128566,7.5,8.5,8.0,13.5,1.9,61.0,0.9766257726270526,0.0769230769230769,0.3913043478260869,0.21875,5.28,0.0172841933157477
2020-07-31,255000.0,440000.0,160.27655562539283,168.59994604801727,19.0,21.0,21.0,21.0,1.1,23.0,0.9914016579899296,0.263157894736842,0.5714285714285714,0.3809523809523809,4.15,0.2037213880460329
2020-08-31,206625.0,299700.0,132.45356886879784,139.73445694486816,13.5,7.5,4.5,10.0,0.8499999999999999,57.5,0.9937147718504654,0.1136363636363636,0.4,0.3461538461538461,5.84,-0.1735936154107553
2020-09-30,161500.0,328000.0,124.4389092377842,140.81128141626976,7.5,5.5,7.0,9.0,1.1,38.5,0.9948581179396304,0.0909090909090909,0.4666666666666666,0.2142857142857142,5.79,-0.0605092010691881
2020-10-31,251550.0,499500.0,192.90334855403347,178.27614076270487,8.0,7.0,11.0,16.0,2.0,19.0,0.9971785132396002,0.25,0.4375,0.5714285714285714,6.99,0.5501851449487067
