period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.83,0.0
2019-02-28,215000.0,224950.0,102.32997481108312,128.02844420210835,3.0,1.0,3.0,18.0,6.0,155.0,0.8800052631610766,0.0,,0.0,1.87,
2019-03-31,300000.0,235000.0,174.62165308498254,131.39204545454547,5.0,5.0,13.0,26.0,5.2,,1.0,0.0,,1.0,3.01,0.7064565236858602
2019-04-30,151000.0,235000.0,97.62308998302208,132.3024054982818,3.0,1.0,4.0,27.0,9.0,128.0,0.9622875461851472,0.0,,0.0,2.68,-0.4409451046972269
2019-05-31,,,,,,,,,,,,,,,2.65,0.0
2019-06-30,203750.0,240000.0,126.67899297773792,130.17384105960264,6.0,5.0,5.0,32.0,5.3,44.0,0.9665731579988956,0.1666666666666666,,0.0,2.04,0.2976335106763066
2019-07-31,150000.0,234500.0,110.82138200782268,128.48395174140677,3.0,3.0,13.0,41.0,13.7,5.0,1.000392618767177,0.3333333333333333,,0.6666666666666666,1.99,-0.1251794839630751
2019-08-31,207000.0,224700.0,127.42857142857144,130.35126234906696,11.0,6.0,6.0,33.0,3.0,104.0,0.959988401632728,0.0,,0.1666666666666666,1.56,0.1498554621848742
2019-09-30,300000.0,222500.0,132.4736225087925,126.87378952108736,5.0,2.0,1.0,29.0,5.8,104.0,0.9582996744567572,0.0,,0.0,1.84,0.0395912080286404
2019-10-31,319000.0,230000.0,234.19066126809489,129.51807228915663,4.0,3.0,5.0,29.0,7.3,52.0,0.8469794821634061,0.0,,0.0,2.26,0.7678286200149111
2019-11-30,205000.0,,131.74807197943446,,1.0,,,24.0,24.0,121.0,0.836734693877551,0.0,,,2.81,-0.437432426784034
2019-12-31,179000.0,225000.0,110.15384615384616,126.19949494949496,1.0,,3.0,26.0,26.0,100.0,0.9949972206781544,0.0,,,2.77,-0.1639054409005629
2020-01-31,178750.0,288950.0,121.46263289555972,140.41928721174006,4.0,,4.0,24.0,6.0,274.0,0.9623013934974262,0.0,,,2.42,0.102663566789299
2020-02-29,169750.0,259450.0,94.3565751559482,137.489304437695,2.0,1.0,5.0,26.0,13.0,195.0,0.9886363636363636,0.0,,0.0,2.84,-0.2231637590378828
