period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-06-30,40000.0,145000.0,20.54190356571012,92.24965706447188,2.0,2.0,3.0,7.0,3.5,19.0,0.7662337662337662,0.0,,0.0,1.53,0.0
2019-07-31,106625.0,148000.0,63.90553855035838,90.52709884776196,2.0,1.0,3.0,8.0,4.0,94.0,0.911206896551724,0.0,,0.0,0.82,2.11098425449887
2019-08-31,92500.0,139950.0,48.891786179921766,92.94871794871794,5.0,4.0,3.0,6.0,1.2,50.0,0.913229859571323,0.0,,0.25,0.9,-0.2349366379035454
2019-09-30,124000.0,,49.61286024746367,,2.0,1.0,,4.0,2.0,93.0,0.8795518207282913,0.0,,0.0,1.2,0.014748368261457
2019-10-31,130000.0,129500.0,58.40071877807727,92.73039496279335,1.0,1.0,3.0,6.0,6.0,46.0,0.9629629629629628,0.0,,0.0,1.75,0.1771286413800916
2019-11-30,,,,,,,,,,,,,,,1.68,0.0
2019-12-31,80000.0,141000.0,37.489932063314185,92.64126149802892,6.0,4.0,1.0,1.0,0.2,70.0,0.9214975780790392,0.0,,0.25,1.88,-0.3580570094389432
2020-01-31,81000.0,,30.681818181818183,,1.0,,,,,176.0,0.952941176470588,0.0,,,2.1,-0.1815984587541594
2020-02-29,,,,,,,,,,,,,,,3.21,0.0
2020-03-31,93000.0,,52.24719101123596,,1.0,1.0,,,,33.0,0.9309309309309308,0.0,,0.0,4.31,0.7028714107365794
2020-04-30,,,,,,,,,,,,,,,5.08,0.0
2020-05-31,,,,,,,,,,,,,,,3.95,0.0
2020-06-30,,,,,,,,,,,,,,,3.19,0.0
2020-07-31,158000.0,167000.0,51.35431516613664,104.2752867570386,2.0,2.0,2.0,1.0,0.5,44.0,0.9054889833784304,0.0,,0.5,2.83,-0.0170894516588903
2020-08-31,,,,,,,,,,,,,,,4.33,0.0
2020-09-30,,,,,,,,,,,,,,,4.38,0.0
2020-10-31,82225.0,204999.0,38.8189497716895,104.40456769983687,2.0,1.0,1.0,2.0,1.0,69.0,0.9583333333333331,0.0,,0.0,4.46,-0.2440956588340026
2020-11-30,,,,,,,,,,,,,,,3.72,0.0
2020-12-31,112000.0,,48.82301656495205,,1.0,1.0,,1.0,1.0,82.0,0.896,0.0,,0.0,5.18,0.2577109079998467
2021-01-31,,,,,,,,,,,,,,,6.4,0.0
2021-02-28,,,,,,,,,,,,,,,6.87,0.0
2021-03-31,145000.0,170000.0,56.552262090483616,107.48560460652592,1.0,1.0,1.0,2.0,2.0,,1.0,0.0,,1.0,5.9,0.1583115110318698
2021-04-30,,,,,,,,,,,,,,,5.21,0.0
2021-05-31,95000.0,,20.35132819194516,,1.0,,,1.0,1.0,263.0,0.7916666666666666,0.0,,,5.26,-0.6401323759713973
2021-06-30,105000.0,,35.472972972972975,,1.0,,,,,99.0,0.875,0.0,,,6.01,0.7430298719772404
2021-07-31,,,,,,,,,,,,,,,7.07,0.0
2021-08-31,,,,,,,,,,,,,,,7.21,0.0
2021-09-30,,,,,,,,,,,,,,,6.15,0.0
2021-10-31,111500.0,199970.0,51.115951856607175,113.41871757634016,2.0,2.0,1.0,4.0,2.0,66.0,0.9134203144021596,0.5,,0.0,5.94,0.4409830237672116
2021-11-30,,,,,,,,,,,,,,,6.09,0.0
2021-12-31,125000.0,168750.0,90.44862518089724,111.56078475647884,3.0,2.0,1.0,2.0,0.6999999999999998,77.0,0.89215320906252,0.3333333333333333,,0.0,5.46,0.7694794265912899
2022-01-31,,,,,,,,,,,,,,,3.66,0.0
2022-02-28,130000.0,187500.0,61.320754716981135,108.58073859522084,1.0,1.0,1.0,2.0,2.0,59.0,1.0,0.0,,0.0,2.45,-0.3220377358490565
2022-03-31,112000.0,191975.0,44.44444444444444,120.42097984720937,1.0,,1.0,2.0,2.0,162.0,0.9747606614447344,0.0,,,2.77,-0.2752136752136752
2022-04-30,201700.0,195000.0,72.10162365557181,127.0878721859114,2.0,2.0,3.0,3.0,1.5,27.0,1.0370605339677503,1.0,,0.0,3.08,0.6222865322503659
2022-05-31,,,,,,,,,,,,,,,4.39,0.0
2022-06-30,,,,,,,,,,,,,,,4.35,0.0
2022-07-31,,,,,,,,,,,,,,,4.19,0.0
2022-08-31,,,,,,,,,,,,,,,3.5,0.0
2022-09-30,190000.0,,211.11111111111111,,1.0,3.0,,2.0,2.0,1.0,1.0,0.0,0.5,0.3333333333333333,3.18,1.927966117928012
2022-10-31,148500.0,175000.0,107.29768786127168,120.98893499308436,1.0,2.0,3.0,3.0,3.0,2.0,0.990660440293529,0.0,,1.0,4.0,-0.4917477943413446
2022-11-30,120000.0,215000.0,98.44134536505332,120.84456424079066,1.0,2.0,1.0,1.0,1.0,13.0,0.7741935483870968,0.0,,1.0,4.11,-0.0825399192913549
2022-12-31,217500.0,175000.0,75.48896416083916,108.39483394833948,4.0,1.0,2.0,1.0,0.2999999999999999,14.0,0.9441319542141086,0.25,,1.0,4.54,-0.2331579390661422
2023-01-31,,,,,,,,,,,,,,,4.82,0.0
2023-02-28,,,,,,,,,,,,,,,4.69,0.0
2023-03-31,,,,,,,,,,,,,,,5.76,0.0
2023-04-30,162000.0,190000.0,52.40676077265973,128.1772575250836,3.0,4.0,3.0,1.0,0.2999999999999999,33.0,0.9467917740117228,0.0,1.0,1.0,4.44,-0.3057692424948336
2023-05-31,125000.0,189975.0,76.3125763125763,126.10610087074522,1.0,1.0,4.0,4.0,4.0,6.0,0.9765625,0.0,0.25,1.0,4.39,0.4561589990959349
2023-06-30,130000.0,,65.359477124183,,1.0,1.0,,2.0,2.0,4.0,1.04,1.0,0.5,0.0,3.45,-0.1435294117647058
2023-07-31,130000.0,207000.0,46.59383033419023,127.0815074496056,3.0,2.0,2.0,2.0,0.6999999999999998,1.0,0.984313725490196,0.3333333333333333,,0.5,4.61,-0.2871143958868895
2023-08-31,,,,,,,,,,,,,,,4.77,0.0
2023-09-30,156100.0,209000.0,66.36904761904762,126.32978723404256,1.0,1.0,2.0,4.0,4.0,4.0,1.077294685990338,1.0,0.25,1.0,5.42,0.4244170771756979
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
