period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,174250.0,246450.0,125.51079976649152,160.26202187671987,17.0,17.0,40.0,86.0,5.1,14.0,0.9819629095100298,0.0588235294117647,0.1046511627906976,0.4117647058823529,7.46,0.0
2019-02-28,156125.0,264950.0,115.07052709725316,151.72344507531565,19.0,20.0,29.0,83.0,4.4,41.0,0.9784674858764628,0.1578947368421052,0.072289156626506,0.55,6.22,-0.0831822654995595
2019-03-31,166500.0,265000.0,119.01996036870464,162.24209078404402,22.0,18.0,26.0,80.0,3.6,42.0,0.9810992076655232,0.1363636363636363,0.0749999999999999,0.6666666666666666,5.82,0.0343218491396462
2019-04-30,173375.0,245000.0,122.68441446613087,149.43960149439602,26.0,38.0,46.0,84.0,3.2,19.0,0.9861851593795596,0.1153846153846153,0.1071428571428571,0.7105263157894736,4.38,0.03078856761567
2019-05-31,140812.5,245000.0,114.07598085521758,152.79241306638568,32.0,40.0,63.0,102.0,3.2,11.0,0.9883701708121136,0.21875,0.1862745098039215,0.65,7.77,-0.0701672958898116
2019-06-30,160000.0,253250.0,117.5115207373272,148.43402296796103,43.0,48.0,49.0,90.0,2.1,12.0,0.9865596588743412,0.1627906976744186,0.2444444444444444,0.5208333333333333,7.95,0.0301162423180907
2019-07-31,176125.0,245000.0,124.45652173913044,154.47603058955252,59.0,42.0,65.0,105.0,1.8,21.0,0.9828263907823864,0.1186440677966101,0.2,0.5714285714285714,4.08,0.0591005967604432
2019-08-31,153000.0,235000.0,118.84469696969695,147.60087013528818,45.0,40.0,51.0,109.0,2.4,14.0,0.9857172238178395,0.1333333333333333,0.2844036697247706,0.5999999999999999,6.34,-0.0450906444356227
2019-09-30,170312.5,234445.0,123.59601449275362,155.7690635596905,40.0,41.0,56.0,116.0,2.9,24.0,0.9877831038513992,0.1499999999999999,0.25,0.4146341463414633,6.09,0.0399792135804608
2019-10-31,182000.0,239900.0,125.5380200860832,153.00733496332518,53.0,39.0,40.0,106.0,2.0,34.0,0.9889531135682966,0.1698113207547169,0.3490566037735848,0.4358974358974359,5.12,0.0157125260171187
