period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,195000.0,171250.0,82.439152054436,82.69233979524627,55.0,34.0,66.0,134.0,2.4,74.0,,0.0,,0.088235294117647,0.78,0.0
2019-02-28,175000.0,195450.0,84.7196549599507,90.24577572964668,59.0,40.0,59.0,133.0,2.3,49.0,,0.0,,0.0,1.38,0.0276628622284815
2019-03-31,185000.0,194000.0,82.17092350871745,89.28571428571429,66.0,51.0,87.0,154.0,2.3,45.0,,0.0,,0.0588235294117647,1.75,-0.0300842992389205
2019-04-30,185000.0,195000.0,89.40366972477062,90.29126213592232,85.0,70.0,115.0,184.0,2.2,41.0,,0.0,,0.0142857142857142,1.58,0.088020748790609
2019-05-31,195000.0,195000.0,89.28571428571429,96.3855421686747,121.0,111.0,151.0,213.0,1.8,42.0,,0.0,,0.072072072072072,1.26,-0.0013193579124822
2019-06-30,192950.0,212000.0,93.51445743989603,96.72619047619048,116.0,105.0,133.0,230.0,2.0,42.0,,0.0,,0.0476190476190476,1.37,0.0473619233268354
2019-07-31,205000.0,198500.0,94.50016578249338,91.9493257049448,124.0,115.0,131.0,238.0,1.9,41.0,,0.0,,0.0260869565217391,1.33,0.0105407053581088
2019-08-31,205000.0,189900.0,92.66561514195584,97.27741508184312,139.0,123.0,140.0,240.0,1.7,42.0,,0.0,,0.040650406504065,1.31,-0.0194132002345904
2019-09-30,210000.0,200000.0,99.1291365637138,98.11165845648604,108.0,93.0,101.0,233.0,2.2,47.0,,0.0,,0.0,1.74,0.0697510226620348
2019-10-31,185000.0,210000.0,100.1133029107144,98.05456724963624,108.0,95.0,110.0,234.0,2.2,49.0,,0.0,,0.0105263157894736,1.62,0.0099281238707051
2019-11-30,199950.0,197000.0,97.07692307692308,100.0,96.0,77.0,71.0,211.0,2.2,56.0,,0.0,,0.0259740259740259,1.7,-0.0303294342061544
2019-12-31,207450.0,199000.0,97.28795743335009,99.375,90.0,69.0,51.0,172.0,1.9,58.0,,0.0,,0.0,1.2,0.0021738879822117
2020-01-31,210000.0,214900.0,99.59936839012924,102.1505376344086,80.0,55.0,73.0,165.0,2.1,67.0,,0.0,,0.0181818181818181,1.93,0.0237584488127695
2020-02-29,205000.0,225000.0,99.19436052366568,101.78571428571428,71.0,50.0,77.0,171.0,2.4,57.0,1.0576923076923077,0.0140845070422535,,0.0599999999999999,2.69,-0.004066369827539
2020-03-31,199900.0,225000.0,103.69603376002134,107.37732258699664,88.0,71.0,116.0,199.0,2.3,49.0,1.0,0.0,,0.0704225352112676,3.11,0.0453823504944281
2020-04-30,212500.0,218750.0,103.59712543554008,108.39309861557317,96.0,81.0,114.0,217.0,2.3,39.0,1.0323541932737337,0.0104166666666666,,0.037037037037037,3.05,-0.000953829388597
2020-05-31,228000.0,225000.0,106.83760683760684,106.77061403508772,93.0,81.0,126.0,250.0,2.7,47.0,,0.0,,0.0123456790123456,2.97,0.0312796459210931
2020-06-30,220000.0,235900.0,107.9136690647482,110.08125188083058,129.0,111.0,125.0,240.0,1.9,49.0,,0.0,,0.054054054054054,3.45,0.0100719424460431
2020-07-31,214500.0,240000.0,106.41464160017196,112.57267441860463,128.0,109.0,156.0,270.0,2.1,45.0,,0.0,,0.018348623853211,3.66,-0.0138909878384064
2020-08-31,235000.0,249450.0,109.25410004803403,111.67071835373184,144.0,124.0,130.0,255.0,1.8,42.0,,0.0,,0.0483870967741935,3.96,0.0266829677304245
2020-09-30,260000.0,256500.0,113.2768400160239,110.85016265617811,146.0,124.0,112.0,221.0,1.5,47.0,,0.0,,0.0161290322580645,4.71,0.0368200366505353
2020-10-31,265000.0,256000.0,111.45393068469993,117.66444937176644,143.0,118.0,88.0,169.0,1.2,46.0,,0.0,,0.0254237288135593,4.78,-0.0160925157434309
2020-11-30,260000.0,245000.0,115.06849315068492,122.61856505877584,113.0,91.0,75.0,132.0,1.2,43.0,,0.0,,0.0329670329670329,5.51,0.0324310003584393
