period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,218500.0,210750.0,122.36842105263158,123.02564102564102,42.0,42.0,49.0,121.0,2.9,26.0,0.9759664309632656,0.119047619047619,0.2479338842975206,0.3333333333333333,0.22,0.0
2019-02-28,238000.0,247000.0,120.69553595437006,124.75616752725186,51.0,47.0,59.0,115.0,2.3,41.0,0.9764239285331024,0.1568627450980392,0.2260869565217391,0.5531914893617021,0.22,-0.0136708889750403
2019-03-31,238450.0,240000.0,120.08244506796451,129.39457202505218,65.0,82.0,110.0,121.0,1.9,46.0,0.983881101366516,0.2,0.2892561983471074,0.5853658536585366,0.22,-0.0050796484025501
2019-04-30,232000.0,239700.0,126.88065610859728,128.09375,76.0,73.0,107.0,144.0,1.9,17.0,0.9864790286316404,0.2368421052631578,0.2777777777777777,0.6575342465753424,0.0,0.0566128632439579
2019-05-31,266400.0,255700.0,126.0387811634349,128.45989887974622,72.0,102.0,139.0,170.0,2.4,13.0,0.996374263133712,0.375,0.2470588235294117,0.6078431372549019,0.0,-0.0066351717510177
2019-06-30,259000.0,234950.0,130.9710351377018,131.64420033294147,99.0,73.0,112.0,199.0,2.0,13.0,0.9862501106617944,0.2525252525252525,0.3819095477386934,0.5890410958904109,0.35,0.0391328282353922
2019-07-31,255000.0,247999.0,128.71963913948647,126.88335636965776,83.0,86.0,119.0,218.0,2.6,13.0,0.9912223585592668,0.2409638554216867,0.3944954128440367,0.3604651162790697,0.35,-0.0171900298096309
2019-08-31,277500.0,244400.0,127.698998389713,127.55102040816328,86.0,76.0,77.0,206.0,2.4,23.0,0.9801848912552577,0.1395348837209302,0.3446601941747573,0.381578947368421,0.35,-0.0079291765933826
2019-09-30,245000.0,215000.0,123.92359161519744,130.09168376729997,67.0,63.0,74.0,190.0,2.8,24.0,0.9833062523632082,0.1044776119402985,0.4,0.3492063492063491,0.28,-0.0295648894832654
2019-10-31,245749.5,224900.0,123.83381924198252,128.80809940174873,72.0,59.0,57.0,165.0,2.3,40.0,0.9825775555620732,0.2361111111111111,0.3333333333333333,0.2542372881355932,0.45,-0.0007244171351462
2019-11-30,239999.0,259500.0,121.15881874053544,123.57142857142856,60.0,31.0,41.0,148.0,2.5,57.0,0.975160517156521,0.1833333333333333,0.3108108108108108,0.2580645161290322,0.62,-0.0216015343613031
2019-12-31,245000.0,236950.0,124.1818181818182,123.29382930112088,53.0,32.0,37.0,127.0,2.4,39.0,0.9810748917806098,0.150943396226415,0.1417322834645669,0.4375,0.79,0.0249507173535308
2020-01-31,277000.0,239900.0,118.26846212429436,129.4626758023801,28.0,49.0,63.0,114.0,4.1,74.0,0.9888710138954468,0.2857142857142857,0.2368421052631578,0.4489795918367346,1.04,-0.0476185334061216
2020-02-29,250000.0,239900.0,130.4203646370829,125.26623512215494,53.0,50.0,83.0,124.0,2.3,65.0,0.9776482465354644,0.1132075471698113,0.2096774193548387,0.7399999999999999,1.2,0.1027484613777889
2020-03-31,245200.0,245000.0,127.06197217936813,132.46434937611406,68.0,63.0,89.0,138.0,2.0,14.0,0.9857185251994192,0.1764705882352941,0.2318840579710145,0.5714285714285714,1.07,-0.0257505219147338
2020-04-30,252450.0,252900.0,123.7091932457786,131.2284654121389,60.0,53.0,50.0,121.0,2.0,17.0,0.9898855024874638,0.2833333333333333,0.2396694214876033,0.4716981132075471,2.02,-0.0263869580810264
2020-05-31,245000.0,255600.0,128.5185185185185,134.95,59.0,65.0,72.0,112.0,1.9,21.0,0.9833568621398742,0.2033898305084745,0.3303571428571428,0.4769230769230769,2.45,0.0388760539662158
2020-06-30,268000.0,264000.0,136.986301369863,135.45618789521228,68.0,95.0,85.0,87.0,1.3,32.0,0.9834836234733269,0.25,0.3448275862068965,0.5999999999999999,2.98,0.0658876475464846
2020-07-31,260000.0,235000.0,134.5390383767093,135.4625550660793,93.0,79.0,87.0,78.0,0.8,16.0,0.9936202947953664,0.2795698924731182,0.1923076923076923,0.6835443037974683,2.08,-0.017865019850022
2020-08-31,285000.0,262400.0,131.96,134.28571428571428,93.0,80.0,81.0,68.0,0.6999999999999998,14.0,0.9898819641863754,0.3225806451612903,0.3235294117647059,0.625,1.97,-0.0191694426229507
2020-09-30,277950.0,242500.0,134.34375,134.661421527781,72.0,67.0,68.0,63.0,0.9,7.0,0.9967486067942704,0.4444444444444444,0.2063492063492063,0.6417910447761193,2.61,0.018064186117005
2020-10-31,274500.0,276500.0,134.0439276485788,137.5,80.0,67.0,82.0,73.0,0.9,9.0,0.9939683115295084,0.3624999999999999,0.3150684931506849,0.5223880597014924,3.3,-0.0022317551164173
2020-11-30,269500.0,237450.0,132.57245656079596,140.61803319296507,68.0,65.0,53.0,57.0,0.8,14.0,0.9958037833323378,0.4264705882352941,0.263157894736842,0.6153846153846154,3.66,-0.0109775288862065
2020-12-31,280000.0,245000.0,139.72685278168308,129.9636915157643,65.0,41.0,32.0,40.0,0.5999999999999999,12.0,0.9951002617545373,0.3692307692307692,0.2999999999999999,0.6097560975609756,3.02,0.0539659323398462
2021-01-31,284950.0,265000.0,136.70924027103194,140.64539114264906,52.0,53.0,49.0,26.0,0.5,13.0,0.995881597932679,0.3846153846153846,0.1538461538461538,0.7735849056603774,2.8,-0.0215965109825096
2021-02-28,286000.0,269900.0,138.02197802197804,149.9,46.0,42.0,50.0,30.0,0.6999999999999998,6.0,1.0039755340688068,0.5,0.1,0.9523809523809524,2.85,0.0096024068917619
2021-03-31,290000.0,269950.0,142.49456127628716,148.14814814814815,63.0,80.0,82.0,30.0,0.5,4.0,1.002005135884972,0.4444444444444444,0.2,0.8499999999999999,3.13,0.0324048627501696
2021-04-30,285000.0,277000.0,156.38797065543343,152.54237288135593,56.0,83.0,83.0,26.0,0.5,4.0,1.0290814942414284,0.7857142857142857,0.1923076923076923,0.8674698795180723,3.26,0.0975013309610315
2021-05-31,310000.0,285000.0,151.78571428571428,154.57025920873124,73.0,74.0,101.0,52.0,0.6999999999999998,5.0,1.0268412949737968,0.7397260273972602,0.2115384615384615,0.9324324324324323,4.25,-0.0294284550814922
2021-06-30,327000.0,299900.0,158.3605030274802,150.66624365482232,84.0,102.0,118.0,67.0,0.8,5.0,1.0288385649259153,0.726190476190476,0.2835820895522387,0.7745098039215687,4.03,0.0433162552398695
2021-07-31,302500.0,272500.0,156.86274509803923,151.8602885345482,90.0,89.0,92.0,68.0,0.8,5.0,1.0321408855955834,0.7444444444444444,0.1764705882352941,0.651685393258427,4.21,-0.0094579008073817
2021-08-31,320000.0,299000.0,155.096011816839,154.77910093655174,106.0,86.0,98.0,77.0,0.6999999999999998,7.0,1.0218001582917275,0.6226415094339622,0.2467532467532467,0.7209302325581394,3.31,-0.0112629246676514
2021-09-30,321750.0,299900.0,158.99788285109386,157.86749482401655,78.0,77.0,86.0,81.0,1.0,7.0,1.025212145374915,0.6666666666666666,0.2098765432098765,0.6233766233766233,3.58,0.0251577780018146
2021-10-31,309500.0,279950.0,163.61431806627536,159.21088845136228,72.0,83.0,68.0,63.0,0.9,7.0,1.0103631081487188,0.5,0.3174603174603174,0.5662650602409639,3.98,0.0290345703502536
2021-11-30,326000.0,269000.0,161.63334751169714,159.28596866096865,86.0,67.0,58.0,49.0,0.5999999999999999,10.0,1.0069997712224164,0.6046511627906976,0.1428571428571428,0.5223880597014924,4.49,-0.0121075623331191
2021-12-31,320000.0,310000.0,159.73534971644614,161.03365731646034,70.0,32.0,38.0,49.0,0.6999999999999998,9.0,0.9998381525936826,0.4714285714285714,0.1224489795918367,0.59375,4.9,-0.0117426126753555
2022-01-31,318750.0,277000.0,153.183107469272,170.49043062200957,42.0,23.0,48.0,71.0,1.7,15.0,1.012568666984518,0.5238095238095238,0.0704225352112676,0.608695652173913,4.75,-0.0410193627071612
2022-02-28,330000.0,294900.0,171.875,166.4389410760034,37.0,27.0,46.0,84.0,2.3,30.0,1.014471491414789,0.5945945945945946,0.0119047619047619,0.3703703703703703,5.46,0.1220231972019338
2022-03-31,315500.0,337500.0,170.45522728754972,169.3411158591219,62.0,55.0,81.0,100.0,1.6,45.0,1.0250832642151846,0.6290322580645161,0.02,0.2,5.9,-0.0082604957815288
2022-04-30,331500.0,329900.0,172.6814851814852,168.28489609157526,48.0,47.0,84.0,132.0,2.8,42.0,1.0527625781858954,0.8125,0.0454545454545454,0.1489361702127659,6.17,0.013060660733976
2022-05-31,385000.0,329900.0,172.27278187201028,166.72163653209054,61.0,69.0,111.0,174.0,2.9,41.0,1.0500257104441115,0.8032786885245901,0.0517241379310344,0.2028985507246376,6.37,-0.0023668044610883
2022-06-30,365000.0,299900.0,181.40589569161,166.08353388225387,110.0,111.0,103.0,160.0,1.5,43.0,1.0449455869069844,0.8181818181818182,0.19375,0.0990990990990991,6.69,0.0530154196173899
2022-07-31,373000.0,315000.0,169.73528570641145,172.6909090909091,69.0,68.0,79.0,169.0,2.4,48.0,1.020921803072378,0.5797101449275363,0.2011834319526627,0.088235294117647,6.86,-0.064334237543407
2022-08-31,340000.0,299900.0,168.06306441684671,172.4806102987921,83.0,90.0,84.0,154.0,1.9,48.0,1.0184324241621767,0.6024096385542169,0.2727272727272727,0.1111111111111111,6.57,-0.0098519366942778
2022-09-30,345000.0,304950.0,169.5539992628087,165.94203657025676,75.0,65.0,58.0,136.0,1.8,51.0,1.0089173421103594,0.4799999999999999,0.2426470588235294,0.0461538461538461,5.91,0.0088712820460301
2022-10-31,300000.0,299900.0,173.76238095238097,164.5442543594257,55.0,42.0,40.0,121.0,2.2,55.0,1.002276035526253,0.4181818181818181,0.256198347107438,0.0238095238095238,5.84,0.0248203033126295
2022-11-30,325000.0,298499.5,170.73170731707316,166.68452798145796,55.0,40.0,31.0,94.0,1.7,63.0,0.9838508382418044,0.2181818181818181,0.202127659574468,0.05,5.66,-0.0174414831259612
2022-12-31,329900.0,317500.0,165.4600524296485,173.17708333333334,47.0,31.0,21.0,68.0,1.4,59.0,0.987022594715616,0.3404255319148936,0.1176470588235294,0.032258064516129,6.04,-0.0308768357692015
