period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,356975.0,273933.3333333333,140.1861877411039,148.149929746337,4.75,7.5,17.666666666666668,35.75,5.775,148.5,0.952454319454986,0.0178571428571428,0.2431077694235588,0.5416666666666666,1.83,0.0
2019-02-28,208125.0,212858.25,103.10975332214292,100.36916064954686,2.6666666666666665,3.333333333333333,12.166666666666666,32.333333333333336,8.866666666666667,108.33333333333331,0.9910121043188234,0.1833333333333333,0.1806599832915622,0.094017094017094,3.59,-0.2644799392607337
2019-03-31,221125.0,310466.6666666667,136.06003387577096,166.98802343682905,8.75,15.666666666666666,22.33333333333333,47.75,5.925,119.25,0.9865255091997156,0.1145833333333333,0.2224358974358973,0.2472472472472472,5.2,0.3195651186428736
2019-04-30,282775.0,339508.1666666667,131.36219752667793,150.79676408534047,8.5,10.8,14.333333333333334,35.0,4.25,69.5,1.00058230655539,0.324074074074074,0.340495547812621,0.1822222222222222,4.97,-0.0345276729343045
2019-05-31,288600.0,261370.0,148.92626197539434,144.15419345451477,10.8,8.25,13.6,46.0,5.36,87.0,0.9864722826857596,0.3569230769230769,0.2576362076362076,0.1216666666666666,5.32,0.1337071454300951
2019-06-30,381387.28571428574,282033.3333333333,140.3518036485208,150.33126370952297,10.0,6.5,10.833333333333334,32.57142857142857,3.7714285714285714,101.0,0.9603520347487275,0.1068999028182701,0.2670780093296825,0.1551851851851851,6.12,-0.0575751933415895
2019-07-31,304950.0,282825.0,162.6790812481632,126.84020371435966,9.6,4.8,9.5,41.6,3.98,57.8,0.984011763435778,0.2503267973856209,0.328583181524358,0.2228571428571428,5.82,0.1590808028057551
2019-08-31,260691.66666666663,281970.0,154.32014724167712,157.13862460606907,8.0,6.2,7.8,32.5,3.35,76.83333333333333,0.9680638358571556,0.2018518518518518,0.243517406962785,0.0777777777777777,6.62,-0.0513829678797773
2019-09-30,278650.0,240800.0,142.90265617300236,120.81143734069076,6.0,5.0,6.333333333333333,30.0,4.116666666666666,79.5,0.9802044438545608,0.1587301587301587,0.3439992025518341,0.0125,7.15,-0.0739857450420528
2019-10-31,242980.0,239830.0,146.3927371062372,168.110639367386,6.8,5.75,5.8,30.0,4.0,77.4,0.9757766215498656,0.0746666666666666,0.2863247863247862,0.191025641025641,8.05,0.024422785598958
2019-11-30,282125.0,443725.0,156.10628587539043,202.1871339844276,7.0,5.5,7.5,30.5,3.5,74.75,0.9658998685218176,0.0999999999999999,0.1873737373737374,0.0803571428571428,7.28,0.0663526685897273
2019-12-31,262686.6,267687.5,133.6377640081335,166.73700315498547,4.4,4.5,4.75,21.0,3.64,85.0,0.9683651246797416,0.2333333333333333,0.1319444444444444,0.2692307692307692,6.54,-0.1439309233530294
