period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-02-28,198500.0,229000.0,119.06556141672948,131.71806167400882,17.0,11.0,20.0,46.0,2.7,76.0,0.9688155243070224,0.1176470588235294,0.1739130434782608,0.3636363636363636,0.0,0.0
2019-03-31,222000.0,225000.0,120.80209312783614,132.6435546875,13.0,18.0,27.0,45.0,3.5,89.0,0.9864258424006604,0.0769230769230769,0.3555555555555555,0.3888888888888889,0.09,0.0145846682318895
2019-04-30,196000.0,225000.0,114.86103233125354,124.21868742163817,23.0,30.0,38.0,51.0,2.2,52.0,0.9710570985017284,0.2608695652173913,0.3529411764705882,0.5999999999999999,0.73,-0.0491801147045988
2019-05-31,205000.0,224900.0,120.94763092269326,128.08086512643473,35.0,25.0,35.0,58.0,1.7,20.0,0.9877780873986088,0.2857142857142857,0.2758620689655172,0.52,1.33,0.0529909793417691
2019-06-30,223500.0,237700.0,119.97315475839284,133.97938144329896,18.0,26.0,40.0,71.0,3.9,18.0,0.990932626904004,0.1666666666666666,0.2816901408450704,0.3846153846153846,1.24,-0.00805700911102
2019-07-31,198000.0,214950.0,118.27443537801594,130.7852088216121,28.0,21.0,24.0,68.0,2.4,24.0,0.9871205419749804,0.3928571428571428,0.4411764705882352,0.3333333333333333,0.6,-0.0141591623876012
2019-08-31,225000.0,238900.0,128.24782135076254,124.54070254445575,21.0,22.0,32.0,76.0,3.6,34.0,0.9778099028518018,0.0952380952380952,0.4210526315789473,0.2727272727272727,0.0,0.0843241055505421
2019-09-30,215250.0,218000.0,120.0,129.5992312352215,18.0,20.0,23.0,73.0,4.1,31.0,0.9725388212460416,0.0555555555555555,0.3150684931506849,0.3499999999999999,0.0,-0.064311590356022
2019-10-31,210000.0,207700.0,117.24880523924716,124.5477980489587,23.0,15.0,23.0,73.0,3.2,14.0,0.9793512343432316,0.3913043478260869,0.3287671232876712,0.4666666666666666,0.62,-0.0229266230062736
2019-11-30,225000.0,209900.0,121.2713936430318,130.5822440087146,15.0,12.0,17.0,64.0,4.3,57.0,0.9772730289807612,0.1333333333333333,0.25,0.1666666666666666,0.62,0.0343081398192204
2019-12-31,204000.0,194993.0,109.46745562130178,115.67567567567568,17.0,9.0,7.0,55.0,3.2,106.0,0.9630260545777886,0.0,0.1272727272727272,0.2222222222222222,0.62,-0.0973348921549914
2020-01-31,224000.0,220700.0,119.65087281795512,139.36291240045506,11.0,14.0,25.0,57.0,5.2,101.0,0.9796752120187832,0.0909090909090909,0.1929824561403508,0.6428571428571429,0.35,0.0930268922288872
2020-02-29,201000.0,230000.0,118.83818541843276,134.13793103448276,18.0,16.0,19.0,49.0,2.7,59.0,0.9816542762653367,0.3333333333333333,0.2040816326530612,0.3125,0.99,-0.0067921560485298
2020-03-31,202000.0,230000.0,120.01811594202898,130.34102306920764,17.0,18.0,29.0,51.0,3.0,95.0,0.9688343551310382,0.2352941176470588,0.1568627450980392,0.8333333333333333,1.82,0.009928883712265
2020-04-30,229000.0,231000.0,112.77777777777776,133.77863312054075,18.0,17.0,18.0,47.0,2.6,11.0,0.9880662998765836,0.2777777777777777,0.2340425531914893,0.4117647058823529,2.44,-0.0603270440251574
2020-05-31,226750.0,249900.0,123.33333333333331,134.32417153148398,24.0,20.0,31.0,50.0,2.1,27.0,0.9738345646524346,0.125,0.16,0.5999999999999999,2.84,0.0935960591133004
2020-06-30,216000.0,244900.0,116.37259762429974,134.34579439252337,18.0,26.0,32.0,45.0,2.5,34.0,0.9818381377313342,0.3888888888888889,0.3777777777777777,0.5384615384615384,4.0,-0.0564383976408127
2020-07-31,275000.0,239900.0,136.77811550151975,138.85185185185185,27.0,31.0,29.0,36.0,1.3,18.0,0.9932506788079966,0.3333333333333333,0.3055555555555555,0.5806451612903226,3.38,0.1753464156836792
