period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,125000.0,145000.0,103.56255178127589,108.038029386344,2.0,2.0,2.0,4.0,2.0,50.0,0.962278675904542,0.0,0.5,0.5,0.47,0.0
2019-02-28,,,,,,,,,,,,,,,0.47,0.0
2019-03-31,,,,,,,,,,,,,,,1.12,0.0
2019-04-30,33500.0,151700.0,74.44444444444444,107.20128235202128,1.0,1.0,3.0,5.0,5.0,22.0,0.9710144927536232,0.0,0.2,1.0,0.64,-0.2811644444444444
2019-05-31,43000.0,,91.11111111111111,,5.0,2.0,,1.0,0.2,140.0,0.9185047506227952,0.0,,0.0,1.38,0.2238805970149253
2019-06-30,163000.0,146944.0,116.84475806451611,101.82245191156515,2.0,,3.0,4.0,2.0,25.0,0.9794520547945204,0.0,,,1.21,0.2824424665617622
2019-07-31,40000.0,,83.33333333333333,,1.0,3.0,,1.0,1.0,10.0,0.8888888888888888,0.0,,0.3333333333333333,1.21,-0.2868029793230379
2019-08-31,97000.0,149998.0,105.43478260869566,109.98810939357908,1.0,,3.0,4.0,4.0,28.0,0.8818261984199856,0.0,0.25,,0.94,0.2652173913043478
2019-09-30,87000.0,164650.0,65.9090909090909,104.3733681462141,1.0,,1.0,5.0,5.0,57.0,0.8969072164948453,0.0,0.2,,0.97,-0.3748828491096533
2019-10-31,,,,,,,,,,,,,,,1.68,0.0
2019-11-30,,,,,,,,,,,,,,,1.21,0.0
2019-12-31,,,,,,,,,,,,,,,2.58,0.0
2020-01-31,105000.0,155000.0,91.99772246624369,97.70370370370372,2.0,,2.0,5.0,2.5,23.0,0.9518184981327096,0.0,0.4,,2.97,0.3958275132809388
2020-02-29,,,,,,,,,,,,,,,4.38,0.0
2020-03-31,103750.0,164950.0,91.47058823529412,112.30559926567008,4.0,4.0,3.0,4.0,1.0,41.0,0.9403937501852564,0.0,0.5,0.5,3.58,-0.0057298617489469
2020-04-30,68000.0,166000.0,96.05072463768116,107.0178210313448,4.0,1.0,3.0,6.0,1.5,46.0,0.932677065945258,0.5,0.5,0.0,4.69,0.050072230765646
2020-05-31,86333.5,,43.872675250357645,,2.0,2.0,,4.0,2.0,15.0,0.9190850305893284,0.0,,0.0,4.34,-0.5432343127461822
2020-06-30,99000.0,179900.0,59.13978494623656,125.72327044025155,1.0,1.0,2.0,4.0,4.0,20.0,0.9909909909909907,0.0,,1.0,4.84,0.3479867504946479
2020-07-31,44000.0,162500.0,84.49669360764145,114.05051150895142,3.0,3.0,6.0,6.0,2.0,158.0,0.9684877543511832,0.0,,0.6666666666666666,3.71,0.4287622737292098
2020-08-31,142450.0,167000.0,108.53891635659308,116.12261146496816,2.0,4.0,1.0,2.0,1.0,22.0,0.976190476190476,0.0,,0.25,4.61,0.2845344796636797
2020-09-30,98000.0,167500.0,108.2372598162072,113.28125,2.0,,2.0,4.0,2.0,15.0,0.976589835400471,0.0,0.5,,5.43,-0.0027792477621096
2020-10-31,149500.0,175000.0,91.74782162993336,116.77631578947368,3.0,1.0,1.0,4.0,1.3,38.0,0.9629112124332008,0.0,,0.0,6.04,-0.1523453034035952
2020-11-30,41000.0,159900.0,84.88612836438924,106.82448652375902,1.0,3.0,1.0,2.0,2.0,6.0,1.0275689223057645,1.0,,0.3333333333333333,5.73,-0.0747886232462379
2020-12-31,44000.0,,81.54983309489748,,2.0,,,2.0,1.0,55.0,0.8738958209546444,0.0,,,5.37,-0.03930318573572
2021-01-31,173000.0,,97.35509285312324,,1.0,,,1.0,1.0,12.0,0.961645358532518,0.0,,,5.37,0.1938110620022186
2021-02-28,,,,,,,,,,,,,,,5.03,0.0
2021-03-31,49000.0,185000.0,108.88888888888889,118.86304909560724,1.0,2.0,3.0,1.0,1.0,331.0,1.002290950744559,1.0,,1.0,4.49,0.1184714193962748
2021-04-30,49000.0,180000.0,108.88888888888889,130.997150997151,1.0,3.0,2.0,,,222.0,0.8909090909090908,0.0,,1.0,3.85,0.0
2021-05-31,146000.0,186300.0,106.94559800664452,122.21449559255632,4.0,2.0,7.0,5.0,1.3,9.0,0.9742709499017846,0.25,,1.0,3.41,-0.0178465489185707
2021-06-30,45000.0,,64.37768240343348,,1.0,1.0,,4.0,4.0,15.0,1.0,0.0,0.25,0.0,3.27,-0.3980333589846895
2021-07-31,135000.0,199900.0,88.20235821092153,136.0565886134068,3.0,4.0,4.0,4.0,1.3,14.0,0.9978632478632478,0.3333333333333333,0.5,0.5,3.79,0.3700766308763143
2021-08-31,80000.0,172200.0,114.64646464646464,131.99685534591194,4.0,3.0,5.0,6.0,1.5,25.0,0.9793760528601778,0.5,0.1666666666666666,0.6666666666666666,4.64,0.2998117847632411
2021-09-30,158500.0,179900.0,142.1189190926033,132.42894056847544,2.0,4.0,5.0,7.0,3.5,20.0,1.0048678917257972,0.5,0.2857142857142857,0.25,5.59,0.2396275762262316
2021-10-31,158500.0,,131.8136070853462,,4.0,2.0,,4.0,1.0,24.0,1.0086348236442682,0.5,,0.0,5.06,-0.0725118940747238
2021-11-30,52000.0,186500.0,106.95468914646996,136.9128697886419,3.0,4.0,4.0,3.0,1.0,42.0,0.9460091713801808,0.3333333333333333,0.3333333333333333,0.5,5.05,-0.1885914397500758
2021-12-31,109000.0,,123.82075471698111,,4.0,2.0,,1.0,0.2999999999999999,46.0,0.9831870709825112,0.25,,0.5,4.41,0.1576935588809367
2022-01-31,68750.0,187400.0,143.796992481203,150.04171401405347,4.0,,4.0,4.0,1.0,22.0,0.9816943375012384,0.5,0.25,,5.34,0.1613319011815253
2022-02-28,134500.0,187450.0,134.50356660882977,144.4405515919239,2.0,1.0,4.0,7.0,3.5,60.0,0.9631267150170076,0.5,,0.0,5.45,-0.0646287916876151
2022-03-31,156000.0,209900.0,106.69772398852336,148.0654761904762,2.0,3.0,5.0,9.0,4.5,42.0,1.0604304044564,1.0,,0.3333333333333333,6.01,-0.206729407415439
2022-04-30,84000.0,199999.0,118.25396825396824,153.00925925925927,4.0,4.0,4.0,9.0,2.3,47.0,0.9611889431409456,0.0,,0.0,5.7,0.1083082546979905
