period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,3.2,0.0
2019-02-28,,,,,,,,,,,,,,,2.62,
2019-03-31,,,,,,,,,,,,,,,1.81,
2019-04-30,181250.0,,109.29283244719488,,2.0,1.0,,1.0,0.5,116.0,0.9214990955887544,0.0,,0.0,2.87,
2019-05-31,170000.0,,114.09395973154362,,1.0,,,,,101.0,0.9449694274596998,0.0,,,2.51,0.0439290223964907
2019-06-30,,,,,,,,,,,,,,,2.13,0.0
2019-07-31,,,,,,,,,,,,,,,1.81,0.0
2019-08-31,,,,,,,,,,,,,,,2.59,0.0
2019-09-30,,,,,,,,,,,,,,,3.4,0.0
2019-10-31,,,,,,,,,,,,,,,3.28,0.0
2019-11-30,,,,,,,,,,,,,,,2.89,0.0
2019-12-31,,,,,,,,,,,,,,,3.47,0.0
2020-01-31,,,,,,,,,,,,,,,2.97,0.0
2020-02-29,,,,,,,,,,,,,,,4.29,0.0
2020-03-31,,,,,,,,,,,,,,,3.4,0.0
2020-04-30,,,,,,,,,,,,,,,5.94,0.0
2020-05-31,,,,,,,,,,,,,,,3.92,0.0
2020-06-30,,,,,,,,,,,,,,,4.29,0.0
2020-07-31,,,,,,,,,,,,,,,4.06,0.0
2020-08-31,,,,,,,,,,,,,,,4.41,0.0
2020-09-30,,,,,,,,,,,,,,,5.43,0.0
2020-10-31,,,,,,,,,,,,,,,5.55,0.0
2020-11-30,,,,,,,,,,,,,,,4.75,0.0
2020-12-31,,,,,,,,,,,,,,,5.61,0.0
2021-01-31,,,,,,,,,,,,,,,5.87,0.0
2021-02-28,,,,,,,,,,,,,,,5.99,0.0
2021-03-31,,,,,,,,,,,,,,,6.56,0.0
2021-04-30,259000.0,164900.0,126.65036674816626,103.35125089648052,1.0,1.0,1.0,,,1.0,1.0,0.0,,1.0,6.21,0.1100532144398103
2021-05-31,,,,,,,,,,,,,,,5.99,0.0
2021-06-30,,,,,,,,,,,,,,,6.81,0.0
2021-07-31,,,,,,,,,,,,,,,6.22,0.0
2021-08-31,128860.0,,100.04658385093168,,1.0,1.0,,5.0,5.0,35.0,0.991993841416474,0.0,,0.0,7.52,-0.2100568958488212
2021-09-30,500000.0,,265.9574468085106,,1.0,1.0,,4.0,4.0,56.0,1.0,0.0,,0.0,7.09,1.6583361127530782
2021-10-31,,,,,,,,,,,,,,,7.1,0.0
2021-11-30,,,,,,,,,,,,,,,8.16,0.0
2021-12-31,,,,,,,,,,,,,,,6.52,0.0
2022-01-31,,,,,,,,,,,,,,,6.44,0.0
2022-02-28,,,,,,,,,,,,,,,7.17,0.0
2022-03-31,,,,,,,,,,,,,,,7.04,0.0
2022-04-30,,,,,,,,,,,,,,,6.99,0.0
2022-05-31,595000.0,184900.0,259.1463414634146,109.375,1.0,1.0,1.0,,,236.0,1.0,0.0,,1.0,7.05,-0.025609756097561
2022-06-30,159000.0,,136.13013698630138,,1.0,,,,,4.0,0.9784615384615384,0.0,,,6.63,-0.4746978243352134
2022-07-31,,,,,,,,,,,,,,,6.51,0.0
2022-08-31,,,,,,,,,,,,,,,5.25,0.0
2022-09-30,,,,,,,,,,,,,,,5.89,0.0
2022-10-31,,,,,,,,,,,,,,,5.85,0.0
2022-11-30,190000.0,,133.70865587614355,,1.0,,,,,8.0,0.964467005076142,0.0,,,6.35,-0.0177879870230461
2022-12-31,,,,,,,,,,,,,,,5.92,0.0
2023-01-31,165000.0,167450.0,160.34985422740525,112.8789038579302,1.0,1.0,1.0,,,3.0,1.0009099181073704,1.0,,1.0,6.0,0.1992481203007519
2023-02-28,224900.0,,145.28423772609818,,1.0,,,,,7.0,1.0017817371937638,1.0,,,5.57,-0.0939546629081513
2023-03-31,,,,,,,,,,,,,,,5.9,0.0
2023-04-30,175000.0,192000.0,148.1795088907705,125.47756674924304,1.0,1.0,2.0,1.0,1.0,8.0,1.0063254744105807,1.0,,1.0,7.05,0.0199283226452322
2023-05-31,,,,,,,,,,,,,,,7.09,0.0
2023-06-30,181100.0,,151.9295302013423,,1.0,1.0,,,,60.0,0.9536598209583992,0.0,,0.0,5.74,0.0253072866730588
2023-07-31,,,,,,,,,,,,,,,6.35,0.0
2023-08-31,,,,,,,,,,,,,,,6.15,0.0
2023-09-30,,,,,,,,,,,,,,,6.41,0.0
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
