period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.34,0.0
2019-02-28,120000.0,,,,1.0,,,,,340.0,0.8955223880597015,0.0,,,0.7,
2019-03-31,78690.0,110000.0,45.49427083333333,71.99339325188396,3.0,3.0,9.0,23.0,7.7,48.0,0.9403123139522432,0.3333333333333333,,0.0,2.52,
2019-04-30,63000.0,114925.0,38.60294117647059,84.87511052166225,1.0,,5.0,25.0,25.0,291.0,1.0,0.0,,,2.33,-0.1514768679799021
2019-05-31,137400.0,110000.0,57.90896519619923,84.57706766917293,2.0,2.0,1.0,20.0,10.0,42.0,0.8916847137298499,0.0,,0.0,2.35,0.500117955558685
2019-06-30,148985.0,119500.0,59.02058146229131,75.39199480660415,4.0,5.0,11.0,24.0,6.0,49.0,0.9878574723247232,0.0,,0.2,0.54,0.0191959269575245
2019-07-31,168000.0,119900.0,69.14893617021276,78.78755176528392,3.0,2.0,11.0,33.0,11.0,42.0,0.96696810095518,0.0,,0.5,0.38,0.1716071657883027
2019-08-31,127000.0,124900.0,68.74102011494253,86.95093457943926,4.0,3.0,4.0,23.0,3.3,54.5,0.9769005477925106,0.2142857142857142,,0.0,0.6,-0.0058990937223695
2019-09-30,,,,,,,,,,,,,,,2.16,0.0
2019-10-31,97250.0,139175.0,51.59045955338657,91.95404980733367,4.5,4.0,1.0,11.5,2.2,46.5,0.8994427321791374,0.0714285714285714,,0.0,2.86,-0.2494952872808453
2019-11-30,116500.0,115000.0,47.74410392814614,94.33333333333331,1.6666666666666667,1.0,2.0,7.333333333333333,3.333333333333333,59.333333333333336,0.9362798830775656,0.0,1.0,0.0,2.39,-0.0745555604376846
2019-12-31,82500.0,104900.0,43.604651162790695,74.25742574257426,1.0,,2.0,17.0,17.0,133.0,0.9482758620689656,0.0,,,2.05,-0.0867008159077659
2020-01-31,80550.0,112900.0,44.50540877886415,85.82677165354329,2.0,,4.0,18.0,9.0,203.0,0.9399897990210984,0.0,,,2.55,0.0206573746619511
2020-02-29,95000.0,,59.375,,3.0,2.0,,13.0,4.3,39.0,0.8969788360924523,0.0,,0.0,3.87,0.3341075080338886
2020-03-31,201250.0,135900.0,70.41965019399547,90.3550945236516,2.0,,5.0,15.0,7.5,149.0,0.9603618624181796,0.0,,,5.31,0.1860151611620288
2020-04-30,204400.0,129950.0,85.13671899174221,86.92375776397513,1.5,1.0,2.0,15.0,7.5,86.0,0.9709507722007722,0.0,,0.0,6.94,0.208990938711048
2020-05-31,86500.0,150500.0,46.69801728103029,106.31215542832908,2.5,2.0,1.5,12.0,3.0,42.0,0.9937659621862422,0.125,,0.5,6.3,-0.4514938109658685
2020-06-30,82000.0,130712.5,42.955033892142126,91.75618197315556,2.0,1.0,6.0,15.0,7.5,80.0,0.9143289863770184,0.0,,0.0,6.38,-0.0801529402493206
2020-07-31,612500.0,166457.5,70.80858580354548,104.91452998169332,3.0,1.5,3.0,14.0,2.8,317.0,0.9296003819646133,0.0,,0.5,5.36,0.6484351049830896
2020-08-31,155000.0,134900.0,82.5606684981685,89.24949290060852,2.0,3.0,10.0,21.0,10.5,53.0,0.9447739065974796,0.0,,0.0,6.26,0.1659697416811645
2020-09-30,165000.0,135000.0,66.10576923076923,97.71880819366852,5.0,2.0,7.0,23.0,4.6,92.0,1.0069107807845632,0.2,,0.5,5.31,-0.1993067590987868
2020-10-31,165000.0,139900.0,61.53846153846154,99.00891972249752,5.0,1.0,5.0,23.0,4.6,97.0,0.9020968788232272,0.0,,0.0,5.07,-0.0690909090909089
2020-11-30,100000.0,136450.0,42.52461951656222,102.58800602550602,5.0,2.0,5.0,22.0,4.4,97.0,0.9008554095558252,0.0,,0.0,5.9,-0.3089749328558639
2020-12-31,162500.0,139900.0,57.6428157169784,96.15384615384616,4.0,2.0,5.0,23.0,5.8,86.0,0.9703724968491808,0.25,,0.0,7.71,0.3555163190708394
2021-01-31,159000.0,132450.0,102.34514758497318,100.06732710405178,3.0,4.0,8.0,24.0,4.8,55.5,0.963917620941665,0.0,,0.25,8.29,0.7755056950631913
2021-02-28,179000.0,154900.0,53.64372469635627,106.04774535809018,5.0,3.0,3.0,20.0,4.0,73.0,0.9903437683770548,0.2,,0.0,9.31,-0.4758547331047816
2021-03-31,127000.0,155000.0,61.90814477377604,118.8881446751507,6.0,3.0,5.0,16.0,2.7,86.0,0.9665084566075324,0.1666666666666666,,0.0,8.41,0.1540612648394477
2021-04-30,156000.0,154350.0,65.27183190537784,109.19978966670264,6.0,4.0,9.0,20.0,3.3,69.0,0.98501016979581,0.5,,0.0,8.99,0.0543335153055117
2021-05-31,105000.0,155000.0,58.96739130434784,103.78228782287825,5.0,5.0,5.0,17.0,3.4,90.0,0.968838884329762,0.4,,0.0,7.77,-0.0965874622634969
