period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2020-08-31,202000.0,,111.60220994475138,,1.0,,,,,5.0,0.96352899649886,0.0,,,1.57,0.0
2020-09-30,,,,,,,,,,,,,,,2.21,0.0
2020-10-31,,,,,,,,,,,,,,,1.79,0.0
2020-11-30,,,,,,,,,,,,,,,2.93,0.0
2020-12-31,,,,,,,,,,,,,,,2.71,0.0
2021-01-31,,,,,,,,,,,,,,,2.75,0.0
2021-02-28,,,,,,,,,,,,,,,1.79,0.0
2021-03-31,,,,,,,,,,,,,,,1.47,0.0
2021-04-30,,,,,,,,,,,,,,,1.43,0.0
2021-05-31,,,,,,,,,,,,,,,1.55,0.0
2021-06-30,,,,,,,,,,,,,,,2.29,0.0
2021-07-31,,,,,,,,,,,,,,,3.03,0.0
2021-08-31,,,,,,,,,,,,,,,2.68,0.0
2021-09-30,,,,,,,,,,,,,,,2.26,0.0
2021-10-31,,,,,,,,,,,,,,,2.41,0.0
2021-11-30,,,,,,,,,,,,,,,3.25,0.0
2021-12-31,,,,,,,,,,,,,,,2.9,0.0
2022-01-31,,,,,,,,,,,,,,,1.97,0.0
2022-02-28,,,,,,,,,,,,,,,1.14,0.0
2022-03-31,,,,,,,,,,,,,,,0.88,0.0
2022-04-30,,,,,,,,,,,,,,,2.47,0.0
2022-05-31,,,,,,,,,,,,,,,2.81,0.0
2022-06-30,,,,,,,,,,,,,,,2.71,0.0
2022-07-31,,,,,,,,,,,,,,,1.5,0.0
2022-08-31,,,,,,,,,,,,,,,1.43,0.0
2022-09-30,,,,,,,,,,,,,,,2.32,0.0
2022-10-31,,,,,,,,,,,,,,,2.31,0.0
2022-11-30,,,,,,,,,,,,,,,2.79,0.0
2022-12-31,,,,,,,,,,,,,,,2.62,0.0
2023-01-31,,,,,,,,,,,,,,,3.07,0.0
2023-02-28,253000.0,,130.9267121371394,,2.0,,,,,44.0,0.9846828143021916,0.0,,,2.57,0.1731551929119916
2023-03-31,230000.0,375000.0,139.81762917933133,158.7301587301587,1.0,1.0,1.0,,,4.0,1.013215859030837,1.0,,1.0,2.14,0.0679075865960732
2023-04-30,275000.0,,151.93370165745856,,1.0,,,,,1.0,0.9482791319970068,0.0,,,2.24,0.0866562575066056
2023-05-31,,,,,,,,,,,,,,,2.9,0.0
2023-06-30,,,,,,,,,,,,,,,3.79,0.0
2023-07-31,,,,,,,,,,,,,,,3.38,0.0
2023-08-31,276000.0,345000.0,150.7980187121629,165.1603498542274,3.0,3.0,3.0,1.0,0.2999999999999999,17.0,0.9947806416869032,0.3333333333333333,1.0,1.0,2.91,-0.0074748586581278
2023-09-30,255000.0,349990.0,151.4251781472684,160.62286689419795,3.0,2.0,2.0,1.0,0.2999999999999999,2.0,1.0114538838791327,0.6666666666666666,,0.5,2.12,0.0041589368379078
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
