period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,18000.0,78000.0,8.379888268156424,49.56575682382134,1.0,3.0,6.0,17.0,17.0,54.0,0.7860262008733623,0.0,,0.0,0.58,0.0
2019-02-28,40000.0,78950.0,19.106008130102943,60.07878309265945,4.0,2.0,2.0,16.0,4.0,60.0,0.9284591961903758,0.0,,0.0,0.58,1.279983636858951
2019-03-31,70000.0,89900.0,15.60410164957646,61.49425287356322,3.0,2.0,3.0,14.0,4.7,52.0,0.9245930977924852,0.0,,0.0,0.98,-0.1832882335587917
2019-04-30,45000.0,91200.0,26.985180427021987,64.99628432440812,2.0,2.0,2.0,13.0,6.5,50.0,1.1365079365079365,0.5,,0.0,0.39,0.7293645627945804
2019-05-31,18500.0,89700.0,7.341269841269842,57.15276798307475,1.0,1.0,2.0,14.0,14.0,28.0,0.6187290969899665,0.0,,0.0,0.39,-0.7279517970567817
2019-06-30,,,,,,,,,,,,,,,1.06,0.0
2019-07-31,45950.0,89900.0,20.69397201605325,66.02238046795524,2.0,1.0,3.0,13.0,6.5,80.0,0.9591835023366488,0.5,,0.0,1.52,1.8188545665110367
2019-08-31,84500.0,83075.0,30.01136426631188,62.4649891077224,2.0,,4.0,14.0,7.0,149.0,0.9963971176941552,0.0,,,1.94,0.4502466826103131
2019-09-30,40500.0,83675.0,17.936226749335695,59.44767539077915,1.0,,3.0,15.0,15.0,244.0,0.9,0.0,,,1.43,-0.4023521693257601
2019-10-31,123750.0,76499.5,42.2615138730213,57.32678879091922,2.0,,1.0,14.0,7.0,299.0,0.9166666666666666,0.0,,,0.97,1.3562098351921503
2019-11-30,63250.0,74900.0,53.51584808680754,59.65210727969349,2.0,1.0,1.0,13.0,6.5,109.0,0.8287716270085892,0.0,,0.0,1.28,0.2663022022259056
