period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,90000.0,89900.0,39.01170351105332,62.2352864920923,1.0,1.0,2.0,8.0,8.0,31.0,1.0,0.0,,0.0,14.9,0.0
2019-02-28,,,,,,,,,,,,,,,12.75,0.0
2019-03-31,105554.0,115450.0,47.51679830904439,71.22108824411455,2.0,1.0,8.0,15.0,7.5,118.0,,0.0,,0.0,7.86,0.2180139299885044
2019-04-30,102200.0,126250.0,34.17150303540165,72.8125,6.0,6.0,2.0,10.0,1.7,43.0,,0.0,,0.0,8.23,-0.2808542609888467
2019-05-31,135000.0,119900.0,59.888698630136986,71.41155449672424,3.0,2.0,4.0,11.0,3.7,77.0,,0.0,,0.0,10.71,0.7525918765730715
2019-06-30,234000.0,115000.0,94.54545454545456,71.75,1.0,,1.0,12.0,12.0,99.0,,0.0,,,9.09,0.5786860744687767
2019-07-31,189950.0,121000.0,11.727912431587178,74.21303591166716,5.0,4.0,3.0,9.0,1.8,61.0,,0.0,,0.0,2.23,-0.8759547723582126
2019-08-31,51000.0,115000.0,25.201187858454425,71.44469525959369,5.0,2.0,2.0,7.0,1.4,328.0,,0.0,,0.0,5.3,1.1488212847308803
2019-09-30,,,,,,,,,,,,,,,6.27,0.0
2019-10-31,39900.0,,23.978365384615383,,1.0,,,4.0,4.0,154.0,,0.0,,,7.58,-0.0485224141301264
2019-11-30,,,,,,,,,,,,,,,5.45,0.0
2019-12-31,,,,,,,,,,,,,,,6.04,0.0
2020-01-31,,,,,,,,,,,,,,,6.36,0.0
2020-02-29,98700.0,124950.0,42.85178101349128,76.40271670381301,2.0,1.0,1.0,7.0,3.5,276.0,,0.0,,0.0,8.19,0.7871018447731704
2020-03-31,70000.0,127000.0,34.08703071672355,78.47533632286995,3.0,1.0,6.0,9.0,3.0,101.0,,0.0,,0.0,9.63,-0.204536429746252
2020-04-30,166500.0,124975.0,,74.54545454545455,1.0,1.0,2.0,10.0,10.0,12.0,,0.0,,1.0,10.8,0.0
2020-05-31,99900.0,119450.0,44.10596026490066,75.0,3.0,2.0,3.0,9.0,3.0,122.0,,0.0,,0.0,8.59,0.2939220383094763
2020-06-30,64900.0,125000.0,35.374493927125506,78.67133268016093,4.0,4.0,2.0,7.0,1.8,50.0,,0.0,,0.0,9.67,-0.197965678228836
2020-07-31,79950.0,124950.0,,79.89949748743719,1.0,1.0,1.0,3.0,3.0,31.0,,0.0,,0.0,8.22,0.0
2020-08-31,137200.0,124950.0,,80.78355373157014,2.0,2.0,5.0,5.0,2.5,36.0,,0.0,,0.0,10.93,0.0
2020-09-30,120000.0,131500.0,73.38659147869673,80.07998413537811,2.0,2.0,4.0,7.0,3.5,33.0,,0.0,,0.5,11.26,1.074562299884188
2020-10-31,72500.0,120000.0,27.466367713004484,78.125,6.0,6.0,6.0,7.0,1.2,58.0,,0.0,,0.0,14.12,-0.625730434408067
2020-11-30,187500.0,126950.0,39.0625,78.72135966114698,4.0,3.0,4.0,8.0,2.0,36.0,,0.0,,0.0,16.89,0.4221938775510203
2020-12-31,135000.0,129000.0,87.48839187027158,79.9,3.0,3.0,2.0,7.0,2.3,61.0,,0.0,,0.0,14.13,1.2397028318789527
2021-01-31,37975.0,129900.0,14.053075995174908,81.59577348870846,4.0,3.0,1.0,5.0,1.3,53.0,,0.0,,0.0,16.36,-0.8393721076047105
2021-02-28,110000.0,150000.0,49.30524428507396,83.33333333333333,1.0,1.0,3.0,7.0,7.0,46.0,,0.0,,0.0,19.44,2.5085019323885254
2021-03-31,100000.0,134997.5,58.20721769499418,85.48387096774194,5.0,7.0,8.0,5.0,1.0,31.0,,0.0,,0.5714285714285714,22.26,0.1805482061593819
2021-04-30,191000.0,130000.0,96.15384615384616,85.12324521987046,4.0,3.0,5.0,7.0,1.8,35.0,,0.0,,0.0,17.39,0.651923076923077
2021-05-31,150000.0,127950.0,85.81932773109244,85.45627376425854,3.0,4.0,7.0,10.0,3.3,20.0,,0.0,,0.25,18.28,-0.1074789915966386
2021-06-30,215000.0,139900.0,,88.56568744854972,3.0,4.0,6.0,11.0,3.7,35.0,,0.0,,0.5,17.9,0.0
