period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,3.42,0.0
2019-02-28,,,,,,,,,,,,,,,6.92,
2019-03-31,,,,,,,,,,,,,,,9.1,
2019-04-30,309900.0,158400.0,174.00336889387984,111.5126144347456,1.0,,1.0,3.0,3.0,153.0,1.0,0.0,,,8.16,
2019-05-31,127400.0,177400.0,90.94919217687077,103.31528871391076,4.0,3.0,6.0,6.0,1.5,12.0,1.0036057692307692,0.25,,0.6666666666666666,7.54,-0.4773136132074642
2019-06-30,193000.0,169900.0,120.02487562189054,108.69565217391305,1.0,1.0,1.0,6.0,6.0,12.0,0.9654827413706852,0.0,,1.0,7.96,0.3196914975173797
2019-07-31,137500.0,200000.0,119.19282511210764,117.12740384615384,3.0,3.0,1.0,4.0,1.3,15.0,0.9841619147135896,0.0,,0.6666666666666666,5.91,-0.0069323172006783
2019-08-31,272500.0,187400.0,138.3248730964467,110.1351159192774,1.0,,3.0,7.0,7.0,1116.0,1.0,0.0,,,3.53,0.1605134198836573
2019-09-30,125800.0,189900.0,112.82511210762333,115.46393223697672,1.0,1.0,1.0,7.0,7.0,46.0,0.9684372594303308,0.0,,0.0,1.72,-0.1843468959558974
2019-10-31,150500.0,225950.0,120.94272845336091,111.27072093668914,2.0,2.0,1.0,6.0,3.0,34.0,0.9599305023148468,0.0,,0.0,1.97,0.0719486663394071
2019-11-30,,,,,,,,,,,,,,,2.09,0.0
2019-12-31,267500.0,249900.0,135.78680203045684,121.90243902439023,3.0,1.0,2.0,5.0,1.7,389.0,0.9573358395345906,0.0,,1.0,1.91,0.1227363874366389
2020-01-31,210000.0,199900.0,126.12612612612612,114.47368421052632,1.0,,5.0,9.0,9.0,239.0,0.9549795361527968,0.0,,,2.35,-0.0711459122674075
2020-02-29,198000.0,199400.0,120.21857923497268,99.38656506100048,3.0,2.0,3.0,9.0,3.0,49.0,0.9691982943309378,0.3333333333333333,,0.5,2.37,-0.0468384074941451
2020-03-31,165000.0,160000.0,112.10762331838563,98.57142857142856,3.0,3.0,2.0,8.0,2.7,38.0,0.9965973273935528,0.3333333333333333,,0.0,3.63,-0.0674684060334286
2020-04-30,152000.0,,95.0,,1.0,1.0,,6.0,6.0,38.0,0.9812782440284054,0.0,,0.0,3.8,-0.1525999999999998
2020-05-31,203500.0,199900.0,106.14124437653848,101.29310344827586,2.0,1.0,2.0,6.0,3.0,122.0,0.9893026941362916,0.0,,0.0,4.49,0.1172762565951419
2020-06-30,,,,,,,,,,,,,,,4.1,0.0
2020-07-31,152000.0,189450.0,112.75964391691394,110.60568782196772,3.0,2.0,8.0,10.0,3.3,61.0,1.011039206604828,0.6666666666666666,,0.0,3.52,0.0623546443161768
2020-08-31,242950.0,189900.0,137.8229094893314,113.69426751592356,6.0,5.0,3.0,8.0,1.3,43.0,0.9837120835717088,0.3333333333333333,,0.2,4.02,0.2222715920501232
2020-09-30,236000.0,217000.0,131.41809290953546,112.02830188679243,7.0,5.0,2.0,3.0,0.4,54.0,0.9876657090704252,0.0,,0.2,3.75,-0.046471349382533
2020-10-31,155000.0,194900.0,118.98385650224216,124.16666666666669,3.0,3.0,2.0,2.0,0.6999999999999998,50.0,0.98130907929873,0.0,,0.0,4.27,-0.0946158640108457
2020-11-30,144667.0,,129.74618834080718,,1.0,1.0,,1.0,1.0,27.0,0.9983919944789508,0.0,,0.0,4.34,0.0904520340401153
2020-12-31,280000.0,246900.0,142.13197969543148,107.91760554045992,1.0,,3.0,4.0,4.0,1563.0,0.9824561403508772,0.0,,,5.22,0.0954616972800024
2021-01-31,158000.0,215450.0,121.44504227517294,120.04573540714372,3.0,2.0,1.0,2.0,0.6999999999999998,53.0,0.9977496404294008,0.3333333333333333,,0.0,5.21,-0.1455473811353904
2021-02-28,135000.0,251250.0,106.80379746835445,131.10001493755237,1.0,1.0,2.0,3.0,3.0,58.0,1.0,0.0,,0.0,6.54,-0.1205586043903218
2021-03-31,159300.0,193950.0,134.0909090909091,125.44883137948833,1.0,1.0,1.0,3.0,3.0,36.0,1.008227848101266,1.0,,0.0,6.72,0.2554882154882154
2021-04-30,155000.0,192000.0,134.52914798206277,123.50835322195704,3.0,2.0,5.0,5.0,1.7,50.0,1.0161920125891726,1.0,,0.0,7.36,0.003268222239112
2021-05-31,200750.0,232400.0,138.05193383581707,128.91475337110106,2.0,2.0,6.0,9.0,4.5,33.0,0.9864864864864864,0.0,,0.0,5.98,0.0261860415129069
2021-06-30,222050.0,192400.0,138.21564346933638,119.26358575144128,4.0,5.0,6.0,10.0,2.5,36.0,1.006152139787075,0.5,,0.2,6.6,0.0011858554166579
2021-07-31,193000.0,229900.0,136.81783243658725,127.15179968701096,7.0,6.0,2.0,5.0,0.6999999999999998,53.0,0.9806412750354576,0.2857142857142857,,0.0,6.78,-0.0101132621291109
2021-08-31,320000.0,215000.0,136.51877133105802,122.33823495648882,5.0,3.0,2.0,3.0,0.5999999999999999,61.0,1.042507276872128,0.4,0.3333333333333333,0.0,6.82,-0.002185834260076
2021-09-30,249500.0,191950.0,138.74588330949112,134.45823350304482,2.0,3.0,7.0,7.0,3.5,33.0,1.030114173328906,0.5,,0.3333333333333333,6.89,0.0163135952420223
2021-10-31,261350.0,239900.0,149.54940702465228,127.017841971113,4.0,4.0,2.0,5.0,1.3,28.0,0.9800832555152414,0.25,,0.0,7.65,0.0778655442414999
2021-11-30,165000.0,220000.0,142.4562032884903,114.27648578811367,4.0,3.0,2.0,4.0,1.0,43.0,0.992710353896151,0.5,,0.0,7.56,-0.0474305039203045
2021-12-31,173000.0,,147.98206278026905,,3.0,3.0,,1.0,0.2999999999999999,36.0,1.0141971399917946,0.6666666666666666,,0.3333333333333333,6.7,0.03878988323582
2022-01-31,179000.0,229950.0,146.96223316912972,133.00923997014044,1.0,1.0,2.0,2.0,2.0,23.0,1.023441966838193,1.0,,0.0,5.49,-0.0068915758570929
2022-02-28,169250.0,149919.25,90.27019679193592,97.21308898883774,1.0,1.0,1.5,3.0,3.0,54.5,0.980359787679835,0.5,0.3333333333333333,0.0,4.71,-0.3857592195945366
2022-03-31,269750.0,239450.0,152.331731531703,139.92087247903294,2.0,2.0,1.0,2.0,1.0,23.0,0.9880266747499242,0.0,,0.5,4.4,0.687508579191568
2022-04-30,203333.5,225000.0,132.4880615942029,141.96691494890007,2.0,3.0,4.0,3.0,1.5,54.0,0.9927592415552524,0.5,,0.3333333333333333,4.53,-0.1302661614751638
2022-05-31,228000.0,240000.0,139.29934840587768,132.72849462365593,2.0,1.0,2.0,4.0,2.0,24.0,0.9923076923076924,0.0,,0.0,5.28,0.051410570354158
2022-06-30,138750.0,156050.0,106.91871637202152,116.17731489759024,2.0,3.0,1.0,1.5,0.8499999999999999,16.5,0.9624352540826382,0.3333333333333333,0.5,0.0,4.41,-0.2324535786018785
2022-07-31,211000.0,219950.0,148.76931883228391,139.96886894305374,3.0,3.0,3.0,2.0,0.6999999999999998,62.0,1.0461645769338077,0.6666666666666666,,0.3333333333333333,4.24,0.3914244753429705
2022-08-31,234000.0,264000.0,154.1501976284585,130.1433625023273,3.0,3.0,4.0,3.0,1.0,9.0,1.107370870202654,1.0,,1.0,3.54,0.0361692776333859
2022-09-30,235000.0,,138.0728554641598,,1.0,2.0,,1.0,1.0,25.0,1.0444444444444445,1.0,1.0,0.0,4.1,-0.1042966042966043
2022-10-31,196200.0,280000.0,116.79974753578816,149.42040580397247,1.0,1.0,4.0,4.0,4.0,69.5,0.9844961240310076,0.0,0.5,1.0,4.14,-0.1540716157195256
2022-11-30,211000.0,,155.4900515843773,,1.0,,,4.0,4.0,10.0,1.055,1.0,,,4.8,0.3312533191626481
2022-12-31,197250.0,235000.0,163.53498614383233,148.30860534124628,1.5,2.0,2.0,4.0,2.0,56.0,0.9921360777836457,0.25,0.25,0.0,5.25,0.0517392236833196
2023-01-31,184950.0,191200.0,165.8744394618834,123.12327937634008,2.0,2.0,1.0,3.0,1.5,49.0,1.0,0.0,0.3333333333333333,0.5,4.81,0.0143055218532472
2023-02-28,195950.0,70000.0,127.7662689373732,74.07407407407406,1.5,1.0,1.0,1.0,0.75,90.5,0.9497741678905068,0.0,,0.0,5.8,-0.2297410658817458
2023-03-31,72100.0,,76.29629629629629,,1.0,1.0,,,,33.0,1.03,1.0,,0.0,5.92,-0.4028447654388796
2023-04-30,362000.0,234900.0,153.02099570674858,144.51807228915663,2.0,1.0,3.0,3.0,1.5,90.0,0.9656558643902604,0.0,,1.0,6.4,1.0056149922729185
2023-05-31,268000.0,236450.0,154.4943820224719,136.115136134191,5.0,4.0,2.0,1.0,0.2,31.0,1.0423365853555513,0.8,,0.0,5.26,0.0096286546099004
2023-06-30,,,,,,,,,,,,,,,4.55,0.0
2023-07-31,133175.0,244950.0,116.92710397927328,142.36021777932683,1.5,2.0,1.0,2.0,1.0,39.5,0.9817510208113804,0.25,,0.0,4.56,-0.2431627451523401
2023-08-31,286400.0,295000.0,168.47058823529412,134.57772337821297,1.0,1.0,5.0,6.0,6.0,71.0,0.9711766700576466,0.0,,0.0,4.66,0.440817248541087
2023-09-30,137500.0,163850.0,97.8243670886076,147.19181343562207,3.0,6.0,1.0,1.0,0.6,13.0,0.8641692624180644,0.1,,0.3333333333333333,4.54,-0.4193386031751643
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
