period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,50000.0,139900.0,29.12970752835137,90.51377168738637,1.0,2.0,1.0,3.0,3.0,133.0,0.9696326593610124,0.0,0.75,0.0,7.28,0.0
2019-02-28,45500.0,,28.72474747474748,,1.0,,,1.5,1.5,610.0,0.9912854030501088,0.0,,,16.14,-0.0139019608490662
2019-03-31,102250.0,126225.0,114590.9878280715,79.61225495764864,3.0,3.0,2.5,3.0,1.4,100.0,0.8912260729660938,0.0,0.5,0.6666666666666666,21.81,3988.277466366269
2019-04-30,32666.666666666668,145000.0,14.80708838043966,94.92045355546472,1.0,3.0,2.0,1.6666666666666667,1.6666666666666667,480.6666666666667,0.8949060737354001,0.0,1.0,0.6666666666666666,19.86,-0.9998707831334638
2019-05-31,105000.0,141450.0,50.0,95.0657894736842,5.0,1.0,2.0,2.0,0.4,8.0,0.9666823888510864,0.0,,1.0,16.83,2.376761096803514
2019-06-30,153000.0,142400.0,59.984520123839005,89.0802387485978,3.0,2.0,4.0,4.0,1.3,6.0,0.9289521527580736,0.3333333333333333,0.5,0.5,15.87,0.19969040247678
2019-07-31,,,,,,,,,,,,,,,11.82,0.0
2019-08-31,118750.0,125800.0,92.02220454789112,77.87244022287538,2.0,,1.5,3.0,1.65,93.0,0.8813116676528174,0.0,,,10.11,0.5340992035596819
2019-09-30,185000.0,149950.0,,87.46852133998408,1.0,1.0,2.0,4.0,4.0,3.0,0.9788359788359788,0.0,0.25,1.0,9.02,0.0
2019-10-31,101000.0,168900.0,21.673819742489272,97.13822894168466,1.0,,2.0,6.0,6.0,9.0,1.5303030303030305,1.0,0.1666666666666666,,11.08,-0.7644718484090482
2019-11-30,61850.0,135000.0,31.42221236122205,88.30694275274054,1.5,2.0,5.0,4.5,2.5,36.5,0.8500849705581719,0.0,0.375,0.1666666666666666,9.88,0.4497773228048984
2019-12-31,28500.0,159000.0,3.6953125,94.64285714285714,3.0,3.0,4.0,9.0,3.0,19.0,0.8155201063476238,0.0,,0.6666666666666666,10.35,-0.8823980801377194
