period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,187900.0,169900.0,111.28205128205128,114.95548299700113,33.0,28.0,63.0,137.0,4.2,66.0,0.9551143791284856,0.1212121212121212,0.3430656934306569,0.3928571428571428,0.2,0.0
2019-02-28,165000.0,187000.0,111.8774975024975,125.34473684210526,40.0,52.0,42.0,97.0,2.4,55.0,0.958880696905919,0.1499999999999999,0.3711340206185567,0.4423076923076922,0.2,0.0053507840086182
2019-03-31,170500.0,195900.0,113.3224550138202,130.79222720478325,60.0,38.0,57.0,100.0,1.7,34.0,0.9812310665353596,0.2666666666666666,0.25,0.4736842105263157,0.58,0.012915533003323
2019-04-30,223000.0,249000.0,120.3789861393816,124.21731123388582,60.0,38.0,61.0,110.0,1.8,38.0,0.9659952951167514,0.1166666666666666,0.1818181818181818,0.5263157894736841,0.38,0.0622694868788433
2019-05-31,175000.0,225000.0,122.97650130548304,130.86648852169,55.0,53.0,80.0,128.0,2.3,27.0,0.982310166799698,0.2545454545454545,0.2421875,0.6226415094339622,0.38,0.021577812286057
2019-06-30,188000.0,228000.0,121.79305161656268,119.39130434782608,55.0,50.0,69.0,132.0,2.4,16.0,0.9667443659572352,0.2363636363636363,0.3257575757575757,0.56,0.18,-0.0096233806975901
2019-07-31,219500.0,176442.5,129.37737843551798,122.58769942920212,58.0,40.0,56.0,135.0,2.3,23.0,0.9838743469816378,0.2068965517241379,0.3481481481481481,0.4749999999999999,0.18,0.0622722455697457
2019-08-31,208750.0,197500.0,111.17865225044002,129.90370483670387,52.0,46.0,56.0,133.0,2.6,27.0,0.9779440986406714,0.2692307692307692,0.263157894736842,0.3260869565217391,0.72,-0.1406638966188996
2019-09-30,187000.0,199900.0,121.52777777777776,126.36403317328676,53.0,44.0,73.0,152.0,2.9,29.0,0.9572025854368033,0.150943396226415,0.2828947368421052,0.5454545454545454,1.15,0.093085545811667
2019-10-31,183000.0,229900.0,114.77789154137702,128.60892388451444,52.0,46.0,47.0,137.0,2.6,29.0,0.965009133528154,0.1153846153846153,0.291970802919708,0.4130434782608695,1.98,-0.0555419210309546
2019-11-30,192000.0,183000.0,115.89113257243196,124.9408896113492,37.0,38.0,42.0,131.0,3.5,14.0,0.966701741431642,0.2972972972972973,0.2061068702290076,0.3421052631578947,2.16,0.0096990893987072
2019-12-31,182500.0,199000.0,116.98717948717947,118.74197689345314,41.0,26.0,39.0,128.0,3.1,36.0,0.9552013219837764,0.1219512195121951,0.171875,0.5384615384615384,2.38,0.0094575563325562
2020-01-31,170000.0,209900.0,123.45679012345678,132.43243243243242,41.0,37.0,47.0,111.0,2.7,48.0,0.9583742862158798,0.1219512195121951,0.3063063063063062,0.4594594594594594,2.21,0.0553018772196856
2020-02-29,205000.0,189900.0,119.57635804578068,140.37037037037038,49.0,34.0,39.0,101.0,2.1,43.0,0.962757549751215,0.1632653061224489,0.3267326732673267,0.5294117647058822,2.39,-0.0314314998291764
2020-03-31,180250.0,190000.0,130.70305222203956,130.40816326530611,39.0,37.0,45.0,89.0,2.3,33.0,0.9681168023425576,0.1282051282051281,0.2134831460674157,0.5135135135135134,2.09,0.0930509538683135
2020-04-30,200500.0,228000.0,135.57381130196666,136.13013698630138,36.0,28.0,33.0,83.0,2.3,38.0,0.97515008928549,0.1944444444444444,0.2048192771084337,0.5,2.93,0.0372658403696082
2020-05-31,189000.0,230000.0,139.01760889712696,142.63392857142858,31.0,35.0,57.0,86.0,2.8,38.0,0.9755602599563628,0.1935483870967741,0.313953488372093,0.5714285714285714,3.37,0.0254016432973906
