period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,71000.0,169900.0,64.54545454545455,114.95548299700113,3.0,4.0,14.0,32.0,10.7,183.0,0.8908721078057463,0.0,0.21875,0.25,0.2,0.0
2019-02-28,91628.5,187000.0,64.85356576237449,125.34473684210526,10.0,7.0,9.0,25.0,2.5,75.0,0.908462375922744,0.0,0.12,0.4285714285714285,0.2,0.0047735540649567
2019-03-31,110500.0,195900.0,108.0,130.79222720478325,13.0,7.0,9.0,22.0,1.7,85.0,0.9881302942083376,0.2307692307692307,0.1363636363636363,0.2857142857142857,0.58,0.6652900843681504
2019-04-30,123000.0,249000.0,81.65137614678899,124.21731123388582,9.0,10.0,7.0,17.0,1.9,33.0,0.9655810716876058,0.1111111111111111,,0.2999999999999999,0.38,-0.2439687393815833
2019-05-31,119997.5,225000.0,107.39088681369628,130.86648852169,10.0,6.0,7.0,17.0,1.7,9.0,0.9801516449986752,0.2999999999999999,0.1764705882352941,0.6666666666666666,0.38,0.315236703673359
2019-06-30,129888.0,228000.0,78.99255867200915,119.39130434782608,7.0,4.0,12.0,21.0,3.0,29.0,0.9789046995620976,0.1428571428571428,0.1904761904761904,0.75,0.18,-0.2644389015145492
2019-07-31,122100.0,176442.5,94.84650856389987,122.58769942920212,6.0,6.0,8.0,21.0,3.5,18.0,0.9676518144766436,0.1666666666666666,0.1428571428571428,0.1666666666666666,0.18,0.2007018149357471
2019-08-31,127250.0,197500.0,94.06345436036648,129.90370483670387,10.0,9.0,8.0,20.0,2.0,57.0,0.975677772758486,0.2,0.25,0.4444444444444444,0.72,-0.008256015064654
2019-09-30,125000.0,199900.0,78.2122905027933,126.36403317328676,7.0,5.0,11.0,24.0,3.4,9.0,0.9552273298770938,0.1428571428571428,0.1666666666666666,0.5999999999999999,1.15,-0.168515646861594
2019-10-31,124000.0,229900.0,95.65217391304348,128.60892388451444,9.0,9.0,5.0,17.0,1.9,28.0,0.9647046240640044,0.1111111111111111,0.1764705882352941,0.3333333333333333,1.98,0.2229813664596274
2019-11-30,98900.0,183000.0,75.88597210828547,124.9408896113492,6.0,6.0,5.0,16.0,2.7,36.0,0.927193457036278,0.0,0.3125,0.5,2.16,-0.206646655231561
2019-12-31,113500.0,199000.0,80.57971014492753,118.74197689345314,6.0,1.0,4.0,15.0,2.5,68.0,0.9492796032180916,0.0,0.2,0.0,2.38,0.061852512476803
2020-01-31,131000.0,209900.0,106.5040650406504,132.43243243243242,3.0,1.0,4.0,13.0,4.3,98.0,0.9571036006593646,0.0,0.3846153846153846,0.0,2.21,0.3217231093174242
2020-02-29,120000.0,189900.0,78.5,140.37037037037038,5.0,5.0,6.0,11.0,2.2,53.0,0.9627039029932672,0.0,0.3636363636363636,0.4,2.39,-0.2629389312977098
2020-03-31,112000.0,190000.0,89.28571428571429,130.40816326530611,7.0,5.0,4.0,9.0,1.3,47.0,0.951036692699256,0.1428571428571428,0.3333333333333333,0.2,2.09,0.1373976342129208
2020-04-30,111400.0,228000.0,92.63966386176484,136.13013698630138,2.0,1.0,1.0,8.0,4.0,52.0,0.9605384615384616,0.5,0.25,0.0,2.93,0.0375642352517662
2020-05-31,117500.0,230000.0,108.45238095238096,142.63392857142858,4.0,4.0,4.0,5.0,1.3,55.0,0.9660589379218923,0.0,0.5999999999999999,0.0,3.37,0.170690570663248
2020-06-30,127500.0,227000.0,104.42260442260442,137.00531307413476,5.0,6.0,8.0,7.0,1.4,21.0,1.0163755489443198,0.4,0.4285714285714285,0.6666666666666666,4.47,-0.0371571052141854
2020-07-31,113250.0,237400.0,84.96242351689278,133.75662379551954,6.0,3.0,7.0,10.0,1.7,16.0,0.9641886982893854,0.3333333333333333,,0.3333333333333333,4.17,-0.1863598500852855
2020-08-31,99000.0,212450.0,92.07450290309691,138.36729362591433,2.0,5.0,7.0,11.0,5.5,51.0,0.9457506833869462,0.0,0.0909090909090909,0.8,4.07,0.0837085277445042
2020-09-30,132500.0,214950.0,104.75181598062954,144.17888048025034,6.0,13.0,14.0,11.0,1.8,11.0,0.9715739546570956,0.1666666666666666,0.0909090909090909,0.6153846153846154,2.82,0.1376853817052346
2020-10-31,134525.0,259000.0,97.92725413903996,145.497311827957,12.0,9.0,9.0,11.0,0.9,22.0,0.9587807643446684,0.0833333333333333,,0.6666666666666666,2.71,-0.0651498189095983
2020-11-30,126000.0,249000.0,82.99942759015454,145.6639566395664,9.0,3.0,5.0,13.0,1.4,10.0,0.9840525852319392,0.2222222222222222,0.1538461538461538,0.0,2.3,-0.1524379160850406
2020-12-31,126000.0,226750.0,109.56521739130434,144.37476484682867,5.0,5.0,6.0,12.0,2.4,19.0,0.9849736029256204,0.2,0.25,0.5999999999999999,3.39,0.3200719640179912
2021-01-31,122450.0,249900.0,97.6183341797867,147.17906786590353,6.0,2.0,8.0,16.0,2.7,33.0,0.9699400750692,0.0,,0.5,2.56,-0.1090390134384546
2021-02-28,107000.0,227450.0,88.06900705387814,151.02591989968226,4.0,8.0,7.0,14.0,3.5,36.0,1.011086011942574,0.25,0.1428571428571428,0.5,2.91,-0.0978230903666238
2021-03-31,133000.0,244000.0,96.875,143.98144659809375,7.0,4.0,8.0,14.0,2.0,56.0,0.975921504968608,0.1428571428571428,0.2142857142857142,0.25,1.95,0.0999896926365322
2021-04-30,123000.0,224000.0,92.7536231884058,148.13760208266467,7.0,13.0,8.0,8.0,1.1,41.0,0.9527272795088992,0.2857142857142857,,0.4615384615384615,2.68,-0.0425432445067788
2021-05-31,135000.0,265000.0,103.55029585798816,151.79822512844464,13.0,7.0,7.0,8.0,0.5999999999999999,7.0,0.9771895692483618,0.1538461538461538,0.125,0.5714285714285714,2.21,0.1164016272189347
2021-06-30,134900.0,249999.0,86.66164280331574,146.42791986155908,5.0,8.0,8.0,7.0,1.4,34.0,0.996455938697318,0.2,0.1428571428571428,0.75,2.49,-0.1630961352136936
2021-07-31,124000.0,282000.0,89.91369431313565,154.52091767881242,6.0,11.0,11.0,7.0,1.2,6.0,0.974866452499896,0.1666666666666666,0.1428571428571428,0.7272727272727272,2.23,0.0375258465524437
2021-08-31,148000.0,267250.0,97.74772003474231,160.9770978580707,12.0,3.0,8.0,11.0,0.9,8.0,0.9921255147583696,0.25,0.0909090909090909,1.0,2.7,0.0871282820870833
2021-09-30,134000.0,228750.0,104.54506607652102,147.41449215724245,4.0,5.0,1.0,5.0,1.3,19.0,0.9833307464906258,0.25,,0.2,3.23,0.0695396888987562
2021-10-31,115000.0,250000.0,85.21739130434784,133.26666666666668,5.0,4.0,8.0,8.0,1.6,8.0,0.9936733376371852,0.0,0.125,1.0,3.02,-0.1848740978175519
2021-11-30,154500.0,259250.0,97.86818881062264,154.4535425318405,4.0,4.0,9.0,13.0,3.3,7.0,1.0071428571428571,0.25,0.2307692307692307,0.5,2.26,0.1484532360430206
2021-12-31,148000.0,262500.0,102.59365994236312,144.22215371968764,7.0,5.0,3.0,9.0,1.3,16.0,0.9832779547574478,0.2857142857142857,0.1111111111111111,0.4,1.78,0.048284035795169
2022-01-31,140000.0,239999.0,97.7653631284916,143.19749403341288,5.0,7.0,5.0,4.0,0.8,42.0,0.968793791034227,0.2,0.25,0.5714285714285714,2.59,-0.0470623313037477
2022-02-28,119500.0,229900.0,97.07554833468724,151.21002592912706,7.0,2.0,8.0,10.0,1.4,27.0,0.9705735470827545,0.1428571428571428,0.1,1.0,2.52,-0.0070558198909131
2022-03-31,146000.0,259000.0,101.95530726256985,150.3006012024048,5.0,17.0,12.0,3.0,0.5999999999999999,43.0,1.0046377201236727,0.4,,0.588235294117647,2.48,0.0502676421776024
2022-04-30,145000.0,249900.0,114.28571428571428,156.53382060491217,13.0,7.0,11.0,7.0,0.5,11.0,0.9845983111581956,0.3076923076923077,0.2857142857142857,0.8571428571428571,2.44,0.1209393346379645
2022-05-31,130000.0,259900.0,101.2216404886562,154.55531453362255,9.0,8.0,15.0,14.0,1.6,18.0,0.9724769152851176,0.5555555555555555,0.1428571428571428,0.625,2.53,-0.114310645724258
2022-06-30,132000.0,258500.0,115.61732794804784,169.52837140751657,8.0,13.0,12.0,13.0,1.6,12.0,0.9923787464279225,0.25,0.3076923076923077,0.3846153846153846,2.52,0.1422194640384726
2022-07-31,149500.0,265000.0,110.13458608430676,162.48681143417986,8.0,12.0,15.0,16.0,2.0,4.0,0.9770974159223036,0.25,0.4375,0.5833333333333333,1.98,-0.0474214545609005
2022-08-31,150900.0,279000.0,101.8181818181818,172.86358511837656,11.0,11.0,13.0,17.0,1.5,13.0,0.9746729620673432,0.1818181818181818,0.3529411764705882,0.5454545454545454,2.19,-0.0755112863434094
2022-09-30,149000.0,269500.0,113.82409230096238,152.662890888613,14.0,8.0,10.0,19.0,1.4,12.0,0.9198828818649408,0.0714285714285714,0.5789473684210527,0.5,2.85,0.117915192241595
2022-10-31,140000.0,292500.0,119.04761904761904,157.41197125445385,5.0,4.0,2.0,16.0,3.2,49.0,0.9472254142498904,0.0,0.25,0.0,2.6,0.0458912225088967
2022-11-30,125000.0,266950.0,131.0623556581986,161.4144915234255,3.0,3.0,5.0,17.0,5.7,21.0,0.9332197476978656,0.0,0.3529411764705882,0.3333333333333333,2.85,0.1009237875288684
2022-12-31,135750.0,228999.5,97.93296942397984,143.46559378468368,2.0,1.0,5.0,18.0,9.0,114.0,0.92336877214926,0.0,0.1111111111111111,0.0,2.13,-0.2527757575227617
2023-01-31,147000.0,244950.0,94.44762449914136,150.41647906348493,7.0,8.0,13.0,19.0,2.7,116.0,0.9626319580822394,0.1428571428571428,0.1578947368421052,0.25,2.36,-0.0355890865490806
2023-02-28,138500.0,244900.0,109.37753421832488,150.33366118888762,10.0,10.0,11.0,19.0,1.9,22.0,0.9319996570316222,0.0,0.5263157894736841,0.2,2.24,0.1580760744206886
2023-03-31,115000.0,279000.0,109.33902423955352,164.33566433566435,10.0,7.0,5.0,16.0,1.6,33.0,0.9492324429352014,0.1,0.125,0.1428571428571428,2.19,-0.0003520830767175
2023-04-30,137047.0,322500.0,104.7136907920808,170.21750944851203,10.0,8.0,9.0,14.0,1.4,47.0,0.9644211396997808,0.1,0.1428571428571428,0.375,2.37,-0.042302677197292
2023-05-31,154500.0,293000.0,112.5506072874494,159.45945945945945,5.0,3.0,7.0,17.0,3.4,40.0,0.981608546984184,0.2,0.2352941176470588,0.0,1.61,0.074841373998836
2023-06-30,122500.0,304950.0,91.58557527189468,166.97305243993907,7.0,7.0,5.0,14.0,2.0,38.0,0.9544155588969742,0.2857142857142857,0.2142857142857142,0.2857142857142857,1.83,-0.1862720470446767
2023-07-31,150000.0,275000.0,93.07692307692308,173.0914588057445,5.0,3.0,4.0,13.0,2.6,56.0,0.979194938820912,0.4,0.0769230769230769,0.0,1.4,0.0162836538461537
2023-08-31,155000.0,255000.0,102.87224157955863,145.92863677950595,8.0,5.0,8.0,13.0,1.6,80.0,0.9754111663515174,0.125,0.2307692307692307,0.0,1.97,0.1052389591192248
2023-09-30,110000.0,255000.0,93.33333333333331,159.547092125579,5.0,5.0,8.0,15.0,3.0,58.0,0.9084332716137302,0.2,0.2666666666666666,0.0,2.48,-0.0927257742201348
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
