period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,333857.4,516933.3333333333,192.64480726072864,296.594815659306,11.6,16.5,28.33333333333333,37.8,4.2,56.6,0.986871229046852,0.3577327935222672,0.2864567046385228,0.2178030303030302,0.38,0.0
2019-02-28,370260.0,396940.0,239.1958822939989,202.54286478840368,15.0,15.2,16.0,34.6,3.2,75.0,0.9764384790126192,0.1193650793650793,0.2267113095238095,0.2463492063492063,0.85,0.2416419923027941
2019-03-31,289233.3333333333,332980.0,181.87343888556657,203.14002476981392,13.333333333333334,16.333333333333332,26.6,32.666666666666664,3.483333333333333,54.833333333333336,0.9904388608627156,0.1805555555555555,0.3236001418251119,0.4728564180618975,1.19,-0.2396464473329709
2019-04-30,356050.0,471180.0,225.85528712009733,219.74360561122504,16.4,19.2,29.2,44.4,4.54,54.8,0.9925183329846282,0.1897435897435897,0.2515993265993266,0.3585964912280701,1.54,0.2418266708103749
2019-05-31,311808.6666666667,336520.0,186.67405427128787,210.6119778990972,17.666666666666668,29.5,31.2,40.5,5.0,90.16666666666669,1.063747763326917,0.3421717171717171,0.263782269730774,0.3666118421052631,1.76,-0.1734793696814148
2019-06-30,370076.0,445463.4,226.916025490584,237.506080164028,25.0,24.2,27.2,47.0,2.02,48.0,0.9799526006782864,0.2652992440656748,0.3500576036866359,0.3079905830217421,1.69,0.2155734570419392
2019-07-31,350220.0,338320.0,199.79110502439488,225.8492669349312,23.6,20.75,19.6,44.8,2.84,52.8,1.1012676769498233,0.3732821824381926,0.3158877912867274,0.3184931506849315,1.39,-0.1195372623310585
2019-08-31,328080.0,404325.0,231.6771285749549,239.8878710154607,22.8,13.6,16.0,39.2,1.7600000000000002,40.0,0.996831476349086,0.3308333333333333,0.1985970263057567,0.1268939393939394,1.08,0.1595968126141886
2019-09-30,400975.0,496566.6666666667,244.1948904696892,294.88775169889544,17.75,13.75,43.66666666666666,62.0,3.4,56.75,0.9728644181414888,0.2833333333333333,0.2640193093788411,0.1397435897435897,1.13,0.0540310645756487
2019-10-31,462687.5,399200.0,240.26325527782345,242.2296409064296,15.75,27.33333333333333,26.0,62.25,4.025,73.25,0.9698923791318228,0.190625,0.2852859096621571,0.1700603318250376,0.9,-0.0161003990882182
2019-11-30,423633.3333333333,512783.3333333333,274.1313314893567,303.10643889190186,21.666666666666668,24.666666666666668,14.0,59.333333333333336,6.066666666666666,50.0,0.9852284675342,0.1713286713286713,0.3292601067887108,0.3108058608058607,1.14,0.1409623630228875
2019-12-31,358690.0,414562.5,209.4552333366637,232.14062189200703,18.8,10.0,9.75,29.2,2.78,71.6,0.9752391935324894,0.2076090137547556,0.2352253145726151,0.1807692307692307,1.32,-0.2359310692481135
2020-01-31,369200.0,339570.0,186.259908993294,218.188478619824,12.166666666666666,6.0,14.8,27.33333333333333,4.683333333333334,45.333333333333336,0.9752824195617086,0.099537037037037,0.18584388185654,0.0768115942028985,1.74,-0.1107412021837007
2020-02-29,358150.0,381980.0,211.2028936984263,220.8119607356278,11.6,16.5,18.2,29.8,2.62,97.2,0.9825131589082045,0.2250420168067227,0.1614362588694699,0.2365793780687397,1.47,0.1339149409013742
2020-03-31,339166.6666666667,344241.6666666667,220.24044500007187,202.7437234267555,11.166666666666666,28.33333333333333,17.833333333333332,28.166666666666668,4.016666666666667,73.66666666666667,0.9931782980544124,0.2496212121212121,0.1893115942028985,0.5176282051282052,1.24,0.0427908498003355
2020-04-30,364160.0,418775.0,213.50366082198417,251.7466092434373,14.0,13.6,16.75,29.0,3.78,41.6,0.982190312140645,0.1836317135549871,0.2074398321201389,0.2066037735849056,2.07,-0.0305883153209461
2020-05-31,360440.0,386750.0,214.5086833333628,224.16939885202297,13.0,14.8,15.6,33.5,2.425,51.0,1.0379099391125075,0.3658562367864693,0.1940220366007472,0.3005128205128205,2.42,0.0047072846784421
2020-06-30,341937.5,393670.0,206.12802513881687,232.17311558166327,12.166666666666666,17.2,30.2,37.2,2.78,137.2,0.9899479480321568,0.3773148148148148,0.2541216164404569,0.5997849462365592,3.47,-0.0390690859890354
2020-07-31,354800.0,369459.4,233.5039451817369,223.0638104212715,20.2,24.5,25.2,39.2,1.94,45.8,0.9864702849566642,0.2524626865671641,0.2894854586129753,0.255689775910364,4.13,0.1328102766447392
2020-08-31,367379.9,419462.5,222.2268880997217,259.5693704279451,16.4,27.5,34.75,42.4,2.52,118.0,1.0050461965045892,0.2339285714285714,0.2817995910020449,0.5634920634920635,6.05,-0.0482949316905041
2020-09-30,326633.3333333333,414760.0,221.762499541194,236.8217264154817,17.166666666666668,26.25,33.8,43.66666666666666,2.4166666666666665,77.33333333333333,1.0032445463520798,0.5206349206349207,0.2069587383266628,0.4779306220095694,7.65,-0.0020897046369983
2020-10-31,338254.1666666667,438300.0,200.8262356059709,210.88228449421,18.0,22.8,27.666666666666668,49.333333333333336,1.9666666666666668,67.83333333333333,1.013743947253842,0.3963492063492063,0.2434306039488966,0.4571428571428571,8.9,-0.0944084954784432
2020-11-30,341740.0,384980.0,209.9932696290712,221.7564250220888,17.6,27.5,17.8,50.6,2.58,40.8,1.0128951595494005,0.3384114323695579,0.1697607260726072,0.5444871262458472,8.86,0.0456465959013761
2020-12-31,391283.3333333333,348133.3333333333,207.2733119675565,214.1820116386365,18.83333333333333,16.5,7.666666666666667,26.83333333333333,1.5166666666666666,41.5,0.9993299644895184,0.3960585585585585,0.2361538461538461,0.1372146118721461,9.47,-0.0129525944632377
