period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,135000.0,336900.0,215.6549520766773,176.3916500994036,1.0,,1.0,6.0,6.0,8.0,1.0,0.0,,,0.0,0.0
2019-02-28,199900.0,337000.0,121.741778319123,174.55911697556942,1.0,3.0,6.0,8.0,8.0,137.0,0.8691304347826087,0.0,,1.0,0.37,-0.4354788649794739
2019-03-31,220000.0,349000.0,156.88696726374306,176.19380790396303,3.0,2.0,3.0,8.0,2.7,7.0,0.9769386774625796,0.3333333333333333,0.125,0.5,1.68,0.2886863444075345
2019-04-30,185000.0,355000.0,145.55768083833124,174.74395217974433,4.0,6.0,4.0,5.0,1.3,16.0,1.0408476658476655,0.75,,0.5,2.27,-0.0722130500895343
2019-05-31,150000.0,365000.0,165.87677725118485,174.8015873015873,7.0,3.0,5.0,6.0,0.9,48.0,0.9950071560637496,0.2857142857142857,0.1666666666666666,0.3333333333333333,3.71,0.1395948073356687
2019-06-30,189625.0,355000.0,148.43955148693146,182.7741612418628,4.0,3.0,2.0,5.0,1.3,56.0,0.990302340357937,0.25,,0.0,3.4,-0.1051215610359275
2019-07-31,180000.0,349900.0,177.3399014778325,175.36378847613656,3.0,4.0,5.0,6.0,2.0,27.0,1.01693610469592,0.3333333333333333,,0.75,4.01,0.1946944038930582
2019-08-31,165000.0,355000.0,203.3492822966508,174.7086247086247,3.0,6.0,3.0,3.0,1.0,73.0,1.0098039215686274,0.3333333333333333,0.3333333333333333,0.1666666666666666,3.31,0.1466640085061143
2019-09-30,172000.0,339500.0,200.4662004662005,183.13577586206893,3.0,1.0,1.0,3.0,1.0,5.0,1.0055403960617233,0.3333333333333333,,1.0,4.55,-0.0141779788838616
2019-10-31,185000.0,354900.0,182.16904633313305,182.53012048192767,2.0,3.0,2.0,1.0,0.5,6.0,1.080389144905274,1.0,1.0,0.6666666666666666,4.73,-0.0912730130591387
2019-11-30,166000.0,349900.0,173.54645354645356,181.10766045548647,4.0,2.0,2.0,1.0,0.2999999999999999,38.0,0.9775194196250094,0.25,,0.5,4.87,-0.0473329193968076
2019-12-31,170000.0,340000.0,179.24528301886792,180.80882352941177,3.0,2.0,5.0,4.0,1.3,6.0,0.901328903654485,0.0,,1.0,3.18,0.0328374873468038
2020-01-31,169450.0,372400.0,156.2924112924113,173.88519966977807,2.0,3.0,2.0,3.0,1.5,28.0,0.9513727315030248,0.0,0.6666666666666666,0.0,3.94,-0.1280528633160212
2020-02-29,,,,,,,,,,,,,,,3.81,0.0
2020-03-31,185000.0,370000.0,204.54545454545453,197.1700821878477,3.0,3.0,2.0,5.0,1.7,41.0,0.9688306974332382,0.0,,0.0,4.9,0.3087356759936697
2020-04-30,209250.0,379000.0,183.36459648862143,189.5833333333333,2.0,1.0,1.0,5.0,2.5,35.0,1.0027346414902347,0.5,,0.0,3.83,-0.1035508616111841
2020-05-31,194000.0,379900.0,227.27272727272728,189.898258716283,3.0,3.0,3.0,5.0,1.7,63.0,1.0,0.0,,0.0,3.73,0.2394580612884589
2020-06-30,204500.0,389000.0,164.79099678456592,187.3827392120075,3.0,6.0,4.0,3.0,1.0,27.0,1.0150502512562811,0.6666666666666666,,0.5,3.83,-0.27491961414791
2020-07-31,240000.0,392240.0,190.77901430842607,193.33320910355792,3.0,2.0,1.0,1.0,0.2999999999999999,49.0,0.9766030301678637,0.3333333333333333,,0.5,4.48,0.1577028965838147
2020-08-31,215500.0,384950.0,149.02453240986785,201.38664933236663,2.0,2.0,7.0,5.0,2.5,17.0,1.0256948383437323,1.0,,1.0,5.89,-0.2188630759516093
2020-09-30,189950.0,375000.0,218.11535186761927,215.0292704038632,4.0,5.0,6.0,6.0,1.5,27.0,1.001553633959837,0.5,,0.2,6.37,0.4636204411480944
2020-10-31,190500.0,389000.0,202.95222576775973,206.8181818181818,6.0,8.0,10.0,8.0,1.3,33.0,0.9670101839185284,0.1666666666666666,0.125,0.5,5.9,-0.0695188393206842
2020-11-30,213000.0,,206.17512728361783,,6.0,6.0,,2.0,0.2999999999999999,12.0,0.9951888394971182,0.3333333333333333,,0.0,6.53,0.0158800993862766
2020-12-31,210000.0,366000.0,229.7284849043133,209.05172413793105,6.0,5.0,5.0,2.0,0.2999999999999999,47.0,1.0056781924948783,0.3333333333333333,0.5,0.8,6.66,0.1142395687152655
2021-01-31,198250.0,395000.0,213.0044235803918,220.8456587889776,4.0,5.0,7.0,4.0,1.0,24.0,1.017923572946324,0.5,,0.8,7.45,-0.0727992496485031
2021-02-28,176000.0,405450.0,217.70334928229664,211.2842317541685,5.0,2.0,5.0,6.0,1.2,50.0,0.9891490244914902,0.0,0.1666666666666666,0.5,6.61,0.0220602259001037
2021-03-31,190000.0,415500.0,238.43930635838151,217.8571428571429,3.0,7.0,4.0,3.0,1.0,5.0,1.014353378865401,0.6666666666666666,0.3333333333333333,0.5714285714285714,6.87,0.0952486819538844
2021-04-30,212000.0,415000.0,247.6076555023924,220.53571428571428,8.0,6.0,7.0,4.0,0.5,20.0,1.0088009076596252,0.75,0.25,0.5,6.66,0.0384515006524577
2021-05-31,201250.0,425000.0,234.5571095571096,217.3267326732673,6.0,5.0,6.0,4.0,0.6999999999999998,16.0,1.0205852081156153,1.0,0.5,0.8,5.43,-0.0527065527065526
2021-06-30,224500.0,425000.0,228.1165809453833,225.08038585209005,4.0,6.0,7.0,5.0,1.3,6.0,1.0325556321708922,0.75,0.4,0.5,4.33,-0.0274582536589375
2021-07-31,187000.0,430000.0,242.77456647398844,225.752688172043,7.0,5.0,5.0,5.0,0.6999999999999998,26.0,0.98796132655193,0.2857142857142857,0.2,0.2,4.64,0.0642565545558242
2021-08-31,222000.0,420000.0,238.9277389277389,215.81196581196585,5.0,4.0,3.0,3.0,0.5999999999999999,39.0,1.0148792607133688,0.5999999999999999,,0.5,5.29,-0.015845265845266
2021-09-30,220000.0,425000.0,231.9098457888493,227.27272727272728,3.0,3.0,2.0,2.0,0.6999999999999998,45.0,1.0023696240320925,0.3333333333333333,,0.3333333333333333,5.35,-0.0293724503081329
2021-10-31,207500.0,425000.0,222.53722794959907,229.3603778265184,2.0,2.0,2.0,2.0,1.0,22.0,0.9878048780487804,0.0,,0.5,4.78,-0.0404149198899639
2021-11-30,251500.0,417000.0,190.0364993613323,231.33116883116884,2.0,1.0,8.0,9.0,4.5,49.0,1.0267489711934157,0.5,0.1111111111111111,0.0,5.41,-0.1460462543176265
