period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,252600.0,536160.1,132.0395205201547,217.16315711188005,23.2,24.0,31.2,68.6,3.64,83.6,1.0118147919760443,0.2947853239656518,0.2425326488393638,0.3426378446115288,0.82,0.0
2019-02-28,196650.0,295225.0,108.05835385812424,137.80711581275045,25.8,24.75,38.75,71.4,3.84,80.8,0.9514364283039006,0.2086404416839199,0.1455927338103568,0.2535714285714285,1.99,-0.1816211280346927
2019-03-31,218080.0,328780.0,111.27983255092704,133.51034368488183,28.4,38.75,54.4,85.0,3.28,55.8,0.922835957822767,0.2063024063024063,0.272040552040552,0.2741489863272041,2.55,0.0298123983734979
2019-04-30,234880.0,272795.0,116.42956706228809,133.06561614445064,40.6,53.5,64.2,97.2,3.12,69.8,0.9913534462510546,0.2334254771457062,0.2226981309966169,0.2972023641393285,2.48,0.0462773387891672
2019-05-31,341900.0,362473.0,144.29742683772062,173.5118071515407,53.8,57.25,61.8,106.0,4.28,97.6,0.9850292945628738,0.2778478664192949,0.2330873692942658,0.2527465287190145,1.61,0.2393538040085956
2019-06-30,237241.66666666663,266008.3333333333,110.39606550212476,135.50928469153715,40.0,59.0,46.333333333333336,89.5,2.216666666666667,44.0,0.9949363547571124,0.1604397469533136,0.2585265879819164,0.2908391150284369,2.61,-0.2349408584653551
2019-07-31,317892.8571428572,285175.0,143.37215347889008,138.42009535876016,35.42857142857143,46.0,43.66666666666666,76.85714285714286,3.8,80.0,0.9752576841435976,0.2142962199020421,0.3141720171214553,0.1959865452948456,2.06,0.2987070945579184
2019-08-31,257206.7,285600.0,134.3986410016966,138.51935875842386,41.6,46.75,61.75,106.6,2.72,51.2,0.9845725609242728,0.2344090328573086,0.2821423969826879,0.1781746031746031,2.8,-0.0625889495236934
2019-09-30,245860.0,280437.5,125.2498378085112,141.74631279625302,29.142857142857142,46.25,60.5,91.33333333333331,3.0,89.14285714285714,0.9436421345523208,0.1405442332453653,0.2362061103511171,0.193215152661528,2.4,-0.0680721406481328
2019-10-31,236414.16666666663,411150.0,118.38199627088488,241.6629021619269,38.0,47.0,42.2,85.16666666666667,3.616666666666666,86.33333333333333,0.9848647716952068,0.3217614914818386,0.2726242743311542,0.1669488833269156,4.19,-0.0548331371744069
2019-11-30,268100.0,264637.5,125.04658346094608,132.70274454172238,34.6,41.0,45.5,114.25,3.25,62.4,0.9272875958595505,0.1900864051514554,0.16354834060506,0.1402910685805422,3.77,0.0562973036441378
2019-12-31,258750.0,271187.5,131.618052227695,132.35738109334986,50.25,35.0,26.0,89.75,2.35,46.0,0.9860334072712196,0.2997104247104246,0.1594949711616378,0.1077324973876697,3.6,0.0525521656399454
