period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,183400.0,145000.0,94.54599215095962,93.03030303030305,22.0,19.0,40.0,130.0,5.9,64.0,0.9726340893025204,0.1363636363636363,0.1769230769230769,0.263157894736842,0.26,0.0
2019-02-28,139900.0,159900.0,81.55093765838822,105.46875,27.0,21.0,37.0,137.0,5.1,51.0,0.9706512578588294,0.074074074074074,0.2116788321167883,0.2857142857142857,1.01,-0.1374469101960711
2019-03-31,159900.0,169900.0,94.45137157107231,95.98930481283422,31.0,30.0,55.0,147.0,4.7,71.0,0.9818385181466032,0.3225806451612903,0.2108843537414966,0.5,1.68,0.1581886644482641
2019-04-30,165950.0,155000.0,96.1173781970242,98.69241279193886,42.0,39.0,63.0,154.0,3.7,52.0,0.992101560618658,0.1666666666666666,0.2792207792207792,0.4358974358974359,1.42,0.0176387764226193
2019-05-31,165000.0,160500.0,102.3170268978892,100.4304587688734,46.0,36.0,66.0,164.0,3.6,38.0,0.9513226150042569,0.1739130434782608,0.2804878048780488,0.4722222222222222,0.76,0.0645008095014492
2019-06-30,163925.0,144900.0,90.0907200051652,73.52774682061519,25.5,20.5,32.5,86.0,2.25,71.0,0.9476720050243056,0.1224489795918367,0.3411764705882353,0.6625,0.09,-0.1194943526352234
2019-07-31,169500.0,169900.0,108.57406591765005,103.90625,61.0,40.0,57.0,165.0,2.7,59.0,0.9686334058238316,0.2622950819672131,0.2787878787878788,0.375,0.09,0.2051637051121928
2019-08-31,150750.0,170000.0,74.48895126153587,100.09380848111418,29.5,40.0,56.0,83.5,1.7999999999999998,23.0,0.9721026865234524,0.1607142857142857,0.4015151515151515,0.275,0.07,-0.3139342196318468
2019-09-30,158000.0,164900.0,84.58067329460357,95.64327485380116,19.0,29.0,44.0,84.0,3.25,27.0,1.0015353330438603,0.6621621621621622,0.4126506024096386,0.3103448275862069,0.07,0.1354794484571941
2019-10-31,177450.0,134900.0,108.68424885841657,87.91666666666667,46.0,37.0,44.0,153.0,3.3,43.0,0.982668228333289,0.1739130434782608,0.3006535947712418,0.4054054054054054,0.07,0.284977343226598
2019-11-30,115450.0,160000.0,66.32878329640471,94.75713122735324,14.0,19.0,28.0,70.5,3.1,66.5,0.996760299672326,0.1851851851851851,0.2928571428571428,0.1052631578947368,0.29,-0.3897111679649965
2019-12-31,97375.0,145000.0,61.25698675104986,92.759900990099,22.0,20.0,21.0,114.0,2.7,143.0,0.9417789077459454,0.0581395348837209,0.1842105263157894,0.25,0.65,-0.0764644893709328
2020-01-31,178000.0,190000.0,106.80530182364686,97.22222222222224,26.0,30.0,38.0,97.0,3.7,88.0,0.9672320902821196,0.2692307692307692,0.1958762886597938,0.3666666666666666,1.15,0.7435611427918689
2020-02-29,169600.0,179900.0,102.17983651226156,93.10674964097656,29.0,27.0,50.0,109.0,3.8,76.0,0.9823112881357532,0.1034482758620689,0.2293577981651376,0.4444444444444444,1.26,-0.043307450401879
2020-03-31,175000.0,169900.0,102.8537455410226,105.91133004926108,35.0,23.0,45.0,112.0,3.2,37.0,0.9780287607955344,0.2285714285714285,0.1785714285714285,0.4347826086956521,2.0,0.0065953230281414
2020-04-30,210000.0,191000.0,103.85281385281384,109.49675324675324,39.0,18.0,30.0,109.0,2.8,42.0,0.9868283409645336,0.2051282051282051,0.1926605504587156,0.2777777777777777,1.5,0.0097134849736002
2020-05-31,98850.0,169475.0,63.16889365963596,96.0412953060012,14.5,17.5,26.0,117.0,4.2,69.5,0.9150485369278932,0.0535714285714285,0.2905982905982906,0.4166666666666666,1.52,-0.3917459593423964
2020-06-30,192875.0,257450.0,101.380309812473,128.82045306989602,25.5,39.0,20.0,51.5,1.5,30.5,0.9768354427375112,0.14,0.2352941176470588,0.3333333333333333,0.97,0.6049087444641064
2020-07-31,267060.0,189950.0,122.75732762223984,108.12221014279838,21.5,18.0,24.5,51.5,1.7,52.0,0.9189280812241531,0.1071428571428571,0.1862745098039215,0.2142857142857142,1.16,0.2108596614994442
2020-08-31,178500.0,199900.0,122.76315789473684,116.45962732919254,40.0,42.0,44.0,94.0,2.4,44.0,0.9804121300854008,0.325,0.2872340425531915,0.4047619047619047,1.61,4.749429308970044e-05
2020-09-30,206000.0,169900.0,106.88381834215168,114.53179694336792,52.0,44.0,55.0,93.0,1.8,46.0,0.9865071426992812,0.2115384615384615,0.2580645161290322,0.3863636363636363,1.77,-0.1293493897102328
